CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity - fluorescence and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data in the CTD files should be considered:,,,,,,,,,,,,,,,,
#± 0.8 ml/l from 0 to 250 dbar.,,,,,,,,,,,,,,,,
#± 0.2 ml/l below 250 dbar.,,,,,,,,,,,,,,,,
#Data below 1200 dbar are considered unreliable by the manufacturer.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing report: 2007-01-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20070207
STNBR = P19
CASTNO = 1
DATE = 12/02/2007
TIME =  19:28
LATITUDE = 49.5
LONGITUDE = -137.6665
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.0,2,6.9193,2,32.4868,2,298.6,2,48.9,2,0.581,2,,2
3.7,2,6.9183,2,32.4867,2,298.6,2,49.9,2,0.621,2,,2
5.0,2,6.9176,2,32.4869,2,298.5,2,50.4,2,0.644,2,,2
6.0,2,6.9174,2,32.4869,2,298.6,2,50.4,2,0.677,2,,2
7.0,2,6.9173,2,32.4868,2,298.5,2,50.4,2,0.701,2,,2
7.8,2,6.9172,2,32.4868,2,298.5,2,50.4,2,0.7559999999999999,2,,2
9.2,2,6.9174,2,32.4867,2,298.6,2,50.5,2,0.762,2,,2
10.0,2,6.9173,2,32.486999999999995,2,298.5,2,50.5,2,0.779,2,,2
11.0,2,6.9171,2,32.4868,2,298.5,2,50.4,2,0.764,2,,2
12.0,2,6.9172,2,32.4869,2,298.4,2,50.5,2,0.8490000000000001,2,,2
13.0,2,6.9172,2,32.4869,2,298.3,2,50.5,2,0.9009999999999999,2,,2
14.0,2,6.9169,2,32.486999999999995,2,298.3,2,50.5,2,0.9390000000000001,2,,2
15.0,2,6.9172,2,32.486999999999995,2,298.3,2,50.5,2,0.883,2,,2
16.0,2,6.9176,2,32.4868,2,298.3,2,50.5,2,0.875,2,,2
17.0,2,6.9176,2,32.4869,2,298.4,2,50.5,2,0.9740000000000001,2,,2
18.0,2,6.9178,2,32.486999999999995,2,298.5,2,50.5,2,1.005,2,,2
19.0,2,6.9181,2,32.4869,2,298.5,2,50.5,2,0.992,2,,2
20.0,2,6.9179,2,32.4869,2,298.5,2,50.5,2,0.9540000000000001,2,,2
21.0,2,6.9175,2,32.4869,2,298.5,2,50.5,2,0.993,2,,2
22.0,2,6.9175,2,32.4869,2,298.4,2,50.5,2,0.977,2,,2
23.0,2,6.9169,2,32.4869,2,298.3,2,50.5,2,0.976,2,,2
24.0,2,6.9173,2,32.4868,2,298.3,2,50.5,2,1.075,2,,2
25.0,2,6.9175,2,32.4867,2,298.4,2,50.5,2,0.9740000000000001,2,,2
26.0,2,6.9177,2,32.4868,2,298.6,2,50.5,2,0.966,2,,2
27.0,2,6.9156,2,32.4874,2,298.7,2,50.6,2,0.986,2,,2
28.0,2,6.9152,2,32.4877,2,298.8,2,50.6,2,1.006,2,,2
29.0,2,6.9161,2,32.4874,2,298.7,2,50.6,2,1.016,2,,2
30.0,2,6.9161,2,32.4872,2,298.6,2,50.6,2,1.03,2,,2
31.0,2,6.9125,2,32.4883,2,298.4,2,50.7,2,0.985,2,,2
32.0,2,6.9098,2,32.4888,2,298.3,2,50.8,2,1.0,2,,2
33.0,2,6.8761,2,32.4963,2,298.2,2,51.2,2,0.966,2,,2
34.0,2,6.8561,2,32.5013,2,298.3,2,51.6,2,0.9640000000000001,2,,2
35.0,2,6.8502,2,32.5031,2,298.3,2,51.8,2,0.9670000000000001,2,,2
36.0,2,6.8484,2,32.5037,2,298.2,2,49.1,2,0.99,2,,2
37.0,2,6.8502,2,32.5032,2,298.3,2,51.8,2,1.0170000000000001,2,,2
38.0,2,6.8493,2,32.5034,2,298.3,2,51.7,2,0.943,2,,2
39.0,2,6.8467,2,32.5039,2,298.3,2,51.8,2,0.9490000000000001,2,,2
40.0,2,6.8387,2,32.5062,2,298.2,2,52.0,2,1.0190000000000001,2,,2
41.0,2,6.8274,2,32.51,2,298.1,2,52.2,2,0.9159999999999999,2,,2
42.0,2,6.8201,2,32.5126,2,298.0,2,52.4,2,0.856,2,,2
43.0,2,6.8124,2,32.5151,2,297.9,2,52.5,2,0.87,2,,2
44.0,2,6.8057,2,32.5171,2,297.7,2,52.6,2,0.7979999999999999,2,,2
45.0,2,6.8023,2,32.5179,2,297.5,2,52.5,2,0.792,2,,2
46.0,2,6.8019,2,32.5182,2,297.4,2,52.8,2,0.795,2,,2
47.0,2,6.8016,2,32.5179,2,297.2,2,52.9,2,0.812,2,,2
48.0,2,6.8013,2,32.5181,2,297.2,2,53.0,2,0.807,2,,2
49.0,2,6.8011,2,32.5182,2,297.2,2,53.1,2,0.743,2,,2
50.0,2,6.8013,2,32.518,2,297.2,2,53.1,2,0.7020000000000001,2,,2
51.0,2,6.8012,2,32.5181,2,297.2,2,53.2,2,0.69,2,,2
52.0,2,6.8006,2,32.5181,2,297.2,2,53.2,2,0.6709999999999999,2,,2
53.0,2,6.8003,2,32.5182,2,297.2,2,53.2,2,0.6409999999999999,2,,2
54.0,2,6.8,2,32.5183,2,297.2,2,53.2,2,0.621,2,,2
55.0,2,6.7999,2,32.5182,2,297.1,2,53.3,2,0.687,2,,2
56.0,2,6.8001,2,32.5181,2,296.9,2,53.3,2,0.649,2,,2
57.0,2,6.8006,2,32.5183,2,296.9,2,53.4,2,0.631,2,,2
58.0,2,6.8008,2,32.5183,2,296.9,2,53.3,2,0.61,2,,2
59.0,2,6.8008,2,32.5183,2,296.9,2,53.4,2,0.629,2,,2
60.0,2,6.8004,2,32.5184,2,296.9,2,53.4,2,0.632,2,,2
61.0,2,6.8001,2,32.5183,2,296.9,2,53.4,2,0.5870000000000001,2,,2
62.0,2,6.7998,2,32.5183,2,296.9,2,53.4,2,0.6,2,,2
63.0,2,6.7993,2,32.5181,2,297.0,2,53.3,2,0.603,2,,2
64.0,2,6.7991,2,32.5183,2,296.9,2,53.2,2,0.631,2,,2
65.0,2,6.7991,2,32.5182,2,296.8,2,53.2,2,0.605,2,,2
66.0,2,6.7993,2,32.5183,2,296.7,2,53.3,2,0.612,2,,2
67.0,2,6.8006,2,32.5187,2,296.6,2,53.5,2,0.539,2,,2
68.0,2,6.8008,2,32.5185,2,296.5,2,53.7,2,0.529,2,,2
