CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity and fluorescence are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data in the CTD files should be considered:,,,,,,,,,,,,,,,,
#± 0.5 ml/l from 0 to 75 dbar.,,,,,,,,,,,,,,,,
#± 0.8 ml/l from 75 to 300 dbar; data tend to be somewhat high in this high gradient region.,,,,,,,,,,,,,,,,
#± 0.25 ml/l below 300 dbar.,,,,,,,,,,,,,,,,
#Data below 800 dbar tend to be low.,,,,,,,,,,,,,,,,
#Data below 1200 dbar are considered unreliable by the manufacturer.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing report: 2007-13-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20070530
STNBR = P26
CASTNO = 2
DATE = 07/06/2007
TIME =  07:17
LATITUDE = 49.97933
LONGITUDE = -145.03316999999998
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
4.4,2,7.0377,2,32.5996,2,316.7,2,40.6,2,0.545,2,0.4,2
5.0,2,7.0371,2,32.5999,2,316.7,2,44.3,2,0.562,2,0.3,2
6.0,2,7.0357,2,32.6001,2,316.7,2,47.0,2,0.5379999999999999,2,0.2,2
7.0,2,7.0311,2,32.6006,2,316.6,2,51.9,2,0.5489999999999999,2,0.1,2
8.0,2,7.032,2,32.6005,2,316.5,2,55.2,2,0.505,2,0.1,2
9.0,2,7.0329999999999995,2,32.6006,2,316.5,2,55.4,2,0.527,2,0.1,2
10.0,2,7.0337,2,32.6003,2,316.6,2,55.5,2,0.512,2,0.0,2
11.0,2,7.0331,2,32.6005,2,316.6,2,55.6,2,0.537,2,0.0,2
12.0,2,7.0329,2,32.6004,2,316.7,2,55.6,2,0.514,2,0.0,2
13.0,2,7.0321,2,32.6006,2,316.7,2,55.4,2,0.546,2,0.0,2
14.0,2,7.0313,2,32.6005,2,316.6,2,55.7,2,0.579,2,0.0,2
15.0,2,7.0319,2,32.6006,2,316.3,2,55.6,2,0.585,2,0.0,2
16.0,2,7.0327,2,32.6006,2,316.4,2,55.6,2,0.58,2,0.0,2
17.0,2,7.0347,2,32.6006,2,316.5,2,55.6,2,0.545,2,0.0,2
18.0,2,7.035,2,32.6005,2,316.4,2,55.6,2,0.546,2,0.0,2
19.0,2,7.0352,2,32.6004,2,316.4,2,55.5,2,0.544,2,0.0,2
20.0,2,7.0354,2,32.6001,2,316.4,2,55.7,2,0.62,2,0.0,2
21.0,2,7.0343,2,32.6002,2,316.4,2,55.7,2,0.596,2,0.0,2
22.0,2,7.0338,2,32.6002,2,316.4,2,55.6,2,0.555,2,0.0,2
23.0,2,7.0334,2,32.6003,2,316.2,2,55.6,2,0.575,2,0.0,2
24.0,2,7.0338,2,32.6005,2,316.1,2,55.6,2,0.5479999999999999,2,0.0,2
25.0,2,7.0342,2,32.6004,2,316.3,2,55.5,2,0.568,2,0.0,2
26.0,2,7.0345,2,32.6004,2,316.2,2,55.7,2,0.5,2,0.0,2
27.0,2,7.0334,2,32.6006,2,316.2,2,55.7,2,0.49,2,0.0,2
28.0,2,7.0332,2,32.6005,2,316.2,2,55.6,2,0.528,2,0.0,2
29.0,2,7.0318,2,32.6006,2,316.2,2,55.7,2,0.555,2,0.0,2
30.0,2,7.035,2,32.6006,2,316.2,2,55.6,2,0.575,2,0.0,2
31.0,2,7.0354,2,32.6005,2,316.3,2,55.7,2,0.584,2,0.0,2
32.0,2,7.0347,2,32.6005,2,316.4,2,55.5,2,0.5589999999999999,2,0.0,2
33.0,2,7.0319,2,32.6004,2,316.6,2,55.1,2,0.547,2,0.0,2
34.0,2,7.0322,2,32.6002,2,316.8,2,55.7,2,0.607,2,0.0,2
35.0,2,7.029,2,32.6002,2,317.0,2,55.7,2,0.522,2,0.0,2
36.0,2,7.0248,2,32.6002,2,317.0,2,55.5,2,0.537,2,0.0,2
37.0,2,7.0248,2,32.6004,2,316.8,2,55.6,2,0.506,2,0.0,2
38.0,2,7.0243,2,32.6004,2,316.7,2,55.7,2,0.528,2,0.0,2
38.7,2,7.0222,2,32.6006,2,316.9,2,55.8,2,0.535,2,0.0,2
40.2,2,7.0042,2,32.6008,2,317.3,2,55.7,2,0.545,2,0.0,2
41.0,2,6.9776,2,32.601,2,317.5,2,55.7,2,0.555,2,0.0,2
42.0,2,6.9699,2,32.6011,2,317.3,2,55.7,2,0.5670000000000001,2,0.0,2
43.0,2,6.946000000000001,2,32.6019,2,317.0,2,55.7,2,0.57,2,0.0,2
44.0,2,6.9192,2,32.6031,2,316.5,2,55.8,2,0.5529999999999999,2,0.0,2
45.0,2,6.8828,2,32.6062,2,315.8,2,55.8,2,0.56,2,0.0,2
46.0,2,6.8575,2,32.6074,2,315.3,2,56.1,2,0.5479999999999999,2,0.0,2
47.0,2,6.8304,2,32.6099,2,315.8,2,56.1,2,0.547,2,0.0,2
48.0,2,6.7883,2,32.6127,2,317.2,2,56.3,2,0.557,2,0.0,2
49.0,2,6.7734,2,32.6131,2,318.8,2,56.4,2,0.564,2,0.0,2
50.0,2,6.7178,2,32.6162,2,319.6,2,56.2,2,0.5660000000000001,2,0.0,2
51.0,2,6.686,2,32.6179,2,320.5,2,56.4,2,0.5539999999999999,2,0.0,2
51.7,2,6.6809,2,32.6185,2,320.2,2,56.7,2,0.5660000000000001,2,0.0,2
53.4,2,6.579,2,32.6237,2,318.4,2,56.8,2,0.5379999999999999,2,0.0,2
54.0,2,6.4938,2,32.6316,2,317.8,2,56.9,2,0.542,2,0.0,2
55.0,2,6.3015,2,32.6484,2,318.0,2,57.2,2,0.542,2,0.0,2
56.0,2,6.1526,2,32.6546,2,318.2,2,57.6,2,0.531,2,0.0,2
57.0,2,6.1007,2,32.6585,2,318.1,2,57.6,2,0.528,2,0.0,2
58.0,2,5.8992,2,32.6695,2,317.9,2,57.7,2,0.537,2,0.0,2
59.0,2,5.7635,2,32.6673,2,317.9,2,57.8,2,0.52,2,0.0,2
60.0,2,5.6751,2,32.6603,2,318.1,2,58.0,2,0.524,2,0.0,2
61.0,2,5.641,2,32.6574,2,318.3,2,57.9,2,0.544,2,0.0,2
62.0,2,5.6184,2,32.6551,2,318.1,2,57.9,2,0.542,2,0.0,2
62.9,2,5.5966,2,32.6569,2,317.8,2,57.8,2,0.5870000000000001,2,0.0,2
64.0,2,5.5539,2,32.6583,2,317.1,2,57.9,2,0.578,2,0.0,2
65.0,2,5.5468,2,32.6662,2,316.6,2,57.9,2,0.5720000000000001,2,0.0,2
66.0,2,5.522,2,32.6651,2,316.4,2,58.0,2,0.585,2,0.0,2
67.0,2,5.4591,2,32.6613,2,316.4,2,58.0,2,0.5870000000000001,2,0.0,2
68.0,2,5.4557,2,32.6633,2,316.4,2,58.1,2,0.581,2,0.0,2
69.0,2,5.4582,2,32.6655,2,316.3,2,58.2,2,0.5820000000000001,2,0.0,2
70.0,2,5.4507,2,32.6657,2,316.1,2,58.2,2,0.5870000000000001,2,0.0,2
71.0,2,5.445,2,32.666,2,315.4,2,58.3,2,0.57,2,0.0,2
72.0,2,5.4455,2,32.6675,2,315.3,2,58.3,2,0.5760000000000001,2,0.0,2
73.0,2,5.4476,2,32.6695,2,315.4,2,58.3,2,0.573,2,0.0,2
74.0,2,5.4443,2,32.6707,2,315.4,2,58.3,2,0.564,2,0.0,2
75.0,2,5.4439,2,32.6729,2,315.2,2,58.4,2,0.5529999999999999,2,0.0,2
76.0,2,5.4403,2,32.6749,2,314.9,2,58.5,2,0.54,2,0.0,2
77.0,2,5.4207,2,32.675,2,314.5,2,58.5,2,0.52,2,0.0,2
77.9,2,5.4001,2,32.6733,2,314.6,2,58.5,2,0.517,2,0.0,2
79.2,2,5.3575,2,32.6707,2,313.2,2,58.7,2,0.516,2,0.0,2
80.0,2,5.3386,2,32.672,2,313.0,2,58.8,2,0.489,2,0.0,2
81.0,2,5.3341,2,32.6738,2,312.8,2,58.9,2,0.483,2,0.0,2
82.0,2,5.3498,2,32.6786,2,312.2,2,58.9,2,0.485,2,0.0,2
83.0,2,5.3599,2,32.6824,2,311.3,2,58.9,2,0.493,2,0.0,2
84.0,2,5.3393,2,32.6822,2,310.5,2,58.9,2,0.48200000000000004,2,0.0,2
85.0,2,5.2971,2,32.6802,2,309.6,2,59.0,2,0.466,2,0.0,2
85.9,2,5.2941,2,32.6804,2,308.9,2,59.0,2,0.457,2,0.0,2
87.0,2,5.3443,2,32.6934,2,308.2,2,58.9,2,0.44,2,0.0,2
88.0,2,5.3834,2,32.714,2,307.2,2,59.0,2,0.43700000000000006,2,0.0,2
89.0,2,5.3809,2,32.7282,2,305.6,2,59.1,2,0.414,2,0.0,2
90.0,2,5.3797,2,32.7389,2,302.5,2,59.0,2,0.395,2,0.0,2
91.0,2,5.3756,2,32.7494,2,298.1,2,59.2,2,0.39,2,0.0,2
92.0,2,5.3655,2,32.7591,2,293.7,2,59.2,2,0.359,2,0.0,2
93.0,2,5.3457,2,32.7842,2,289.0,2,59.2,2,0.345,2,0.0,2
94.0,2,5.3518,2,32.8357,2,284.1,2,59.3,2,0.317,2,0.0,2
95.0,2,5.3721,2,32.8784,2,277.5,2,59.5,2,0.301,2,0.0,2
96.0,2,5.3982,2,32.9093,2,268.9,2,59.5,2,0.284,2,0.0,2
97.0,2,5.4189,2,32.9264,2,260.4,2,59.5,2,0.28600000000000003,2,0.0,2
98.0,2,5.4556,2,32.9634,2,253.5,2,59.5,2,0.27699999999999997,2,0.0,2
99.0,2,5.5117,2,33.0225,2,248.1,2,59.5,2,0.264,2,0.0,2
