CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity and fluorescence are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data in the CTD files should be considered:,,,,,,,,,,,,,,,,
#± 0.5 ml/l from 0 to 75 dbar.,,,,,,,,,,,,,,,,
#± 0.8 ml/l from 75 to 300 dbar; data tend to be somewhat high in this high gradient region.,,,,,,,,,,,,,,,,
#± 0.25 ml/l below 300 dbar.,,,,,,,,,,,,,,,,
#Data below 800 dbar tend to be low.,,,,,,,,,,,,,,,,
#Data below 1200 dbar are considered unreliable by the manufacturer.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing report: 2007-13-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20070530
STNBR = PA-001
CASTNO = 1
DATE = 07/06/2007
TIME =  22:27
LATITUDE = 50.128
LONGITUDE = -144.84666
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.5,2,7.0319,2,32.5832,2,315.9,2,45.7,2,0.26,2,391.2,2
4.0,2,7.0314,2,32.5831,2,315.9,2,46.8,2,0.27699999999999997,2,334.1,2
4.9,2,7.0319,2,32.5833,2,315.8,2,48.0,2,0.272,2,269.1,2
6.0,2,7.0343,2,32.5831,2,316.0,2,46.3,2,0.285,2,222.3,2
7.0,2,7.0333,2,32.5832,2,316.0,2,47.1,2,0.273,2,192.0,2
8.0,2,7.0233,2,32.5835,2,316.2,2,54.3,2,0.299,2,168.4,2
9.0,2,7.023,2,32.5834,2,316.3,2,54.4,2,0.35200000000000004,2,149.1,2
10.1,2,7.024,2,32.5833,2,316.1,2,54.7,2,0.376,2,135.5,2
11.0,2,7.0143,2,32.5834,2,316.3,2,54.7,2,0.436,2,128.5,2
12.0,2,7.0145,2,32.5833,2,316.5,2,54.7,2,0.484,2,121.0,2
13.0,2,7.0148,2,32.5832,2,316.5,2,54.7,2,0.514,2,112.6,2
14.0,2,7.0085,2,32.5831,2,316.3,2,54.7,2,0.528,2,104.1,2
15.0,2,7.0108,2,32.5832,2,316.1,2,54.7,2,0.58,2,97.7,2
16.0,2,7.0109,2,32.5832,2,316.0,2,54.7,2,0.7070000000000001,2,93.7,2
17.0,2,7.0102,2,32.5832,2,315.9,2,54.7,2,0.556,2,89.0,2
18.0,2,7.0094,2,32.5832,2,315.7,2,54.7,2,0.551,2,83.0,2
19.0,2,7.0096,2,32.5832,2,315.6,2,54.8,2,0.5660000000000001,2,77.4,2
20.0,2,7.0098,2,32.5832,2,315.9,2,54.8,2,0.551,2,73.3,2
21.0,2,7.0102,2,32.5832,2,316.0,2,54.7,2,0.636,2,69.7,2
22.0,2,7.0101,2,32.5832,2,316.0,2,54.4,2,0.614,2,65.9,2
23.0,2,7.0077,2,32.5834,2,316.0,2,54.7,2,0.6779999999999999,2,61.4,2
