CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Fluorescence - Transmissivity - PAR are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data should be considered:,,,,,,,,,,,,,,,,
#• ± 0.6 ml/l from 0 to 200 dbar.,,,,,,,,,,,,,,,,
#• ± 0.4 ml/l from 200 to 400 dbar; values tend to be somewhat high in this high gradient region.,,,,,,,,,,,,,,,,
#• ± 0.2 ml/l below 400 dbar.,,,,,,,,,,,,,,,,
#• data below 500 dbar tend to be low.,,,,,,,,,,,,,,,,
#• data below 1000 dbar are considered unreliable by the manufacturer.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing report: 2007-15-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#  ,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20070814
STNBR = P13
CASTNO = 1
DATE = 19/08/2007
TIME =  01:31
LATITUDE = 49.04267
LONGITUDE = -131.66817
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.8,2,16.2077,2,32.3371,2,266.5,2,47.1,2,0.703,2,,2
5.0,2,16.1289,2,32.3362,2,267.1,2,47.0,2,0.626,2,,2
6.0,2,16.0642,2,32.3348,2,267.3,2,46.8,2,0.6729999999999999,2,,2
7.0,2,15.9966,2,32.3332,2,267.6,2,46.7,2,0.747,2,,2
8.0,2,15.9784,2,32.3326,2,268.0,2,46.5,2,0.7709999999999999,2,,2
8.9,2,15.9575,2,32.3327,2,268.5,2,46.4,2,0.8059999999999999,2,,2
10.0,2,15.9185,2,32.3335,2,269.2,2,46.6,2,0.828,2,,2
11.0,2,15.888,2,32.334,2,270.0,2,46.6,2,0.8420000000000001,2,,2
12.0,2,15.8279,2,32.3355,2,272.1,2,46.6,2,0.94,2,,2
13.0,2,15.7777,2,32.336999999999996,2,275.9,2,46.5,2,0.988,2,,2
14.0,2,15.7626,2,32.3376,2,282.1,2,46.5,2,0.982,2,,2
15.0,2,15.728,2,32.3394,2,282.2,2,46.5,2,1.006,2,,2
16.0,2,15.5647,2,32.3435,2,286.1,2,46.4,2,1.1440000000000001,2,,2
17.0,2,15.0406,2,32.3548,2,291.7,2,46.2,2,1.157,2,,2
18.0,2,13.9503,2,32.3618,2,294.8,2,44.6,2,1.3119999999999998,2,,2
19.0,2,13.0766,2,32.3657,2,295.9,2,43.8,2,1.653,2,,2
20.0,2,12.6102,2,32.3669,2,297.6,2,43.9,2,1.713,2,,2
21.0,2,12.2657,2,32.366,2,303.3,2,44.1,2,1.8619999999999999,2,,2
22.0,2,11.9704,2,32.3704,2,301.6,2,44.3,2,2.148,2,,2
23.0,2,11.6857,2,32.376999999999995,2,300.2,2,44.9,2,2.245,2,,2
24.0,2,11.5483,2,32.38,2,299.7,2,44.8,2,2.2359999999999998,2,,2
25.0,2,11.4219,2,32.3828,2,299.5,2,45.4,2,2.162,2,,2
