CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Fluorescence - Transmissivity - PAR are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data should be considered:,,,,,,,,,,,,,,,,
#• ± 0.6 ml/l from 0 to 200 dbar.,,,,,,,,,,,,,,,,
#• ± 0.4 ml/l from 200 to 400 dbar; values tend to be somewhat high in this high gradient region.,,,,,,,,,,,,,,,,
#• ± 0.2 ml/l below 400 dbar.,,,,,,,,,,,,,,,,
#• data below 500 dbar tend to be low.,,,,,,,,,,,,,,,,
#• data below 1000 dbar are considered unreliable by the manufacturer.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing report: 2007-15-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#  ,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20070814
STNBR = PA-001
CASTNO = 1
DATE = 23/08/2007
TIME =  03:32
LATITUDE = 50.128
LONGITUDE = -144.82433999999998
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.0,2,12.4458,2,32.461,2,273.2,2,46.4,2,1.419,2,45.6,2
4.0,2,12.4454,2,32.4611,2,273.3,2,46.9,2,1.4140000000000001,2,39.1,2
5.0,2,12.4456,2,32.461,2,273.3,2,46.9,2,1.446,2,34.3,2
6.0,2,12.4462,2,32.4611,2,273.5,2,46.9,2,1.435,2,30.9,2
7.0,2,12.4465,2,32.4611,2,273.6,2,46.9,2,1.42,2,27.1,2
8.0,2,12.4453,2,32.4611,2,273.6,2,46.9,2,1.419,2,24.3,2
9.0,2,12.4447,2,32.4611,2,273.4,2,46.9,2,1.433,2,22.3,2
10.0,2,12.4436,2,32.4611,2,273.3,2,46.9,2,1.442,2,20.5,2
10.9,2,12.443,2,32.4612,2,273.2,2,46.9,2,1.4509999999999998,2,19.3,2
12.0,2,12.4438,2,32.4611,2,273.2,2,46.9,2,1.403,2,17.9,2
13.0,2,12.4409,2,32.4612,2,273.3,2,46.9,2,1.429,2,16.4,2
14.0,2,12.4393,2,32.4611,2,273.6,2,46.9,2,1.449,2,14.9,2
15.0,2,12.4272,2,32.4611,2,273.9,2,46.9,2,1.4480000000000002,2,13.7,2
16.0,2,12.4197,2,32.461,2,273.8,2,47.0,2,1.439,2,12.7,2
17.0,2,12.4126,2,32.4611,2,273.4,2,47.1,2,1.436,2,12.0,2
17.9,2,12.4192,2,32.4613,2,273.6,2,47.1,2,1.43,2,11.4,2
19.0,2,12.4203,2,32.4609,2,274.1,2,47.1,2,1.459,2,10.6,2
20.0,2,12.3946,2,32.4613,2,275.0,2,47.1,2,1.4669999999999999,2,9.8,2
21.0,2,12.378,2,32.4613,2,275.2,2,47.1,2,1.4409999999999998,2,9.1,2
22.0,2,12.3946,2,32.461,2,275.3,2,47.0,2,1.459,2,8.4,2
23.0,2,12.3852,2,32.4609,2,275.6,2,47.1,2,1.482,2,7.7,2
24.0,2,12.3455,2,32.4607,2,276.3,2,47.3,2,1.4969999999999999,2,7.3,2
25.0,2,12.1958,2,32.4609,2,277.4,2,47.7,2,1.4869999999999999,2,6.8,2
26.0,2,12.0919,2,32.4605,2,279.2,2,48.0,2,1.508,2,6.3,2
27.0,2,12.022,2,32.4601,2,281.6,2,48.2,2,1.493,2,5.9,2
28.0,2,11.9822,2,32.4599,2,283.0,2,48.3,2,1.526,2,5.4,2
29.0,2,11.9278,2,32.4607,2,283.5,2,48.4,2,1.587,2,5.0,2
30.0,2,11.8386,2,32.463,2,283.5,2,48.5,2,1.6740000000000002,2,4.7,2
31.0,2,11.6517,2,32.4684,2,285.1,2,48.4,2,1.662,2,4.4,2
32.0,2,11.2313,2,32.4772,2,287.8,2,48.7,2,1.636,2,4.1,2
33.0,2,10.6766,2,32.4902,2,289.7,2,50.0,2,1.6059999999999999,2,3.8,2
34.0,2,10.3584,2,32.4948,2,291.0,2,50.4,2,1.621,2,3.5,2
35.0,2,10.1525,2,32.4965,2,292.0,2,50.2,2,1.639,2,3.2,2
36.0,2,10.0711,2,32.4912,2,293.4,2,50.2,2,1.694,2,2.9,2
37.0,2,9.8401,2,32.4974,2,296.6,2,50.0,2,1.839,2,2.7,2
38.0,2,9.5799,2,32.5027,2,297.1,2,49.2,2,1.936,2,2.5,2
39.0,2,9.3916,2,32.506,2,298.3,2,49.5,2,2.009,2,2.3,2
40.0,2,9.2743,2,32.5081,2,300.1,2,49.7,2,2.004,2,2.2,2
41.0,2,9.2354,2,32.5076,2,301.4,2,49.8,2,1.976,2,2.0,2
42.0,2,9.0751,2,32.5102,2,302.3,2,50.0,2,2.039,2,1.8,2
43.0,2,8.6842,2,32.522,2,305.2,2,50.1,2,2.001,2,1.7,2
44.0,2,8.4779,2,32.5261,2,305.4,2,50.4,2,1.9809999999999999,2,1.5,2
45.0,2,8.1394,2,32.5333,2,305.3,2,50.9,2,1.943,2,1.4,2
46.0,2,7.9617,2,32.5393,2,305.7,2,51.0,2,1.9809999999999999,2,1.3,2
47.0,2,7.7514,2,32.5466,2,306.1,2,50.6,2,2.082,2,1.2,2
48.0,2,7.3778,2,32.5588,2,307.2,2,50.2,2,2.1390000000000002,2,1.2,2
49.0,2,7.1585,2,32.5625,2,307.3,2,50.6,2,2.114,2,1.1,2
50.0,2,7.0373,2,32.5637,2,306.6,2,50.8,2,2.145,2,1.0,2
51.0,2,6.926,2,32.5689,2,306.5,2,50.6,2,2.2030000000000003,2,0.9,2
52.0,2,6.8428,2,32.5718,2,306.7,2,50.7,2,2.189,2,0.8,2
53.0,2,6.7193,2,32.5763,2,306.7,2,51.2,2,2.0980000000000003,2,0.8,2
54.0,2,6.5517,2,32.5815,2,306.4,2,52.0,2,1.974,2,0.7,2
55.0,2,6.5313,2,32.583,2,306.1,2,52.0,2,1.945,2,0.7,2
56.0,2,6.4875,2,32.585,2,306.3,2,52.2,2,1.886,2,0.6,2
57.0,2,6.3678,2,32.5889,2,306.6,2,52.6,2,1.776,2,0.5,2
58.0,2,6.2404,2,32.5895,2,306.5,2,53.1,2,1.692,2,0.5,2
59.0,2,6.1267,2,32.5904,2,306.3,2,53.5,2,1.6159999999999999,2,0.5,2
60.0,2,6.0558,2,32.5941,2,306.1,2,53.9,2,1.557,2,0.4,2
61.0,2,5.9854,2,32.5975,2,306.0,2,54.2,2,1.485,2,0.4,2
62.0,2,5.8786,2,32.602,2,306.0,2,54.4,2,1.4180000000000001,2,0.4,2
63.0,2,5.7835,2,32.6038,2,305.8,2,54.6,2,1.331,2,0.3,2
64.0,2,5.6871,2,32.6084,2,305.0,2,54.9,2,1.263,2,0.3,2
65.0,2,5.5952,2,32.6151,2,304.9,2,55.3,2,1.15,2,0.3,2
66.0,2,5.5329,2,32.6187,2,304.8,2,55.5,2,1.079,2,0.3,2
67.0,2,5.4657,2,32.6226,2,304.7,2,55.6,2,1.018,2,0.3,2
68.0,2,5.407,2,32.6223,2,304.6,2,55.7,2,1.018,2,0.2,2
69.0,2,5.4121,2,32.6275,2,304.5,2,56.1,2,0.88,2,0.2,2
70.0,2,5.3785,2,32.628,2,304.4,2,56.3,2,0.8370000000000001,2,0.2,2
71.0,2,5.3178,2,32.6282,2,304.1,2,56.4,2,0.778,2,0.2,2
72.0,2,5.2437,2,32.6298,2,303.7,2,56.5,2,0.7290000000000001,2,0.2,2
72.9,2,5.1838,2,32.6294,2,303.3,2,56.6,2,0.6940000000000001,2,0.2,2
74.0,2,5.1428,2,32.6308,2,303.2,2,56.8,2,0.6609999999999999,2,0.2,2
75.0,2,5.1029,2,32.6327,2,303.1,2,57.0,2,0.613,2,0.2,2
76.0,2,5.0842,2,32.6346,2,302.9,2,57.0,2,0.604,2,0.1,2
77.0,2,5.0498,2,32.6385,2,302.9,2,57.1,2,0.569,2,0.1,2
78.0,2,5.0417,2,32.6407,2,303.0,2,57.2,2,0.535,2,0.1,2
79.0,2,5.0049,2,32.644,2,302.5,2,57.3,2,0.53,2,0.1,2
80.0,2,4.9814,2,32.6488,2,302.4,2,57.4,2,0.485,2,0.1,2
81.0,2,4.9404,2,32.6521,2,302.2,2,57.5,2,0.44799999999999995,2,0.1,2
82.0,2,4.9003,2,32.6527,2,302.1,2,57.5,2,0.44,2,0.1,2
83.0,2,4.8241,2,32.6493,2,302.0,2,57.5,2,0.43799999999999994,2,0.1,2
84.0,2,4.8041,2,32.6523,2,302.1,2,57.5,2,0.43799999999999994,2,0.1,2
85.0,2,4.763,2,32.6525,2,301.7,2,57.6,2,0.414,2,0.1,2
86.0,2,4.7471,2,32.6547,2,301.8,2,57.6,2,0.41,2,0.1,2
87.0,2,4.7444,2,32.6582,2,301.8,2,57.6,2,0.396,2,0.1,2
88.0,2,4.7389,2,32.6612,2,301.0,2,57.7,2,0.392,2,0.1,2
89.0,2,4.713,2,32.6622,2,300.6,2,57.8,2,0.364,2,0.1,2
90.0,2,4.7043,2,32.6702,2,300.6,2,57.8,2,0.34299999999999997,2,0.1,2
91.0,2,4.6941,2,32.6755,2,300.9,2,57.8,2,0.332,2,0.1,2
92.0,2,4.6257,2,32.6746,2,300.9,2,57.8,2,0.32799999999999996,2,0.1,2
92.8,2,4.571000000000001,2,32.6701,2,300.8,2,57.9,2,0.322,2,0.1,2
94.4,2,4.5648,2,32.6707,2,299.5,2,57.9,2,0.318,2,0.1,2
95.0,2,4.5382,2,32.6736,2,299.5,2,57.9,2,0.308,2,0.1,2
96.0,2,4.5242,2,32.6786,2,298.9,2,57.9,2,0.287,2,0.1,2
97.0,2,4.5174,2,32.6819,2,297.1,2,58.0,2,0.27899999999999997,2,0.0,2
98.0,2,4.5127,2,32.6928,2,295.9,2,58.0,2,0.289,2,0.0,2
99.0,2,4.5202,2,32.7047,2,294.5,2,58.0,2,0.284,2,0.0,2
100.0,2,4.5925,2,32.7372,2,292.3,2,58.0,2,0.267,2,0.0,2
101.0,2,4.5762,2,32.7557,2,289.5,2,58.0,2,0.261,2,0.0,2
102.0,2,4.5756,2,32.7667,2,286.7,2,58.1,2,0.26,2,0.0,2
103.0,2,4.6385,2,32.8291,2,284.0,2,58.1,2,0.256,2,0.0,2
104.0,2,4.6591,2,32.8707,2,280.4,2,58.1,2,0.231,2,0.0,2
104.9,2,4.6576,2,32.9036,2,276.1,2,58.2,2,0.22,2,0.0,2
106.0,2,4.6567,2,32.9406,2,272.9,2,58.1,2,0.207,2,0.0,2
107.0,2,4.6366,2,32.9614,2,270.7,2,58.3,2,0.205,2,0.0,2
108.0,2,4.6095,2,32.9705,2,268.9,2,58.2,2,0.19,2,0.0,2
109.0,2,4.5855,2,32.9949,2,267.2,2,58.3,2,0.188,2,0.0,2
110.0,2,4.5486,2,33.010999999999996,2,265.8,2,58.3,2,0.184,2,0.0,2
111.0,2,4.5453,2,33.0342,2,264.6,2,58.3,2,0.19,2,0.0,2
112.0,2,4.5462,2,33.0512,2,263.3,2,58.3,2,0.187,2,0.0,2
113.0,2,4.5465,2,33.0577,2,261.8,2,58.3,2,0.182,2,0.0,2
114.0,2,4.5466,2,33.0615,2,259.6,2,58.3,2,0.183,2,0.0,2
115.0,2,4.5571,2,33.0788,2,257.1,2,58.3,2,0.16899999999999998,2,0.0,2
116.0,2,4.5579,2,33.0939,2,253.6,2,58.3,2,0.163,2,0.0,2
117.0,2,4.5497,2,33.1211,2,250.1,2,58.3,2,0.163,2,0.0,2
118.0,2,4.5505,2,33.1693,2,246.5,2,58.3,2,0.163,2,0.0,2
119.0,2,4.5971,2,33.2197,2,242.7,2,58.4,2,0.18,2,0.0,2
120.0,2,4.5558,2,33.2659,2,239.1,2,58.5,2,0.151,2,0.0,2
121.0,2,4.5454,2,33.3388,2,235.6,2,58.4,2,0.139,2,0.0,2
122.0,2,4.5415,2,33.3701,2,232.1,2,58.5,2,0.133,2,0.0,2
123.0,2,4.5373,2,33.3849,2,229.1,2,58.5,2,0.13699999999999998,2,0.0,2
124.0,2,4.5421,2,33.403,2,226.6,2,58.5,2,0.122,2,0.0,2
125.0,2,4.5456,2,33.4182,2,224.5,2,58.4,2,0.132,2,0.0,2
126.0,2,4.5441,2,33.4392,2,222.5,2,58.5,2,0.131,2,0.0,2
127.0,2,4.5357,2,33.4623,2,219.8,2,58.5,2,0.12300000000000001,2,0.0,2
128.0,2,4.5332,2,33.4756,2,216.3,2,58.5,2,0.122,2,0.0,2
128.9,2,4.5281,2,33.5013,2,212.9,2,58.5,2,0.11900000000000001,2,0.0,2
130.0,2,4.5186,2,33.527,2,210.7,2,58.5,2,0.11199999999999999,2,0.0,2
131.0,2,4.5157,2,33.5335,2,209.0,2,58.5,2,0.115,2,0.0,2
132.0,2,4.5139,2,33.5464,2,207.4,2,58.5,2,0.11800000000000001,2,0.0,2
133.0,2,4.513999999999999,2,33.554,2,205.8,2,58.5,2,0.11599999999999999,2,0.0,2
134.0,2,4.5189,2,33.5616,2,204.0,2,58.5,2,0.11900000000000001,2,0.0,2
135.0,2,4.5254,2,33.5739,2,201.6,2,58.5,2,0.115,2,0.0,2
136.0,2,4.5225,2,33.5877,2,199.1,2,58.5,2,0.12,2,0.0,2
137.0,2,4.5093,2,33.5974,2,196.7,2,58.5,2,0.11800000000000001,2,0.0,2
138.0,2,4.4993,2,33.6161,2,194.8,2,58.5,2,0.11199999999999999,2,0.0,2
139.0,2,4.5046,2,33.6331,2,193.0,2,58.5,2,0.13699999999999998,2,0.0,2
140.0,2,4.492,2,33.6374,2,191.0,2,58.5,2,0.11599999999999999,2,0.0,2
141.0,2,4.4755,2,33.6432,2,188.8,2,58.4,2,0.11,2,0.0,2
142.0,2,4.4639999999999995,2,33.6519,2,186.6,2,58.5,2,0.111,2,0.0,2
143.0,2,4.4599,2,33.6569,2,184.5,2,58.5,2,0.114,2,0.0,2
144.0,2,4.4595,2,33.6644,2,182.8,2,58.5,2,0.114,2,0.0,2
145.0,2,4.4605,2,33.6673,2,181.1,2,58.5,2,0.10800000000000001,2,0.0,2
146.0,2,4.4593,2,33.6748,2,179.6,2,58.5,2,0.11199999999999999,2,0.0,2
147.0,2,4.4519,2,33.6769,2,178.1,2,58.5,2,0.107,2,0.0,2
148.0,2,4.4379,2,33.6835,2,176.5,2,58.5,2,0.106,2,0.0,2
149.0,2,4.4244,2,33.691,2,175.1,2,58.5,2,0.10800000000000001,2,0.0,2
150.0,2,4.4127,2,33.6962,2,173.4,2,58.5,2,0.10300000000000001,2,0.0,2
151.0,2,4.4036,2,33.7001,2,171.4,2,58.5,2,0.105,2,0.0,2
152.0,2,4.3994,2,33.7034,2,169.4,2,58.5,2,0.11,2,0.0,2
153.0,2,4.3944,2,33.7086,2,167.7,2,58.5,2,0.106,2,0.0,2
154.0,2,4.3892,2,33.711999999999996,2,166.3,2,58.4,2,0.107,2,0.0,2
155.0,2,4.3854,2,33.714,2,165.3,2,58.4,2,0.105,2,0.0,2
156.0,2,4.3741,2,33.7182,2,164.3,2,58.5,2,0.105,2,0.0,2
157.0,2,4.3643,2,33.719,2,163.4,2,58.5,2,0.106,2,0.0,2
158.0,2,4.3617,2,33.719,2,162.3,2,58.3,2,0.109,2,0.0,2
159.0,2,4.3591,2,33.7199,2,161.2,2,58.5,2,0.105,2,0.0,2
160.0,2,4.3593,2,33.7214,2,160.1,2,58.5,2,0.10400000000000001,2,0.0,2
161.0,2,4.3589,2,33.7229,2,159.1,2,58.5,2,0.10400000000000001,2,0.0,2
162.0,2,4.3558,2,33.7246,2,158.1,2,58.5,2,0.10099999999999999,2,0.0,2
163.0,2,4.3484,2,33.7277,2,157.1,2,58.5,2,0.10400000000000001,2,0.0,2
164.0,2,4.343999999999999,2,33.7301,2,156.1,2,58.5,2,0.106,2,0.0,2
165.0,2,4.3378,2,33.7321,2,154.8,2,58.5,2,0.107,2,0.0,2
166.0,2,4.3272,2,33.7349,2,153.4,2,58.6,2,0.10400000000000001,2,0.0,2
167.0,2,4.3213,2,33.7369,2,152.1,2,58.5,2,0.1,2,0.0,2
168.0,2,4.3159,2,33.7396,2,150.9,2,58.6,2,0.099,2,0.0,2
169.0,2,4.3086,2,33.7427,2,149.7,2,58.6,2,0.10300000000000001,2,0.0,2
170.0,2,4.3024,2,33.7448,2,148.2,2,58.6,2,0.10099999999999999,2,0.0,2
171.0,2,4.2953,2,33.7468,2,146.5,2,58.5,2,0.09699999999999999,2,0.0,2
172.0,2,4.2818,2,33.7511,2,145.0,2,58.7,2,0.096,2,0.0,2
173.0,2,4.2729,2,33.7536,2,143.9,2,58.7,2,0.098,2,0.0,2
174.0,2,4.2698,2,33.7547,2,143.0,2,58.6,2,0.09699999999999999,2,0.0,2
175.0,2,4.2666,2,33.7557,2,142.3,2,58.6,2,0.09699999999999999,2,0.0,2
176.0,2,4.263999999999999,2,33.7568,2,141.5,2,58.6,2,0.096,2,0.0,2
177.0,2,4.261,2,33.7579,2,140.7,2,58.7,2,0.09699999999999999,2,0.0,2
178.0,2,4.2582,2,33.7587,2,139.9,2,58.7,2,0.095,2,0.0,2
179.0,2,4.2541,2,33.7604,2,139.0,2,58.7,2,0.094,2,0.0,2
180.0,2,4.2532,2,33.7606,2,138.3,2,58.7,2,0.096,2,0.0,2
181.0,2,4.253,2,33.7608,2,137.6,2,58.7,2,0.09699999999999999,2,0.0,2
182.0,2,4.253,2,33.7609,2,136.9,2,58.7,2,0.09300000000000001,2,0.0,2
183.0,2,4.249,2,33.7622,2,136.2,2,58.7,2,0.095,2,0.0,2
184.0,2,4.245,2,33.7635,2,135.4,2,58.7,2,0.09699999999999999,2,0.0,2
185.0,2,4.2375,2,33.7653,2,134.5,2,58.7,2,0.095,2,0.0,2
186.0,2,4.2302,2,33.7675,2,133.5,2,58.7,2,0.095,2,0.0,2
187.0,2,4.2261,2,33.7686,2,132.6,2,58.7,2,0.094,2,0.0,2
188.0,2,4.2204,2,33.7706,2,131.8,2,58.7,2,0.094,2,0.0,2
189.0,2,4.2204,2,33.7715,2,131.0,2,58.7,2,0.091,2,0.0,2
190.0,2,4.218999999999999,2,33.7723,2,130.3,2,58.7,2,0.098,2,0.0,2
191.0,2,4.2119,2,33.775,2,129.3,2,58.7,2,0.095,2,0.0,2
192.0,2,4.2071,2,33.7772,2,128.1,2,58.7,2,0.09300000000000001,2,0.0,2
193.0,2,4.2066,2,33.7795,2,127.0,2,58.7,2,0.09300000000000001,2,0.0,2
194.0,2,4.2042,2,33.7808,2,125.9,2,58.7,2,0.095,2,0.0,2
195.0,2,4.2015,2,33.7825,2,125.1,2,58.7,2,0.09300000000000001,2,0.0,2
196.0,2,4.1954,2,33.7842,2,124.3,2,58.7,2,0.095,2,0.0,2
197.0,2,4.1904,2,33.7852,2,123.6,2,58.7,2,0.087,2,0.0,2
198.0,2,4.1901,2,33.7866,2,122.9,2,58.6,2,0.08900000000000001,2,0.0,2
199.0,2,4.1934,2,33.7897,2,122.3,2,58.7,2,0.09,2,0.0,2
200.0,2,4.1935,2,33.7913,2,121.6,2,58.7,2,0.092,2,0.0,2
201.0,2,4.1931,2,33.7921,2,120.9,2,58.7,2,0.09300000000000001,2,0.0,2
202.0,2,4.1918,2,33.793,2,120.0,2,58.7,2,0.091,2,0.0,2
203.0,2,4.1918,2,33.7932,2,119.0,2,58.7,2,0.094,2,0.0,2
204.0,2,4.1896,2,33.7966,2,118.1,2,58.8,2,0.09300000000000001,2,0.0,2
205.0,2,4.1889,2,33.7979,2,117.3,2,58.7,2,0.092,2,0.0,2
206.0,2,4.1885,2,33.7989,2,116.5,2,58.7,2,0.09300000000000001,2,0.0,2
207.0,2,4.1854,2,33.8007,2,115.6,2,58.7,2,0.08800000000000001,2,0.0,2
208.0,2,4.1804,2,33.8041,2,114.8,2,58.7,2,0.086,2,0.0,2
209.0,2,4.1793,2,33.806,2,113.9,2,58.7,2,0.09,2,0.0,2
210.0,2,4.1829,2,33.8088,2,112.6,2,58.7,2,0.092,2,0.0,2
211.0,2,4.1858,2,33.8119,2,111.3,2,58.7,2,0.091,2,0.0,2
212.0,2,4.1861,2,33.8147,2,110.1,2,58.7,2,0.091,2,0.0,2
213.0,2,4.1842,2,33.8181,2,109.2,2,58.7,2,0.09,2,0.0,2
214.0,2,4.1801,2,33.8201,2,108.5,2,58.7,2,0.09,2,0.0,2
215.0,2,4.176,2,33.8204,2,107.7,2,58.7,2,0.092,2,0.0,2
216.1,2,4.1692,2,33.821,2,107.0,2,58.7,2,0.087,2,0.0,2
217.0,2,4.1624,2,33.8213,2,106.0,2,58.7,2,0.08900000000000001,2,0.0,2
