CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Fluorescence - Transmissivity - PAR are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data in the CTD files should be considered:,,,,,,,,,,,,,,,,
#    • ± 0.4 ml/l from 0 to 150 dbar.,,,,,,,,,,,,,,,,
#    • ± 0.2 ml/l from 150 to 400 dbar.,,,,,,,,,,,,,,,,
#    • ± 0.1 ml/l from 400 to 1200 dbar.,,,,,,,,,,,,,,,,
#    • data below 1200 dbar are considered unreliable by the manufacturer.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see file: 2008-01-proc.pdf.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20080129
STNBR = P4
CASTNO = 4
DATE = 02/02/2008
TIME =  09:32
LATITUDE = 48.648
LONGITUDE = -126.66566
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.2,2,7.7783,2,32.3253,2,299.2,2,49.0,2,1.209,2,,2
3.0,2,7.7734,2,32.3246,2,299.4,2,49.3,2,1.232,2,,2
4.0,2,7.7694,2,32.3246,2,299.4,2,49.8,2,1.203,2,,2
4.9,2,7.7662,2,32.3248,2,299.5,2,50.2,2,1.213,2,,2
6.0,2,7.7691,2,32.3258,2,299.6,2,50.2,2,1.224,2,,2
7.0,2,7.7684,2,32.3255,2,299.7,2,50.5,2,1.205,2,,2
8.0,2,7.7699,2,32.3263,2,299.7,2,50.6,2,1.215,2,,2
9.1,2,7.7746,2,32.3329,2,299.7,2,50.7,2,1.216,2,,2
10.0,2,7.7713,2,32.3396,2,299.5,2,50.7,2,1.178,2,,2
11.0,2,7.7701,2,32.3434,2,299.2,2,50.8,2,1.173,2,,2
12.0,2,7.7682,2,32.351,2,299.1,2,51.1,2,1.145,2,,2
13.0,2,7.768,2,32.3508,2,299.1,2,51.2,2,1.137,2,,2
14.3,2,7.7668,2,32.361,2,298.4,2,52.4,2,1.125,2,,2
15.0,2,7.7651,2,32.376999999999995,2,298.1,2,52.8,2,1.095,2,,2
16.0,2,7.7649,2,32.3921,2,298.1,2,53.1,2,1.031,2,,2
17.0,2,7.7667,2,32.3976,2,298.1,2,53.3,2,0.995,2,,2
18.0,2,7.7678,2,32.3999,2,298.2,2,53.6,2,0.9890000000000001,2,,2
19.0,2,7.7689,2,32.4026,2,298.3,2,53.8,2,0.9490000000000001,2,,2
20.0,2,7.7715,2,32.4055,2,298.1,2,54.0,2,0.937,2,,2
21.0,2,7.7757,2,32.4082,2,297.9,2,54.2,2,0.932,2,,2
22.0,2,7.7782,2,32.4103,2,297.8,2,54.4,2,0.898,2,,2
23.0,2,7.781000000000001,2,32.4124,2,297.6,2,54.5,2,0.9059999999999999,2,,2
