CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Fluorescence - Transmissivity - PAR are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data in the CTD files should be considered:,,,,,,,,,,,,,,,,
#    • ± 0.4 ml/l from 0 to 150 dbar.,,,,,,,,,,,,,,,,
#    • ± 0.2 ml/l from 150 to 400 dbar.,,,,,,,,,,,,,,,,
#    • ± 0.1 ml/l from 400 to 1200 dbar.,,,,,,,,,,,,,,,,
#    • data below 1200 dbar are considered unreliable by the manufacturer.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see file: 2008-01-proc.pdf.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20080129
STNBR = PA-001
CASTNO = 1
DATE = 10/02/2008
TIME =  21:15
LATITUDE = 50.13733
LONGITUDE = -144.83366
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
5.1,2,5.0697,2,32.6142,2,306.2,2,56.3,2,0.581,2,,2
6.0,2,5.0678,2,32.6146,2,306.6,2,56.8,2,0.578,2,,2
7.0,2,5.0671,2,32.615,2,307.3,2,57.3,2,0.619,2,,2
8.0,2,5.067,2,32.615,2,307.8,2,57.3,2,0.623,2,,2
9.0,2,5.0666,2,32.6154,2,308.2,2,57.3,2,0.621,2,,2
10.0,2,5.0668,2,32.6153,2,308.5,2,57.3,2,0.613,2,,2
11.0,2,5.0666,2,32.6155,2,308.6,2,57.3,2,0.6559999999999999,2,,2
12.0,2,5.0663,2,32.6155,2,308.7,2,57.3,2,0.6409999999999999,2,,2
13.0,2,5.0664,2,32.6155,2,308.8,2,57.3,2,0.644,2,,2
14.0,2,5.0669,2,32.615,2,308.9,2,57.3,2,0.615,2,,2
15.0,2,5.0663,2,32.6154,2,308.9,2,57.3,2,0.634,2,,2
16.0,2,5.0651,2,32.6163,2,308.9,2,57.3,2,0.669,2,,2
17.0,2,5.0652,2,32.6162,2,308.7,2,57.3,2,0.662,2,,2
18.0,2,5.0646,2,32.6166,2,308.4,2,57.2,2,0.6509999999999999,2,,2
19.0,2,5.0641,2,32.617,2,308.1,2,57.2,2,0.613,2,,2
19.9,2,5.0635,2,32.6176,2,307.5,2,57.3,2,0.67,2,,2
21.0,2,5.0639,2,32.6174,2,307.0,2,57.4,2,0.6409999999999999,2,,2
22.0,2,5.065,2,32.6165,2,306.9,2,57.3,2,0.659,2,,2
23.0,2,5.0651,2,32.6166,2,306.7,2,57.3,2,0.6609999999999999,2,,2
24.0,2,5.0654,2,32.6169,2,306.6,2,57.4,2,0.645,2,,2
25.0,2,5.0655,2,32.6168,2,306.6,2,57.4,2,0.6409999999999999,2,,2
26.0,2,5.0651,2,32.6171,2,306.6,2,57.3,2,0.634,2,,2
27.0,2,5.0646,2,32.6176,2,306.4,2,57.4,2,0.623,2,,2
28.0,2,5.0644,2,32.6176,2,306.4,2,57.4,2,0.6629999999999999,2,,2
29.1,2,5.064,2,32.6176,2,306.3,2,57.4,2,0.617,2,,2
30.0,2,5.0643,2,32.6175,2,306.3,2,57.4,2,0.622,2,,2
31.0,2,5.0659,2,32.6163,2,306.0,2,57.4,2,0.64,2,,2
32.0,2,5.0655,2,32.6166,2,305.5,2,57.4,2,0.629,2,,2
32.9,2,5.0656,2,32.6166,2,305.2,2,57.3,2,0.655,2,,2
34.0,2,5.0656,2,32.6168,2,305.1,2,57.3,2,0.644,2,,2
35.0,2,5.0657,2,32.6172,2,305.0,2,57.3,2,0.6579999999999999,2,,2
36.0,2,5.0664,2,32.6168,2,304.9,2,57.5,2,0.684,2,,2
37.0,2,5.0656,2,32.6184,2,304.8,2,57.5,2,0.6990000000000001,2,,2
38.0,2,5.065,2,32.6192,2,304.9,2,57.5,2,0.639,2,,2
39.0,2,5.0655,2,32.6194,2,304.7,2,57.5,2,0.612,2,,2
40.0,2,5.0655,2,32.6198,2,304.7,2,57.5,2,0.612,2,,2
41.0,2,5.0653,2,32.6195,2,304.7,2,57.5,2,0.655,2,,2
42.0,2,5.0649,2,32.6196,2,304.6,2,57.5,2,0.624,2,,2
43.0,2,5.0649,2,32.6197,2,304.5,2,57.5,2,0.642,2,,2
43.9,2,5.0656,2,32.6197,2,304.1,2,57.5,2,0.648,2,,2
45.0,2,5.066,2,32.6197,2,304.0,2,57.5,2,0.619,2,,2
