CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity - fluorescence - PAR are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Salinity:Practical:CTD was recalibrated based on a comparison with samples analyzed at IOS on an Autosal.,,,,,,,,,,,,,,,,
#Other samples run at sea on a Portasal appear unreliable based on a study of duplicates run on the two salinometers. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data should be considered:,,,,,,,,,,,,,,,,
#    • ± 0.5 ml/l from 0 to 125 dbar.,,,,,,,,,,,,,,,,
#    • ± 0.2 ml/l from 125 to 400 dbar.,,,,,,,,,,,,,,,,
#    • ± 0.1 ml/l from 400 to 1200 dbar.,,,,,,,,,,,,,,,,
#    • data below 1200 dbar are considered unreliable by the manufacturer.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see file: 2008-26-proc.pdf.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20080528
STNBR = P26
CASTNO = 4
DATE = 09/06/2008
TIME =  03:55
LATITUDE = 50.001999999999995
LONGITUDE = -144.99867
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.3,2,6.8471,2,32.6619,2,317.0,2,45.4,2,0.828,2,,2
3.0,2,6.8491,2,32.662,2,317.4,2,45.4,2,0.807,2,,2
4.0,2,6.8558,2,32.6621,2,318.3,2,45.4,2,0.805,2,,2
5.1,2,6.8521,2,32.6621,2,318.9,2,44.9,2,0.8140000000000001,2,,2
6.0,2,6.8341,2,32.6618,2,318.9,2,44.9,2,0.833,2,,2
7.0,2,6.7792,2,32.6615,2,318.9,2,44.8,2,0.852,2,,2
8.0,2,6.6862,2,32.6626,2,319.1,2,44.7,2,0.907,2,,2
9.0,2,6.6788,2,32.6618,2,319.4,2,44.7,2,0.975,2,,2
10.1,2,6.4489,2,32.6641,2,320.0,2,44.1,2,1.06,2,,2
11.0,2,6.3648,2,32.6647,2,320.3,2,43.4,2,1.18,2,,2
12.0,2,6.3507,2,32.6642,2,320.6,2,43.5,2,1.258,2,,2
13.0,2,6.3461,2,32.6617,2,320.8,2,43.3,2,1.327,2,,2
14.0,2,6.341,2,32.6618,2,320.8,2,43.4,2,1.405,2,,2
15.0,2,6.3309,2,32.6641,2,320.5,2,43.5,2,1.41,2,,2
16.0,2,6.3249,2,32.6647,2,320.6,2,43.6,2,1.4369999999999998,2,,2
17.0,2,6.3178,2,32.6644,2,320.6,2,43.8,2,1.473,2,,2
18.0,2,6.3105,2,32.6648,2,320.4,2,43.8,2,1.444,2,,2
19.0,2,6.305,2,32.6654,2,320.1,2,44.0,2,1.475,2,,2
20.0,2,6.3018,2,32.6655,2,320.0,2,44.0,2,1.5330000000000001,2,,2
21.0,2,6.2993,2,32.6658,2,319.9,2,44.0,2,1.555,2,,2
22.0,2,6.2945,2,32.6657,2,319.7,2,43.9,2,1.5319999999999998,2,,2
23.0,2,6.2913,2,32.6658,2,319.7,2,43.9,2,1.599,2,,2
24.0,2,6.2885,2,32.6662,2,319.5,2,43.9,2,1.682,2,,2
25.0,2,6.2858,2,32.6664,2,318.9,2,44.1,2,1.686,2,,2
26.0,2,6.2835,2,32.666,2,318.7,2,44.0,2,1.7409999999999999,2,,2
