CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity - fluorescence - PAR are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Salinity:Practical:CTD was recalibrated based on a comparison with samples analyzed at IOS on an Autosal.,,,,,,,,,,,,,,,,
#Other samples run at sea on a Portasal appear unreliable based on a study of duplicates run on the two salinometers. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data should be considered:,,,,,,,,,,,,,,,,
#    • ± 0.5 ml/l from 0 to 125 dbar.,,,,,,,,,,,,,,,,
#    • ± 0.2 ml/l from 125 to 400 dbar.,,,,,,,,,,,,,,,,
#    • ± 0.1 ml/l from 400 to 1200 dbar.,,,,,,,,,,,,,,,,
#    • data below 1200 dbar are considered unreliable by the manufacturer.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see file: 2008-26-proc.pdf.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20080528
STNBR = PA-001
CASTNO = 1
DATE = 10/06/2008
TIME =  15:01
LATITUDE = 50.138000000000005
LONGITUDE = -144.8325
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.3,2,7.178,2,32.6499,2,315.2,2,46.1,2,0.815,2,,2
4.0,2,7.1778,2,32.6508,2,315.3,2,46.6,2,0.748,2,,2
5.0,2,7.1784,2,32.6507,2,315.3,2,47.1,2,0.807,2,,2
6.0,2,7.1783,2,32.6503,2,316.3,2,47.0,2,0.8,2,,2
7.0,2,7.1777,2,32.6511,2,318.5,2,47.1,2,0.758,2,,2
8.0,2,7.1695,2,32.6551,2,317.9,2,47.1,2,0.8029999999999999,2,,2
9.0,2,7.1709,2,32.657,2,317.9,2,47.1,2,0.7829999999999999,2,,2
10.0,2,7.1362,2,32.6618,2,318.7,2,47.1,2,0.792,2,,2
11.0,2,6.9932,2,32.6653,2,319.3,2,46.8,2,0.8140000000000001,2,,2
12.0,2,6.6443,2,32.6762,2,320.1,2,46.7,2,0.8740000000000001,2,,2
13.0,2,6.5608,2,32.6729,2,320.9,2,46.4,2,0.883,2,,2
14.0,2,6.5035,2,32.6721,2,321.3,2,46.6,2,0.912,2,,2
15.0,2,6.4781,2,32.6715,2,321.4,2,46.7,2,0.976,2,,2
16.0,2,6.4633,2,32.6695,2,321.2,2,46.8,2,1.012,2,,2
17.0,2,6.4455,2,32.6687,2,321.0,2,46.9,2,1.088,2,,2
18.0,2,6.4333,2,32.6726,2,320.5,2,47.3,2,1.026,2,,2
19.0,2,6.4201,2,32.6736,2,320.0,2,47.1,2,1.033,2,,2
20.0,2,6.4148,2,32.6729,2,319.6,2,47.6,2,1.079,2,,2
21.0,2,6.4072,2,32.6727,2,319.3,2,47.7,2,1.095,2,,2
22.0,2,6.4001,2,32.673,2,319.3,2,47.9,2,1.0759999999999998,2,,2
23.0,2,6.398,2,32.6729,2,319.3,2,47.5,2,1.14,2,,2
24.0,2,6.3945,2,32.673,2,319.1,2,47.7,2,1.151,2,,2
25.0,2,6.3873,2,32.6724,2,319.0,2,47.8,2,1.238,2,,2
26.0,2,6.3815,2,32.6726,2,318.9,2,47.5,2,1.247,2,,2
27.0,2,6.3736,2,32.6725,2,318.6,2,47.2,2,1.286,2,,2
28.0,2,6.3708,2,32.6728,2,318.5,2,47.2,2,1.335,2,,2
29.0,2,6.3693,2,32.6725,2,318.1,2,47.5,2,1.34,2,,2
30.0,2,6.3623,2,32.672,2,318.2,2,47.3,2,1.298,2,,2
31.0,2,6.3545,2,32.6721,2,318.5,2,47.2,2,1.2919999999999998,2,,2
32.0,2,6.3481,2,32.6726,2,318.3,2,47.5,2,1.245,2,,2
33.0,2,6.3323,2,32.6714,2,318.1,2,47.7,2,1.202,2,,2
34.0,2,6.3212,2,32.6715,2,318.4,2,47.5,2,1.225,2,,2
35.0,2,6.3075,2,32.6713,2,318.8,2,48.1,2,1.2570000000000001,2,,2
36.0,2,6.2634,2,32.6698,2,319.0,2,47.9,2,1.236,2,,2
37.0,2,6.2385,2,32.6691,2,318.8,2,48.1,2,1.24,2,,2
38.0,2,6.2269,2,32.6695,2,318.8,2,48.3,2,1.208,2,,2
39.0,2,6.2088,2,32.6685,2,318.8,2,48.5,2,1.1520000000000001,2,,2
40.0,2,6.1332,2,32.6731,2,318.9,2,48.6,2,1.123,2,,2
41.0,2,6.0389,2,32.6716,2,319.2,2,49.7,2,1.087,2,,2
42.0,2,6.0083,2,32.6694,2,318.8,2,49.9,2,1.062,2,,2
43.0,2,5.9542,2,32.6685,2,318.9,2,50.4,2,0.9940000000000001,2,,2
44.0,2,5.9132,2,32.6688,2,319.1,2,50.7,2,0.961,2,,2
45.0,2,5.8752,2,32.6679,2,319.2,2,50.8,2,0.9640000000000001,2,,2
46.0,2,5.8128,2,32.6709,2,319.1,2,51.3,2,0.9209999999999999,2,,2
47.0,2,5.7514,2,32.6716,2,319.3,2,51.5,2,0.856,2,,2
