CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity fluorescence  and PAR are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#There was no recalibration of Salinity:Practical:CTD based on the bottle comparison because of uncertainties about the performance of the two salinometers used.,,,,,,,,,,,,,,,,
#Post-cruise calibrations show Salinity:Practical:CTD is within 0.001.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data should be considered:,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 10 dbar,,,,,,,,,,,,,,,,
#      • ±0.25 ml/l from 10 to 500 dbar,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 500 to 1500 dbar,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l below 1500 dbar.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see file: 2008-27-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20080812
STNBR = P16
CASTNO = 3
DATE = 17/08/2008
TIME =  22:57
LATITUDE = 49.2825
LONGITUDE = -134.666
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.0,2,13.9022,2,32.3588,2,282.3,2,32.1,2,1.625,2,,2
3.0,2,13.9042,2,32.3585,2,281.5,2,33.5,2,1.64,2,,2
4.1,2,13.9035,2,32.3586,2,281.8,2,31.1,2,1.719,2,,2
5.0,2,13.9047,2,32.3583,2,282.3,2,33.7,2,1.739,2,,2
6.0,2,13.9043,2,32.3586,2,282.3,2,34.6,2,1.8359999999999999,2,,2
7.0,2,13.9042,2,32.3585,2,282.9,2,36.8,2,1.8330000000000002,2,,2
8.0,2,13.8976,2,32.3601,2,283.7,2,36.0,2,2.059,2,,2
9.0,2,13.8866,2,32.3628,2,287.1,2,37.4,2,1.965,2,,2
10.0,2,13.8688,2,32.3669,2,289.1,2,37.7,2,2.005,2,,2
11.0,2,13.8322,2,32.3756,2,288.8,2,37.5,2,2.055,2,,2
12.0,2,13.5867,2,32.4271,2,288.6,2,37.7,2,2.1590000000000003,2,,2
13.0,2,13.3901,2,32.4647,2,288.0,2,38.4,2,2.276,2,,2
14.0,2,13.3552,2,32.4666,2,287.2,2,39.6,2,2.254,2,,2
15.0,2,13.3093,2,32.4658,2,287.8,2,41.0,2,2.12,2,,2
16.0,2,13.1567,2,32.4696,2,286.9,2,43.0,2,1.98,2,,2
17.0,2,13.0915,2,32.4704,2,286.4,2,43.8,2,2.032,2,,2
18.0,2,12.8891,2,32.4775,2,287.7,2,43.4,2,2.052,2,,2
19.0,2,12.6952,2,32.4801,2,288.8,2,42.8,2,2.0069999999999997,2,,2
20.0,2,12.2568,2,32.4842,2,291.5,2,43.8,2,1.7830000000000001,2,,2
21.0,2,11.9171,2,32.4883,2,289.6,2,45.4,2,1.5290000000000001,2,,2
22.0,2,11.7583,2,32.4883,2,290.2,2,46.5,2,1.4169999999999998,2,,2
23.0,2,11.6849,2,32.4882,2,290.6,2,47.0,2,1.405,2,,2
24.0,2,11.6419,2,32.4882,2,291.2,2,47.1,2,1.38,2,,2
25.0,2,11.2197,2,32.4904,2,293.0,2,47.9,2,1.2409999999999999,2,,2
26.0,2,11.0657,2,32.4925,2,295.7,2,48.2,2,1.145,2,,2
