CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity fluorescence  and PAR are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#There was no recalibration of Salinity:Practical:CTD based on the bottle comparison because of uncertainties about the performance of the two salinometers used.,,,,,,,,,,,,,,,,
#Post-cruise calibrations show Salinity:Practical:CTD is within 0.001.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data should be considered:,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 10 dbar,,,,,,,,,,,,,,,,
#      • ±0.25 ml/l from 10 to 500 dbar,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 500 to 1500 dbar,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l below 1500 dbar.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see file: 2008-27-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20080812
STNBR = PA-002
CASTNO = 1
DATE = 21/08/2008
TIME =  16:37
LATITUDE = 50.138000000000005
LONGITUDE = -144.83366
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
9.4,2,11.5154,2,32.4762,2,286.2,2,34.0,2,3.5789999999999997,2,11.4,2
9.7,2,11.5139,2,32.4768,2,285.9,2,34.1,2,3.58,2,11.2,2
12.1,2,11.5162,2,32.4759,2,286.3,2,34.2,2,3.623,2,8.3,2
13.0,2,11.5164,2,32.4757,2,286.4,2,34.2,2,3.6060000000000003,2,7.3,2
14.0,2,11.5167,2,32.4757,2,285.9,2,34.1,2,3.616,2,6.5,2
14.9,2,11.5163,2,32.4759,2,286.0,2,34.2,2,3.653,2,5.7,2
16.3,2,11.515,2,32.4769,2,286.0,2,34.2,2,3.69,2,5.0,2
17.0,2,11.5163,2,32.4765,2,285.7,2,34.2,2,3.697,2,4.7,2
18.1,2,11.5177,2,32.4761,2,286.3,2,34.1,2,3.6260000000000003,2,4.1,2
19.0,2,11.5172,2,32.4765,2,286.0,2,34.2,2,3.95,2,3.6,2
20.0,2,11.5143,2,32.4776,2,286.2,2,34.0,2,3.7769999999999997,2,3.3,2
21.0,2,11.5085,2,32.4795,2,286.1,2,34.1,2,3.7960000000000003,2,3.0,2
22.0,2,11.4795,2,32.486,2,285.3,2,34.1,2,3.991,2,2.7,2
23.0,2,11.4653,2,32.4886,2,285.2,2,34.3,2,3.9160000000000004,2,2.4,2
24.0,2,11.4579,2,32.4889,2,285.5,2,34.4,2,3.755,2,2.2,2
25.0,2,11.4435,2,32.4891,2,286.4,2,35.1,2,3.653,2,1.9,2
26.0,2,11.4293,2,32.4895,2,285.4,2,35.6,2,3.5639999999999996,2,1.8,2
27.0,2,11.4186,2,32.4883,2,285.6,2,36.1,2,3.448,2,1.6,2
28.0,2,11.4171,2,32.4881,2,284.9,2,36.0,2,3.343,2,1.5,2
29.0,2,11.4112,2,32.4884,2,284.9,2,36.5,2,3.2119999999999997,2,1.4,2
30.0,2,11.3553,2,32.4897,2,293.1,2,38.1,2,2.9330000000000003,2,1.3,2
31.0,2,11.0719,2,32.4952,2,304.8,2,39.2,2,2.742,2,1.2,2
32.0,2,10.139,2,32.4999,2,316.1,2,40.4,2,2.531,2,1.1,2
33.0,2,8.9372,2,32.5378,2,319.3,2,42.8,2,1.972,2,1.0,2
33.9,2,7.6108,2,32.586999999999996,2,322.2,2,46.2,2,1.5390000000000001,2,1.0,2
35.0,2,7.2371,2,32.5837,2,322.4,2,51.0,2,1.238,2,0.9,2
36.0,2,6.8483,2,32.5918,2,321.7,2,51.8,2,1.0270000000000001,2,0.9,2
37.0,2,6.2954,2,32.6002,2,320.8,2,52.5,2,0.9009999999999999,2,0.8,2
38.0,2,6.0175,2,32.5998,2,319.4,2,53.0,2,0.7929999999999999,2,0.8,2
38.9,2,5.8552,2,32.5999,2,318.8,2,53.2,2,0.688,2,0.8,2
