CTD,20190304CCHSIOLMM
#-----------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity Fluorescence and PAR are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#COMMENTS FOR FILES 0001 TO 0040:,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data for this cruise were recalibrated in three steps.,,,,,,,,,,,,,,,,,
#The first correction was applied to data from above 1400 dbar and to all of cast 0040.,,,,,,,,,,,,,,,,,
#The second was applied to data below 1400 dbar from casts 0015 to 0038.,,,,,,,,,,,,,,,,,
#The final correction was applied to all data. ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD data below 1400 dbar are very noisy and are considered less reliable because of the noisy signal; the limitations in the calibration; and because it was impossible to fine-tune the configuration parameters to get the best possible deep data; so there may be some hysteresis.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data should be considered:,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 200 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 200 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l from 500 to 1500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l below 1500 dbar,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#COMMENTS FOR FILES 0046 TO 0060:,,,,,,,,,,,,,,,,,
#There were no bottle samples available to recalibrate the dissolved oxygen sensor used for this cast. ,,,,,,,,,,,,,,,,,
#Recalibration was based only on an inter-comparison of repeat casts at station P26; one with sensor #0997 (used for casts 0001 to 0040) and two with sensor #1119 (used for casts 0046 to 0060). ,,,,,,,,,,,,,,,,,
#The casts were separated in time by 4 to 6 hours.,,,,,,,,,,,,,,,,,
#Temporal variations were found to be very large between 100 and 700 dbar during repeat casts using a single sensor so the inter-comparison of sensors was limited to the mixed layer from 0 to 100 dbar and below 700 dbar. ,,,,,,,,,,,,,,,,,
#This limits the range included in the fit to high and low values.,,,,,,,,,,,,,,,,,
#A final calibration applied was based on studies of sensor #0997.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The comparisons in areas of low Oxygen:Dissolved gradients suggest that this sensor performed well. ,,,,,,,,,,,,,,,,,
#A rough estimate suggests that the data is likely to be within:,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 200 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l below 200 dbar,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Transmissometer #1005DR was calibrated in March 2008 and drifted significantly but steadily until July 2009. ,,,,,,,,,,,,,,,,,
#Then a sudden shift occurred so that maximum values between September 2009 and July 2010 were very low by about 25 %/m. ,,,,,,,,,,,,,,,,,
#In August 2010 a study was made of transmissivity that led to a decision to apply post-processing corrections to all cruises between March 2008 and June 2010.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Transmissivity data from this cruise were corrected by multiplying the original values by a correction factor which was based on assumptions that deep offshore transmissivity from a June 2009 cruise should be about 62 %/m and that drift was linear with time between March 2008 and July 2009. ,,,,,,,,,,,,,,,,,
#The corrections produced reasonable results for all cruises in that time period. ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#For details on the transmissometer post-processing see: Transmissometer_1005DR_Corrections.pdf.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#These data should still be considered nominal.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see file 2009-03-proc.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec],
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20090127
STNBR = P18
CASTNO = 1
DATE = 07/02/2009
TIME =  10:18
LATITUDE = 49.4335
LONGITUDE = -136.66733
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
P18,2,3.0,2,6.4926,2,6.89,2,25.511999999999997,2,300.1,2,1.1640000000000001,2
P18,2,3.9,2,6.4928,2,6.89,2,25.511999999999997,2,299.8,2,1.166,2
P18,2,7.4,2,6.4914,2,6.9,2,25.5124,2,300.2,2,1.3259999999999998,2
P18,2,8.0,2,6.4919,2,6.9,2,25.5122,2,300.2,2,1.185,2
P18,2,9.1,2,6.492000000000001,2,6.9,2,25.5121,2,300.5,2,1.137,2
P18,2,9.9,2,6.4915,2,6.9,2,25.5122,2,300.5,2,1.122,2
P18,2,11.0,2,6.4913,2,6.9,2,25.5122,2,300.4,2,1.165,2
P18,2,12.0,2,6.4910000000000005,2,6.91,2,25.5121,2,300.6,2,1.147,2
P18,2,13.0,2,6.4916,2,6.91,2,25.511999999999997,2,300.6,2,1.203,2
P18,2,14.0,2,6.4918,2,6.91,2,25.511999999999997,2,300.6,2,1.161,2
P18,2,15.0,2,6.4919,2,6.9,2,25.511999999999997,2,300.4,2,1.16,2
P18,2,16.0,2,6.4919,2,6.9,2,25.511999999999997,2,300.3,2,1.089,2
P18,2,17.0,2,6.4918,2,6.89,2,25.5122,2,300.2,2,1.16,2
P18,2,18.1,2,6.4919,2,6.9,2,25.5121,2,300.4,2,1.146,2
P18,2,19.0,2,6.4917,2,6.9,2,25.5122,2,300.2,2,1.177,2
P18,2,20.0,2,6.4917,2,6.91,2,25.5121,2,300.6,2,1.119,2
P18,2,21.0,2,6.4923,2,6.91,2,25.5121,2,300.7,2,1.162,2
P18,2,22.0,2,6.4931,2,6.9,2,25.5119,2,300.4,2,1.18,2
P18,2,23.0,2,6.4939,2,6.89,2,25.5118,2,300.1,2,1.237,2
P18,2,24.0,2,6.4939,2,6.89,2,25.5118,2,299.8,2,1.3359999999999999,2
P18,2,25.0,2,6.4942,2,6.88,2,25.5118,2,299.6,2,1.204,2
P18,2,26.0,2,6.4939,2,6.89,2,25.5119,2,299.9,2,1.167,2
P18,2,26.9,2,6.4938,2,6.91,2,25.5119,2,300.6,2,1.186,2
P18,2,28.0,2,6.4938,2,6.91,2,25.511999999999997,2,300.7,2,1.527,2
P18,2,29.0,2,6.4942,2,6.91,2,25.5118,2,300.7,2,1.271,2
P18,2,30.0,2,6.4945,2,6.91,2,25.5117,2,300.6,2,1.287,2
P18,2,31.0,2,6.4939,2,6.9,2,25.5119,2,300.5,2,1.2590000000000001,2
P18,2,32.0,2,6.4935,2,6.9,2,25.511999999999997,2,300.3,2,1.195,2
P18,2,33.0,2,6.4936,2,6.9,2,25.5121,2,300.5,2,1.208,2
P18,2,34.0,2,6.4932,2,6.9,2,25.5121,2,300.2,2,1.178,2
P18,2,35.0,2,6.4933,2,6.91,2,25.5121,2,300.7,2,1.1320000000000001,2
P18,2,36.0,2,6.4933,2,6.92,2,25.5122,2,301.3,2,1.143,2
P18,2,37.0,2,6.4933,2,6.92,2,25.511999999999997,2,301.4,2,1.128,2
P18,2,38.0,2,6.4932,2,6.93,2,25.511999999999997,2,301.5,2,1.1909999999999998,2
P18,2,39.0,2,6.4934,2,6.93,2,25.5118,2,301.5,2,1.113,2
P18,2,40.0,2,6.4935,2,6.91,2,25.5121,2,300.9,2,1.115,2
P18,2,41.0,2,6.4935,2,6.89,2,25.5121,2,300.0,2,1.0959999999999999,2
P18,2,42.0,2,6.4935,2,6.9,2,25.5121,2,300.4,2,1.135,2
P18,2,43.0,2,6.4937,2,6.91,2,25.511999999999997,2,300.9,2,1.176,2
P18,2,44.0,2,6.4943,2,6.9,2,25.5119,2,300.5,2,1.185,2
P18,2,45.0,2,6.4946,2,6.9,2,25.5117,2,300.3,2,1.12,2
P18,2,46.0,2,6.4948,2,6.9,2,25.5117,2,300.2,2,1.148,2
P18,2,47.0,2,6.4949,2,6.9,2,25.5117,2,300.2,2,1.158,2
P18,2,48.0,2,6.4949,2,6.9,2,25.5118,2,300.4,2,1.123,2
P18,2,49.2,2,6.4945,2,6.9,2,25.5123,2,300.4,2,1.141,2
P18,2,50.0,2,6.494,2,6.9,2,25.5122,2,300.6,2,1.18,2
P18,2,51.0,2,6.4942,2,6.9,2,25.5122,2,300.5,2,1.179,2
P18,2,52.0,2,6.4945,2,6.9,2,25.5121,2,300.6,2,1.151,2
P18,2,53.0,2,6.4949,2,6.91,2,25.5121,2,300.8,2,1.12,2
P18,2,54.0,2,6.4946,2,6.91,2,25.5123,2,301.0,2,1.062,2
P18,2,55.0,2,6.4947,2,6.91,2,25.5123,2,300.8,2,1.187,2
P18,2,56.0,2,6.4945,2,6.91,2,25.5126,2,300.7,2,1.104,2
P18,2,57.0,2,6.4947,2,6.91,2,25.5124,2,300.8,2,1.127,2
P18,2,58.0,2,6.4949,2,6.91,2,25.5125,2,300.9,2,1.178,2
