CTD,20190304CCHSIOLMM
#-----------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity - fluorescence - PAR are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The precision of the Oxygen:Dissolved:CTD channel is difficult to estimate because the comparison with bottles was very noisy but roughly the Oxygen:Dissolved:CTD data should be considered:,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 150 dbar,,,,,,,,,,,,,,,,
#      • ±0.08 ml/l from 150 to 450 dbar,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l from 450 to 2000 dbar,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l below 2000 dbar,,,,,,,,,,,,,,,,
#-----------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissometer #1005DR was calibrated in March 2008 and drifted significantly but steadily until July 2009. ,,,,,,,,,,,,,,,,
#Then a sudden shift occurred so that maximum values between September 2009 and July 2010 were very low by about 25 %/m. ,,,,,,,,,,,,,,,,
#In August 2010 a study was made of transmissivity that led to a decision to apply post-processing corrections to all cruises between March 2008 and June 2010.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Transmissivity data from this cruise were corrected by multiplying the original values by a correction factor which was based on assumptions that deep offshore transmissivity from a June 2009 cruise should be about 62 %/m and that drift was linear with time between March 2008 and July 2009. ,,,,,,,,,,,,,,,,
#The corrections produced reasonable results for all cruises in that time period. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#For details on how the correction factor was derived see Transmissometer_1005DR_Corrections.pdf,,,,,,,,,,,,,,,,
#These data should be considered estimates.,,,,,,,,,,,,,,,,
#-----------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing report: 2009-09-proc.pdf,,,,,,,,,,,,,,,,
#-----------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20090606
STNBR = P12
CASTNO = 1
DATE = 09/06/2009
TIME =  13:23
LATITUDE = 48.96917
LONGITUDE = -130.67033
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.3,2,11.3774,2,32.4341,2,294.2,2,51.1,2,1.153,2,,2
3.0,2,11.3753,2,32.4342,2,294.0,2,51.1,2,1.148,2,,2
4.0,2,11.3725,2,32.4335,2,294.0,2,51.1,2,1.139,2,,2
5.0,2,11.3707,2,32.4333,2,293.8,2,51.2,2,1.139,2,,2
6.0,2,11.3419,2,32.4312,2,294.6,2,51.2,2,1.133,2,,2
7.0,2,11.3268,2,32.4297,2,295.0,2,51.2,2,1.13,2,,2
8.0,2,11.2739,2,32.4259,2,293.5,2,51.7,2,1.107,2,,2
9.0,2,11.0574,2,32.4126,2,294.8,2,53.0,2,1.036,2,,2
10.0,2,10.9927,2,32.4088,2,295.7,2,53.0,2,1.2,2,,2
11.0,2,10.9763,2,32.4085,2,296.0,2,52.8,2,1.882,2,,2
12.0,2,10.960999999999999,2,32.4083,2,296.7,2,52.8,2,1.143,2,,2
13.0,2,10.950999999999999,2,32.409,2,297.1,2,52.6,2,1.1159999999999999,2,,2
14.0,2,10.9448,2,32.41,2,297.5,2,52.5,2,1.1440000000000001,2,,2
15.0,2,10.9318,2,32.4107,2,297.4,2,52.4,2,1.16,2,,2
16.0,2,10.9121,2,32.4116,2,297.1,2,52.2,2,1.1840000000000002,2,,2
17.0,2,10.8421,2,32.4146,2,297.5,2,52.0,2,1.2,2,,2
18.0,2,10.7427,2,32.4172,2,298.8,2,52.5,2,1.325,2,,2
19.0,2,10.7013,2,32.4196,2,299.4,2,52.5,2,1.271,2,,2
20.0,2,10.6569,2,32.42,2,299.5,2,52.6,2,1.271,2,,2
21.0,2,10.6044,2,32.4221,2,299.6,2,52.6,2,1.2990000000000002,2,,2
22.0,2,10.5806,2,32.4247,2,300.0,2,52.6,2,1.3459999999999999,2,,2
23.0,2,10.5604,2,32.4272,2,300.4,2,52.5,2,1.365,2,,2
24.0,2,10.5437,2,32.4285,2,300.5,2,52.4,2,1.383,2,,2
25.0,2,10.5373,2,32.4285,2,301.1,2,52.5,2,1.391,2,,2
26.0,2,10.4478,2,32.4338,2,303.0,2,52.9,2,1.3980000000000001,2,,2
27.0,2,10.3501,2,32.439,2,301.6,2,52.8,2,1.422,2,,2
28.0,2,10.0355,2,32.4594,2,304.4,2,52.4,2,1.546,2,,2
29.0,2,9.6893,2,32.4838,2,307.9,2,52.2,2,1.6840000000000002,2,,2
30.0,2,9.5051,2,32.4883,2,310.2,2,52.6,2,1.709,2,,2
31.0,2,9.4253,2,32.4891,2,311.6,2,52.6,2,1.734,2,,2
32.0,2,9.38,2,32.489000000000004,2,312.4,2,52.6,2,1.757,2,,2
33.0,2,9.3487,2,32.4885,2,310.4,2,53.0,2,1.751,2,,2
34.0,2,9.2198,2,32.494,2,310.5,2,53.4,2,1.733,2,,2
35.0,2,9.0178,2,32.4981,2,311.3,2,53.4,2,1.767,2,,2
