CTD,20190304CCHSIOLMM
#-----------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity - fluorescence - PAR are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The precision of the Oxygen:Dissolved:CTD channel is difficult to estimate because the comparison with bottles was very noisy but roughly the Oxygen:Dissolved:CTD data should be considered:,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 150 dbar,,,,,,,,,,,,,,,,
#      • ±0.08 ml/l from 150 to 450 dbar,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l from 450 to 2000 dbar,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l below 2000 dbar,,,,,,,,,,,,,,,,
#-----------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissometer #1005DR was calibrated in March 2008 and drifted significantly but steadily until July 2009. ,,,,,,,,,,,,,,,,
#Then a sudden shift occurred so that maximum values between September 2009 and July 2010 were very low by about 25 %/m. ,,,,,,,,,,,,,,,,
#In August 2010 a study was made of transmissivity that led to a decision to apply post-processing corrections to all cruises between March 2008 and June 2010.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Transmissivity data from this cruise were corrected by multiplying the original values by a correction factor which was based on assumptions that deep offshore transmissivity from a June 2009 cruise should be about 62 %/m and that drift was linear with time between March 2008 and July 2009. ,,,,,,,,,,,,,,,,
#The corrections produced reasonable results for all cruises in that time period. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#For details on how the correction factor was derived see Transmissometer_1005DR_Corrections.pdf,,,,,,,,,,,,,,,,
#These data should be considered estimates.,,,,,,,,,,,,,,,,
#-----------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing report: 2009-09-proc.pdf,,,,,,,,,,,,,,,,
#-----------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20090606
STNBR = PA003
CASTNO = 1
DATE = 14/06/2009
TIME =  05:04
LATITUDE = 50.132670000000005
LONGITUDE = -144.83533
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.2,2,9.1014,2,32.5697,2,306.7,2,50.8,2,0.835,2,,2
4.0,2,9.149,2,32.5672,2,307.2,2,50.5,2,0.8590000000000001,2,,2
5.0,2,9.0967,2,32.5726,2,307.2,2,50.6,2,0.8540000000000001,2,,2
6.0,2,9.0839,2,32.5747,2,307.0,2,51.9,2,0.914,2,,2
7.0,2,9.0414,2,32.5738,2,307.5,2,52.1,2,0.8959999999999999,2,,2
8.0,2,9.0647,2,32.5743,2,308.4,2,52.1,2,0.892,2,,2
9.0,2,9.0899,2,32.5727,2,307.3,2,52.1,2,0.846,2,,2
10.0,2,9.1765,2,32.5715,2,306.4,2,52.0,2,0.8590000000000001,2,,2
11.0,2,9.0316,2,32.5806,2,307.6,2,52.5,2,0.893,2,,2
12.0,2,8.8303,2,32.5837,2,308.8,2,52.4,2,0.9259999999999999,2,,2
13.0,2,8.7838,2,32.5845,2,310.2,2,52.6,2,0.909,2,,2
14.0,2,8.7347,2,32.5844,2,311.3,2,52.8,2,0.927,2,,2
15.0,2,8.6917,2,32.5841,2,310.7,2,52.8,2,0.9059999999999999,2,,2
16.0,2,8.6253,2,32.5887,2,310.2,2,52.5,2,0.932,2,,2
17.0,2,8.4623,2,32.5944,2,311.3,2,52.9,2,0.943,2,,2
18.0,2,8.3028,2,32.5963,2,311.9,2,53.0,2,0.9670000000000001,2,,2
19.0,2,8.1966,2,32.5975,2,313.2,2,53.0,2,0.977,2,,2
20.0,2,8.0391,2,32.5976,2,315.3,2,53.1,2,1.03,2,,2
21.0,2,7.9703,2,32.5931,2,316.6,2,53.3,2,1.104,2,,2
22.0,2,7.9538,2,32.5908,2,317.3,2,53.3,2,1.011,2,,2
23.0,2,7.9331,2,32.59,2,316.7,2,53.3,2,1.011,2,,2
24.0,2,7.8906,2,32.591,2,315.9,2,53.1,2,1.047,2,,2
25.0,2,7.7937,2,32.5913,2,315.7,2,53.1,2,1.061,2,,2
26.0,2,7.7441,2,32.5892,2,315.9,2,53.3,2,1.112,2,,2
27.0,2,7.7154,2,32.5896,2,316.6,2,53.4,2,1.0759999999999998,2,,2
28.0,2,7.6281,2,32.5918,2,317.4,2,53.3,2,1.117,2,,2
29.0,2,7.5464,2,32.5903,2,318.2,2,53.4,2,1.13,2,,2
30.0,2,7.5285,2,32.5885,2,319.1,2,53.5,2,1.163,2,,2
31.0,2,7.52,2,32.5887,2,318.8,2,53.5,2,1.197,2,,2
32.0,2,7.506,2,32.5905,2,318.8,2,53.6,2,1.19,2,,2
33.0,2,7.4677,2,32.5947,2,318.6,2,53.9,2,1.2229999999999999,2,,2
34.0,2,7.4317,2,32.595,2,318.1,2,53.8,2,1.206,2,,2
35.0,2,7.3783,2,32.5972,2,318.3,2,53.9,2,1.2229999999999999,2,,2
36.0,2,7.2949,2,32.5989,2,316.9,2,53.9,2,1.295,2,,2
