CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity and fluorescence are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#There were many problems with CTD pumps and extreme variations in the descent rate of the CTD.,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD and Fluorescence:CTD channels were removed from some casts due to pump problems and more data than usual were lost due to corruption from shed wakes.,,,,,,,,,,,,,,,,,
#Editing of Salinity:Practical:CTD was more extensive than usual from the base of the mixed layer to about 150 dbar.,,,,,,,,,,,,,,,,,
#There remain some unstable T-S features and the quality of the data is considered lower than usual. ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD calibration drifted through the cruise so that the comparison of CTD and bottles did not lead to a simple recalibration scheme.,,,,,,,,,,,,,,,,,
#Recalibration of the data was done in a very subjective fashion using 10 different fits based on the calibration data available.,,,,,,,,,,,,,,,,,
#Thus the quality of the data is not as high as usual.,,,,,,,,,,,,,,,,,
#A final Oxygen:Dissolved:CTD correction was applied after problems were found in the titrated Oxygen:Dissolved:Bottle values upon which the original calibrations were based.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The precision of the Oxygen:Dissolved:CTD channel is difficult to estimate because the comparison with bottles was very noisy but roughly the data should be considered:,,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.15 ml/l from 300 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.06 ml/l from 500 to 2000 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l below 2000 dbar (Below 2000 dbar the data are mostly low by about 0.06 ml/l),,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#For details on the processing see processing report: 2009-10-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20090818
STNBR = P18
CASTNO = 2
DATE = 30/08/2009
TIME =  17:12
LATITUDE = 49.434
LONGITUDE = -136.66733
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.3,2,13.7253,2,32.4498,2,259.4,2,39.1,2,0.951,2,,2
4.0,2,13.7255,2,32.4498,2,257.9,2,39.4,2,0.941,2,,2
4.9,2,13.7253,2,32.45,2,257.1,2,40.3,2,0.9690000000000001,2,,2
6.0,2,13.7254,2,32.4501,2,256.2,2,40.0,2,0.9540000000000001,2,,2
7.0,2,13.7253,2,32.4499,2,256.6,2,39.9,2,0.972,2,,2
8.0,2,13.7251,2,32.4501,2,255.9,2,40.6,2,0.995,2,,2
9.0,2,13.7251,2,32.45,2,256.1,2,40.9,2,0.992,2,,2
10.0,2,13.7252,2,32.45,2,257.1,2,40.9,2,0.997,2,,2
11.0,2,13.7252,2,32.4502,2,257.9,2,41.0,2,1.0170000000000001,2,,2
12.0,2,13.7244,2,32.4499,2,257.8,2,41.0,2,1.036,2,,2
13.0,2,13.7249,2,32.4501,2,258.8,2,41.0,2,1.0270000000000001,2,,2
14.0,2,13.7231,2,32.4501,2,258.6,2,41.0,2,1.052,2,,2
15.0,2,13.7231,2,32.4499,2,257.4,2,40.9,2,1.1079999999999999,2,,2
16.0,2,13.7215,2,32.4498,2,257.0,2,41.0,2,1.094,2,,2
17.0,2,13.719000000000001,2,32.4496,2,256.9,2,41.0,2,1.146,2,,2
18.0,2,13.7169,2,32.4492,2,256.8,2,41.0,2,1.166,2,,2
19.0,2,13.7087,2,32.4501,2,256.7,2,41.1,2,1.18,2,,2
20.0,2,13.6926,2,32.4495,2,258.0,2,41.1,2,1.19,2,,2
21.0,2,13.6856,2,32.4493,2,259.4,2,41.3,2,1.1909999999999998,2,,2
22.0,2,13.6759,2,32.4499,2,259.8,2,41.5,2,1.216,2,,2
23.0,2,13.6579,2,32.4496,2,259.4,2,41.8,2,1.2309999999999999,2,,2
24.0,2,13.6528,2,32.4491,2,259.7,2,41.9,2,1.2229999999999999,2,,2
25.0,2,13.649000000000001,2,32.4494,2,259.1,2,41.9,2,1.227,2,,2
26.0,2,13.648,2,32.4494,2,258.9,2,41.9,2,1.2329999999999999,2,,2
27.0,2,13.637,2,32.4498,2,261.0,2,42.0,2,1.251,2,,2
28.0,2,13.5873,2,32.4528,2,262.9,2,41.9,2,1.254,2,,2
29.0,2,13.5458,2,32.4562,2,266.1,2,41.9,2,1.2570000000000001,2,,2
30.0,2,13.4055,2,32.4678,2,270.5,2,41.8,2,1.3030000000000002,2,,2
31.0,2,13.1749,2,32.4955,2,273.0,2,41.9,2,1.348,2,,2
32.0,2,12.8465,2,32.4931,2,274.4,2,41.5,2,1.395,2,,2
33.0,2,12.5573,2,32.4967,2,276.1,2,41.9,2,1.433,2,,2
34.0,2,12.3804,2,32.4758,2,278.9,2,42.1,2,1.452,2,,2
35.0,2,11.9652,2,32.4802,2,285.4,2,42.6,2,1.486,2,,2
36.1,2,11.017999999999999,2,32.5101,2,288.3,2,43.6,2,1.421,2,,2
37.0,2,10.7695,2,32.5177,2,287.5,2,43.8,2,1.399,2,,2
