CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity and fluorescence are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#There were many problems with CTD pumps and extreme variations in the descent rate of the CTD.,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD and Fluorescence:CTD channels were removed from some casts due to pump problems and more data than usual were lost due to corruption from shed wakes.,,,,,,,,,,,,,,,,,
#Editing of Salinity:Practical:CTD was more extensive than usual from the base of the mixed layer to about 150 dbar.,,,,,,,,,,,,,,,,,
#There remain some unstable T-S features and the quality of the data is considered lower than usual. ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD calibration drifted through the cruise so that the comparison of CTD and bottles did not lead to a simple recalibration scheme.,,,,,,,,,,,,,,,,,
#Recalibration of the data was done in a very subjective fashion using 10 different fits based on the calibration data available.,,,,,,,,,,,,,,,,,
#Thus the quality of the data is not as high as usual.,,,,,,,,,,,,,,,,,
#A final Oxygen:Dissolved:CTD correction was applied after problems were found in the titrated Oxygen:Dissolved:Bottle values upon which the original calibrations were based.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The precision of the Oxygen:Dissolved:CTD channel is difficult to estimate because the comparison with bottles was very noisy but roughly the data should be considered:,,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.15 ml/l from 300 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.06 ml/l from 500 to 2000 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l below 2000 dbar (Below 2000 dbar the data are mostly low by about 0.06 ml/l),,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#For details on the processing see processing report: 2009-10-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20090818
STNBR = PA003
CASTNO = 1
DATE = 28/08/2009
TIME =  07:30
LATITUDE = 50.15567
LONGITUDE = -144.8105
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.4,2,12.4471,2,32.457,2,260.3,2,30.3,2,1.253,2,,2
2.9,2,12.4482,2,32.4572,2,261.5,2,33.2,2,1.239,2,,2
4.0,2,12.4475,2,32.4574,2,262.1,2,40.8,2,1.249,2,,2
5.0,2,12.4478,2,32.4574,2,261.3,2,37.5,2,1.263,2,,2
5.6,2,12.447000000000001,2,32.4577,2,260.8,2,36.4,2,1.2990000000000002,2,,2
7.1,2,12.4473,2,32.4577,2,262.5,2,42.1,2,1.275,2,,2
8.0,2,12.4468,2,32.4576,2,263.9,2,43.0,2,1.254,2,,2
9.0,2,12.4485,2,32.4577,2,263.7,2,42.8,2,1.278,2,,2
10.0,2,12.4487,2,32.4578,2,262.3,2,42.8,2,1.251,2,,2
11.0,2,12.4486,2,32.4577,2,261.2,2,42.9,2,1.258,2,,2
12.1,2,12.4496,2,32.4579,2,262.1,2,43.5,2,1.2570000000000001,2,,2
13.0,2,12.449000000000002,2,32.4578,2,262.3,2,43.6,2,1.236,2,,2
14.0,2,12.449000000000002,2,32.4581,2,263.0,2,43.5,2,1.291,2,,2
15.0,2,12.448,2,32.4579,2,263.5,2,43.5,2,1.232,2,,2
16.0,2,12.4447,2,32.4587,2,263.7,2,43.6,2,1.216,2,,2
17.0,2,12.4349,2,32.459,2,263.8,2,43.7,2,1.228,2,,2
18.0,2,12.427999999999999,2,32.4583,2,264.6,2,43.6,2,1.29,2,,2
19.0,2,12.4233,2,32.4581,2,264.7,2,43.6,2,1.29,2,,2
19.7,2,12.4201,2,32.4579,2,264.2,2,43.5,2,1.294,2,,2
21.1,2,12.4154,2,32.4582,2,264.4,2,43.5,2,1.226,2,,2
22.0,2,12.4128,2,32.4582,2,265.2,2,43.4,2,1.2830000000000001,2,,2
23.0,2,12.4051,2,32.4586,2,263.7,2,43.5,2,1.237,2,,2
24.0,2,12.4016,2,32.458,2,263.1,2,43.6,2,1.2309999999999999,2,,2
25.0,2,12.4021,2,32.458,2,263.9,2,43.6,2,1.245,2,,2
26.0,2,12.3982,2,32.459,2,265.2,2,43.6,2,1.2770000000000001,2,,2
27.0,2,12.3911,2,32.4585,2,266.3,2,43.6,2,1.263,2,,2
28.0,2,12.3923,2,32.4587,2,266.6,2,43.7,2,1.287,2,,2
29.0,2,12.3753,2,32.4605,2,265.5,2,43.6,2,1.288,2,,2
30.0,2,12.3579,2,32.4594,2,263.7,2,43.6,2,1.3,2,,2
31.0,2,12.357000000000001,2,32.4585,2,263.5,2,43.7,2,1.3119999999999998,2,,2
32.0,2,12.3323,2,32.4599,2,264.2,2,43.8,2,1.286,2,,2
33.0,2,12.2874,2,32.4611,2,264.1,2,43.8,2,1.329,2,,2
33.6,2,12.2878,2,32.4604,2,264.6,2,44.0,2,1.344,2,,2
35.1,2,12.2858,2,32.4599,2,265.1,2,44.2,2,1.3230000000000002,2,,2
36.0,2,12.2837,2,32.4598,2,264.2,2,44.1,2,1.337,2,,2
