CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Fluorescence data were removed because of severe problems with spikes and higher than usual values at depth suggesting problems with the cable. ,,,,,,,,,,,,,,,,
#The data may be obtained from the chief scientist. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The precision of the Oxygen:Dissolved:CTD channel is difficult to estimate because the comparison with bottles was very noisy but roughly the Oxygen:Dissolved:CTD data should be considered:,,,,,,,,,,,,,,,,
#      • ±0.15 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 100 to 400 dbar (values tend to be too high),,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 400 to 600 dbar (values tend to be slightly high),,,,,,,,,,,,,,,,
#      • ±0.04 ml/l from 600 to 2000 dbar (values tend to be slightly low),,,,,,,,,,,,,,,,
#      • ±0.01 ml/l below 2500 dbar,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissometer #1005DR was calibrated in March 2008 and drifted significantly but steadily until July 2009.,,,,,,,,,,,,,,,,
#Then a sudden shift occurred so that maximum values between September 2009 and July 2010 were very low by ~25% / m. ,,,,,,,,,,,,,,,,
#In August 2010 a study was made of transmissivity that led to a decision to apply post-processing corrections to all cruises between March 2008 and June 2010. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Transmissivity data from this cruise were corrected by multiplying the original values by correction factor 2.26 which was based on the assumption that deep offshore transmissivity should be about 62% / m.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#For details on the transmissometer post-processing see: Transmissometer_1005DR_Corrections.pdf.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#These data should still be considered nominal.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing file 2010-01-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD {kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],PAR:CTD [µE/m^2/sec],Comments
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20100202
STNBR = P9
CASTNO = 1
DATE = 11/02/2010
TIME =  16:55
LATITUDE = 48.85683
LONGITUDE = -129.16683999999998
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,UE/m^2/sec,
3,2,8.4722,2,32.3139,2,288.7,2,50.6,2,,2
4,2,8.4736,2,32.314,2,289.2,2,50.4,2,,2
5,2,8.4733,2,32.3139,2,288.6,2,50.6,2,,2
6,2,8.4704,2,32.3138,2,288.3,2,50.6,2,,2
7,2,8.4685,2,32.3145,2,288.2,2,50.6,2,,2
8,2,8.4694,2,32.3142,2,288.3,2,50.6,2,,2
9,2,8.4691,2,32.3143,2,289.4,2,50.6,2,,2
10,2,8.4692,2,32.3142,2,289.1,2,50.6,2,,2
11,2,8.4713,2,32.3135,2,288.6,2,50.6,2,,2
12,2,8.4729,2,32.3129,2,288.5,2,50.6,2,,2
13,2,8.472000000000001,2,32.3134,2,288.2,2,50.6,2,,2
14,2,8.4714,2,32.3136,2,287.8,2,50.6,2,,2
15,2,8.4703,2,32.3141,2,287.6,2,50.4,2,,2
16,2,8.4703,2,32.3141,2,288.5,2,50.4,2,,2
17,2,8.4711,2,32.3139,2,288.5,2,50.6,2,,2
18,2,8.4665,2,32.3156,2,288.4,2,50.4,2,,2
19,2,8.4649,2,32.3164,2,287.9,2,50.4,2,,2
20,2,8.4654,2,32.3162,2,287.4,2,50.4,2,,2
21,2,8.4639,2,32.3167,2,287.4,2,50.4,2,,2
22,2,8.4627,2,32.317,2,287.6,2,50.4,2,,2
23,2,8.4616,2,32.3172,2,288.4,2,50.4,2,,2
24,2,8.4603,2,32.3171,2,288.8,2,50.4,2,,2
25,2,8.4503,2,32.3187,2,288.4,2,50.4,2,,2
26,2,8.4425,2,32.32,2,287.3,2,50.4,2,,2
27,2,8.4322,2,32.3205,2,287.5,2,50.4,2,,2
28,2,8.4134,2,32.321999999999996,2,288.7,2,50.4,2,,2
29,2,8.4082,2,32.3226,2,288.4,2,50.4,2,,2
30,2,8.3989,2,32.3234,2,287.8,2,50.4,2,,2
31,2,8.3652,2,32.326,2,287.9,2,50.2,2,,2
32,2,8.352,2,32.3267,2,288.1,2,50.2,2,,2
34,2,8.3045,2,32.3275,2,289.8,2,50.2,2,,2
35,2,8.2846,2,32.3287,2,289.6,2,50.2,2,,2
36,2,8.2772,2,32.3284,2,289.2,2,50.2,2,,2
37,2,8.2593,2,32.3284,2,288.8,2,50.2,2,,2
38,2,8.2403,2,32.329,2,289.3,2,50.4,2,,2
39,2,8.2313,2,32.3297,2,290.9,2,50.4,2,,2
40,2,8.1899,2,32.3305,2,291.0,2,50.4,2,,2
41,2,8.1633,2,32.3309,2,290.8,2,50.4,2,,2
42,2,8.1556,2,32.3305,2,290.2,2,50.4,2,,2
43,2,8.1367,2,32.3303,2,290.1,2,50.6,2,,2
44,2,8.106,2,32.3306,2,290.6,2,50.8,2,,2
45,2,8.1038,2,32.3305,2,291.1,2,50.8,2,,2
46,2,8.1031,2,32.3301,2,291.0,2,50.8,2,,2
47,2,8.1016,2,32.3307,2,291.2,2,50.8,2,,2
48,2,8.1005,2,32.3299,2,291.3,2,50.8,2,,2
49,2,8.1001,2,32.3296,2,291.3,2,50.8,2,,2
50,2,8.0993,2,32.3296,2,291.1,2,50.8,2,,2
