CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Fluorescence  transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The precision of the Oxygen:Dissolved:CTD channel is difficult to estimate because the comparison with bottles was very noisy but roughly the Oxygen:Dissolved:CTD should be considered:,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 0 to 200 dbar (values tend to be slightly high).,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 200 to 600 dbar (values tend to be slightly high).,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l from 600 to 2000 dbar.,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l from 2000 to 4000 dbar (values tend to be slightly low).,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissometer #1005DR was calibrated in March 2008 and drifted significantly but steadily until July 2009.,,,,,,,,,,,,,,,,
#Then a sudden shift occurred so that maximum values between September 2009 and July 2010 were very low by ~25% / m. ,,,,,,,,,,,,,,,,
#In August 2010 a study was made of transmissivity that led to a decision to apply post-processing corrections to all cruises between March 2008 and June 2010. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Transmissivity data from this cruise were corrected by multiplying the original values by correction factor 2.5 which was based on the assumption that deep offshore transmissivity should be about 62% / m.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#For details on the transmissometer post-processing see: Transmissometer_1005DR_Corrections.pdf.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#These data should still be considered nominal.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see file 2010-13-proc.pdf.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20100605
STNBR = P1
CASTNO = 1
DATE = 06/06/2010
TIME =  23:49
LATITUDE = 48.574329999999996
LONGITUDE = -125.50133999999998
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
4.0,2,11.7626,2,30.7162,2,316.0,2,18.2,2,3.839,2,2609.8,2
5.0,2,11.7098,2,30.7601,2,311.5,2,17.2,2,4.132,2,1807.0,2
6.0,2,11.6811,2,30.8156,2,309.0,2,17.5,2,4.531000000000001,2,1352.1,2
7.0,2,11.6331,2,30.8832,2,306.3,2,18.7,2,4.399,2,991.6,2
8.0,2,11.6325,2,30.9095,2,297.8,2,18.9,2,4.398,2,724.1,2
9.0,2,11.602,2,30.9317,2,284.1,2,19.3,2,4.387,2,516.4,2
10.0,2,11.4647,2,31.0073,2,276.2,2,22.1,2,4.099,2,359.7,2
11.0,2,11.2041,2,31.0855,2,273.0,2,28.4,2,3.6,2,254.6,2
12.0,2,10.9425,2,31.123,2,271.6,2,32.7,2,3.048,2,182.2,2
13.0,2,10.7638,2,31.1671,2,270.9,2,36.6,2,2.596,2,135.0,2
14.0,2,10.7241,2,31.1833,2,270.2,2,38.4,2,2.293,2,106.3,2
15.0,2,10.6927,2,31.1976,2,269.2,2,39.4,2,2.041,2,87.8,2
16.0,2,10.6429,2,31.2085,2,267.7,2,39.7,2,1.881,2,73.4,2
17.0,2,10.6054,2,31.2175,2,265.7,2,40.4,2,1.786,2,60.6,2
18.0,2,10.5559,2,31.2435,2,262.7,2,41.6,2,1.662,2,50.1,2
19.0,2,10.5306,2,31.2607,2,259.8,2,41.9,2,1.6230000000000002,2,42.4,2
20.0,2,10.5207,2,31.2771,2,257.4,2,41.9,2,1.611,2,36.5,2
21.0,2,10.4053,2,31.3316,2,255.8,2,44.1,2,1.435,2,31.7,2
22.0,2,10.3091,2,31.3699,2,254.3,2,46.8,2,1.271,2,27.6,2
23.0,2,10.2555,2,31.3986,2,252.1,2,48.0,2,1.126,2,24.1,2
24.0,2,10.2076,2,31.421,2,249.3,2,48.9,2,1.02,2,21.2,2
25.0,2,10.1512,2,31.4459,2,247.8,2,49.7,2,0.9490000000000001,2,18.8,2
26.0,2,10.0555,2,31.4872,2,247.2,2,50.8,2,0.895,2,17.1,2
27.0,2,9.9631,2,31.5262,2,246.0,2,51.9,2,0.7929999999999999,2,15.7,2
28.0,2,9.9429,2,31.5299,2,244.2,2,52.2,2,0.735,2,14.8,2
29.0,2,9.9054,2,31.5401,2,243.7,2,52.3,2,0.711,2,14.1,2
30.0,2,9.8711,2,31.5522,2,242.8,2,52.5,2,0.701,2,13.4,2
31.0,2,9.8439,2,31.5629,2,240.3,2,52.6,2,0.648,2,12.5,2
32.0,2,9.8313,2,31.5669,2,236.9,2,52.8,2,0.637,2,11.7,2
33.0,2,9.7912,2,31.5853,2,234.3,2,53.2,2,0.605,2,11.0,2
34.0,2,9.6332,2,31.6578,2,232.8,2,54.3,2,0.545,2,10.4,2
35.0,2,9.5628,2,31.6861,2,230.1,2,54.7,2,0.493,2,9.9,2
36.0,2,9.5477,2,31.7016,2,225.2,2,54.8,2,0.45399999999999996,2,9.6,2
37.0,2,9.5033,2,31.7372,2,221.7,2,55.0,2,0.43799999999999994,2,9.2,2
38.0,2,9.3553,2,31.8104,2,220.2,2,55.3,2,0.38799999999999996,2,8.9,2
39.0,2,9.2442,2,31.853,2,219.1,2,55.8,2,0.34299999999999997,2,8.6,2
40.0,2,9.2139,2,31.8665,2,218.1,2,55.9,2,0.319,2,8.4,2
41.0,2,9.192,2,31.8762,2,217.4,2,56.0,2,0.295,2,8.2,2
42.0,2,9.1614,2,31.8931,2,217.6,2,56.0,2,0.268,2,8.0,2
43.0,2,9.1601,2,31.895,2,217.7,2,56.1,2,0.259,2,7.9,2
44.0,2,9.1597,2,31.8953,2,216.8,2,55.8,2,0.249,2,7.7,2
45.0,2,9.1575,2,31.8964,2,215.1,2,56.0,2,0.252,2,7.6,2
46.0,2,9.134,2,31.9077,2,213.3,2,56.2,2,0.247,2,7.4,2
47.0,2,9.1151,2,31.9187,2,211.6,2,56.0,2,0.24,2,7.3,2
48.0,2,9.0899,2,31.9284,2,209.6,2,56.0,2,0.239,2,7.3,2
49.0,2,9.0348,2,31.9527,2,208.6,2,56.0,2,0.22699999999999998,2,7.2,2
50.0,2,9.0051,2,31.9734,2,208.9,2,56.0,2,0.22,2,7.1,2
51.0,2,8.9945,2,31.9839,2,209.0,2,56.0,2,0.21600000000000003,2,7.0,2
52.0,2,8.99,2,31.986,2,208.3,2,56.0,2,0.22,2,7.0,2
53.0,2,8.9851,2,31.988000000000003,2,207.3,2,55.8,2,0.22,2,6.9,2
54.0,2,8.9777,2,31.9955,2,206.0,2,56.1,2,0.21100000000000002,2,6.8,2
55.0,2,8.9639,2,32.0165,2,204.8,2,56.0,2,0.20199999999999999,2,6.8,2
56.0,2,8.9472,2,32.0468,2,204.0,2,56.0,2,0.205,2,6.8,2
57.0,2,8.9182,2,32.0784,2,203.4,2,56.0,2,0.203,2,6.7,2
58.0,2,8.9083,2,32.0866,2,202.6,2,56.0,2,0.19,2,6.7,2
59.0,2,8.8984,2,32.0955,2,201.9,2,55.9,2,0.192,2,6.7,2
60.0,2,8.882,2,32.1083,2,201.2,2,56.0,2,0.19399999999999998,2,6.6,2
