CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Fluorescence  transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The precision of the Oxygen:Dissolved:CTD channel is difficult to estimate because the comparison with bottles was very noisy but roughly the Oxygen:Dissolved:CTD should be considered:,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 0 to 200 dbar (values tend to be slightly high).,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 200 to 600 dbar (values tend to be slightly high).,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l from 600 to 2000 dbar.,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l from 2000 to 4000 dbar (values tend to be slightly low).,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissometer #1005DR was calibrated in March 2008 and drifted significantly but steadily until July 2009.,,,,,,,,,,,,,,,,
#Then a sudden shift occurred so that maximum values between September 2009 and July 2010 were very low by ~25% / m. ,,,,,,,,,,,,,,,,
#In August 2010 a study was made of transmissivity that led to a decision to apply post-processing corrections to all cruises between March 2008 and June 2010. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Transmissivity data from this cruise were corrected by multiplying the original values by correction factor 2.5 which was based on the assumption that deep offshore transmissivity should be about 62% / m.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#For details on the transmissometer post-processing see: Transmissometer_1005DR_Corrections.pdf.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#These data should still be considered nominal.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see file 2010-13-proc.pdf.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20100605
STNBR = PA004
CASTNO = 1
DATE = 14/06/2010
TIME =  23:46
LATITUDE = 50.0475
LONGITUDE = -144.8815
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.3,2,7.5565,2,32.71,2,305.8,2,50.0,2,0.146,2,4844.4,2
4.0,2,7.5552,2,32.7104,2,305.5,2,50.0,2,0.139,2,4641.7,2
5.0,2,7.5369,2,32.7108,2,305.3,2,49.8,2,0.139,2,3772.4,2
6.0,2,7.5263,2,32.7109,2,305.6,2,49.7,2,0.141,2,3363.3,2
7.0,2,7.5133,2,32.7104,2,305.9,2,49.8,2,0.145,2,2929.5,2
8.0,2,7.5148,2,32.7106,2,305.8,2,49.8,2,0.157,2,2551.7,2
8.9,2,7.5141,2,32.7105,2,306.3,2,49.8,2,0.161,2,2354.3,2
10.0,2,7.5145,2,32.7107,2,305.8,2,49.8,2,0.168,2,2229.9,2
11.0,2,7.5196,2,32.7108,2,306.3,2,49.6,2,0.172,2,2039.1,2
12.0,2,7.5147,2,32.7106,2,306.8,2,49.7,2,0.17,2,1823.4,2
13.0,2,7.4532,2,32.7116,2,306.5,2,49.5,2,0.221,2,1627.4,2
14.0,2,7.4483,2,32.7107,2,305.8,2,49.5,2,0.253,2,1467.2,2
14.5,2,7.4498,2,32.7104,2,305.8,2,49.4,2,0.261,2,1442.4,2
16.1,2,7.45,2,32.711,2,305.8,2,49.4,2,0.271,2,1294.6,2
17.0,2,7.4473,2,32.7108,2,306.3,2,49.5,2,0.302,2,1199.6,2
18.0,2,7.4407,2,32.7109,2,306.5,2,49.5,2,0.321,2,1082.8,2
19.0,2,7.3987,2,32.7116,2,306.3,2,49.4,2,0.409,2,983.9,2
20.0,2,7.3839,2,32.7113,2,306.3,2,49.3,2,0.47600000000000003,2,912.4,2
21.0,2,7.3694,2,32.7116,2,306.4,2,49.2,2,0.557,2,843.0,2
22.0,2,7.3675,2,32.7115,2,306.3,2,49.3,2,0.596,2,783.7,2
23.0,2,7.3596,2,32.7119,2,306.5,2,49.3,2,0.596,2,730.3,2
24.0,2,7.3548,2,32.7119,2,306.8,2,49.2,2,0.625,2,683.8,2
25.0,2,7.3507,2,32.7122,2,306.6,2,49.3,2,0.675,2,621.4,2
26.0,2,7.3428,2,32.7124,2,306.2,2,49.3,2,0.715,2,555.8,2
27.0,2,7.3374,2,32.7126,2,306.5,2,49.2,2,0.767,2,499.3,2
28.0,2,7.3335,2,32.7126,2,306.3,2,49.4,2,0.789,2,462.2,2
29.0,2,7.3324,2,32.7126,2,306.8,2,49.2,2,0.816,2,436.8,2
30.0,2,7.3315,2,32.7127,2,306.9,2,49.3,2,0.8370000000000001,2,411.8,2
31.0,2,7.3303,2,32.7128,2,306.7,2,49.4,2,0.866,2,383.9,2
32.0,2,7.3289,2,32.713,2,306.6,2,49.3,2,0.872,2,350.6,2
33.0,2,7.3264,2,32.7133,2,306.3,2,49.3,2,0.904,2,314.1,2
33.9,2,7.3255,2,32.7134,2,306.2,2,49.4,2,0.937,2,291.7,2
35.0,2,7.3229,2,32.7138,2,306.0,2,49.1,2,0.948,2,274.3,2
36.0,2,7.3199,2,32.714,2,306.0,2,49.3,2,0.976,2,256.1,2
37.0,2,7.3181,2,32.7141,2,306.2,2,49.1,2,1.002,2,236.6,2
38.0,2,7.316,2,32.7143,2,306.2,2,49.1,2,1.03,2,217.3,2
39.0,2,7.3141,2,32.7144,2,306.3,2,49.3,2,1.035,2,198.9,2
40.0,2,7.3111,2,32.7146,2,306.2,2,49.3,2,1.013,2,181.6,2
41.0,2,7.3085,2,32.7147,2,305.5,2,49.5,2,1.03,2,165.4,2
42.0,2,7.3059,2,32.7149,2,305.1,2,49.4,2,1.038,2,151.9,2
43.0,2,7.2973,2,32.7157,2,304.9,2,49.3,2,1.052,2,140.5,2
44.0,2,7.2938,2,32.7159,2,304.6,2,49.4,2,1.081,2,130.3,2
45.0,2,7.2902,2,32.7162,2,304.7,2,49.5,2,1.06,2,120.6,2
46.0,2,7.2838,2,32.7168,2,305.0,2,49.5,2,1.058,2,111.4,2
47.0,2,7.2752,2,32.7176,2,304.8,2,49.6,2,1.07,2,102.7,2
48.0,2,7.2638,2,32.7185,2,304.8,2,49.6,2,1.0859999999999999,2,94.1,2
49.0,2,7.2572,2,32.7189,2,304.8,2,50.0,2,1.1,2,86.2,2
50.0,2,7.254,2,32.719,2,304.8,2,50.2,2,1.105,2,79.7,2
51.0,2,7.2525,2,32.719,2,305.0,2,50.3,2,1.082,2,74.7,2
52.0,2,7.2513,2,32.719,2,304.6,2,50.2,2,1.041,2,70.0,2
53.0,2,7.251,2,32.719,2,304.4,2,50.6,2,1.021,2,65.3,2
54.0,2,7.2504,2,32.719,2,304.4,2,50.8,2,1.0270000000000001,2,60.8,2
55.0,2,7.2495,2,32.7192,2,304.7,2,50.7,2,0.99,2,56.3,2
56.0,2,7.2475,2,32.7192,2,304.8,2,50.9,2,0.9470000000000001,2,52.0,2
57.0,2,7.2429,2,32.7193,2,304.9,2,51.1,2,0.924,2,48.2,2
58.0,2,7.237,2,32.7198,2,304.7,2,51.5,2,0.8959999999999999,2,44.7,2
59.0,2,7.2277,2,32.7205,2,303.5,2,51.8,2,0.845,2,41.8,2
60.0,2,7.1608,2,32.7222,2,302.8,2,52.5,2,0.754,2,39.4,2
61.0,2,6.9147,2,32.7391,2,304.8,2,53.7,2,0.6940000000000001,2,37.0,2
62.0,2,6.6899,2,32.7566,2,305.6,2,54.7,2,0.596,2,34.7,2
63.0,2,6.388999999999999,2,32.7784,2,305.7,2,56.2,2,0.519,2,32.5,2
64.0,2,6.1938,2,32.7885,2,306.0,2,57.4,2,0.469,2,30.4,2
65.0,2,6.125,2,32.7906,2,306.5,2,58.2,2,0.41200000000000003,2,28.5,2
66.0,2,5.9567,2,32.8038,2,306.2,2,59.4,2,0.342,2,26.9,2
67.0,2,5.9007,2,32.8049,2,306.1,2,60.0,2,0.308,2,25.6,2
68.0,2,5.8795,2,32.8048,2,306.3,2,60.1,2,0.27899999999999997,2,24.5,2
69.0,2,5.8024,2,32.8128,2,306.8,2,60.5,2,0.271,2,23.4,2
70.0,2,5.7379999999999995,2,32.8211,2,306.9,2,60.7,2,0.237,2,22.4,2
71.0,2,5.7015,2,32.8265,2,307.0,2,60.7,2,0.23800000000000002,2,21.5,2
72.0,2,5.6743,2,32.8294,2,307.2,2,60.8,2,0.217,2,20.6,2
73.0,2,5.6326,2,32.8332,2,307.1,2,60.9,2,0.213,2,19.8,2
74.0,2,5.6023,2,32.8361,2,306.4,2,60.9,2,0.20600000000000002,2,19.0,2
75.0,2,5.5679,2,32.8418,2,305.2,2,60.9,2,0.187,2,18.3,2
76.0,2,5.5128,2,32.8506,2,304.6,2,61.1,2,0.171,2,17.7,2
77.0,2,5.4911,2,32.8594,2,305.1,2,61.0,2,0.161,2,17.2,2
78.0,2,5.4918,2,32.8613,2,304.9,2,61.2,2,0.156,2,16.7,2
79.0,2,5.4854,2,32.8628,2,304.2,2,61.0,2,0.149,2,16.1,2
80.0,2,5.4786,2,32.8634,2,303.4,2,61.2,2,0.147,2,15.6,2
81.0,2,5.4743,2,32.8646,2,301.8,2,61.2,2,0.16,2,15.0,2
82.0,2,5.4591,2,32.8748,2,298.9,2,61.2,2,0.156,2,14.6,2
83.0,2,5.4464,2,32.8918,2,296.0,2,61.2,2,0.135,2,14.2,2
84.0,2,5.4417,2,32.900999999999996,2,292.9,2,61.2,2,0.128,2,13.9,2
85.0,2,5.4441,2,32.9077,2,288.6,2,61.2,2,0.125,2,13.5,2
86.0,2,5.445,2,32.9206,2,285.1,2,61.2,2,0.124,2,13.2,2
87.0,2,5.4427,2,32.9424,2,282.4,2,61.2,2,0.11900000000000001,2,12.8,2
88.0,2,5.4391,2,32.9693,2,280.1,2,61.2,2,0.114,2,12.5,2
89.0,2,5.4361,2,32.9953,2,278.4,2,61.2,2,0.109,2,12.2,2
90.0,2,5.4333,2,33.0212,2,277.5,2,61.2,2,0.11599999999999999,2,11.9,2
91.0,2,5.4371,2,33.0397,2,275.8,2,61.2,2,0.10099999999999999,2,11.7,2
92.0,2,5.4378,2,33.0456,2,272.5,2,61.2,2,0.09300000000000001,2,11.4,2
93.0,2,5.4404,2,33.0733,2,267.9,2,61.2,2,0.10099999999999999,2,11.2,2
94.0,2,5.4429,2,33.0963,2,263.2,2,61.2,2,0.091,2,11.0,2
95.0,2,5.443,2,33.1376,2,258.8,2,61.3,2,0.091,2,10.7,2
96.0,2,5.435,2,33.1732,2,254.0,2,61.3,2,0.085,2,10.5,2
97.0,2,5.4312,2,33.1918,2,249.2,2,61.2,2,0.08199999999999999,2,10.3,2
98.0,2,5.4216,2,33.2232,2,245.3,2,61.2,2,0.077,2,10.2,2
99.0,2,5.4086,2,33.2469,2,242.5,2,61.3,2,0.075,2,10.0,2
100.0,2,5.382999999999999,2,33.2751,2,240.2,2,61.5,2,0.076,2,9.8,2
101.0,2,5.3659,2,33.2907,2,238.5,2,61.5,2,0.071,2,9.6,2
102.0,2,5.3717,2,33.3165,2,236.4,2,61.5,2,0.07,2,9.5,2
103.0,2,5.3631,2,33.3295,2,232.6,2,61.5,2,0.067,2,9.4,2
104.0,2,5.3757,2,33.3405,2,228.4,2,61.5,2,0.071,2,9.2,2
105.0,2,5.3907,2,33.3775,2,225.3,2,61.5,2,0.065,2,9.1,2
106.0,2,5.3402,2,33.4145,2,223.4,2,61.5,2,0.062,2,8.9,2
107.0,2,5.3305,2,33.4345,2,221.6,2,61.4,2,0.062,2,8.8,2
108.0,2,5.3198,2,33.4463,2,220.3,2,61.4,2,0.055999999999999994,2,8.7,2
109.0,2,5.3139,2,33.4525,2,219.2,2,61.2,2,0.059000000000000004,2,8.6,2
110.0,2,5.3073,2,33.4642,2,218.3,2,61.5,2,0.06,2,8.5,2
111.0,2,5.3049,2,33.4684,2,217.3,2,61.5,2,0.062,2,8.4,2
112.0,2,5.3083,2,33.4775,2,215.6,2,61.5,2,0.053,2,8.3,2
113.0,2,5.3128,2,33.4861,2,213.8,2,61.5,2,0.055,2,8.2,2
