CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Fluorescence - Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#COMMENTS FOR CASTS 0001 TO 0032,,,,,,,,,,,,,,,,
#CTD Serial Number 0506; SBE Dissolved Oxygen sensor Serial Number 1176.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#As has been noted from several other cruises using Oxygen:Dissolved:CTD sensor #1176 in the summer 2010 the data are odd for some casts (casts 0022 to 0032) with concentration values offset by approximately 0.24 ml/l from the normal-looking casts and a higher noise level in the raw oxygen voltage.,,,,,,,,,,,,,,,,
#Data were recalibrated to correct for this offset but there were only 3 casts with titrated dissolved oxygen samples for the normal casts and 1 from the odd casts.,,,,,,,,,,,,,,,,
#Establishing which casts require the special recalibration was based on the noise level in the Oxygen:Dissolved:CTD voltage and information from other cruises was used to recalibrate the odd casts.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The quality of the Oxygen:Dissolved:CTD calibration is considered lower than usual and there are insufficient data to make precision estimates. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#COMMENTS FOR CASTS 0036 TO 0129,,,,,,,,,,,,,,,,
#CTD Serial Number 0443; SBE Dissolved Oxygen sensor Serial Number 1483.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#There are only 3 casts with titrated dissolved oxygen samples that could be compared to the Oxygen:Dissolved:CTD data for sensor #1438 and 1 of them looked significantly different in the comparison from the other 2. ,,,,,,,,,,,,,,,,
#Recalibration of dissolved oxygen was based on the 2 casts that looked similar.,,,,,,,,,,,,,,,,
#There are insufficient data to make a precision estimate.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#For Oxygen:Dissolved:CTD sensor #1438 values below 2200 dbar were replaced by pad values because there is evidence of significant hysteresis.,,,,,,,,,,,,,,,,
#The Salinity:Practical data from CTD #0443 showed evidence of flow rate problems in the top 200 dbar; the two-sided noise caused by that was minimized by bin-averaging.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#***********************************************************************,,,,,,,,,,,,,,,,
#In June 2011 it was discovered that the wrong information was used for conversion of the Oxygen:Dissolved:CTD sensor data for CTD #0443.,,,,,,,,,,,,,,,,
#Sensor #1483 was actually used for this cruise.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD channel was reprocessed. ,,,,,,,,,,,,,,,,
#A new recalibration scheme was found by rerunning the bottle comparison. ,,,,,,,,,,,,,,,,
#The files were then merged with all the other channels from the original processing.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The hysteresis noted in the original processing remains and the quality of the data is still considered of lower quality than usual.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Note that the correct calibration information for the Oxygen:Dissolved:CTD sensor can be found at the end of the processing report along with detail about how the reprocessing was done.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see file 2010-14-proc.pdf.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20100817
STNBR = P15.7
CASTNO = 1
DATE = 23/08/2010
TIME =  20:41
LATITUDE = 49.271
LONGITUDE = -134.52217
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.1,2,15.100999999999999,2,32.4496,2,256.8,2,51.4,2,0.71,2,337.9,2
3.0,2,15.1008,2,32.4497,2,256.7,2,51.3,2,0.7290000000000001,2,287.5,2
3.8,2,15.100999999999999,2,32.4498,2,256.3,2,51.4,2,0.5710000000000001,2,235.4,2
5.2,2,15.0993,2,32.4497,2,256.5,2,51.5,2,0.7609999999999999,2,204.2,2
6.0,2,15.099,2,32.4496,2,256.9,2,51.5,2,0.7809999999999999,2,188.7,2
7.0,2,15.099,2,32.4496,2,257.5,2,51.4,2,0.8170000000000001,2,173.3,2
8.0,2,15.1007,2,32.4496,2,257.2,2,51.5,2,0.8690000000000001,2,151.5,2
9.0,2,15.1008,2,32.4497,2,257.0,2,51.3,2,0.97,2,127.1,2
10.0,2,15.1011,2,32.4497,2,258.0,2,51.4,2,0.912,2,121.7,2
11.0,2,15.1,2,32.4497,2,258.0,2,51.4,2,0.867,2,109.3,2
12.0,2,15.0942,2,32.4499,2,257.4,2,51.5,2,1.016,2,101.0,2
13.0,2,15.0875,2,32.4498,2,257.6,2,51.4,2,1.181,2,93.6,2
14.0,2,15.0768,2,32.4498,2,258.1,2,51.4,2,1.3330000000000002,2,87.1,2
15.0,2,15.0649,2,32.4494,2,258.3,2,51.3,2,1.464,2,79.9,2
16.0,2,15.0569,2,32.4494,2,258.0,2,51.3,2,1.5919999999999999,2,71.8,2
17.0,2,15.0523,2,32.4494,2,258.1,2,51.3,2,1.7,2,65.8,2
18.0,2,15.0515,2,32.4494,2,258.5,2,51.1,2,1.669,2,62.0,2
19.0,2,15.0518,2,32.4493,2,258.2,2,51.2,2,1.6740000000000002,2,57.4,2
20.0,2,15.047,2,32.4504,2,258.5,2,51.2,2,1.72,2,52.7,2
21.0,2,15.0432,2,32.4514,2,258.5,2,51.2,2,1.844,2,48.7,2
22.0,2,15.0413,2,32.452,2,258.8,2,51.2,2,1.8330000000000002,2,45.2,2
23.0,2,15.0375,2,32.4536,2,258.4,2,51.1,2,1.886,2,42.3,2
24.0,2,15.0364,2,32.4541,2,257.6,2,51.1,2,1.926,2,39.6,2
25.0,2,15.0304,2,32.4564,2,258.0,2,51.1,2,1.9080000000000001,2,36.6,2
26.0,2,15.0277,2,32.4574,2,258.2,2,51.1,2,1.9369999999999998,2,33.6,2
27.0,2,15.0268,2,32.4576,2,258.2,2,51.1,2,1.943,2,31.0,2
28.0,2,15.0227,2,32.4585,2,258.2,2,51.2,2,2.057,2,28.6,2
29.0,2,15.0193,2,32.4593,2,258.4,2,51.3,2,2.0540000000000003,2,26.8,2
30.0,2,15.0174,2,32.4596,2,258.5,2,51.3,2,2.008,2,25.2,2
31.0,2,15.0149,2,32.4599,2,259.2,2,51.2,2,2.109,2,23.5,2
32.0,2,14.9953,2,32.4627,2,260.0,2,51.2,2,2.173,2,21.8,2
33.0,2,14.9495,2,32.4682,2,262.0,2,51.1,2,2.253,2,20.2,2
34.0,2,14.8146,2,32.4765,2,263.7,2,50.7,2,2.404,2,18.6,2
35.0,2,14.6132,2,32.4795,2,266.5,2,50.9,2,2.536,2,16.9,2
35.9,2,14.1792,2,32.5013,2,270.7,2,50.6,2,2.661,2,15.6,2
36.9,2,13.7548,2,32.5063,2,275.9,2,50.5,2,2.8089999999999997,2,14.7,2
38.0,2,13.4677,2,32.5194,2,279.3,2,50.6,2,2.844,2,13.8,2
39.0,2,13.3707,2,32.5238,2,280.4,2,50.6,2,2.8510000000000004,2,12.8,2
40.0,2,13.3339,2,32.5231,2,280.8,2,50.5,2,2.909,2,11.7,2
41.0,2,13.1201,2,32.528,2,285.3,2,50.4,2,3.003,2,10.6,2
42.0,2,12.48,2,32.5547,2,290.1,2,50.4,2,3.1239999999999997,2,9.6,2
43.0,2,12.0497,2,32.5774,2,292.4,2,50.9,2,3.21,2,8.6,2
44.0,2,11.6398,2,32.5975,2,294.7,2,51.1,2,3.295,2,7.7,2
45.0,2,11.3624,2,32.6134,2,295.5,2,51.4,2,3.372,2,6.9,2
45.9,2,11.0238,2,32.6084,2,294.8,2,51.6,2,3.41,2,6.5,2
47.0,2,10.6554,2,32.6001,2,294.6,2,52.0,2,3.3480000000000003,2,6.1,2
48.0,2,10.1903,2,32.5925,2,295.7,2,53.0,2,3.3560000000000003,2,5.7,2
49.0,2,10.1931,2,32.6335,2,296.5,2,52.8,2,3.392,2,5.2,2
50.0,2,10.2063,2,32.6412,2,295.1,2,52.5,2,3.425,2,4.7,2
51.0,2,10.141,2,32.6535,2,294.2,2,52.8,2,3.388,2,4.3,2
52.0,2,9.9488,2,32.6579,2,295.5,2,53.1,2,3.41,2,3.8,2
52.5,2,9.8129,2,32.6567,2,297.0,2,53.3,2,3.37,2,3.6,2
54.3,2,9.4906,2,32.669000000000004,2,295.4,2,54.2,2,3.364,2,3.1,2
55.0,2,9.3809,2,32.6756,2,294.2,2,54.4,2,3.315,2,2.9,2
56.0,2,9.2876,2,32.676,2,293.5,2,54.6,2,3.282,2,2.7,2
57.0,2,9.2601,2,32.676,2,292.4,2,54.7,2,3.284,2,2.5,2
58.0,2,9.2232,2,32.6773,2,292.1,2,54.9,2,3.255,2,2.3,2
59.0,2,9.1408,2,32.6794,2,292.1,2,55.1,2,3.176,2,2.1,2
60.0,2,9.0345,2,32.6814,2,291.6,2,55.7,2,3.0989999999999998,2,2.0,2
61.0,2,8.9567,2,32.6814,2,292.2,2,55.9,2,2.9989999999999997,2,1.8,2
61.7,2,8.8874,2,32.6871,2,291.5,2,56.3,2,2.9410000000000003,2,1.7,2
63.4,2,8.7444,2,32.6885,2,289.9,2,56.8,2,2.7319999999999998,2,1.5,2
64.0,2,8.7056,2,32.6898,2,289.5,2,56.9,2,2.682,2,1.4,2
65.0,2,8.6788,2,32.6896,2,289.5,2,57.1,2,2.6510000000000002,2,1.3,2
66.0,2,8.6565,2,32.6898,2,289.8,2,57.2,2,2.5789999999999997,2,1.2,2
67.0,2,8.6002,2,32.6904,2,290.1,2,57.3,2,2.4659999999999997,2,1.1,2
68.0,2,8.5587,2,32.6917,2,289.4,2,57.5,2,2.362,2,1.1,2
69.0,2,8.4585,2,32.6953,2,288.5,2,57.8,2,2.202,2,1.0,2
70.0,2,8.3161,2,32.7102,2,288.2,2,58.3,2,1.986,2,0.9,2
71.0,2,8.2617,2,32.711999999999996,2,287.8,2,58.3,2,1.821,2,0.8,2
71.9,2,8.1635,2,32.7107,2,287.6,2,58.8,2,1.649,2,0.8,2
73.0,2,8.094,2,32.7107,2,287.3,2,58.8,2,1.538,2,0.8,2
74.0,2,8.058,2,32.7114,2,287.1,2,59.3,2,1.3940000000000001,2,0.7,2
75.0,2,7.9597,2,32.7128,2,286.7,2,59.6,2,1.194,2,0.7,2
76.0,2,7.9058,2,32.714,2,286.9,2,59.8,2,1.1,2,0.6,2
77.0,2,7.8697,2,32.715,2,288.1,2,59.8,2,0.975,2,0.6,2
78.4,2,7.8386,2,32.7165,2,287.6,2,60.1,2,0.8440000000000001,2,0.5,2
78.9,2,7.8079,2,32.717,2,286.7,2,60.0,2,0.821,2,0.5,2
80.0,2,7.7824,2,32.7179,2,286.2,2,60.1,2,0.775,2,0.5,2
81.0,2,7.7444,2,32.7186,2,286.4,2,59.8,2,0.747,2,0.5,2
82.0,2,7.7029,2,32.7193,2,286.7,2,60.3,2,0.745,2,0.4,2
83.0,2,7.6814,2,32.7194,2,287.3,2,60.3,2,0.785,2,0.4,2
84.0,2,7.6539,2,32.7202,2,287.3,2,60.3,2,0.6920000000000001,2,0.4,2
85.0,2,7.5863,2,32.7224,2,286.3,2,60.4,2,0.7709999999999999,2,0.4,2
86.0,2,7.5204,2,32.7244,2,285.7,2,60.4,2,0.8240000000000001,2,0.3,2
87.0,2,7.4791,2,32.726,2,285.8,2,60.5,2,0.84,2,0.3,2
88.0,2,7.445,2,32.7275,2,286.4,2,60.5,2,0.853,2,0.3,2
89.0,2,7.4270000000000005,2,32.7283,2,285.8,2,60.5,2,0.8420000000000001,2,0.3,2
90.0,2,7.4114,2,32.729,2,285.2,2,60.6,2,0.8240000000000001,2,0.3,2
91.0,2,7.355,2,32.7304,2,285.7,2,60.6,2,0.772,2,0.3,2
92.0,2,7.317,2,32.7324,2,285.6,2,60.7,2,0.752,2,0.2,2
93.0,2,7.2989,2,32.733000000000004,2,285.3,2,60.7,2,0.452,2,0.2,2
94.0,2,7.2698,2,32.7364,2,284.6,2,60.8,2,0.259,2,0.2,2
95.0,2,7.2463,2,32.7437,2,284.1,2,60.8,2,0.196,2,0.2,2
96.0,2,7.2313,2,32.7475,2,283.4,2,60.8,2,0.147,2,0.2,2
97.0,2,7.2086,2,32.7502,2,282.9,2,60.9,2,0.114,2,0.2,2
98.0,2,7.1806,2,32.7529,2,282.8,2,60.9,2,0.11,2,0.2,2
99.0,2,7.1352,2,32.7603,2,283.2,2,61.0,2,0.13699999999999998,2,0.2,2
100.0,2,7.1259,2,32.7626,2,282.9,2,61.0,2,0.149,2,0.2,2
101.0,2,7.117000000000001,2,32.7662,2,282.0,2,61.0,2,0.16399999999999998,2,0.2,2
102.0,2,7.0823,2,32.7797,2,280.7,2,61.1,2,0.145,2,0.1,2
103.0,2,7.0436,2,32.7956,2,279.8,2,61.2,2,0.138,2,0.1,2
104.0,2,6.9997,2,32.8276,2,278.2,2,61.2,2,0.111,2,0.1,2
105.0,2,6.9759,2,32.8794,2,275.1,2,61.3,2,0.10300000000000001,2,0.1,2
106.0,2,6.9612,2,32.9061,2,271.5,2,61.3,2,0.126,2,0.1,2
107.0,2,6.9382,2,32.9687,2,267.6,2,61.4,2,0.122,2,0.1,2
108.0,2,6.928999999999999,2,33.0348,2,264.5,2,61.4,2,0.11800000000000001,2,0.1,2
109.0,2,6.9251,2,33.0672,2,262.2,2,61.3,2,0.11699999999999999,2,0.1,2
110.0,2,6.9164,2,33.0944,2,259.9,2,61.4,2,0.11699999999999999,2,0.1,2
111.0,2,6.9058,2,33.1394,2,257.5,2,61.5,2,0.10800000000000001,2,0.1,2
112.0,2,6.8954,2,33.186,2,254.8,2,61.5,2,0.1,2,0.1,2
113.0,2,6.8889,2,33.2503,2,252.0,2,61.5,2,0.092,2,0.1,2
114.0,2,6.8847,2,33.2766,2,249.5,2,61.6,2,0.098,2,0.1,2
115.0,2,6.8815,2,33.298,2,247.9,2,61.6,2,0.098,2,0.1,2
116.0,2,6.8802,2,33.3092,2,246.4,2,61.6,2,0.08900000000000001,2,0.1,2
117.0,2,6.8788,2,33.3259,2,245.5,2,61.6,2,0.083,2,0.1,2
118.0,2,6.8773,2,33.3417,2,244.6,2,61.6,2,0.075,2,0.1,2
119.0,2,6.8752,2,33.3678,2,243.9,2,61.6,2,0.07200000000000001,2,0.1,2
120.1,2,6.8751,2,33.3715,2,243.6,2,61.6,2,0.07,2,0.1,2
121.0,2,6.8745,2,33.3777,2,242.7,2,61.6,2,0.08,2,0.1,2
