CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Fluorescence - Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#COMMENTS FOR CASTS 0001 TO 0032,,,,,,,,,,,,,,,,
#CTD Serial Number 0506; SBE Dissolved Oxygen sensor Serial Number 1176.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#As has been noted from several other cruises using Oxygen:Dissolved:CTD sensor #1176 in the summer 2010 the data are odd for some casts (casts 0022 to 0032) with concentration values offset by approximately 0.24 ml/l from the normal-looking casts and a higher noise level in the raw oxygen voltage.,,,,,,,,,,,,,,,,
#Data were recalibrated to correct for this offset but there were only 3 casts with titrated dissolved oxygen samples for the normal casts and 1 from the odd casts.,,,,,,,,,,,,,,,,
#Establishing which casts require the special recalibration was based on the noise level in the Oxygen:Dissolved:CTD voltage and information from other cruises was used to recalibrate the odd casts.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The quality of the Oxygen:Dissolved:CTD calibration is considered lower than usual and there are insufficient data to make precision estimates. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#COMMENTS FOR CASTS 0036 TO 0129,,,,,,,,,,,,,,,,
#CTD Serial Number 0443; SBE Dissolved Oxygen sensor Serial Number 1483.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#There are only 3 casts with titrated dissolved oxygen samples that could be compared to the Oxygen:Dissolved:CTD data for sensor #1438 and 1 of them looked significantly different in the comparison from the other 2. ,,,,,,,,,,,,,,,,
#Recalibration of dissolved oxygen was based on the 2 casts that looked similar.,,,,,,,,,,,,,,,,
#There are insufficient data to make a precision estimate.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#For Oxygen:Dissolved:CTD sensor #1438 values below 2200 dbar were replaced by pad values because there is evidence of significant hysteresis.,,,,,,,,,,,,,,,,
#The Salinity:Practical data from CTD #0443 showed evidence of flow rate problems in the top 200 dbar; the two-sided noise caused by that was minimized by bin-averaging.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#***********************************************************************,,,,,,,,,,,,,,,,
#In June 2011 it was discovered that the wrong information was used for conversion of the Oxygen:Dissolved:CTD sensor data for CTD #0443.,,,,,,,,,,,,,,,,
#Sensor #1483 was actually used for this cruise.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD channel was reprocessed. ,,,,,,,,,,,,,,,,
#A new recalibration scheme was found by rerunning the bottle comparison. ,,,,,,,,,,,,,,,,
#The files were then merged with all the other channels from the original processing.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The hysteresis noted in the original processing remains and the quality of the data is still considered of lower quality than usual.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Note that the correct calibration information for the Oxygen:Dissolved:CTD sensor can be found at the end of the processing report along with detail about how the reprocessing was done.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see file 2010-14-proc.pdf.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20100817
STNBR = P35
CASTNO = 1
DATE = 29/08/2010
TIME =  02:22
LATITUDE = 49.998000000000005
LONGITUDE = -144.30217
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.0,2,14.0832,2,32.5686,2,251.0,2,51.4,2,1.3780000000000001,2,,2
4.0,2,14.083,2,32.5687,2,250.8,2,51.5,2,1.3980000000000001,2,,2
5.0,2,14.083,2,32.5686,2,250.8,2,51.4,2,1.403,2,,2
6.0,2,14.0851,2,32.5687,2,250.7,2,51.4,2,1.577,2,,2
7.0,2,14.0858,2,32.5689,2,251.4,2,51.5,2,1.6480000000000001,2,,2
8.0,2,14.0856,2,32.5688,2,251.3,2,51.4,2,1.588,2,,2
9.0,2,14.0851,2,32.569,2,251.5,2,51.5,2,1.608,2,,2
10.0,2,14.0844,2,32.5689,2,252.1,2,51.5,2,1.665,2,,2
11.0,2,14.084000000000001,2,32.569,2,252.1,2,51.5,2,1.653,2,,2
12.0,2,14.0813,2,32.569,2,251.5,2,51.5,2,1.6769999999999998,2,,2
13.0,2,14.0788,2,32.5691,2,251.2,2,51.4,2,1.714,2,,2
14.0,2,14.0738,2,32.5693,2,251.2,2,51.5,2,1.713,2,,2
15.0,2,14.073,2,32.5694,2,252.1,2,51.4,2,1.795,2,,2
16.0,2,14.0812,2,32.569,2,252.0,2,51.4,2,1.74,2,,2
17.0,2,14.0815,2,32.5691,2,251.7,2,51.4,2,1.72,2,,2
18.0,2,14.0813,2,32.5691,2,251.7,2,51.4,2,1.7180000000000002,2,,2
19.0,2,14.0827,2,32.5691,2,252.1,2,51.5,2,1.723,2,,2
19.7,2,14.0817,2,32.5691,2,252.4,2,51.5,2,1.756,2,,2
21.5,2,14.075999999999999,2,32.5687,2,253.0,2,51.5,2,1.77,2,,2
22.0,2,14.0731,2,32.5687,2,253.1,2,51.4,2,1.8,2,,2
23.0,2,13.9246,2,32.5725,2,256.7,2,51.5,2,1.956,2,,2
24.0,2,13.7209,2,32.5768,2,258.6,2,51.3,2,2.094,2,,2
25.0,2,13.4216,2,32.5795,2,264.0,2,51.1,2,2.255,2,,2
26.0,2,13.0333,2,32.5871,2,268.7,2,51.0,2,2.3569999999999998,2,,2
27.0,2,12.8284,2,32.5859,2,274.4,2,50.5,2,2.4219999999999997,2,,2
28.0,2,12.1504,2,32.5909,2,280.9,2,51.0,2,2.54,2,,2
29.0,2,11.7511,2,32.5939,2,284.6,2,51.3,2,2.6189999999999998,2,,2
30.0,2,11.6325,2,32.5921,2,286.2,2,51.5,2,2.627,2,,2
31.0,2,11.2753,2,32.5934,2,287.3,2,51.5,2,2.674,2,,2
32.0,2,11.0199,2,32.5951,2,288.8,2,51.7,2,2.687,2,,2
33.0,2,10.7583,2,32.5948,2,290.4,2,51.9,2,2.7039999999999997,2,,2
34.0,2,10.573,2,32.5976,2,291.2,2,52.0,2,2.687,2,,2
35.0,2,10.3974,2,32.5983,2,290.9,2,52.3,2,2.6710000000000003,2,,2
36.0,2,10.1893,2,32.6005,2,290.0,2,52.5,2,2.67,2,,2
37.0,2,10.0555,2,32.6011,2,288.7,2,52.7,2,2.6639999999999997,2,,2
38.0,2,9.8641,2,32.5965,2,287.7,2,53.0,2,2.655,2,,2
39.0,2,9.7767,2,32.6006,2,287.2,2,53.2,2,2.655,2,,2
40.0,2,9.7376,2,32.6051,2,286.7,2,53.3,2,2.662,2,,2
41.0,2,9.6718,2,32.6088,2,286.8,2,53.4,2,2.6439999999999997,2,,2
42.0,2,9.6034,2,32.6097,2,287.2,2,53.4,2,2.636,2,,2
43.0,2,9.5678,2,32.6111,2,286.4,2,53.5,2,2.648,2,,2
44.0,2,9.4867,2,32.607,2,285.5,2,53.6,2,2.6210000000000004,2,,2
45.0,2,9.3492,2,32.6067,2,284.7,2,53.7,2,2.615,2,,2
46.0,2,9.187999999999999,2,32.6071,2,284.2,2,53.8,2,2.6,2,,2
47.0,2,9.0782,2,32.6068,2,284.2,2,54.0,2,2.568,2,,2
48.0,2,9.0119,2,32.6076,2,283.8,2,54.0,2,2.549,2,,2
49.0,2,8.9802,2,32.6071,2,283.9,2,54.3,2,2.536,2,,2
50.0,2,8.9509,2,32.6063,2,283.8,2,54.3,2,2.5140000000000002,2,,2
51.0,2,8.8423,2,32.6034,2,283.2,2,54.6,2,2.44,2,,2
52.0,2,8.6613,2,32.6021,2,282.5,2,54.9,2,2.381,2,,2
53.0,2,8.4754,2,32.6005,2,283.5,2,55.2,2,2.311,2,,2
54.0,2,8.3774,2,32.6025,2,283.9,2,55.5,2,2.213,2,,2
