CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Fluorescence - Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD calibration was done using the method described in the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Feb2010.pdf).,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#A shift in the Oxygen:Dissolved:Bottle standardization parameters occurred between events 0032 and 0044; this was not investigated to determine if the resultant change in Thiosulfate normality was real or the result of a shift in lab temperature.,,,,,,,,,,,,,,,,
#Checks of the fit of Oxygen:Dissolved:CTD against titrated Oxygen:Dissolved:Bottle suggest that the titrated values from the first part of the cruise are lower than those of the latter part by about 0.02 ml/l.,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD was recalibrated using titrated Oxygen:Dissolved:Bottle data from the whole cruise so any resultant error in the Oxygen:Dissolved:CTD is likely negligible compared to other sources of error (<0.01 ml/l).,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD channel was corrupted for all or parts of events 0007 - 0010 - 0015 - 0017 - 0018 - 0019 - 0021.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#WARNING: The dissolved oxygen sensor was found to have a damaged membrane when it was examined at the factory shortly after this cruise.,,,,,,,,,,,,,,,,
#There is evidence of hysteresis which could not be corrected by adjusting the calibration parameters. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD:Volume data are considered roughly to be:,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 125 dbar,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 125 dbar to 400 dbar,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l below 400 dbar,,,,,,,,,,,,,,,,
#Below 1000 dbar the Oxygen:Dissolved:CTD reads consistently low by <0.01 ml/l.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing file 2011-01-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20110208
STNBR = P20.5
CASTNO = 1
DATE = 14/02/2011
TIME =  17:37
LATITUDE = 49.578
LONGITUDE = -138.81717
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.0,2,6.9606,2,32.4707,2,297.3,2,61.7,2,0.74,2,57.6,2
3.0,2,6.9654,2,32.4711,2,297.2,2,61.7,2,0.71,2,50.2,2
4.0,2,6.9639,2,32.4708,2,297.2,2,61.7,2,0.711,2,43.2,2
5.0,2,6.9644,2,32.4705,2,297.2,2,61.7,2,0.78,2,39.3,2
6.0,2,6.9668,2,32.4711,2,297.2,2,61.6,2,0.8340000000000001,2,35.1,2
6.7,2,6.9683,2,32.4712,2,297.2,2,61.7,2,0.843,2,30.4,2
8.3,2,6.9688,2,32.4711,2,297.2,2,61.7,2,0.8859999999999999,2,28.6,2
8.9,2,6.9705,2,32.4715,2,297.1,2,61.7,2,0.894,2,27.2,2
10.0,2,6.9706,2,32.4717,2,297.1,2,61.6,2,0.938,2,25.2,2
11.0,2,6.971,2,32.4718,2,297.3,2,61.7,2,0.9179999999999999,2,22.0,2
12.0,2,6.9685,2,32.4711,2,297.4,2,61.7,2,0.925,2,19.4,2
13.0,2,6.9677,2,32.4711,2,297.4,2,61.7,2,0.941,2,17.4,2
14.0,2,6.9659,2,32.471,2,297.2,2,61.6,2,0.934,2,18.2,2
15.0,2,6.9616,2,32.4702,2,297.3,2,61.7,2,0.915,2,16.0,2
16.0,2,6.9624,2,32.47,2,297.4,2,61.7,2,0.9309999999999999,2,14.8,2
16.6,2,6.9652,2,32.4701,2,297.4,2,61.7,2,0.946,2,14.5,2
19.5,2,6.9692,2,32.4714,2,297.3,2,61.7,2,0.972,2,13.2,2
20.2,2,6.9688,2,32.4713,2,297.3,2,61.7,2,1.037,2,12.8,2
21.0,2,6.9656,2,32.4708,2,297.4,2,61.7,2,0.946,2,12.2,2
22.0,2,6.9647,2,32.4705,2,297.5,2,61.7,2,0.961,2,11.2,2
22.9,2,6.9668,2,32.4707,2,297.3,2,61.7,2,0.973,2,11.1,2
24.0,2,6.9679,2,32.4708,2,297.2,2,61.7,2,0.9420000000000001,2,11.1,2
25.0,2,6.9674,2,32.4709,2,297.4,2,61.7,2,0.9490000000000001,2,10.2,2
25.9,2,6.9687,2,32.4709,2,297.4,2,61.7,2,0.9440000000000001,2,9.4,2
27.0,2,6.9711,2,32.4716,2,297.4,2,61.7,2,0.987,2,9.6,2
28.0,2,6.972,2,32.4718,2,297.4,2,61.7,2,0.941,2,9.0,2
29.2,2,6.9808,2,32.4745,2,297.2,2,61.7,2,0.958,2,8.7,2
30.0,2,6.9824,2,32.4753,2,297.2,2,61.7,2,0.9940000000000001,2,8.4,2
31.0,2,6.9828,2,32.4762,2,297.3,2,61.7,2,0.971,2,8.1,2
31.9,2,6.9819,2,32.4766,2,297.3,2,61.7,2,1.0,2,7.9,2
33.0,2,6.9818,2,32.4763,2,297.4,2,61.7,2,0.976,2,7.7,2
34.1,2,6.9817,2,32.4769,2,297.4,2,61.7,2,0.998,2,7.2,2
34.9,2,6.9818,2,32.4767,2,297.3,2,61.7,2,0.992,2,7.1,2
36.0,2,6.982,2,32.477,2,297.3,2,61.6,2,0.986,2,6.8,2
37.1,2,6.9816,2,32.4777,2,297.4,2,61.7,2,0.9790000000000001,2,6.3,2
38.0,2,6.9804,2,32.478,2,297.1,2,61.7,2,0.992,2,6.3,2
39.0,2,6.9782,2,32.4784,2,297.3,2,61.7,2,0.9309999999999999,2,6.0,2
40.0,2,6.9771,2,32.4789,2,297.3,2,61.7,2,0.9590000000000001,2,5.7,2
