CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Fluorescence - Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD calibration was done using the method described in the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Feb2010.pdf).,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#A shift in the Oxygen:Dissolved:Bottle standardization parameters occurred between events 0032 and 0044; this was not investigated to determine if the resultant change in Thiosulfate normality was real or the result of a shift in lab temperature.,,,,,,,,,,,,,,,,
#Checks of the fit of Oxygen:Dissolved:CTD against titrated Oxygen:Dissolved:Bottle suggest that the titrated values from the first part of the cruise are lower than those of the latter part by about 0.02 ml/l.,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD was recalibrated using titrated Oxygen:Dissolved:Bottle data from the whole cruise so any resultant error in the Oxygen:Dissolved:CTD is likely negligible compared to other sources of error (<0.01 ml/l).,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD channel was corrupted for all or parts of events 0007 - 0010 - 0015 - 0017 - 0018 - 0019 - 0021.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#WARNING: The dissolved oxygen sensor was found to have a damaged membrane when it was examined at the factory shortly after this cruise.,,,,,,,,,,,,,,,,
#There is evidence of hysteresis which could not be corrected by adjusting the calibration parameters. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD:Volume data are considered roughly to be:,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 125 dbar,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 125 dbar to 400 dbar,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l below 400 dbar,,,,,,,,,,,,,,,,
#Below 1000 dbar the Oxygen:Dissolved:CTD reads consistently low by <0.01 ml/l.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing file 2011-01-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20110208
STNBR = P26
CASTNO = 1
DATE = 15/02/2011
TIME =  23:33
LATITUDE = 49.99617
LONGITUDE = -144.99651
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.2,2,5.6441,2,32.6617,2,302.3,2,58.4,2,1.444,2,,2
4.0,2,5.6431,2,32.6625,2,302.2,2,58.5,2,1.463,2,,2
5.0,2,5.6411,2,32.6625,2,302.3,2,58.5,2,1.492,2,,2
6.0,2,5.6429,2,32.6622,2,302.2,2,58.4,2,1.494,2,,2
7.0,2,5.6432,2,32.6626,2,302.3,2,58.5,2,1.52,2,,2
8.0,2,5.6424,2,32.6625,2,302.4,2,58.5,2,1.5290000000000001,2,,2
9.0,2,5.6428,2,32.6624,2,302.4,2,58.6,2,1.521,2,,2
10.0,2,5.6437,2,32.6627,2,302.6,2,58.5,2,1.511,2,,2
11.0,2,5.6427,2,32.6627,2,302.6,2,58.5,2,1.496,2,,2
12.0,2,5.6473,2,32.6624,2,302.6,2,58.5,2,1.551,2,,2
13.0,2,5.6496,2,32.6627,2,302.6,2,58.6,2,1.561,2,,2
14.0,2,5.6496,2,32.6627,2,302.6,2,58.7,2,1.565,2,,2
15.0,2,5.6496,2,32.6626,2,302.5,2,58.6,2,1.6019999999999999,2,,2
16.0,2,5.6497,2,32.6627,2,302.5,2,58.6,2,1.5930000000000002,2,,2
17.0,2,5.6497,2,32.6627,2,302.5,2,58.6,2,1.615,2,,2
18.0,2,5.6499,2,32.6627,2,302.5,2,58.6,2,1.594,2,,2
19.0,2,5.6501,2,32.6627,2,302.5,2,58.6,2,1.585,2,,2
20.0,2,5.6501,2,32.6626,2,302.6,2,58.6,2,1.6,2,,2
21.0,2,5.6502,2,32.6628,2,302.5,2,58.5,2,1.5959999999999999,2,,2
22.0,2,5.6504,2,32.6628,2,302.5,2,58.6,2,1.636,2,,2
23.0,2,5.6504,2,32.6627,2,302.4,2,58.6,2,1.63,2,,2
24.0,2,5.6505,2,32.6627,2,302.3,2,58.5,2,1.5919999999999999,2,,2
25.0,2,5.6508,2,32.6627,2,302.3,2,58.6,2,1.591,2,,2
26.0,2,5.6511,2,32.6627,2,302.5,2,58.6,2,1.6269999999999998,2,,2
27.0,2,5.6513,2,32.6628,2,302.4,2,58.6,2,1.618,2,,2
28.0,2,5.6511,2,32.6626,2,302.5,2,58.6,2,1.5830000000000002,2,,2
29.0,2,5.6509,2,32.6627,2,302.6,2,58.5,2,1.604,2,,2
30.0,2,5.651,2,32.6627,2,302.6,2,58.6,2,1.591,2,,2
31.0,2,5.6491,2,32.6627,2,302.7,2,58.5,2,1.568,2,,2
32.0,2,5.6488,2,32.6625,2,302.7,2,58.6,2,1.575,2,,2
33.0,2,5.6477,2,32.6623,2,302.8,2,58.5,2,1.595,2,,2
34.0,2,5.648,2,32.6622,2,302.7,2,58.5,2,1.631,2,,2
35.0,2,5.6485,2,32.6623,2,302.6,2,58.5,2,1.62,2,,2
36.0,2,5.6484,2,32.6624,2,302.6,2,58.5,2,1.61,2,,2
37.0,2,5.6485,2,32.6624,2,302.7,2,58.5,2,1.587,2,,2
38.0,2,5.6488,2,32.6623,2,302.7,2,58.6,2,1.588,2,,2
39.0,2,5.6478,2,32.6624,2,302.7,2,58.5,2,1.58,2,,2
40.0,2,5.6479,2,32.6624,2,302.7,2,58.5,2,1.591,2,,2
41.0,2,5.6482,2,32.6624,2,302.6,2,58.5,2,1.618,2,,2
42.0,2,5.6483,2,32.6625,2,302.7,2,58.6,2,1.604,2,,2
43.0,2,5.6486,2,32.6627,2,302.7,2,58.6,2,1.597,2,,2
