CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Fluorescence - Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD calibration was done using the method described in the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Feb2010.pdf).,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 150 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 150 to 400 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l below 400 dbar (mostly low below 3000 dbar),,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see processing report 2011-26-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20110603
STNBR = P12
CASTNO = 3
DATE = 07/06/2011
TIME =  05:00
LATITUDE = 48.97967
LONGITUDE = -130.71767
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
4.4,2,10.8347,2,32.2682,2,288.3,2,54.0,2,1.306,2,,2
5.0,2,10.8357,2,32.2682,2,288.3,2,54.0,2,1.3130000000000002,2,,2
6.0,2,10.8393,2,32.2673,2,288.9,2,54.0,2,1.311,2,,2
7.0,2,10.8397,2,32.2675,2,289.5,2,54.0,2,1.3130000000000002,2,,2
8.0,2,10.8403,2,32.2674,2,289.0,2,54.0,2,1.3259999999999998,2,,2
9.0,2,10.8396,2,32.2676,2,289.8,2,53.5,2,1.2930000000000001,2,,2
10.0,2,10.8312,2,32.2699,2,290.6,2,54.0,2,1.339,2,,2
11.0,2,10.7995,2,32.2782,2,290.9,2,53.8,2,1.341,2,,2
12.0,2,10.8129,2,32.2742,2,290.9,2,54.1,2,1.3130000000000002,2,,2
13.0,2,10.8161,2,32.2735,2,290.5,2,54.2,2,1.294,2,,2
13.9,2,10.7879,2,32.2807,2,289.2,2,54.0,2,1.2990000000000002,2,,2
15.0,2,10.7779,2,32.2833,2,288.5,2,54.3,2,1.371,2,,2
16.0,2,10.7765,2,32.2839,2,288.7,2,53.5,2,1.3419999999999999,2,,2
17.0,2,10.7644,2,32.2874,2,289.6,2,54.1,2,1.308,2,,2
18.1,2,10.6797,2,32.3096,2,290.2,2,54.5,2,1.2790000000000001,2,,2
18.6,2,10.61,2,32.3325,2,289.1,2,55.0,2,1.2830000000000001,2,,2
20.0,2,10.4948,2,32.3527,2,291.4,2,55.3,2,1.258,2,,2
21.0,2,10.3466,2,32.3842,2,293.8,2,55.6,2,1.247,2,,2
22.0,2,10.0183,2,32.4257,2,296.8,2,55.6,2,1.291,2,,2
23.0,2,9.7783,2,32.4522,2,299.7,2,55.9,2,1.39,2,,2
24.0,2,9.588,2,32.4724,2,302.5,2,55.2,2,1.5930000000000002,2,,2
25.0,2,9.3016,2,32.5061,2,304.5,2,54.6,2,1.7719999999999998,2,,2
26.0,2,9.1959,2,32.507,2,305.6,2,54.8,2,1.831,2,,2
27.0,2,9.1024,2,32.5041,2,306.1,2,55.2,2,1.83,2,,2
28.0,2,9.011000000000001,2,32.504,2,305.9,2,55.5,2,1.8359999999999999,2,,2
29.0,2,8.9635,2,32.507,2,305.0,2,55.5,2,1.886,2,,2
30.0,2,8.9179,2,32.5096,2,305.6,2,55.6,2,1.912,2,,2
31.0,2,8.9009,2,32.5107,2,305.4,2,55.5,2,1.891,2,,2
32.0,2,8.8629,2,32.5122,2,306.0,2,55.7,2,1.95,2,,2
33.0,2,8.812000000000001,2,32.5131,2,306.5,2,55.6,2,1.9509999999999998,2,,2
34.0,2,8.7295,2,32.5133,2,306.2,2,55.2,2,2.023,2,,2
35.1,2,8.5969,2,32.5213,2,304.8,2,55.1,2,2.215,2,,2
36.0,2,8.5162,2,32.5246,2,305.1,2,55.1,2,2.345,2,,2
37.0,2,8.4389,2,32.5269,2,306.2,2,55.1,2,2.501,2,,2
38.0,2,8.3573,2,32.5283,2,307.1,2,54.9,2,2.5860000000000003,2,,2
