CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Fluorescence - Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD calibration was done using the method described in the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Feb2010.pdf).,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 150 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 150 to 400 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l below 400 dbar (mostly low below 3000 dbar),,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see processing report 2011-26-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20110603
STNBR = PA-004
CASTNO = 1
DATE = 12/06/2011
TIME =  12:50
LATITUDE = 50.0455
LONGITUDE = -144.87917
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.2,2,7.9287,2,32.6878,2,309.3,2,54.9,2,1.127,2,0.8,2
3.0,2,7.9276,2,32.6878,2,309.3,2,56.7,2,1.16,2,0.7,2
3.9,2,7.9264,2,32.6878,2,307.3,2,56.7,2,1.168,2,0.5,2
5.0,2,7.9261,2,32.6877,2,304.4,2,56.5,2,1.214,2,0.4,2
6.0,2,7.9252,2,32.6878,2,304.4,2,56.7,2,1.202,2,0.3,2
7.0,2,7.9282,2,32.6878,2,304.9,2,56.7,2,1.1740000000000002,2,0.2,2
8.0,2,7.9247,2,32.688,2,305.7,2,56.5,2,1.14,2,0.2,2
9.0,2,7.9246,2,32.688,2,305.9,2,56.7,2,1.1440000000000001,2,0.1,2
10.0,2,7.9258,2,32.688,2,306.7,2,56.6,2,1.2009999999999998,2,0.1,2
11.0,2,7.9257,2,32.688,2,306.9,2,56.7,2,1.228,2,0.1,2
12.0,2,7.9219,2,32.688,2,307.4,2,56.7,2,1.235,2,0.1,2
13.0,2,7.9275,2,32.688,2,307.3,2,56.7,2,1.187,2,0.1,2
14.0,2,7.9276,2,32.688,2,307.4,2,56.7,2,1.215,2,0.0,2
15.0,2,7.9284,2,32.6879,2,307.2,2,56.7,2,1.214,2,0.0,2
16.0,2,7.9261,2,32.6879,2,306.9,2,56.7,2,1.1909999999999998,2,0.0,2
17.0,2,7.9151,2,32.688,2,306.4,2,56.7,2,1.18,2,0.0,2
18.0,2,7.9216,2,32.6882,2,305.5,2,56.7,2,1.181,2,0.0,2
19.0,2,7.9225,2,32.688,2,305.0,2,56.7,2,1.178,2,0.0,2
20.0,2,7.9227,2,32.688,2,305.4,2,56.7,2,1.173,2,0.0,2
21.0,2,7.9211,2,32.6881,2,306.1,2,56.4,2,1.1840000000000002,2,0.0,2
22.0,2,7.9012,2,32.6884,2,306.5,2,56.6,2,1.181,2,0.0,2
23.0,2,7.8838,2,32.6885,2,306.7,2,56.4,2,1.1840000000000002,2,0.0,2
24.0,2,7.882999999999999,2,32.6887,2,306.6,2,56.5,2,1.18,2,0.0,2
25.0,2,7.8809,2,32.6883,2,306.4,2,56.5,2,1.207,2,0.0,2
26.0,2,7.8771,2,32.6884,2,305.7,2,56.5,2,1.229,2,0.0,2
27.0,2,7.8735,2,32.6885,2,305.2,2,56.5,2,1.247,2,0.0,2
28.0,2,7.8712,2,32.6884,2,305.1,2,56.5,2,1.248,2,0.0,2
29.0,2,7.8647,2,32.6887,2,305.0,2,56.4,2,1.263,2,0.0,2
30.0,2,7.8473,2,32.6892,2,304.0,2,56.2,2,1.3130000000000002,2,0.0,2
31.0,2,7.8375,2,32.6895,2,303.5,2,56.2,2,1.3330000000000002,2,0.0,2
32.0,2,7.7976,2,32.6895,2,304.3,2,56.3,2,1.405,2,0.0,2
33.0,2,7.7391,2,32.6894,2,306.2,2,56.1,2,1.4469999999999998,2,0.0,2
34.0,2,7.6548,2,32.6905,2,308.1,2,55.9,2,1.492,2,0.0,2
35.0,2,7.5313,2,32.6913,2,309.3,2,55.4,2,1.895,2,0.0,2
36.0,2,7.3006,2,32.6933,2,309.2,2,55.1,2,1.9809999999999999,2,0.0,2
37.0,2,7.1823,2,32.6947,2,308.0,2,55.3,2,2.105,2,0.0,2
38.0,2,7.1037,2,32.6941,2,307.1,2,55.2,2,2.19,2,0.0,2
39.0,2,7.0822,2,32.6935,2,307.4,2,55.3,2,2.253,2,0.0,2
40.0,2,7.0483,2,32.6943,2,308.1,2,55.7,2,2.105,2,0.0,2
41.0,2,6.9614,2,32.6957,2,309.0,2,56.0,2,2.025,2,0.0,2
42.0,2,6.7389,2,32.7002,2,310.0,2,56.9,2,1.702,2,0.0,2
43.0,2,6.6069,2,32.7031,2,310.5,2,57.8,2,1.6219999999999999,2,0.0,2
