CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Fluorescence - Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD calibration was done using the method described in the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Feb2010.pdf).,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 100 to 400 dbar,,,,,,,,,,,,,,,,,
#      • ±0.08 ml/l from 500 to 2500 dbar,,,,,,,,,,,,,,,,,
#      • low by ~0.04 ml/l below 2500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see processing report 2011-27-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20110816
STNBR = P7
CASTNO = 1
DATE = 20/08/2011
TIME =  02:37
LATITUDE = 48.77666
LONGITUDE = -128.166
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.0,2,16.7547,2,32.2723,2,254.5,2,56.8,2,0.253,2,,2
4.0,2,16.7636,2,32.2743,2,255.5,2,56.8,2,0.245,2,,2
5.0,2,16.8178,2,32.2756,2,255.6,2,56.8,2,0.261,2,,2
6.0,2,16.8154,2,32.275999999999996,2,254.5,2,56.8,2,0.27399999999999997,2,,2
7.0,2,16.8151,2,32.275999999999996,2,254.5,2,56.8,2,0.272,2,,2
8.0,2,16.7719,2,32.275,2,256.7,2,56.8,2,0.244,2,,2
9.0,2,16.4982,2,32.2633,2,258.8,2,56.7,2,0.25,2,,2
10.0,2,16.2834,2,32.2463,2,259.0,2,56.6,2,0.27399999999999997,2,,2
11.0,2,16.2307,2,32.244,2,258.2,2,56.6,2,0.27399999999999997,2,,2
12.0,2,16.1997,2,32.242,2,260.0,2,56.4,2,0.27399999999999997,2,,2
13.0,2,16.0788,2,32.2549,2,261.3,2,56.0,2,0.292,2,,2
14.0,2,15.8925,2,32.274,2,262.1,2,55.5,2,0.308,2,,2
15.0,2,15.8256,2,32.2767,2,262.1,2,55.7,2,0.305,2,,2
16.0,2,15.7934,2,32.2782,2,262.4,2,55.5,2,0.311,2,,2
17.0,2,15.7704,2,32.2787,2,263.0,2,55.2,2,0.366,2,,2
18.0,2,15.7333,2,32.2804,2,263.4,2,55.4,2,0.41200000000000003,2,,2
19.0,2,15.7106,2,32.2818,2,262.3,2,54.9,2,0.40299999999999997,2,,2
20.0,2,15.6986,2,32.2833,2,262.2,2,54.9,2,0.42,2,,2
21.0,2,15.6892,2,32.2853,2,264.0,2,54.9,2,0.426,2,,2
22.0,2,15.6585,2,32.2939,2,264.2,2,54.5,2,0.444,2,,2
23.0,2,15.585999999999999,2,32.2988,2,265.1,2,54.3,2,0.47200000000000003,2,,2
24.0,2,15.5717,2,32.3002,2,266.6,2,54.2,2,0.484,2,,2
25.0,2,15.5379,2,32.3006,2,266.7,2,54.0,2,0.494,2,,2
26.0,2,15.4891,2,32.3016,2,267.1,2,54.0,2,0.5329999999999999,2,,2
27.0,2,15.4557,2,32.3004,2,268.3,2,54.0,2,0.579,2,,2
28.0,2,15.4073,2,32.3024,2,269.6,2,53.8,2,0.579,2,,2
29.0,2,15.2972,2,32.3071,2,271.7,2,53.9,2,0.58,2,,2
