CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Fluorescence - Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD calibration was done using the method described in the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Feb2010.pdf).,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 100 to 400 dbar,,,,,,,,,,,,,,,,,
#      • ±0.08 ml/l from 500 to 2500 dbar,,,,,,,,,,,,,,,,,
#      • low by ~0.04 ml/l below 2500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see processing report 2011-27-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20110816
STNBR = PA-005
CASTNO = 1
DATE = 27/08/2011
TIME =  01:49
LATITUDE = 50.135
LONGITUDE = -144.81551000000002
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.3,2,13.1258,2,32.4915,2,275.3,2,52.7,2,1.3730000000000002,2,331.5,2
2.9,2,13.1247,2,32.4913,2,272.9,2,52.6,2,1.38,2,286.7,2
3.9,2,13.1245,2,32.4913,2,270.9,2,52.7,2,1.3730000000000002,2,251.5,2
5.0,2,13.1239,2,32.4915,2,271.1,2,52.6,2,1.33,2,210.6,2
5.9,2,13.1243,2,32.4917,2,272.1,2,52.6,2,1.402,2,200.6,2
7.0,2,13.1226,2,32.492,2,273.2,2,52.7,2,1.556,2,165.8,2
7.9,2,13.1161,2,32.4932,2,273.1,2,52.6,2,1.6159999999999999,2,159.9,2
9.1,2,13.1109,2,32.4943,2,272.8,2,52.7,2,1.68,2,141.4,2
10.0,2,13.1049,2,32.4958,2,273.1,2,52.6,2,1.719,2,130.4,2
11.0,2,13.0986,2,32.497,2,273.3,2,52.7,2,1.7480000000000002,2,120.6,2
12.0,2,13.0942,2,32.4982,2,273.5,2,52.6,2,1.8330000000000002,2,109.6,2
13.0,2,13.0842,2,32.5004,2,273.5,2,52.6,2,1.831,2,98.1,2
14.0,2,13.0674,2,32.5046,2,273.4,2,52.5,2,1.8330000000000002,2,88.4,2
14.7,2,13.062999999999999,2,32.506,2,273.3,2,52.4,2,1.892,2,83.5,2
16.2,2,13.0626,2,32.5064,2,272.8,2,52.4,2,1.8619999999999999,2,76.3,2
17.0,2,13.0612,2,32.5067,2,272.8,2,52.3,2,1.882,2,72.3,2
18.0,2,13.059000000000001,2,32.5072,2,273.2,2,52.3,2,1.925,2,67.0,2
19.0,2,13.0568,2,32.5072,2,273.5,2,52.2,2,1.929,2,62.1,2
20.0,2,13.0544,2,32.5074,2,273.6,2,52.2,2,2.05,2,57.2,2
21.0,2,13.0526,2,32.5074,2,273.2,2,52.2,2,2.045,2,52.1,2
22.1,2,13.0512,2,32.5076,2,273.0,2,52.3,2,2.022,2,46.4,2
23.0,2,13.0502,2,32.508,2,273.9,2,52.4,2,1.9609999999999999,2,43.8,2
24.0,2,13.0453,2,32.5087,2,276.9,2,52.5,2,2.009,2,42.5,2
25.0,2,13.0388,2,32.5094,2,279.4,2,52.5,2,2.075,2,39.8,2
26.0,2,13.0172,2,32.5126,2,280.5,2,52.5,2,2.075,2,36.9,2
