CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Fluorescence data were recalibrated to correct an error in the scale factor used in the original conversion.,,,,,,,,,,,,,,,,,
#The data are still considered nominal and are unedited.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD calibration was done using the method described in the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Feb2010.pdf).,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 0 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 300 dbar to 800 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l below 800 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see processing report 2012-01-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20120206
STNBR = P2
CASTNO = 1
DATE = 08/02/2012
TIME =  14:35
LATITUDE = 48.60033
LONGITUDE = -125.99966
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
4.4,2,8.1622,2,31.9872,2,282.0,2,54.3,2,1.217,2,0.0,2
4.5,2,8.1623,2,31.9876,2,282.0,2,54.3,2,1.25,2,0.0,2
7.2,2,8.162,2,31.9862,2,281.9,2,54.3,2,1.325,2,0.0,2
8.0,2,8.1614,2,31.9859,2,281.9,2,54.1,2,1.371,2,0.0,2
9.0,2,8.1609,2,31.9855,2,282.0,2,54.3,2,1.275,2,0.0,2
10.0,2,8.1614,2,31.986,2,282.0,2,54.3,2,1.3459999999999999,2,0.0,2
11.0,2,8.1679,2,31.9925,2,282.0,2,54.3,2,1.321,2,0.0,2
11.7,2,8.1711,2,31.9955,2,281.8,2,54.3,2,1.4080000000000001,2,0.0,2
12.9,2,8.1716,2,31.9958,2,281.3,2,54.4,2,1.317,2,0.0,2
14.0,2,8.169,2,31.9923,2,281.7,2,54.4,2,1.304,2,0.0,2
15.0,2,8.1702,2,31.9934,2,281.9,2,54.4,2,1.3130000000000002,2,0.0,2
16.0,2,8.1734,2,31.9971,2,282.1,2,54.4,2,1.3130000000000002,2,0.0,2
17.0,2,8.17,2,31.9934,2,282.1,2,54.4,2,1.325,2,0.0,2
18.0,2,8.1797,2,32.0072,2,281.9,2,54.3,2,1.3330000000000002,2,0.0,2
18.8,2,8.1968,2,32.024,2,282.0,2,54.8,2,1.35,2,0.0,2
20.1,2,8.1945,2,32.0187,2,282.0,2,54.9,2,1.3630000000000002,2,0.0,2
20.7,2,8.2081,2,32.0364,2,281.9,2,54.7,2,1.3330000000000002,2,0.0,2
22.2,2,8.2467,2,32.077,2,282.9,2,55.3,2,1.1540000000000001,2,0.0,2
23.0,2,8.2874,2,32.1239,2,283.2,2,55.7,2,1.1420000000000001,2,0.0,2
24.0,2,8.2971,2,32.1358,2,283.7,2,56.3,2,1.063,2,0.0,2
25.0,2,8.3323,2,32.1781,2,283.8,2,56.9,2,1.025,2,0.0,2
26.0,2,8.3672,2,32.2193,2,283.6,2,57.1,2,1.013,2,0.0,2
27.0,2,8.3688,2,32.2216,2,283.6,2,58.1,2,1.008,2,0.0,2
28.0,2,8.3711,2,32.2257,2,283.6,2,58.6,2,1.004,2,0.0,2
28.9,2,8.3689,2,32.2226,2,283.8,2,58.6,2,1.042,2,0.0,2
29.9,2,8.3707,2,32.2247,2,284.7,2,58.7,2,0.975,2,0.0,2
31.0,2,8.3822,2,32.2417,2,284.9,2,58.7,2,0.996,2,0.0,2
32.0,2,8.3868,2,32.2481,2,284.8,2,59.1,2,1.025,2,0.0,2
33.3,2,8.3883,2,32.2617,2,284.9,2,59.7,2,0.95,2,0.0,2
34.0,2,8.3894,2,32.2636,2,285.1,2,59.7,2,0.983,2,0.0,2
35.0,2,8.3895,2,32.2651,2,285.1,2,59.7,2,0.9790000000000001,2,0.0,2
36.0,2,8.3916,2,32.2706,2,285.2,2,59.7,2,0.958,2,0.0,2
37.0,2,8.3945,2,32.2763,2,285.3,2,59.9,2,0.9420000000000001,2,0.0,2
38.0,2,8.3941,2,32.2757,2,285.3,2,59.9,2,0.9540000000000001,2,0.0,2
39.1,2,8.3943,2,32.2752,2,285.3,2,59.9,2,0.95,2,0.0,2
40.0,2,8.3949,2,32.275,2,285.3,2,59.9,2,1.008,2,0.0,2
41.0,2,8.3982,2,32.285,2,285.4,2,60.0,2,0.983,2,0.0,2
42.0,2,8.3977,2,32.2945,2,285.9,2,60.1,2,0.9540000000000001,2,0.0,2
43.0,2,8.3944,2,32.3093,2,286.4,2,60.2,2,0.925,2,0.0,2
44.0,2,8.3873,2,32.336,2,286.4,2,60.3,2,0.888,2,0.0,2
45.0,2,8.3866,2,32.3386,2,286.4,2,60.6,2,0.946,2,0.0,2
46.0,2,8.3862,2,32.3389,2,286.4,2,60.9,2,0.988,2,0.0,2
47.0,2,8.3837,2,32.3437,2,286.2,2,60.9,2,0.925,2,0.0,2
48.0,2,8.3787,2,32.3539,2,285.6,2,61.0,2,0.879,2,0.0,2
49.0,2,8.3814,2,32.3487,2,285.4,2,60.9,2,0.838,2,0.0,2
50.1,2,8.3659,2,32.378,2,285.1,2,61.3,2,0.833,2,0.0,2
51.0,2,8.36,2,32.3943,2,284.1,2,61.9,2,0.7709999999999999,2,0.0,2
51.9,2,8.3527,2,32.4205,2,282.1,2,62.3,2,0.638,2,0.0,2
53.0,2,8.3423,2,32.4382,2,280.9,2,62.4,2,0.617,2,0.0,2
54.1,2,8.3399,2,32.4472,2,279.9,2,63.0,2,0.633,2,0.0,2
