CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Fluorescence data were recalibrated to correct an error in the scale factor used in the original conversion.,,,,,,,,,,,,,,,,,
#The data are still considered nominal and are unedited.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD calibration was done using the method described in the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Feb2010.pdf).,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 0 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 300 dbar to 800 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l below 800 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see processing report 2012-01-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20120206
STNBR = PA-005
CASTNO = 1
DATE = 16/02/2012
TIME =  05:45
LATITUDE = 50.11633
LONGITUDE = -144.81083999999998
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.3,2,5.5668,2,32.6874,2,305.4,2,62.2,2,0.992,2,,2
3.2,2,5.5667,2,32.6875,2,305.2,2,62.2,2,0.996,2,,2
4.0,2,5.5675,2,32.6875,2,305.9,2,62.2,2,1.021,2,,2
4.8,2,5.5683,2,32.6877,2,306.4,2,62.2,2,1.025,2,,2
6.2,2,5.5683,2,32.6875,2,305.9,2,62.1,2,1.042,2,,2
7.0,2,5.5688,2,32.6876,2,306.0,2,62.1,2,1.0290000000000001,2,,2
8.0,2,5.569,2,32.6876,2,306.4,2,62.1,2,1.0170000000000001,2,,2
9.1,2,5.5688,2,32.6876,2,306.6,2,62.1,2,1.0290000000000001,2,,2
9.9,2,5.5688,2,32.6876,2,306.1,2,62.1,2,1.046,2,,2
11.0,2,5.5694,2,32.6877,2,305.9,2,62.1,2,1.033,2,,2
12.0,2,5.5694,2,32.6875,2,306.1,2,62.1,2,1.058,2,,2
13.0,2,5.5684,2,32.6876,2,306.3,2,62.2,2,1.038,2,,2
14.0,2,5.5692,2,32.6876,2,306.6,2,62.2,2,1.033,2,,2
15.0,2,5.5693,2,32.6875,2,306.7,2,62.2,2,1.008,2,,2
16.4,2,5.5695,2,32.6876,2,305.9,2,62.2,2,1.067,2,,2
16.9,2,5.5697,2,32.6876,2,305.6,2,62.2,2,1.042,2,,2
18.0,2,5.57,2,32.6876,2,306.1,2,62.2,2,1.038,2,,2
19.0,2,5.571000000000001,2,32.6873,2,306.4,2,62.2,2,1.0290000000000001,2,,2
20.0,2,5.5711,2,32.6874,2,306.2,2,62.2,2,1.025,2,,2
21.0,2,5.5699,2,32.6875,2,306.1,2,62.2,2,1.067,2,,2
22.0,2,5.5689,2,32.6876,2,306.3,2,62.2,2,1.071,2,,2
23.0,2,5.5689,2,32.6876,2,306.4,2,62.2,2,1.063,2,,2
24.1,2,5.5669,2,32.6878,2,306.7,2,62.2,2,1.0290000000000001,2,,2
25.0,2,5.5664,2,32.6877,2,306.1,2,62.2,2,1.058,2,,2
26.0,2,5.566,2,32.6878,2,305.5,2,62.2,2,1.042,2,,2
27.0,2,5.5668,2,32.6876,2,305.8,2,62.2,2,1.038,2,,2
28.0,2,5.5687,2,32.6875,2,306.1,2,62.1,2,1.0290000000000001,2,,2
29.0,2,5.5687,2,32.6875,2,306.3,2,62.1,2,1.042,2,,2
30.0,2,5.5648,2,32.6876,2,306.3,2,62.1,2,1.058,2,,2
31.0,2,5.5679,2,32.6875,2,306.3,2,62.2,2,1.088,2,,2
32.0,2,5.5635,2,32.6877,2,306.3,2,62.2,2,1.1,2,,2
32.9,2,5.5571,2,32.6879,2,306.3,2,62.2,2,1.033,2,,2
34.3,2,5.5551,2,32.6882,2,306.6,2,62.4,2,1.025,2,,2
34.6,2,5.555,2,32.688,2,306.8,2,62.3,2,0.996,2,,2
36.2,2,5.5551,2,32.6882,2,304.7,2,62.4,2,0.975,2,,2
37.0,2,5.5549,2,32.6881,2,305.0,2,62.4,2,1.004,2,,2
38.0,2,5.5543,2,32.6883,2,305.3,2,62.5,2,1.021,2,,2
39.0,2,5.5542,2,32.6884,2,305.8,2,62.5,2,1.008,2,,2
40.0,2,5.5543,2,32.6883,2,306.0,2,62.7,2,1.0290000000000001,2,,2
41.0,2,5.5544,2,32.6884,2,306.0,2,62.7,2,0.988,2,,2
42.0,2,5.5543,2,32.6884,2,306.0,2,62.7,2,0.925,2,,2
43.0,2,5.5541,2,32.6884,2,306.0,2,62.7,2,0.929,2,,2
44.1,2,5.5531,2,32.6888,2,306.3,2,62.7,2,0.938,2,,2
44.8,2,5.5541,2,32.6888,2,306.4,2,62.6,2,0.975,2,,2
46.0,2,5.5543,2,32.6888,2,306.4,2,62.7,2,0.9670000000000001,2,,2
47.1,2,5.5541,2,32.6888,2,306.2,2,62.7,2,0.9670000000000001,2,,2
