CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD calibration was done using the method described in the Sea-Bird Application Note #64-2  (Sea-Bird_64-2_Jun2012.pdf).,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered roughly to be:,,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 0 to 125 dbar,,,,,,,,,,,,,,,,,,
#      • ±0.06 ml/l from 125 dbar to 500 dbar,,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l from 500 dbar to 2000 dbar,,,,,,,,,,,,,,,,,,
#      • ±0.02 ml/l below 2000 dbar,,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#For details on the processing see processing report 2012-12-proc.pdf,,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20120522
STNBR = P10
CASTNO = 1
DATE = 26/05/2012
TIME =  14:36
LATITUDE = 48.89333
LONGITUDE = -129.66634
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,MG/M^3,,UE/m^2/sec,
4.1,2,9.2355,2,32.6498,2,293.7,2,59.0,2,0.516,2,0.9590000000000001,2,,2
4.9,2,9.2357,2,32.65,2,293.8,2,60.7,2,0.518,2,0.968,2,,2
6.0,2,9.2354,2,32.6501,2,294.0,2,60.8,2,0.522,2,0.941,2,,2
7.0,2,9.2348,2,32.6502,2,294.1,2,60.8,2,0.531,2,0.9740000000000001,2,,2
8.0,2,9.2343,2,32.6502,2,294.4,2,60.7,2,0.535,2,0.9590000000000001,2,,2
8.9,2,9.2304,2,32.6509,2,294.3,2,60.8,2,0.5489999999999999,2,1.0390000000000001,2,,2
10.0,2,9.2286,2,32.650999999999996,2,294.0,2,60.8,2,0.555,2,1.036,2,,2
11.0,2,9.2294,2,32.650999999999996,2,293.9,2,60.9,2,0.5589999999999999,2,1.032,2,,2
11.9,2,9.2281,2,32.6511,2,294.1,2,60.9,2,0.557,2,1.0659999999999998,2,,2
13.1,2,9.2278,2,32.6512,2,294.3,2,60.8,2,0.562,2,1.072,2,,2
14.4,2,9.2277,2,32.6513,2,294.4,2,60.9,2,0.574,2,1.06,2,,2
15.0,2,9.2273,2,32.6515,2,294.5,2,60.9,2,0.574,2,1.045,2,,2
16.0,2,9.2287,2,32.6513,2,294.4,2,60.9,2,0.562,2,1.022,2,,2
17.0,2,9.2259,2,32.652,2,294.4,2,60.9,2,0.562,2,1.035,2,,2
17.7,2,9.2218,2,32.6521,2,294.4,2,60.9,2,0.562,2,1.065,2,,2
19.0,2,9.2219,2,32.6521,2,294.1,2,59.6,2,0.583,2,1.073,2,,2
20.0,2,9.2189,2,32.6525,2,294.3,2,59.8,2,0.579,2,1.0090000000000001,2,,2
21.0,2,9.2182,2,32.6528,2,294.4,2,60.4,2,0.565,2,0.988,2,,2
22.0,2,9.2165,2,32.653,2,294.7,2,61.0,2,0.55,2,0.983,2,,2
23.0,2,9.2146,2,32.6529,2,294.9,2,61.1,2,0.56,2,1.0270000000000001,2,,2
24.1,2,9.2134,2,32.6533,2,294.7,2,61.1,2,0.5489999999999999,2,1.02,2,,2
24.9,2,9.2064,2,32.6537,2,294.2,2,60.3,2,0.556,2,1.068,2,,2
25.9,2,9.2069,2,32.6538,2,294.3,2,61.3,2,0.561,2,1.058,2,,2
27.0,2,9.2106,2,32.6534,2,294.4,2,61.1,2,0.5539999999999999,2,1.03,2,,2
28.0,2,9.2092,2,32.6537,2,294.7,2,61.2,2,0.542,2,1.015,2,,2
