CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD calibration was done using the method described in the Sea-Bird Application Note #64-2  (Sea-Bird_64-2_Jun2012.pdf).,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered roughly to be:,,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 0 to 125 dbar,,,,,,,,,,,,,,,,,,
#      • ±0.06 ml/l from 125 dbar to 500 dbar,,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l from 500 dbar to 2000 dbar,,,,,,,,,,,,,,,,,,
#      • ±0.02 ml/l below 2000 dbar,,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#For details on the processing see processing report 2012-12-proc.pdf,,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20120522
STNBR = PA-005
CASTNO = 1
DATE = 03/06/2012
TIME =  13:44
LATITUDE = 50.12083
LONGITUDE = -144.7885
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,MG/M^3,,UE/m^2/sec,
4.0,2,6.6763,2,32.6913,2,308.0,2,60.0,2,0.49200000000000005,2,0.95,2,,2
5.0,2,6.6763,2,32.6913,2,307.9,2,60.0,2,0.489,2,0.986,2,,2
6.5,2,6.6754,2,32.6913,2,308.0,2,60.0,2,0.488,2,0.9840000000000001,2,,2
7.0,2,6.676,2,32.6913,2,308.0,2,60.0,2,0.508,2,0.958,2,,2
8.0,2,6.6761,2,32.6914,2,308.2,2,59.4,2,0.498,2,0.9570000000000001,2,,2
9.0,2,6.6762,2,32.6913,2,308.0,2,59.9,2,0.526,2,0.966,2,,2
10.0,2,6.6769,2,32.6917,2,307.7,2,60.0,2,0.501,2,0.9490000000000001,2,,2
11.0,2,6.6777,2,32.6921,2,308.2,2,60.0,2,0.491,2,0.9209999999999999,2,,2
12.0,2,6.6782,2,32.6925,2,308.5,2,60.0,2,0.514,2,0.922,2,,2
13.0,2,6.6774,2,32.6948,2,308.3,2,60.0,2,0.484,2,0.937,2,,2
14.0,2,6.6717,2,32.6955,2,308.1,2,59.9,2,0.496,2,0.972,2,,2
15.0,2,6.6621,2,32.6959,2,308.0,2,59.9,2,0.522,2,0.9890000000000001,2,,2
16.0,2,6.6587,2,32.6961,2,308.4,2,56.3,2,0.515,2,0.953,2,,2
17.0,2,6.6474,2,32.696999999999996,2,308.9,2,59.5,2,0.524,2,0.9740000000000001,2,,2
18.0,2,6.6306,2,32.6974,2,308.7,2,59.9,2,0.524,2,1.018,2,,2
19.0,2,6.6207,2,32.6977,2,308.6,2,59.7,2,0.5479999999999999,2,1.021,2,,2
20.1,2,6.5931,2,32.6984,2,308.5,2,59.7,2,0.583,2,1.102,2,,2
21.0,2,6.5724,2,32.6983,2,308.8,2,59.3,2,0.604,2,1.136,2,,2
21.9,2,6.5374,2,32.699,2,309.5,2,59.6,2,0.659,2,1.215,2,,2
23.0,2,6.476,2,32.6995,2,309.8,2,59.5,2,0.7390000000000001,2,1.339,2,,2
24.0,2,6.4352,2,32.6983,2,309.7,2,59.4,2,0.743,2,1.351,2,,2
25.0,2,6.4102,2,32.6979,2,309.9,2,59.5,2,0.774,2,1.4240000000000002,2,,2
26.0,2,6.3879,2,32.6972,2,310.4,2,59.5,2,0.779,2,1.454,2,,2
27.0,2,6.3802,2,32.6969,2,310.9,2,59.6,2,0.8009999999999999,2,1.4509999999999998,2,,2
28.0,2,6.3433,2,32.6983,2,311.4,2,59.7,2,0.812,2,1.507,2,,2
