CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Based on the recommendation from Sea-Bird the method for calibration of Oxygen:Dissolved:CTD concentration was changed from that used for 2011 and some 2012 cruises. ,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD calibration was done using the method described in the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Jun2012.pdf) with a modification allowing a small offset.  ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 0 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.06 ml/l from 500 to 1500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 1500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details processing details see the processing report 2012-13-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20120814
STNBR = P12
CASTNO = 4
DATE = 20120819
TIME =  16:46
LATITUDE = 48.968999999999994
LONGITUDE = -130.66783
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.3,2,15.4018,2,32.4891,2,186.5,2,53.8,2,0.319,2,1052.4,2
3.0,2,15.4004,2,32.4891,2,184.3,2,53.7,2,0.317,2,817.8,2
4.0,2,15.3906,2,32.4889,2,181.9,2,53.7,2,0.326,2,762.6,2
5.0,2,15.3754,2,32.4886,2,178.8,2,53.6,2,0.366,2,615.8,2
6.0,2,15.3639,2,32.4882,2,175.6,2,53.4,2,0.405,2,480.6,2
7.0,2,15.3525,2,32.4876,2,175.1,2,53.0,2,0.456,2,440.5,2
8.0,2,15.3498,2,32.4876,2,180.1,2,52.8,2,0.5,2,436.0,2
9.0,2,15.3276,2,32.4906,2,188.8,2,52.8,2,0.519,2,374.1,2
10.0,2,15.2809,2,32.497,2,192.4,2,53.7,2,0.513,2,334.9,2
11.0,2,15.2363,2,32.499,2,190.7,2,55.0,2,0.537,2,296.8,2
12.0,2,15.1988,2,32.5005,2,187.9,2,55.6,2,0.5529999999999999,2,251.7,2
13.0,2,15.1642,2,32.5014,2,188.7,2,56.1,2,0.578,2,238.6,2
14.0,2,15.1544,2,32.5017,2,187.8,2,56.2,2,0.604,2,217.6,2
15.0,2,15.1309,2,32.5004,2,185.8,2,56.4,2,0.625,2,195.9,2
16.0,2,15.1105,2,32.5001,2,187.1,2,56.6,2,0.6559999999999999,2,177.6,2
17.0,2,15.1018,2,32.5008,2,187.2,2,56.7,2,0.6809999999999999,2,163.4,2
18.0,2,15.0629,2,32.5014,2,185.6,2,56.9,2,0.705,2,149.9,2
19.0,2,14.870999999999999,2,32.5083,2,184.4,2,57.0,2,0.7490000000000001,2,136.5,2
20.0,2,14.7233,2,32.5151,2,182.5,2,57.2,2,0.802,2,127.9,2
21.0,2,14.6306,2,32.5193,2,180.6,2,57.1,2,0.83,2,114.9,2
22.0,2,14.5682,2,32.5227,2,179.8,2,57.1,2,0.847,2,103.3,2
23.0,2,14.4675,2,32.5289,2,178.8,2,57.4,2,0.858,2,96.1,2
24.0,2,14.1992,2,32.5433,2,178.4,2,57.6,2,0.867,2,87.3,2
25.0,2,13.73,2,32.5669,2,184.6,2,58.4,2,0.84,2,82.0,2
26.0,2,13.6315,2,32.5731,2,201.4,2,59.4,2,0.848,2,75.2,2
27.0,2,13.4274,2,32.5714,2,237.0,2,59.7,2,0.826,2,71.6,2
28.0,2,13.2313,2,32.5688,2,253.4,2,60.1,2,0.81,2,66.8,2
29.0,2,13.0494,2,32.5686,2,255.4,2,60.6,2,0.8170000000000001,2,61.7,2
30.0,2,12.7452,2,32.5646,2,261.7,2,60.7,2,0.809,2,56.9,2
31.0,2,12.562000000000001,2,32.5672,2,267.0,2,60.7,2,0.8240000000000001,2,52.8,2
32.0,2,12.4271,2,32.5676,2,270.8,2,60.3,2,0.8370000000000001,2,49.7,2
33.0,2,12.2428,2,32.5682,2,274.5,2,60.6,2,0.835,2,46.7,2
34.0,2,12.0559,2,32.5678,2,276.5,2,60.9,2,0.8590000000000001,2,44.1,2
35.0,2,11.8083,2,32.5704,2,278.8,2,60.9,2,0.871,2,41.1,2
36.0,2,11.5552,2,32.5779,2,280.1,2,60.9,2,0.887,2,38.4,2
37.0,2,11.3367,2,32.5875,2,282.2,2,60.9,2,0.9179999999999999,2,35.7,2
38.0,2,11.1312,2,32.5956,2,285.1,2,60.9,2,0.9690000000000001,2,33.1,2
39.0,2,10.9027,2,32.6001,2,287.7,2,60.7,2,1.028,2,31.0,2
40.0,2,10.4967,2,32.6089,2,291.6,2,60.4,2,1.083,2,29.0,2
41.0,2,10.3539,2,32.6115,2,293.2,2,60.3,2,1.13,2,26.9,2
42.0,2,10.2126,2,32.614000000000004,2,293.6,2,60.3,2,1.151,2,24.9,2
43.0,2,10.1857,2,32.6168,2,292.7,2,60.4,2,1.166,2,23.0,2
44.0,2,10.1354,2,32.6196,2,291.6,2,60.4,2,1.179,2,21.5,2
45.0,2,10.0788,2,32.6213,2,290.7,2,60.4,2,1.181,2,20.2,2
46.0,2,9.9729,2,32.622,2,291.6,2,60.4,2,1.18,2,18.9,2
47.0,2,9.7434,2,32.6233,2,293.3,2,60.5,2,1.192,2,17.6,2
48.0,2,9.5293,2,32.6237,2,295.1,2,60.6,2,1.188,2,16.4,2
49.0,2,9.2441,2,32.6255,2,297.0,2,60.8,2,1.1740000000000002,2,15.3,2
50.0,2,9.1583,2,32.6301,2,297.2,2,61.0,2,1.1540000000000001,2,14.2,2
51.0,2,9.099,2,32.6287,2,298.0,2,61.2,2,1.131,2,13.2,2
52.0,2,9.0192,2,32.6296,2,298.8,2,61.4,2,1.149,2,12.3,2
53.0,2,8.9657,2,32.6309,2,299.1,2,61.4,2,1.1320000000000001,2,11.4,2
54.0,2,8.9111,2,32.6315,2,299.1,2,61.5,2,1.131,2,10.6,2
55.0,2,8.8742,2,32.6337,2,298.6,2,61.6,2,1.128,2,9.9,2
56.0,2,8.8495,2,32.6362,2,298.9,2,61.7,2,1.1179999999999999,2,9.2,2
57.0,2,8.8014,2,32.6384,2,298.2,2,61.8,2,1.0859999999999999,2,8.6,2
58.0,2,8.6926,2,32.6415,2,297.3,2,61.9,2,1.069,2,8.0,2
59.0,2,8.6653,2,32.6434,2,297.4,2,62.1,2,1.065,2,7.5,2
60.0,2,8.6403,2,32.6446,2,297.2,2,62.0,2,1.085,2,7.0,2
61.0,2,8.5368,2,32.6465,2,296.6,2,62.0,2,1.043,2,6.6,2
62.0,2,8.4325,2,32.6524,2,295.4,2,62.4,2,0.99,2,6.2,2
63.0,2,8.4219,2,32.6562,2,294.3,2,62.5,2,0.9520000000000001,2,5.8,2
64.0,2,8.3764,2,32.6612,2,293.4,2,62.4,2,0.897,2,5.4,2
65.0,2,8.3045,2,32.6631,2,292.9,2,62.6,2,0.8690000000000001,2,5.0,2
66.0,2,8.1683,2,32.664,2,293.3,2,63.4,2,0.823,2,4.7,2
67.0,2,8.0836,2,32.6677,2,293.3,2,63.5,2,0.785,2,4.4,2
68.0,2,7.9398,2,32.6687,2,293.8,2,63.9,2,0.7659999999999999,2,4.1,2
69.0,2,7.8398,2,32.6693,2,294.7,2,64.0,2,0.732,2,3.9,2
70.0,2,7.742999999999999,2,32.6705,2,295.1,2,64.0,2,0.71,2,3.7,2
71.0,2,7.6442,2,32.6721,2,294.8,2,64.0,2,0.718,2,3.5,2
72.0,2,7.6084,2,32.6736,2,293.5,2,64.2,2,0.7090000000000001,2,3.3,2
73.0,2,7.5901,2,32.6775,2,292.0,2,64.2,2,0.679,2,3.1,2
74.0,2,7.5773,2,32.6838,2,290.2,2,64.3,2,0.645,2,2.9,2
75.0,2,7.5656,2,32.694,2,288.9,2,64.5,2,0.617,2,2.7,2
76.0,2,7.5648,2,32.7021,2,288.2,2,64.7,2,0.597,2,2.6,2
77.0,2,7.5532,2,32.7072,2,287.4,2,64.8,2,0.568,2,2.4,2
78.0,2,7.5028,2,32.7093,2,286.9,2,64.9,2,0.551,2,2.3,2
79.0,2,7.473,2,32.7109,2,286.3,2,64.9,2,0.546,2,2.2,2
80.0,2,7.4374,2,32.715,2,286.1,2,65.0,2,0.508,2,2.1,2
81.0,2,7.3921,2,32.7158,2,286.5,2,65.1,2,0.491,2,2.0,2
82.0,2,7.3408,2,32.7254,2,286.6,2,65.2,2,0.46799999999999997,2,1.9,2
83.0,2,7.2501,2,32.7209,2,287.1,2,65.3,2,0.44,2,1.8,2
84.0,2,7.2241,2,32.7192,2,288.5,2,65.3,2,0.43200000000000005,2,1.7,2
85.0,2,7.1966,2,32.7172,2,289.6,2,65.3,2,0.42700000000000005,2,1.6,2
