CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Based on the recommendation from Sea-Bird the method for calibration of Oxygen:Dissolved:CTD concentration was changed from that used for 2011 and some 2012 cruises. ,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD calibration was done using the method described in the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Jun2012.pdf) with a modification allowing a small offset.  ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 0 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.06 ml/l from 500 to 1500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 1500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details processing details see the processing report 2012-13-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20120814
STNBR = PA-006
CASTNO = 1
DATE = 20120824
TIME =  12:49
LATITUDE = 50.004
LONGITUDE = -144.87151
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.4,2,12.62,2,32.5515,2,275.9,2,50.3,2,1.7690000000000001,2,,2
3.9,2,12.6201,2,32.5515,2,275.9,2,50.3,2,1.7530000000000001,2,,2
5.0,2,12.6199,2,32.5516,2,275.6,2,50.3,2,1.765,2,,2
6.0,2,12.6202,2,32.5516,2,275.7,2,50.4,2,1.7830000000000001,2,,2
7.0,2,12.62,2,32.5518,2,275.8,2,50.4,2,1.777,2,,2
8.0,2,12.6211,2,32.5517,2,275.5,2,50.5,2,1.7830000000000001,2,,2
9.0,2,12.6192,2,32.5522,2,275.2,2,50.6,2,1.734,2,,2
10.0,2,12.6191,2,32.5523,2,275.9,2,50.6,2,1.72,2,,2
11.0,2,12.6207,2,32.552,2,275.9,2,50.6,2,1.736,2,,2
12.0,2,12.6199,2,32.5523,2,275.6,2,50.5,2,1.7730000000000001,2,,2
13.0,2,12.6176,2,32.5527,2,275.6,2,50.5,2,1.778,2,,2
14.0,2,12.6167,2,32.5531,2,275.5,2,50.3,2,1.744,2,,2
15.0,2,12.616,2,32.5533,2,275.9,2,49.6,2,1.7530000000000001,2,,2
16.0,2,12.6156,2,32.5534,2,276.1,2,48.8,2,1.7530000000000001,2,,2
17.0,2,12.6124,2,32.554,2,275.6,2,50.5,2,1.7280000000000002,2,,2
18.0,2,12.6064,2,32.5544,2,273.6,2,50.4,2,1.7519999999999998,2,,2
19.0,2,12.5999,2,32.5547,2,270.3,2,50.4,2,1.749,2,,2
20.0,2,12.5836,2,32.5561,2,272.9,2,50.4,2,1.767,2,,2
21.0,2,12.5178,2,32.5597,2,278.9,2,50.4,2,1.761,2,,2
22.0,2,11.8716,2,32.5737,2,284.1,2,50.7,2,1.818,2,,2
23.0,2,11.1777,2,32.5914,2,286.0,2,51.7,2,1.824,2,,2
24.0,2,10.9552,2,32.5962,2,287.3,2,52.8,2,1.837,2,,2
25.0,2,10.8378,2,32.5981,2,287.2,2,53.5,2,1.838,2,,2
26.0,2,10.6178,2,32.6023,2,286.9,2,53.9,2,1.771,2,,2
27.0,2,10.2985,2,32.6053,2,289.4,2,54.2,2,1.669,2,,2
28.1,2,9.8686,2,32.6147,2,293.2,2,55.1,2,1.558,2,,2
29.0,2,9.0787,2,32.6276,2,296.9,2,56.0,2,1.423,2,,2
30.0,2,8.8423,2,32.633,2,299.0,2,56.8,2,1.321,2,,2
31.0,2,8.5902,2,32.6338,2,299.5,2,56.8,2,1.319,2,,2
32.0,2,8.4206,2,32.6357,2,299.5,2,56.9,2,1.2790000000000001,2,,2
33.0,2,8.1991,2,32.6383,2,300.2,2,57.5,2,1.216,2,,2
34.0,2,8.1127,2,32.6406,2,300.5,2,57.9,2,1.194,2,,2
35.0,2,7.9006,2,32.6455,2,301.6,2,58.0,2,1.15,2,,2
36.0,2,7.7371,2,32.6496,2,302.8,2,58.2,2,1.104,2,,2
