CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - PAR - Fluorescence data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Based on the recommendation from Sea-Bird the method for calibration of Oxygen:Dissolved:CTD concentration was changed from that used for 2011 and some 2012 cruises. ,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD calibration was done using the method described in the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Jun2012.pdf) with a modification allowing a small offset.  ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 0 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.035 ml/l from 500 dbar to 2500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.015 ml/l below 2500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details processing details see the processing report 2013-01-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20130205
STNBR = P1
CASTNO = 1
DATE = 20130217
TIME =  23:30
LATITUDE = 48.57683
LONGITUDE = -125.50034
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
4,2,8.2094,2,30.2807,2,295.0,2,54.1,2,0.767,2,58.7,2
5,2,8.2081,2,30.2813,2,292.6,2,54.0,2,0.7809999999999999,2,54.7,2
6,2,8.2047,2,30.2841,2,288.4,2,54.3,2,0.738,2,46.1,2
7,2,8.2019,2,30.2865,2,286.9,2,54.0,2,0.762,2,35.7,2
8,2,8.1453,2,30.4259,2,284.9,2,53.7,2,0.711,2,29.8,2
9,2,8.1266,2,30.5105,2,281.5,2,53.5,2,0.705,2,25.6,2
10,2,8.0983,2,30.5814,2,273.5,2,52.8,2,0.727,2,18.3,2
11,2,8.0804,2,30.644000000000002,2,270.1,2,52.9,2,0.722,2,16.5,2
12,2,8.0357,2,30.7757,2,265.1,2,51.9,2,0.7609999999999999,2,14.2,2
13,2,8.0222,2,30.819000000000003,2,260.5,2,52.9,2,0.91,2,12.0,2
14,2,8.0068,2,30.8762,2,255.3,2,52.8,2,0.785,2,9.9,2
15,2,7.9682,2,31.0028,2,247.2,2,52.7,2,0.6629999999999999,2,8.1,2
16,2,7.9466,2,31.0724,2,237.2,2,52.7,2,0.695,2,6.8,2
17,2,7.8959,2,31.1653,2,229.9,2,52.8,2,0.672,2,5.9,2
18,2,7.8141,2,31.3172,2,226.0,2,52.2,2,0.685,2,5.4,2
19,2,7.7662,2,31.4179,2,224.7,2,51.5,2,0.652,2,4.9,2
20,2,7.7412,2,31.4762,2,224.2,2,51.3,2,0.574,2,4.3,2
21,2,7.7173,2,31.531999999999996,2,224.0,2,51.0,2,0.506,2,3.8,2
22,2,7.7142,2,31.541,2,223.8,2,50.9,2,0.49,2,3.4,2
23,2,7.7141,2,31.5418,2,223.4,2,51.3,2,0.45299999999999996,2,3.2,2
24,2,7.7136,2,31.5442,2,222.6,2,51.3,2,0.442,2,2.9,2
25,2,7.7119,2,31.5482,2,220.3,2,51.4,2,0.441,2,2.5,2
26,2,7.7113,2,31.5502,2,217.9,2,51.6,2,0.434,2,2.2,2
27,2,7.7049,2,31.5649,2,216.2,2,51.4,2,0.41200000000000003,2,1.9,2
28,2,7.6854,2,31.6027,2,214.6,2,51.4,2,0.384,2,1.7,2
29,2,7.6852,2,31.6091,2,213.2,2,50.8,2,0.402,2,1.5,2
30,2,7.6764,2,31.6232,2,212.1,2,51.0,2,0.406,2,1.4,2
31,2,7.6659,2,31.6478,2,211.1,2,50.9,2,0.377,2,1.2,2
