CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - PAR - Fluorescence data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Based on the recommendation from Sea-Bird the method for calibration of Oxygen:Dissolved:CTD concentration was changed from that used for 2011 and some 2012 cruises. ,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD calibration was done using the method described in the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Jun2012.pdf) with a modification allowing a small offset.  ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 0 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.035 ml/l from 500 dbar to 2500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.015 ml/l below 2500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details processing details see the processing report 2013-01-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20130205
STNBR = PA-006
CASTNO = 2
DATE = 20130213
TIME =  12:06
LATITUDE = 50.03817
LONGITUDE = -144.93016
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3,2,5.4053,2,32.6185,2,312.0,2,60.4,2,0.589,2,,2
4,2,5.405,2,32.6183,2,311.9,2,60.5,2,0.623,2,,2
5,2,5.4033,2,32.6185,2,311.8,2,60.6,2,0.591,2,,2
6,2,5.4016,2,32.6184,2,312.0,2,60.7,2,0.556,2,,2
7,2,5.4005,2,32.6182,2,312.0,2,60.5,2,0.56,2,,2
8,2,5.4002,2,32.6182,2,311.2,2,60.6,2,0.573,2,,2
9,2,5.4001,2,32.6184,2,311.5,2,60.6,2,0.564,2,,2
10,2,5.4003,2,32.618,2,311.9,2,60.6,2,0.5720000000000001,2,,2
11,2,5.4004,2,32.6181,2,312.1,2,60.6,2,0.573,2,,2
12,2,5.3999,2,32.6181,2,312.3,2,60.6,2,0.565,2,,2
13,2,5.3998,2,32.6185,2,312.4,2,60.7,2,0.563,2,,2
14,2,5.4002,2,32.6184,2,312.1,2,60.6,2,0.565,2,,2
15,2,5.3993,2,32.6184,2,312.1,2,60.6,2,0.556,2,,2
16,2,5.3998,2,32.6183,2,312.0,2,60.7,2,0.55,2,,2
17,2,5.4,2,32.6185,2,311.8,2,60.7,2,0.557,2,,2
18,2,5.4001,2,32.6184,2,311.8,2,60.8,2,0.555,2,,2
19,2,5.4002,2,32.6184,2,311.9,2,60.7,2,0.557,2,,2
20,2,5.4001,2,32.6184,2,312.2,2,60.6,2,0.569,2,,2
21,2,5.4007,2,32.6184,2,312.6,2,60.6,2,0.563,2,,2
22,2,5.4008,2,32.6184,2,312.7,2,60.8,2,0.568,2,,2
END_DATA
