CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Based on the recommendation from Sea-Bird the method for calibration of Oxygen:Dissolved:CTD concentration was changed from that used for 2011 and some 2012 cruises. ,,,,,,,,,,,,,,,,,
#For more information see the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Jun2012.pdf).  ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are of lower quality than usual with small-scale noise.,,,,,,,,,,,,,,,,,
#For casts 0018 to 0022 the Oxygen:Dissolved:CTD data are not considered reliable enough to archive based on comparison with bottles and differences between primary and secondary temperatures for those casts.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#For other casts the Oxygen:Dissolved:CTD values are considered roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 150 dbar,,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 150 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 300 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.06 ml/l from 500 to 2500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 2500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The Salinity:CTD data was found to be low by an average of <0.002.,,,,,,,,,,,,,,,,,
#No recalibration was applied.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details processing details see the processing report 2013-17-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [%/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20130607
STNBR = P7
CASTNO = 1
DATE = 20130610
TIME =  02:21
LATITUDE = 48.7755
LONGITUDE = -128.16533
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,MG/M^3,,UE/m^2/sec,
4,2,12.042,2,32.0214,2,,2,1.411,2,,2
5,2,12.0416,2,32.0216,2,,2,1.41,2,,2
6,2,12.0409,2,32.0217,2,,2,1.4140000000000001,2,,2
7,2,12.0375,2,32.0219,2,,2,1.4369999999999998,2,,2
8,2,12.0355,2,32.0221,2,,2,1.46,2,,2
9,2,12.0381,2,32.022,2,,2,1.463,2,,2
10,2,12.0394,2,32.0218,2,,2,1.4680000000000002,2,,2
11,2,11.9773,2,32.0278,2,,2,1.554,2,,2
12,2,11.7244,2,32.0484,2,,2,1.742,2,,2
13,2,11.6187,2,32.0508,2,,2,1.901,2,,2
14,2,11.5502,2,32.0521,2,,2,2.009,2,,2
15,2,11.5218,2,32.0577,2,,2,2.206,2,,2
16,2,11.4416,2,32.0668,2,,2,2.572,2,,2
17,2,11.3371,2,32.0751,2,,2,2.7960000000000003,2,,2
18,2,11.2172,2,32.0817,2,,2,3.173,2,,2
19,2,11.1248,2,32.0865,2,,2,3.5060000000000002,2,,2
20,2,11.1063,2,32.086,2,,2,3.7310000000000003,2,,2
21,2,11.0983,2,32.0856,2,,2,3.673,2,,2
22,2,11.0686,2,32.0821,2,,2,3.648,2,,2
23,2,11.0364,2,32.0801,2,,2,3.378,2,,2
24,2,11.025,2,32.0802,2,,2,3.185,2,,2
25,2,11.0145,2,32.0817,2,,2,3.103,2,,2
26,2,10.9937,2,32.0832,2,,2,2.98,2,,2
27,2,10.9806,2,32.0801,2,,2,2.807,2,,2
28,2,10.9217,2,32.0776,2,,2,2.497,2,,2
29,2,10.7765,2,32.0834,2,,2,2.261,2,,2
30,2,10.7089,2,32.0913,2,,2,2.213,2,,2
31,2,10.6363,2,32.0909,2,,2,2.06,2,,2
32,2,10.3204,2,32.1038,2,,2,1.867,2,,2
33,2,9.6481,2,32.1871,2,,2,1.656,2,,2
34,2,9.1374,2,32.2567,2,,2,1.585,2,,2
35,2,8.845,2,32.2688,2,,2,1.3630000000000002,2,,2
36,2,8.8,2,32.2653,2,,2,1.263,2,,2
37,2,8.7067,2,32.2763,2,,2,1.203,2,,2
38,2,8.5236,2,32.2977,2,,2,1.109,2,,2
39,2,8.3043,2,32.3325,2,,2,1.036,2,,2
40,2,8.1967,2,32.3511,2,,2,0.972,2,,2
41,2,8.1684,2,32.3607,2,,2,0.932,2,,2
42,2,8.1476,2,32.3694,2,,2,0.9129999999999999,2,,2
43,2,8.1304,2,32.3729,2,,2,0.8959999999999999,2,,2
44,2,8.0633,2,32.3837,2,,2,0.8640000000000001,2,,2
45,2,8.0241,2,32.3947,2,,2,0.846,2,,2
46,2,7.9917,2,32.3989,2,,2,0.8370000000000001,2,,2
47,2,7.9577,2,32.4082,2,,2,0.8140000000000001,2,,2
48,2,7.9363,2,32.4155,2,,2,0.8079999999999999,2,,2
49,2,7.922000000000001,2,32.4187,2,,2,0.792,2,,2
50,2,7.9125,2,32.4217,2,,2,0.789,2,,2
51,2,7.9036,2,32.4254,2,,2,0.7929999999999999,2,,2
