CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Based on the recommendation from Sea-Bird the method for calibration of Oxygen:Dissolved:CTD concentration was changed from that used for 2011 and some 2012 cruises. ,,,,,,,,,,,,,,,,,
#For more information see the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Jun2012.pdf).  ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are of lower quality than usual with small-scale noise.,,,,,,,,,,,,,,,,,
#For casts 0018 to 0022 the Oxygen:Dissolved:CTD data are not considered reliable enough to archive based on comparison with bottles and differences between primary and secondary temperatures for those casts.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#For other casts the Oxygen:Dissolved:CTD values are considered roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 150 dbar,,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 150 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 300 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.06 ml/l from 500 to 2500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 2500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The Salinity:CTD data was found to be low by an average of <0.002.,,,,,,,,,,,,,,,,,
#No recalibration was applied.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details processing details see the processing report 2013-17-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [%/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20130607
STNBR = PA-006
CASTNO = 1
DATE = 20130618
TIME =  15:03
LATITUDE = 50.04133
LONGITUDE = -144.877
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,MG/M^3,,UE/m^2/sec,
3,2,8.9728,2,32.521,2,295.6,2,2.399,2,,2
4,2,8.9727,2,32.5211,2,295.3,2,2.4019999999999997,2,,2
5,2,8.9727,2,32.5212,2,295.2,2,2.415,2,,2
6,2,8.9726,2,32.5215,2,295.4,2,2.398,2,,2
7,2,8.9722,2,32.5216,2,295.6,2,2.4019999999999997,2,,2
8,2,8.972999999999999,2,32.5215,2,296.0,2,2.399,2,,2
9,2,8.9725,2,32.5217,2,296.0,2,2.4090000000000003,2,,2
10,2,8.9713,2,32.5217,2,295.8,2,2.4090000000000003,2,,2
11,2,8.9715,2,32.5218,2,295.7,2,2.399,2,,2
12,2,8.9715,2,32.522,2,295.9,2,2.394,2,,2
13,2,8.9714,2,32.522,2,296.2,2,2.3890000000000002,2,,2
14,2,8.9713,2,32.522,2,296.1,2,2.399,2,,2
15,2,8.9713,2,32.5221,2,296.2,2,2.3819999999999997,2,,2
16,2,8.9718,2,32.5221,2,295.9,2,2.39,2,,2
17,2,8.9721,2,32.5221,2,295.5,2,2.387,2,,2
18,2,8.9711,2,32.5221,2,295.1,2,2.4019999999999997,2,,2
19,2,8.9712,2,32.5222,2,295.2,2,2.42,2,,2
20,2,8.9712,2,32.5222,2,295.2,2,2.392,2,,2
21,2,8.9647,2,32.5228,2,295.7,2,2.391,2,,2
22,2,8.9501,2,32.5239,2,296.1,2,2.423,2,,2
23,2,8.9083,2,32.5259,2,296.2,2,2.483,2,,2
24,2,8.8695,2,32.5289,2,296.4,2,2.5180000000000002,2,,2
25,2,8.8614,2,32.5287,2,295.9,2,2.5540000000000003,2,,2
26,2,8.8513,2,32.5288,2,296.1,2,2.562,2,,2
27,2,8.8453,2,32.5291,2,296.2,2,2.585,2,,2
28,2,8.8407,2,32.5289,2,295.7,2,2.565,2,,2
29,2,8.8312,2,32.5288,2,295.3,2,2.569,2,,2
30,2,8.8174,2,32.5291,2,294.9,2,2.557,2,,2
31,2,8.811,2,32.5294,2,293.8,2,2.546,2,,2
32,2,8.8081,2,32.5294,2,293.4,2,2.519,2,,2
33,2,8.801,2,32.5294,2,292.1,2,2.488,2,,2
34,2,8.7861,2,32.5294,2,291.2,2,2.444,2,,2
35,2,8.7278,2,32.5293,2,292.6,2,2.4090000000000003,2,,2
36,2,8.6243,2,32.531,2,294.9,2,2.378,2,,2
37,2,8.5285,2,32.5326,2,294.0,2,2.314,2,,2
38,2,8.2723,2,32.5368,2,288.9,2,2.245,2,,2
39,2,8.1432,2,32.5396,2,288.0,2,2.231,2,,2
40,2,8.0983,2,32.5394,2,290.6,2,2.228,2,,2
41,2,7.9815,2,32.5397,2,293.2,2,2.158,2,,2
42,2,7.2555,2,32.5563,2,297.1,2,2.102,2,,2
43,2,6.8887,2,32.5647,2,299.6,2,2.109,2,,2
44,2,6.6684,2,32.5685,2,304.1,2,2.119,2,,2
45,2,6.5329,2,32.5728,2,305.6,2,2.1,2,,2
46,2,6.257000000000001,2,32.5759,2,307.4,2,2.177,2,,2
47,2,5.9728,2,32.5897,2,309.5,2,2.1430000000000002,2,,2
48,2,5.8565,2,32.59,2,311.0,2,2.14,2,,2
49,2,5.7861,2,32.594,2,311.4,2,2.097,2,,2
50,2,5.7088,2,32.5964,2,311.6,2,2.083,2,,2
51,2,5.6754,2,32.5986,2,311.7,2,2.079,2,,2
52,2,5.6701,2,32.5993,2,311.3,2,2.099,2,,2
53,2,5.6576,2,32.5989,2,311.0,2,2.094,2,,2
54,2,5.6085,2,32.6007,2,310.8,2,2.0869999999999997,2,,2
55,2,5.5574,2,32.6037,2,310.2,2,2.079,2,,2
56,2,5.516,2,32.605,2,309.5,2,2.086,2,,2
57,2,5.4586,2,32.6073,2,309.4,2,2.053,2,,2
58,2,5.4233,2,32.6085,2,309.9,2,2.0380000000000003,2,,2
59,2,5.3803,2,32.6109,2,310.7,2,2.041,2,,2
60,2,5.346,2,32.611999999999995,2,311.0,2,2.035,2,,2
61,2,5.2856,2,32.6153,2,311.2,2,2.017,2,,2
62,2,5.249,2,32.6168,2,310.9,2,2.004,2,,2
63,2,5.2317,2,32.6172,2,309.9,2,1.995,2,,2
64,2,5.22,2,32.6173,2,308.7,2,1.99,2,,2
65,2,5.1935,2,32.6195,2,308.3,2,1.992,2,,2
66,2,5.1762,2,32.6194,2,308.5,2,1.9909999999999999,2,,2
67,2,5.1501,2,32.6212,2,309.0,2,1.975,2,,2
68,2,5.1217,2,32.6236,2,309.2,2,1.969,2,,2
69,2,5.0787,2,32.6268,2,309.3,2,1.972,2,,2
70,2,5.0529,2,32.631,2,308.6,2,1.956,2,,2
71,2,5.0378,2,32.6338,2,306.9,2,1.95,2,,2
72,2,5.0206,2,32.6359,2,307.1,2,1.9369999999999998,2,,2
73,2,5.0035,2,32.6457,2,307.8,2,1.93,2,,2
74,2,4.9805,2,32.6462,2,308.5,2,1.922,2,,2
75,2,4.9430000000000005,2,32.6437,2,309.5,2,1.933,2,,2
76,2,4.8856,2,32.6398,2,309.9,2,1.939,2,,2
77,2,4.8511,2,32.6386,2,309.5,2,1.942,2,,2
78,2,4.8148,2,32.64,2,310.0,2,1.9340000000000002,2,,2
79,2,4.8058,2,32.6444,2,310.7,2,1.931,2,,2
80,2,4.7922,2,32.6474,2,311.0,2,1.936,2,,2
81,2,4.7568,2,32.648,2,311.2,2,1.926,2,,2
82,2,4.7303,2,32.65,2,310.9,2,1.916,2,,2
83,2,4.7309,2,32.6567,2,310.2,2,1.915,2,,2
84,2,4.7409,2,32.6603,2,310.0,2,1.921,2,,2
85,2,4.7448,2,32.6627,2,309.8,2,1.919,2,,2
86,2,4.7445,2,32.6654,2,309.5,2,1.9169999999999998,2,,2
87,2,4.7489,2,32.6689,2,309.2,2,1.91,2,,2
88,2,4.7552,2,32.673,2,309.3,2,1.91,2,,2
89,2,4.7395,2,32.6725,2,309.6,2,1.9080000000000001,2,,2
90,2,4.7112,2,32.67,2,309.1,2,1.905,2,,2
91,2,4.6897,2,32.6704,2,308.0,2,1.901,2,,2
92,2,4.6807,2,32.6735,2,307.7,2,1.8980000000000001,2,,2
93,2,4.6889,2,32.6789,2,308.0,2,1.89,2,,2
94,2,4.6991,2,32.6865,2,308.8,2,1.8780000000000001,2,,2
95,2,4.6781,2,32.6879,2,309.3,2,1.876,2,,2
96,2,4.6537,2,32.688,2,308.8,2,1.8769999999999998,2,,2
97,2,4.6159,2,32.6894,2,308.7,2,1.874,2,,2
98,2,4.6175,2,32.6936,2,308.7,2,1.874,2,,2
99,2,4.617,2,32.6987,2,308.2,2,1.87,2,,2
100,2,4.5985,2,32.7004,2,307.4,2,1.87,2,,2
101,2,4.5846,2,32.7015,2,306.9,2,1.865,2,,2
102,2,4.5763,2,32.7025,2,307.4,2,1.8630000000000002,2,,2
103,2,4.5595,2,32.7098,2,307.7,2,1.864,2,,2
104,2,4.5242,2,32.7152,2,307.3,2,1.858,2,,2
105,2,4.5082,2,32.716,2,306.7,2,1.855,2,,2
106,2,4.5194,2,32.7248,2,305.9,2,1.858,2,,2
107,2,4.5128,2,32.7275,2,305.2,2,1.8559999999999999,2,,2
108,2,4.5068,2,32.7307,2,304.3,2,1.857,2,,2
109,2,4.5031,2,32.7339,2,303.7,2,1.855,2,,2
110,2,4.4618,2,32.7377,2,304.5,2,1.8519999999999999,2,,2
111,2,4.4287,2,32.7428,2,304.9,2,1.8530000000000002,2,,2
112,2,4.4062,2,32.7495,2,304.6,2,1.8559999999999999,2,,2
113,2,4.4014,2,32.7533,2,303.6,2,1.858,2,,2
114,2,4.4246,2,32.7655,2,302.1,2,1.8530000000000002,2,,2
115,2,4.4184,2,32.7711,2,301.9,2,1.854,2,,2
116,2,4.3992,2,32.7807,2,302.1,2,1.8530000000000002,2,,2
117,2,4.3748,2,32.7942,2,301.9,2,1.848,2,,2
118,2,4.3622,2,32.8,2,299.7,2,1.854,2,,2
119,2,4.3567,2,32.8006,2,296.3,2,1.8519999999999999,2,,2
120,2,4.3575,2,32.8051,2,288.4,2,1.8519999999999999,2,,2
121,2,4.3656,2,32.8245,2,280.8,2,1.8530000000000002,2,,2
122,2,4.3487,2,32.8462,2,276.0,2,1.8559999999999999,2,,2
123,2,4.4116,2,32.8759,2,272.5,2,1.85,2,,2
124,2,4.467,2,32.9013,2,269.6,2,1.8459999999999999,2,,2
125,2,4.5144,2,32.9234,2,265.1,2,1.838,2,,2
126,2,4.5111,2,32.929,2,260.0,2,1.8359999999999999,2,,2
127,2,4.5072,2,32.9504,2,256.3,2,1.8319999999999999,2,,2
128,2,4.5083,2,32.9906,2,253.3,2,1.8319999999999999,2,,2
129,2,4.496,2,33.0253,2,250.1,2,1.829,2,,2
130,2,4.4686,2,33.0423,2,244.4,2,1.827,2,,2
131,2,4.4559,2,33.0536,2,238.1,2,1.825,2,,2
132,2,4.4378,2,33.0724,2,233.5,2,1.824,2,,2
133,2,4.3974,2,33.1157,2,230.0,2,1.821,2,,2
134,2,4.3664,2,33.1482,2,226.3,2,1.8219999999999998,2,,2
135,2,4.3322,2,33.1821,2,222.1,2,1.8230000000000002,2,,2
136,2,4.3149,2,33.1974,2,218.8,2,1.8230000000000002,2,,2
137,2,4.2829,2,33.2246,2,217.1,2,1.821,2,,2
138,2,4.2535,2,33.2606,2,216.4,2,1.8230000000000002,2,,2
139,2,4.2392,2,33.2807,2,214.8,2,1.8219999999999998,2,,2
140,2,4.2323,2,33.2904,2,210.6,2,1.824,2,,2
141,2,4.23,2,33.2948,2,203.4,2,1.827,2,,2
142,2,4.2172,2,33.3155,2,197.7,2,1.824,2,,2
143,2,4.1885,2,33.3581,2,192.1,2,1.8219999999999998,2,,2
144,2,4.15,2,33.4046,2,186.4,2,1.821,2,,2
145,2,4.1313,2,33.4175,2,181.8,2,1.8230000000000002,2,,2
146,2,4.0434,2,33.4499,2,178.7,2,1.824,2,,2
147,2,4.0167,2,33.4545,2,177.1,2,1.8259999999999998,2,,2
148,2,3.9361,2,33.4676,2,175.1,2,1.824,2,,2
149,2,3.9291,2,33.47,2,171.7,2,1.827,2,,2
150,2,3.918,2,33.4777,2,166.7,2,1.828,2,,2
151,2,3.9044,2,33.4913,2,161.9,2,1.828,2,,2
152,2,3.8859,2,33.5074,2,159.0,2,1.831,2,,2
153,2,3.8566,2,33.5359,2,156.5,2,1.831,2,,2
154,2,3.8467,2,33.5653,2,154.5,2,1.8330000000000002,2,,2
155,2,3.8310000000000004,2,33.5795,2,153.1,2,1.829,2,,2
156,2,3.818,2,33.5919,2,151.2,2,1.8319999999999999,2,,2
157,2,3.8172,2,33.5984,2,149.0,2,1.8330000000000002,2,,2
158,2,3.8092,2,33.6066,2,147.7,2,1.83,2,,2
159,2,3.8021,2,33.6155,2,146.5,2,1.8259999999999998,2,,2
160,2,3.7960000000000003,2,33.621,2,145.2,2,1.828,2,,2
161,2,3.7879,2,33.6267,2,143.7,2,1.83,2,,2
162,2,3.7813,2,33.6323,2,142.6,2,1.824,2,,2
163,2,3.7789,2,33.6397,2,142.0,2,1.829,2,,2
164,2,3.7842,2,33.6483,2,140.3,2,1.8259999999999998,2,,2
165,2,3.785,2,33.6499,2,137.8,2,1.8259999999999998,2,,2
166,2,3.7817,2,33.6518,2,136.1,2,1.824,2,,2
167,2,3.7769999999999997,2,33.6626,2,133.6,2,1.825,2,,2
168,2,3.7754,2,33.6673,2,130.3,2,1.8230000000000002,2,,2
169,2,3.7573,2,33.6715,2,128.3,2,1.825,2,,2
170,2,3.7571,2,33.6803,2,127.5,2,1.8230000000000002,2,,2
171,2,3.7611,2,33.6902,2,127.3,2,1.824,2,,2
172,2,3.7593,2,33.6921,2,127.0,2,1.8230000000000002,2,,2
173,2,3.7582,2,33.693000000000005,2,126.4,2,1.819,2,,2
174,2,3.7579,2,33.6938,2,125.7,2,1.819,2,,2
175,2,3.7585,2,33.6952,2,125.0,2,1.819,2,,2
176,2,3.7577,2,33.6964,2,124.3,2,1.8230000000000002,2,,2
177,2,3.7555,2,33.699,2,123.4,2,1.818,2,,2
178,2,3.7543,2,33.7001,2,122.3,2,1.817,2,,2
179,2,3.7531,2,33.7017,2,120.4,2,1.821,2,,2
180,2,3.75,2,33.7046,2,118.1,2,1.819,2,,2
181,2,3.7412,2,33.7077,2,117.0,2,1.8159999999999998,2,,2
182,2,3.7368,2,33.7149,2,116.5,2,1.817,2,,2
183,2,3.7336,2,33.7183,2,115.7,2,1.815,2,,2
184,2,3.7318,2,33.7196,2,114.3,2,1.817,2,,2
185,2,3.73,2,33.7209,2,112.1,2,1.818,2,,2
186,2,3.7224,2,33.7257,2,111.9,2,1.8159999999999998,2,,2
187,2,3.7149,2,33.7306,2,112.0,2,1.815,2,,2
188,2,3.7128,2,33.7321,2,112.0,2,1.817,2,,2
189,2,3.7105,2,33.7333,2,111.9,2,1.814,2,,2
190,2,3.708,2,33.7347,2,111.5,2,1.8119999999999998,2,,2
191,2,3.7064,2,33.7355,2,110.5,2,1.8119999999999998,2,,2
192,2,3.7058,2,33.7365,2,109.5,2,1.81,2,,2
193,2,3.7054,2,33.7381,2,108.7,2,1.81,2,,2
194,2,3.7051,2,33.7432,2,107.9,2,1.81,2,,2
195,2,3.7047,2,33.7445,2,106.6,2,1.8130000000000002,2,,2
196,2,3.705,2,33.7461,2,105.9,2,1.811,2,,2
197,2,3.7049,2,33.7474,2,105.3,2,1.8090000000000002,2,,2
198,2,3.7037,2,33.749,2,104.9,2,1.8090000000000002,2,,2
199,2,3.7019,2,33.7499,2,104.7,2,1.808,2,,2
200,2,3.7004,2,33.7508,2,104.1,2,1.807,2,,2
201,2,3.6973,2,33.7515,2,102.7,2,1.807,2,,2
202,2,3.6944,2,33.7528,2,101.6,2,1.807,2,,2
203,2,3.6958,2,33.7554,2,100.7,2,1.8090000000000002,2,,2
204,2,3.6974,2,33.7582,2,100.0,2,1.8030000000000002,2,,2
