CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For events 0001 to 0039 the Fluorescence:CTD channel was removed due to a malfunction.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Based on the recommendation from Sea-Bird the method for calibration of Oxygen:Dissolved:CTD concentration was changed from that used for 2011 and some 2012 cruises. ,,,,,,,,,,,,,,,,,
#For more information see the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Jun2012.pdf).  ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±1.0 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 100 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.06 ml/l below 500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The two Salinity:CTD channels differed by about 0.006 with one reading lower than bottles and the other higher. ,,,,,,,,,,,,,,,,,
#Delay in analysis likely caused some evaporation of samples so the two salinity channels are likely reading higher than the comparison suggests. ,,,,,,,,,,,,,,,,,
#The little information available suggests that there has been little calibration drift in the primary salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2013-18-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20130820
STNBR = P16
CASTNO = 4
DATE = 20130826
TIME =  23:43
LATITUDE = 49.28467
LONGITUDE = -134.6665
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2,2,16.2879,2,32.2606,2,258.4,2,53.7,2,0.348,2,,2
3,2,16.2858,2,32.2607,2,257.3,2,53.8,2,0.354,2,,2
4,2,16.2726,2,32.2606,2,257.8,2,53.7,2,0.361,2,,2
5,2,16.2508,2,32.2605,2,259.0,2,53.6,2,0.39899999999999997,2,,2
6,2,16.2167,2,32.2605,2,258.0,2,53.4,2,0.428,2,,2
7,2,16.195,2,32.2621,2,259.0,2,52.8,2,0.457,2,,2
8,2,16.1074,2,32.2653,2,259.7,2,52.2,2,0.509,2,,2
9,2,16.06,2,32.2643,2,260.4,2,51.3,2,0.561,2,,2
10,2,16.0553,2,32.2652,2,259.5,2,51.1,2,0.593,2,,2
11,2,16.0475,2,32.2657,2,259.4,2,51.2,2,0.63,2,,2
12,2,16.0456,2,32.266,2,258.7,2,51.3,2,0.638,2,,2
13,2,16.0431,2,32.2668,2,260.1,2,51.4,2,0.657,2,,2
14,2,16.0394,2,32.2683,2,259.1,2,51.4,2,0.6920000000000001,2,,2
15,2,16.0352,2,32.2696,2,261.8,2,51.5,2,0.701,2,,2
16,2,16.0297,2,32.2732,2,263.2,2,51.6,2,0.7,2,,2
17,2,16.0107,2,32.2862,2,261.9,2,51.9,2,0.696,2,,2
18,2,15.8952,2,32.3162,2,265.0,2,52.7,2,0.6890000000000001,2,,2
19,2,15.8004,2,32.3211,2,265.1,2,53.2,2,0.698,2,,2
20,2,15.5957,2,32.3367,2,273.4,2,53.2,2,0.711,2,,2
21,2,15.2641,2,32.3441,2,281.3,2,53.3,2,0.741,2,,2
22,2,14.9949,2,32.3511,2,280.1,2,53.4,2,0.768,2,,2
23,2,14.3047,2,32.357,2,284.0,2,53.2,2,0.8140000000000001,2,,2
24,2,13.8329,2,32.3667,2,287.5,2,52.8,2,0.8420000000000001,2,,2
25,2,13.5357,2,32.3782,2,288.7,2,52.9,2,0.862,2,,2
26,2,12.9897,2,32.3731,2,290.6,2,53.2,2,0.8740000000000001,2,,2
27,2,12.5148,2,32.3445,2,297.6,2,53.4,2,0.8909999999999999,2,,2
28,2,12.0182,2,32.3449,2,299.8,2,53.5,2,0.914,2,,2
29,2,11.4093,2,32.3307,2,301.6,2,53.7,2,0.94,2,,2
30,2,11.2571,2,32.3461,2,296.5,2,53.7,2,0.9520000000000001,2,,2
31,2,11.2107,2,32.3568,2,291.6,2,53.9,2,0.965,2,,2
32,2,11.0631,2,32.3616,2,289.6,2,54.0,2,0.963,2,,2
33,2,10.9028,2,32.3416,2,288.2,2,54.1,2,0.953,2,,2
34,2,10.5428,2,32.3313,2,288.9,2,54.6,2,0.938,2,,2
35,2,10.3072,2,32.3273,2,291.2,2,55.0,2,0.93,2,,2
36,2,10.1595,2,32.3181,2,290.3,2,55.0,2,0.943,2,,2
37,2,9.9307,2,32.3455,2,291.6,2,54.7,2,0.987,2,,2
38,2,9.7753,2,32.3589,2,293.6,2,54.3,2,0.983,2,,2
39,2,9.6745,2,32.3569,2,292.6,2,54.3,2,0.9570000000000001,2,,2
40,2,9.6107,2,32.3637,2,291.0,2,54.4,2,0.9440000000000001,2,,2
41,2,9.5986,2,32.3714,2,289.0,2,54.5,2,0.945,2,,2
42,2,9.5163,2,32.3873,2,292.5,2,54.5,2,0.986,2,,2
43,2,9.4044,2,32.3855,2,294.3,2,54.6,2,0.973,2,,2
44,2,9.2934,2,32.4098,2,293.7,2,54.7,2,0.965,2,,2
45,2,9.2382,2,32.4318,2,293.9,2,54.8,2,0.992,2,,2
46,2,9.1247,2,32.438,2,291.2,2,54.3,2,0.996,2,,2
47,2,8.9434,2,32.4583,2,288.0,2,54.3,2,0.993,2,,2
48,2,8.8436,2,32.459,2,289.5,2,54.6,2,0.9690000000000001,2,,2
49,2,8.7483,2,32.4602,2,291.0,2,54.9,2,0.93,2,,2
50,2,8.5667,2,32.4674,2,290.6,2,55.2,2,0.95,2,,2
51,2,8.2726,2,32.4869,2,294.8,2,55.7,2,1.274,2,,2
52,2,8.1003,2,32.4873,2,298.6,2,56.4,2,1.058,2,,2
53,2,7.9136,2,32.4923,2,299.6,2,57.1,2,0.9,2,,2
54,2,7.8201,2,32.5167,2,298.0,2,58.0,2,1.0759999999999998,2,,2
55,2,7.6784,2,32.5209,2,297.7,2,58.4,2,0.9840000000000001,2,,2
56,2,7.5508,2,32.5355,2,297.3,2,57.8,2,0.875,2,,2
57,2,7.4479,2,32.5383,2,297.7,2,58.6,2,0.9009999999999999,2,,2
58,2,7.3249,2,32.5326,2,297.9,2,59.7,2,1.1079999999999999,2,,2
59,2,7.2223,2,32.5385,2,297.8,2,59.7,2,1.058,2,,2
60,2,7.1437,2,32.5383,2,298.1,2,59.1,2,1.1,2,,2
61,2,7.0972,2,32.5396,2,298.2,2,59.8,2,1.256,2,,2
62,2,7.0426,2,32.5456,2,299.7,2,60.1,2,0.902,2,,2
63,2,7.0137,2,32.5448,2,299.4,2,60.6,2,0.509,2,,2
64,2,6.9937,2,32.548,2,297.9,2,61.6,2,0.6709999999999999,2,,2
65,2,6.9758,2,32.5514,2,297.0,2,61.6,2,0.385,2,,2
66,2,6.9664,2,32.5524,2,296.2,2,61.7,2,0.446,2,,2
67,2,6.9179,2,32.5573,2,296.3,2,62.1,2,0.37200000000000005,2,,2
68,2,6.8816,2,32.5605,2,297.3,2,62.6,2,0.27,2,,2
69,2,6.8781,2,32.5617,2,297.9,2,63.0,2,0.42200000000000004,2,,2
70,2,6.8639,2,32.563,2,298.3,2,63.2,2,0.32,2,,2
71,2,6.836,2,32.5663,2,298.4,2,63.1,2,0.315,2,,2
72,2,6.8034,2,32.5696,2,297.8,2,63.3,2,0.259,2,,2
73,2,6.7655,2,32.5723,2,297.7,2,63.4,2,0.265,2,,2
74,2,6.7404,2,32.5739,2,298.9,2,63.4,2,0.305,2,,2
75,2,6.6997,2,32.576,2,301.3,2,63.5,2,0.314,2,,2
76,2,6.6503,2,32.5764,2,302.4,2,63.5,2,0.262,2,,2
77,2,6.6107,2,32.5772,2,299.8,2,63.6,2,0.23199999999999998,2,,2
78,2,6.5888,2,32.5769,2,300.0,2,63.7,2,0.231,2,,2
79,2,6.5664,2,32.5784,2,300.4,2,63.7,2,0.23,2,,2
80,2,6.546,2,32.5799,2,300.6,2,63.8,2,0.27699999999999997,2,,2
81,2,6.5369,2,32.5804,2,301.4,2,63.8,2,0.263,2,,2
82,2,6.5171,2,32.5798,2,301.3,2,63.9,2,0.233,2,,2
83,2,6.4885,2,32.5786,2,300.4,2,63.9,2,0.22,2,,2
84,2,6.465,2,32.5781,2,300.4,2,63.9,2,0.222,2,,2
85,2,6.4416,2,32.5797,2,302.1,2,63.9,2,0.21,2,,2
86,2,6.4194,2,-99.0,2,-99.0,2,64.1,2,0.20800000000000002,2,,2
87,2,6.3959,2,32.5822,2,301.6,2,64.1,2,0.20800000000000002,2,,2
88,2,6.3675,2,32.5841,2,302.0,2,64.1,2,0.20600000000000002,2,,2
89,2,6.3495,2,32.5855,2,301.8,2,64.1,2,0.196,2,,2
90,2,6.3377,2,32.5859,2,302.0,2,64.2,2,0.18899999999999997,2,,2
91,2,6.331,2,32.586,2,301.3,2,64.3,2,0.18899999999999997,2,,2
92,2,6.3187,2,32.5869,2,301.8,2,64.3,2,0.19399999999999998,2,,2
93,2,6.2975,2,32.5909,2,302.3,2,64.3,2,0.183,2,,2
94,2,6.2743,2,32.5929,2,301.0,2,64.3,2,0.203,2,,2
95,2,6.2747,2,32.5939,2,302.5,2,64.2,2,0.184,2,,2
96,2,6.2753,2,32.5947,2,302.3,2,64.3,2,0.183,2,,2
97,2,6.2694,2,32.5962,2,301.5,2,64.3,2,0.183,2,,2
98,2,6.2621,2,32.6012,2,300.6,2,64.3,2,0.183,2,,2
99,2,6.257999999999999,2,32.6029,2,301.2,2,64.3,2,0.183,2,,2
100,2,6.2635,2,32.6056,2,301.6,2,64.3,2,0.182,2,,2
101,2,6.2457,2,32.6082,2,300.8,2,64.3,2,0.177,2,,2
102,2,6.2232,2,32.6097,2,300.7,2,64.3,2,0.182,2,,2
103,2,6.2279,2,32.6146,2,301.2,2,64.4,2,0.18100000000000002,2,,2
104,2,6.2144,2,32.6171,2,300.6,2,64.3,2,0.174,2,,2
105,2,6.1982,2,32.6167,2,300.5,2,64.3,2,0.171,2,,2
106,2,6.1682,2,32.6194,2,300.7,2,64.3,2,0.171,2,,2
107,2,6.1511,2,32.623000000000005,2,301.4,2,64.3,2,0.171,2,,2
108,2,6.1423,2,32.6238,2,300.1,2,64.3,2,0.17600000000000002,2,,2
109,2,6.1395,2,32.6248,2,299.6,2,64.4,2,0.16899999999999998,2,,2
110,2,6.1382,2,32.6257,2,299.3,2,64.4,2,0.16899999999999998,2,,2
111,2,6.132000000000001,2,32.6291,2,299.0,2,64.3,2,0.171,2,,2
112,2,6.1118,2,32.6435,2,300.0,2,64.4,2,0.16699999999999998,2,,2
113,2,6.1103,2,32.6465,2,299.8,2,64.4,2,0.166,2,,2
114,2,6.1089,2,32.6478,2,298.3,2,64.4,2,0.159,2,,2
115,2,6.1063,2,32.6497,2,297.2,2,64.5,2,0.16,2,,2
116,2,6.0974,2,32.6557,2,294.9,2,64.4,2,0.162,2,,2
117,2,6.0841,2,32.6645,2,293.0,2,64.4,2,0.166,2,,2
118,2,6.0424,2,32.6864,2,291.9,2,64.3,2,0.159,2,,2
119,2,6.0271,2,32.694,2,291.0,2,64.3,2,0.159,2,,2
120,2,5.9867,2,32.705999999999996,2,289.9,2,64.4,2,0.159,2,,2
121,2,5.9324,2,32.7175,2,288.1,2,64.4,2,0.159,2,,2
122,2,5.9159,2,32.7315,2,281.0,2,64.4,2,0.159,2,,2
123,2,5.9228,2,32.7423,2,274.2,2,64.4,2,0.159,2,,2
124,2,5.9795,2,32.7669,2,261.8,2,64.4,2,0.159,2,,2
125,2,6.0434,2,32.804,2,253.8,2,64.3,2,0.159,2,,2
126,2,6.1782,2,32.861,2,249.5,2,64.3,2,0.159,2,,2
127,2,6.2721,2,32.8934,2,247.1,2,64.2,2,0.159,2,,2
128,2,6.3149,2,32.9201,2,245.0,2,64.2,2,0.159,2,,2
129,2,6.3359,2,32.9329,2,241.4,2,64.2,2,0.159,2,,2
130,2,6.3577,2,32.9462,2,237.3,2,64.2,2,0.159,2,,2
131,2,6.3906,2,32.9696,2,233.3,2,64.2,2,0.159,2,,2
132,2,6.4201,2,32.9906,2,230.2,2,64.2,2,0.159,2,,2
133,2,6.478,2,33.0146,2,226.9,2,64.2,2,0.159,2,,2
134,2,6.5313,2,33.0367,2,226.1,2,64.1,2,0.159,2,,2
135,2,6.534,2,33.0631,2,223.4,2,64.1,2,0.159,2,,2
136,2,6.4842,2,33.0748,2,221.6,2,64.1,2,0.159,2,,2
137,2,6.478,2,33.0804,2,221.7,2,64.1,2,0.153,2,,2
138,2,6.4849,2,33.1122,2,222.3,2,64.1,2,0.159,2,,2
139,2,6.4531,2,33.1302,2,221.7,2,64.0,2,0.158,2,,2
140,2,6.4143,2,33.1415,2,223.3,2,64.1,2,0.158,2,,2
141,2,6.3785,2,33.1512,2,225.1,2,64.1,2,0.159,2,,2
142,2,6.3301,2,33.1559,2,225.7,2,64.2,2,0.159,2,,2
143,2,6.268,2,33.159,2,225.7,2,64.3,2,0.157,2,,2
144,2,6.2721,2,33.156,2,225.9,2,64.3,2,0.159,2,,2
145,2,6.2639,2,33.1589,2,224.9,2,64.3,2,0.159,2,,2
146,2,6.2554,2,33.1585,2,225.3,2,64.3,2,0.159,2,,2
147,2,6.2462,2,33.1604,2,223.5,2,64.3,2,0.159,2,,2
148,2,6.239,2,33.1668,2,223.4,2,64.3,2,0.154,2,,2
149,2,6.2309,2,33.1746,2,221.4,2,64.4,2,0.159,2,,2
150,2,6.222,2,33.1821,2,219.2,2,64.3,2,0.159,2,,2
151,2,6.1979,2,33.2044,2,218.8,2,64.4,2,0.153,2,,2
152,2,6.1867,2,33.2215,2,218.5,2,64.4,2,0.155,2,,2
153,2,6.1757,2,33.229,2,218.2,2,64.4,2,0.159,2,,2
154,2,6.1666,2,33.2329,2,217.5,2,64.4,2,0.158,2,,2
155,2,6.1587,2,33.242,2,212.8,2,64.4,2,0.159,2,,2
156,2,6.1487,2,33.2474,2,206.0,2,64.4,2,0.153,2,,2
157,2,6.1528,2,33.2805,2,200.9,2,64.5,2,0.157,2,,2
158,2,6.1946,2,33.3357,2,194.2,2,64.5,2,0.159,2,,2
159,2,6.2134,2,33.3539,2,189.9,2,64.4,2,0.154,2,,2
160,2,6.2361,2,33.3841,2,186.7,2,64.4,2,0.155,2,,2
161,2,6.2675,2,33.4402,2,183.3,2,64.4,2,0.153,2,,2
162,2,6.2856,2,33.4642,2,180.8,2,64.4,2,0.152,2,,2
163,2,6.2998,2,33.492,2,179.5,2,64.5,2,0.15,2,,2
164,2,6.3101,2,33.514,2,178.3,2,64.5,2,0.14800000000000002,2,,2
165,2,6.3178,2,33.5318,2,176.2,2,64.4,2,0.155,2,,2
166,2,6.3215,2,33.5454,2,174.6,2,64.5,2,0.15,2,,2
167,2,6.3339,2,33.5651,2,172.7,2,64.5,2,0.14800000000000002,2,,2
168,2,6.3436,2,33.5809,2,171.0,2,64.4,2,0.14800000000000002,2,,2
169,2,6.3596,2,33.5974,2,170.2,2,64.4,2,0.147,2,,2
170,2,6.365,2,33.611,2,169.8,2,64.4,2,0.154,2,,2
171,2,6.3637,2,33.6224,2,169.3,2,64.4,2,0.147,2,,2
172,2,6.3583,2,33.6279,2,169.3,2,64.4,2,0.151,2,,2
173,2,6.3536,2,33.6309,2,169.2,2,64.3,2,0.15,2,,2
174,2,6.3387,2,33.6397,2,168.9,2,64.5,2,0.147,2,,2
175,2,6.3257,2,33.6464,2,168.7,2,64.5,2,0.14800000000000002,2,,2
176,2,6.3209,2,33.6493,2,167.9,2,64.5,2,0.152,2,,2
177,2,6.3152,2,33.6523,2,166.4,2,64.4,2,0.153,2,,2
178,2,6.3113,2,33.658,2,163.9,2,64.4,2,0.15,2,,2
179,2,6.3115,2,33.6652,2,161.9,2,64.4,2,0.147,2,,2
180,2,6.3118,2,33.678000000000004,2,159.1,2,64.5,2,0.152,2,,2
181,2,6.3099,2,33.6908,2,158.0,2,64.4,2,0.147,2,,2
182,2,6.3092,2,33.6977,2,157.8,2,64.4,2,0.147,2,,2
183,2,6.3051,2,33.7165,2,158.2,2,64.4,2,0.151,2,,2
184,2,6.3035,2,33.7261,2,158.8,2,64.5,2,0.147,2,,2
185,2,6.3016,2,33.7295,2,157.7,2,64.3,2,0.14800000000000002,2,,2
186,2,6.2922,2,33.7285,2,158.1,2,64.4,2,0.147,2,,2
187,2,6.2806,2,33.7337,2,156.8,2,64.4,2,0.147,2,,2
188,2,6.2782,2,33.7393,2,154.4,2,64.4,2,0.147,2,,2
189,2,6.263999999999999,2,33.7397,2,152.5,2,64.4,2,0.154,2,,2
190,2,6.242000000000001,2,33.7381,2,151.3,2,64.4,2,0.149,2,,2
191,2,6.244,2,33.7568,2,150.3,2,64.3,2,0.147,2,,2
192,2,6.2526,2,33.7705,2,148.6,2,64.4,2,0.142,2,,2
193,2,6.261,2,33.779,2,146.6,2,64.3,2,0.147,2,,2
194,2,6.2692,2,33.7857,2,145.1,2,64.4,2,0.147,2,,2
195,2,6.2669,2,33.7943,2,144.2,2,64.3,2,0.146,2,,2
196,2,6.2525,2,33.8017,2,143.9,2,64.4,2,0.14300000000000002,2,,2
197,2,6.2439,2,33.8072,2,143.2,2,64.4,2,0.147,2,,2
198,2,6.2383,2,33.8111,2,142.2,2,64.3,2,0.156,2,,2
199,2,6.2291,2,33.8136,2,141.9,2,64.3,2,0.147,2,,2
200,2,6.2132,2,33.8186,2,141.4,2,64.3,2,0.147,2,,2
201,2,6.1996,2,33.8209,2,140.3,2,64.3,2,0.147,2,,2
202,2,6.1927,2,33.8227,2,139.6,2,64.5,2,0.147,2,,2
203,2,6.1876,2,33.8263,2,138.7,2,64.5,2,0.14800000000000002,2,,2
204,2,6.1786,2,33.8311,2,137.6,2,64.5,2,0.147,2,,2
205,2,6.1659,2,33.8337,2,135.9,2,64.4,2,0.147,2,,2
206,2,6.1545,2,33.8356,2,134.4,2,64.4,2,0.145,2,,2
207,2,6.1406,2,33.838,2,134.2,2,64.4,2,0.147,2,,2
208,2,6.1237,2,33.8411,2,133.9,2,64.4,2,0.147,2,,2
209,2,6.0919,2,33.8446,2,132.8,2,64.5,2,0.14300000000000002,2,,2
210,2,6.0716,2,33.8496,2,131.8,2,64.5,2,0.147,2,,2
211,2,6.0347,2,33.8508,2,126.7,2,64.4,2,0.147,2,,2
212,2,6.0117,2,33.8527,2,126.5,2,64.4,2,0.147,2,,2
213,2,5.9735,2,33.8569,2,126.1,2,64.4,2,0.147,2,,2
214,2,5.9507,2,33.8584,2,126.1,2,64.5,2,0.147,2,,2
215,2,5.9334,2,33.8594,2,126.5,2,64.5,2,0.147,2,,2
216,2,5.9233,2,33.8597,2,125.2,2,64.4,2,0.14800000000000002,2,,2
217,2,5.9092,2,33.8628,2,124.5,2,64.4,2,0.15,2,,2
218,2,5.8877,2,33.8626,2,123.9,2,64.5,2,0.147,2,,2
219,2,5.8593,2,33.8624,2,122.2,2,64.4,2,0.147,2,,2
220,2,5.8396,2,33.8626,2,119.8,2,64.5,2,0.147,2,,2
221,2,5.8079,2,33.8618,2,118.6,2,64.5,2,0.147,2,,2
222,2,5.7934,2,33.8631,2,118.7,2,64.5,2,0.147,2,,2
223,2,5.7839,2,33.865,2,120.1,2,64.5,2,0.147,2,,2
224,2,5.7714,2,33.8656,2,120.8,2,64.5,2,0.147,2,,2
225,2,5.7478,2,33.8651,2,120.9,2,64.5,2,0.147,2,,2
226,2,5.7164,2,33.8641,2,119.8,2,64.5,2,0.14800000000000002,2,,2
227,2,5.7005,2,33.8645,2,117.2,2,64.5,2,0.149,2,,2
228,2,5.6849,2,33.8637,2,116.4,2,64.5,2,0.147,2,,2
229,2,5.6688,2,33.8669,2,116.8,2,64.5,2,0.147,2,,2
230,2,5.6631,2,33.8679,2,116.0,2,64.6,2,0.147,2,,2
231,2,5.6587,2,33.8682,2,115.1,2,64.6,2,0.147,2,,2
232,2,5.6524,2,33.869,2,114.9,2,64.5,2,0.147,2,,2
233,2,5.6452,2,33.8696,2,115.9,2,64.5,2,0.147,2,,2
234,2,5.6317,2,33.8704,2,116.1,2,64.5,2,0.147,2,,2
235,2,5.6063,2,33.8707,2,117.1,2,64.5,2,0.152,2,,2
236,2,5.5953,2,33.8684,2,117.3,2,64.5,2,0.147,2,,2
237,2,5.5724,2,33.8686,2,116.7,2,64.5,2,0.147,2,,2
238,2,5.5521,2,33.8686,2,114.9,2,64.5,2,0.147,2,,2
239,2,5.539,2,33.8691,2,113.1,2,64.6,2,0.147,2,,2
240,2,5.5325,2,33.8701,2,111.1,2,64.6,2,0.147,2,,2
241,2,5.5352,2,33.8713,2,110.4,2,64.6,2,0.147,2,,2
242,2,5.5377,2,33.8752,2,109.8,2,64.6,2,0.151,2,,2
243,2,5.5339,2,33.8765,2,110.2,2,64.6,2,0.147,2,,2
244,2,5.5219,2,33.8786,2,110.2,2,64.5,2,0.147,2,,2
245,2,5.506,2,33.8785,2,110.0,2,64.6,2,0.147,2,,2
246,2,5.4897,2,33.8801,2,110.1,2,64.6,2,0.147,2,,2
247,2,5.4891,2,33.8799,2,110.7,2,64.6,2,0.147,2,,2
248,2,5.4877,2,33.8805,2,109.8,2,64.7,2,0.147,2,,2
249,2,5.4854,2,33.8807,2,110.6,2,64.6,2,0.147,2,,2
250,2,5.4831,2,33.8807,2,110.8,2,64.6,2,0.147,2,,2
251,2,5.4802,2,33.8812,2,110.6,2,64.6,2,0.147,2,,2
252,2,5.4698,2,33.8798,2,111.3,2,64.6,2,0.14800000000000002,2,,2
253,2,5.4495,2,33.878,2,111.0,2,64.6,2,0.14800000000000002,2,,2
254,2,5.4179,2,33.8763,2,111.5,2,64.6,2,0.147,2,,2
255,2,5.4001,2,33.8754,2,112.7,2,64.6,2,0.15,2,,2
256,2,5.3893,2,33.8741,2,114.0,2,64.6,2,0.149,2,,2
257,2,5.3629,2,33.8704,2,114.0,2,64.6,2,0.14800000000000002,2,,2
258,2,5.3343,2,33.8669,2,114.0,2,64.6,2,0.149,2,,2
259,2,5.3157,2,33.8652,2,114.4,2,64.6,2,0.147,2,,2
260,2,5.3075,2,33.8657,2,114.8,2,64.6,2,0.147,2,,2
261,2,5.2958,2,33.864000000000004,2,113.8,2,64.6,2,0.147,2,,2
262,2,5.2673,2,33.8601,2,111.5,2,64.6,2,0.147,2,,2
263,2,5.255,2,33.8626,2,109.6,2,64.6,2,0.147,2,,2
264,2,5.2548,2,33.8643,2,109.5,2,64.6,2,0.147,2,,2
265,2,5.28,2,33.8713,2,109.4,2,64.6,2,0.147,2,,2
266,2,5.2831,2,33.8732,2,109.5,2,64.7,2,0.147,2,,2
267,2,5.2678,2,33.8743,2,109.1,2,64.7,2,0.147,2,,2
268,2,5.2323,2,33.8705,2,107.4,2,64.7,2,0.147,2,,2
269,2,5.2311,2,33.8721,2,106.0,2,64.6,2,0.147,2,,2
270,2,5.234,2,33.8728,2,106.0,2,64.7,2,0.147,2,,2
271,2,5.2511,2,33.8786,2,105.9,2,64.6,2,0.147,2,,2
272,2,5.247000000000001,2,33.8792,2,105.7,2,64.7,2,0.147,2,,2
273,2,5.2445,2,33.8791,2,105.1,2,64.6,2,0.147,2,,2
