CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For events 0001 to 0039 the Fluorescence:CTD channel was removed due to a malfunction.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Based on the recommendation from Sea-Bird the method for calibration of Oxygen:Dissolved:CTD concentration was changed from that used for 2011 and some 2012 cruises. ,,,,,,,,,,,,,,,,,
#For more information see the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Jun2012.pdf).  ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±1.0 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 100 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.06 ml/l below 500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The two Salinity:CTD channels differed by about 0.006 with one reading lower than bottles and the other higher. ,,,,,,,,,,,,,,,,,
#Delay in analysis likely caused some evaporation of samples so the two salinity channels are likely reading higher than the comparison suggests. ,,,,,,,,,,,,,,,,,
#The little information available suggests that there has been little calibration drift in the primary salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2013-18-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20130820
STNBR = PA-007
CASTNO = 1
DATE = 20130831
TIME =  18:20
LATITUDE = 50.114
LONGITUDE = -144.83067
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
4,2,14.9,2,32.3671,2,258.4,2,56.9,2,0.237,2,790.5,2
5,2,14.8976,2,32.367,2,259.4,2,56.9,2,0.242,2,873.5,2
6,2,14.8925,2,32.3669,2,258.8,2,56.9,2,0.25,2,640.2,2
7,2,14.8921,2,32.3669,2,258.8,2,56.9,2,0.258,2,605.3,2
8,2,14.8873,2,32.3669,2,258.9,2,56.9,2,0.271,2,460.9,2
9,2,14.8817,2,32.3668,2,258.6,2,56.8,2,0.282,2,411.4,2
10,2,14.8736,2,32.3669,2,258.1,2,56.9,2,0.292,2,405.3,2
11,2,14.8596,2,32.3662,2,259.0,2,56.9,2,0.298,2,405.0,2
12,2,14.8337,2,32.3651,2,259.1,2,57.0,2,0.3,2,350.6,2
13,2,14.8142,2,32.365,2,259.3,2,57.2,2,0.305,2,318.0,2
14,2,14.804,2,32.3648,2,259.4,2,57.3,2,0.314,2,325.7,2
15,2,14.8004,2,32.3654,2,259.1,2,57.4,2,0.32,2,319.7,2
16,2,14.7975,2,32.3653,2,259.2,2,57.6,2,0.321,2,363.6,2
17,2,14.7941,2,32.3651,2,259.4,2,57.9,2,0.332,2,312.9,2
18,2,14.7899,2,32.3652,2,252.6,2,58.0,2,0.335,2,256.8,2
19,2,14.7869,2,32.3654,2,247.1,2,58.1,2,0.34600000000000003,2,220.5,2
20,2,14.7849,2,32.3656,2,255.9,2,58.2,2,0.375,2,174.5,2
21,2,14.7805,2,32.3657,2,280.7,2,58.1,2,0.376,2,141.8,2
22,2,14.7088,2,32.3658,2,267.1,2,58.1,2,0.37799999999999995,2,121.3,2
23,2,13.8033,2,32.3751,2,255.2,2,58.2,2,0.389,2,106.4,2
24,2,12.439,2,32.4637,2,278.7,2,58.3,2,0.386,2,98.2,2
25,2,10.7653,2,32.5053,2,297.2,2,57.0,2,0.384,2,88.5,2
26,2,10.2729,2,32.489000000000004,2,302.8,2,58.7,2,0.387,2,83.2,2
27,2,9.8986,2,32.494,2,312.8,2,59.3,2,0.408,2,75.3,2
28,2,9.5954,2,32.493,2,313.7,2,59.2,2,0.433,2,68.4,2
29,2,9.5012,2,32.4912,2,305.4,2,59.0,2,0.445,2,62.3,2
30,2,9.3044,2,32.4821,2,298.1,2,58.8,2,0.473,2,56.6,2
31,2,9.0707,2,32.4937,2,299.0,2,58.8,2,0.503,2,51.9,2
32,2,8.7745,2,32.5129,2,302.5,2,58.7,2,0.541,2,47.7,2
33,2,8.6414,2,32.5114,2,302.3,2,58.6,2,0.5589999999999999,2,46.2,2
34,2,8.5418,2,32.5168,2,304.5,2,58.4,2,0.594,2,42.4,2
35,2,8.2978,2,32.53,2,307.6,2,58.3,2,0.627,2,38.3,2
36,2,8.1279,2,32.532,2,306.4,2,58.2,2,0.6409999999999999,2,34.7,2
37,2,7.9714,2,32.5356,2,302.1,2,58.1,2,0.653,2,31.4,2
38,2,7.7618,2,32.5357,2,303.2,2,58.3,2,0.672,2,28.2,2
39,2,7.615,2,32.5497,2,302.1,2,58.4,2,0.69,2,25.4,2
40,2,7.2808,2,32.5545,2,303.2,2,58.5,2,0.711,2,22.9,2
41,2,7.037000000000001,2,32.5582,2,306.6,2,58.7,2,0.723,2,21.5,2
42,2,6.7621,2,32.564,2,309.0,2,58.9,2,0.73,2,19.9,2
43,2,6.4898,2,32.566,2,310.3,2,58.9,2,0.747,2,18.3,2
44,2,6.3611,2,32.5668,2,312.1,2,59.0,2,0.755,2,16.8,2
45,2,6.2478,2,32.5716,2,311.4,2,59.1,2,0.7659999999999999,2,15.5,2
46,2,6.1006,2,32.5763,2,310.5,2,59.3,2,0.777,2,14.4,2
47,2,6.0422,2,32.5804,2,311.5,2,59.4,2,0.773,2,13.6,2
48,2,5.9859,2,32.58,2,312.7,2,59.4,2,0.778,2,12.9,2
49,2,5.8547,2,32.5797,2,311.1,2,59.5,2,0.7859999999999999,2,12.3,2
50,2,5.7504,2,32.5812,2,310.4,2,59.5,2,0.79,2,11.6,2
51,2,5.6946,2,32.5821,2,310.9,2,59.6,2,0.794,2,11.1,2
52,2,5.61,2,32.59,2,311.3,2,59.7,2,0.7979999999999999,2,10.6,2
53,2,5.527,2,32.592,2,311.9,2,59.7,2,0.816,2,10.3,2
54,2,5.4362,2,32.5923,2,311.1,2,59.7,2,0.7909999999999999,2,10.1,2
55,2,5.3905,2,32.595,2,311.0,2,60.0,2,0.7609999999999999,2,9.8,2
56,2,5.3377,2,32.5962,2,311.2,2,60.1,2,0.718,2,9.4,2
57,2,5.2771,2,32.5962,2,311.9,2,60.5,2,0.6759999999999999,2,9.0,2
58,2,5.2475,2,32.5975,2,312.1,2,60.8,2,0.6459999999999999,2,8.7,2
59,2,5.227,2,32.5998,2,312.2,2,60.9,2,0.632,2,8.4,2
60,2,5.2129,2,32.603,2,312.0,2,61.0,2,0.62,2,8.0,2
61,2,5.1999,2,32.6064,2,311.3,2,61.0,2,0.622,2,7.7,2
62,2,5.1857,2,32.6095,2,311.6,2,61.0,2,0.606,2,7.3,2
63,2,5.1695,2,32.6105,2,311.0,2,61.1,2,0.601,2,6.9,2
64,2,5.1174,2,32.6118,2,310.7,2,61.2,2,0.603,2,6.6,2
65,2,5.1061,2,32.6144,2,312.1,2,61.2,2,0.588,2,6.4,2
66,2,5.1068,2,32.6218,2,313.2,2,61.3,2,0.562,2,6.0,2
67,2,5.0967,2,32.6237,2,311.9,2,61.5,2,0.551,2,5.6,2
68,2,5.0623,2,32.6225,2,310.7,2,61.7,2,0.542,2,5.2,2
69,2,5.0256,2,32.6245,2,309.9,2,61.8,2,0.517,2,4.7,2
70,2,5.018,2,32.6262,2,309.6,2,62.1,2,0.513,2,4.5,2
71,2,5.0039,2,32.629,2,311.2,2,62.1,2,0.47600000000000003,2,3.8,2
72,2,4.9867,2,32.6297,2,310.4,2,62.2,2,0.456,2,3.5,2
73,2,4.9609,2,32.6311,2,310.2,2,62.3,2,0.43799999999999994,2,3.2,2
74,2,4.9237,2,32.6329,2,310.6,2,62.4,2,0.43200000000000005,2,3.0,2
75,2,4.9105,2,32.6341,2,310.5,2,62.6,2,0.42100000000000004,2,2.7,2
76,2,4.896,2,32.6374,2,310.0,2,62.7,2,0.39899999999999997,2,2.4,2
77,2,4.8898,2,32.6383,2,309.6,2,62.8,2,0.391,2,2.3,2
78,2,4.8868,2,32.6395,2,309.0,2,62.8,2,0.38299999999999995,2,2.1,2
79,2,4.8771,2,32.6403,2,310.0,2,62.8,2,0.368,2,2.0,2
80,2,4.8548,2,32.6446,2,310.5,2,62.8,2,0.364,2,1.8,2
81,2,4.8455,2,32.6461,2,311.7,2,63.1,2,0.34299999999999997,2,1.7,2
82,2,4.835,2,32.6477,2,311.3,2,63.2,2,0.327,2,1.6,2
83,2,4.8263,2,32.648,2,309.7,2,63.2,2,0.326,2,1.5,2
84,2,4.8133,2,32.6481,2,309.0,2,63.2,2,0.321,2,1.4,2
85,2,4.798,2,32.6558,2,308.8,2,63.2,2,0.304,2,1.3,2
86,2,4.7781,2,32.6564,2,308.9,2,63.4,2,0.297,2,1.3,2
87,2,4.7409,2,32.6575,2,309.5,2,63.5,2,0.28,2,1.2,2
88,2,4.7286,2,32.6583,2,309.2,2,63.6,2,0.267,2,1.1,2
89,2,4.7195,2,32.6601,2,309.7,2,63.6,2,0.26,2,1.1,2
90,2,4.6893,2,32.6645,2,309.4,2,63.6,2,0.253,2,1.0,2
91,2,4.6747,2,32.6676,2,309.4,2,63.7,2,0.244,2,1.0,2
92,2,4.6682,2,32.6683,2,308.8,2,63.8,2,0.24,2,0.9,2
93,2,4.658,2,32.6696,2,307.8,2,63.8,2,0.233,2,0.9,2
94,2,4.645,2,32.6738,2,308.6,2,63.9,2,0.225,2,0.8,2
95,2,4.636,2,32.6762,2,308.5,2,63.9,2,0.225,2,0.8,2
96,2,4.6333,2,32.6774,2,307.6,2,63.8,2,0.22,2,0.8,2
97,2,4.6278,2,32.678000000000004,2,307.6,2,63.9,2,0.218,2,0.7,2
98,2,4.6071,2,32.6821,2,307.3,2,63.9,2,0.214,2,0.7,2
99,2,4.5994,2,32.6829,2,307.0,2,63.9,2,0.21600000000000003,2,0.7,2
100,2,4.5908,2,32.685,2,307.4,2,64.0,2,0.21100000000000002,2,0.6,2
101,2,4.5769,2,32.6884,2,307.4,2,63.9,2,0.209,2,0.6,2
102,2,4.5661,2,32.6949,2,305.1,2,64.0,2,0.203,2,0.6,2
103,2,4.5513,2,32.7028,2,305.1,2,63.9,2,0.2,2,0.6,2
104,2,4.544,2,32.7052,2,305.0,2,64.1,2,0.198,2,0.5,2
105,2,4.54,2,32.7059,2,304.5,2,64.1,2,0.196,2,0.5,2
106,2,4.5297,2,32.7099,2,303.0,2,64.1,2,0.193,2,0.5,2
107,2,4.5239,2,32.7131,2,300.3,2,64.1,2,0.191,2,0.5,2
108,2,4.5185,2,32.718,2,296.9,2,64.1,2,0.19,2,0.5,2
109,2,4.4985,2,32.7321,2,294.5,2,64.1,2,0.185,2,0.4,2
110,2,4.4916,2,32.7497,2,296.8,2,64.1,2,0.18100000000000002,2,0.4,2
111,2,4.4933,2,32.7641,2,299.3,2,64.1,2,0.17800000000000002,2,0.4,2
112,2,4.4933,2,32.7701,2,299.6,2,64.1,2,0.17800000000000002,2,0.4,2
113,2,4.4912,2,32.7771,2,299.3,2,64.1,2,0.177,2,0.4,2
115,2,4.4795,2,32.7982,2,281.6,2,64.2,2,0.16899999999999998,2,0.4,2
116,2,4.4449,2,32.8304,2,280.9,2,64.3,2,0.16699999999999998,2,0.4,2
117,2,4.4328,2,32.8444,2,278.7,2,64.3,2,0.16699999999999998,2,0.3,2
118,2,4.3888,2,32.8532,2,275.2,2,64.3,2,0.16,2,0.3,2
119,2,4.3602,2,32.8633,2,271.8,2,64.2,2,0.161,2,0.3,2
120,2,4.3573,2,32.8782,2,269.1,2,64.3,2,0.16,2,0.3,2
121,2,4.3901,2,32.9142,2,268.5,2,64.3,2,0.155,2,0.3,2
122,2,4.3908,2,32.9378,2,266.1,2,64.3,2,0.158,2,0.3,2
123,2,4.3946,2,32.9406,2,262.7,2,64.3,2,0.157,2,0.3,2
124,2,4.3931,2,32.9443,2,259.6,2,64.4,2,0.157,2,0.3,2
125,2,4.3829,2,32.9686,2,255.1,2,64.4,2,0.151,2,0.3,2
126,2,4.3708,2,32.9959,2,250.8,2,64.4,2,0.153,2,0.3,2
127,2,4.3382,2,33.0358,2,245.3,2,64.4,2,0.15,2,0.3,2
128,2,4.3332,2,33.0623,2,241.0,2,64.4,2,0.15,2,0.3,2
129,2,4.3384,2,33.0781,2,239.1,2,64.4,2,0.153,2,0.2,2
130,2,4.3301,2,33.1034,2,235.6,2,64.4,2,0.15,2,0.2,2
131,2,4.3169,2,33.1223,2,232.7,2,64.5,2,0.15,2,0.2,2
132,2,4.3066,2,33.1311,2,230.3,2,64.4,2,0.151,2,0.2,2
133,2,4.2558,2,33.1513,2,230.1,2,64.4,2,0.15,2,0.2,2
134,2,4.2225,2,33.1803,2,229.7,2,64.4,2,0.153,2,0.2,2
135,2,4.2268,2,33.1991,2,226.0,2,64.4,2,0.151,2,0.2,2
136,2,4.2507,2,33.2206,2,217.7,2,64.4,2,0.149,2,0.2,2
137,2,4.3008,2,33.2681,2,215.4,2,64.5,2,0.149,2,0.2,2
138,2,4.2613,2,33.2897,2,217.0,2,64.5,2,0.15,2,0.2,2
139,2,4.2406,2,33.2968,2,218.4,2,64.5,2,0.15,2,0.2,2
140,2,4.2322,2,33.3079,2,219.4,2,64.5,2,0.152,2,0.2,2
141,2,4.2323,2,33.3138,2,217.3,2,64.5,2,0.15,2,0.2,2
142,2,4.2267,2,33.3208,2,214.7,2,64.5,2,0.15,2,0.2,2
143,2,4.2122,2,33.3316,2,206.7,2,64.5,2,0.14800000000000002,2,0.2,2
144,2,4.1804,2,33.3381,2,204.5,2,64.5,2,0.149,2,0.2,2
145,2,4.1394,2,33.3488,2,201.4,2,64.5,2,0.15,2,0.2,2
146,2,4.1202,2,33.3582,2,198.8,2,64.5,2,0.15,2,0.1,2
147,2,4.0993,2,33.3766,2,196.3,2,64.5,2,0.15,2,0.1,2
148,2,4.0934,2,33.3855,2,193.6,2,64.4,2,0.15,2,0.1,2
149,2,4.0852,2,33.3996,2,191.0,2,64.4,2,0.15,2,0.1,2
150,2,4.0792,2,33.4214,2,189.4,2,64.4,2,0.14800000000000002,2,0.1,2
151,2,4.0705,2,33.4395,2,188.6,2,64.4,2,0.147,2,0.1,2
152,2,4.042,2,33.4532,2,187.4,2,64.4,2,0.147,2,0.1,2
153,2,4.0243,2,33.4688,2,185.1,2,64.4,2,0.145,2,0.1,2
154,2,4.0058,2,33.4816,2,182.7,2,64.3,2,0.146,2,0.1,2
155,2,3.991,2,33.4981,2,179.6,2,64.3,2,0.149,2,0.1,2
156,2,3.9946,2,33.5106,2,176.3,2,64.3,2,0.14400000000000002,2,0.1,2
157,2,4.0104,2,33.5208,2,174.7,2,64.3,2,0.149,2,0.1,2
158,2,4.0134,2,33.5357,2,174.7,2,64.4,2,0.14800000000000002,2,0.1,2
159,2,4.0085,2,33.55,2,173.6,2,64.3,2,0.14800000000000002,2,0.1,2
160,2,3.975,2,33.5646,2,170.3,2,64.2,2,0.146,2,0.1,2
161,2,3.9639,2,33.5803,2,167.8,2,64.4,2,0.149,2,0.1,2
162,2,3.949,2,33.5926,2,165.1,2,64.3,2,0.15,2,0.1,2
163,2,3.946,2,33.5949,2,163.2,2,64.3,2,0.14400000000000002,2,0.1,2
164,2,3.9404,2,33.6015,2,162.2,2,64.3,2,0.14800000000000002,2,0.1,2
165,2,3.9276,2,33.6103,2,161.5,2,64.4,2,0.146,2,0.1,2
166,2,3.9184,2,33.6162,2,160.6,2,64.4,2,0.147,2,0.1,2
167,2,3.9133,2,33.6189,2,160.3,2,64.4,2,0.149,2,0.1,2
168,2,3.9102,2,33.6208,2,161.1,2,64.4,2,0.15,2,0.0,2
169,2,3.9027,2,33.6251,2,161.9,2,64.4,2,0.145,2,0.0,2
170,2,3.8957,2,33.6303,2,160.0,2,64.4,2,0.147,2,0.0,2
171,2,3.8918,2,33.6334,2,156.5,2,64.4,2,0.145,2,0.0,2
172,2,3.8835,2,33.6363,2,154.2,2,64.4,2,0.146,2,0.0,2
173,2,3.8739999999999997,2,33.6402,2,152.7,2,64.4,2,0.14300000000000002,2,0.0,2
174,2,3.8714,2,33.6443,2,152.3,2,64.4,2,0.14800000000000002,2,0.0,2
175,2,3.8705,2,33.6462,2,152.4,2,64.4,2,0.147,2,0.0,2
176,2,3.8665,2,33.6513,2,151.5,2,64.4,2,0.149,2,0.0,2
177,2,3.8574,2,33.6516,2,151.2,2,64.4,2,0.14300000000000002,2,0.0,2
178,2,3.8505,2,33.6508,2,150.1,2,64.4,2,0.147,2,0.0,2
179,2,3.8394,2,33.6511,2,148.4,2,64.4,2,0.142,2,0.0,2
180,2,3.8365,2,33.6538,2,146.2,2,64.4,2,0.146,2,0.0,2
181,2,3.8228,2,33.6574,2,142.8,2,64.4,2,0.146,2,0.0,2
182,2,3.8124,2,33.6637,2,138.9,2,64.5,2,0.14300000000000002,2,0.0,2
183,2,3.8132,2,33.674,2,137.4,2,64.4,2,0.145,2,0.0,2
184,2,3.7834,2,33.6798,2,137.0,2,64.4,2,0.147,2,0.0,2
185,2,3.7745,2,33.6829,2,136.0,2,64.4,2,0.14300000000000002,2,0.0,2
