CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#"Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf), except that a small offset in the fit was allowed.",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.8 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.6 ml/l from 100 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 300 to 800 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l below 800 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The primary Salinity:Practical:CTD channel was used for events 0041 and 0043 so it was recalibrated to match the secondary channel which was selected for all other casts.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2014-01-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20140210
STNBR = P4
CASTNO = 1
DATE = 20140212
TIME =  05:31
LATITUDE = 48.65067
LONGITUDE = -126.666
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
0,2,7.8184,2,32.2277,2,276.1,2,0.0,2,0.978,2,,2
1,2,7.8184,2,32.2484,2,273.7,2,4.4,2,0.865,2,,2
3,2,7.8176,2,32.2817,2,289.6,2,61.2,2,0.823,2,,2
4,2,7.8177,2,32.2827,2,290.2,2,61.2,2,0.795,2,,2
5,2,7.8175,2,32.2842,2,289.8,2,63.3,2,0.794,2,,2
6,2,7.8174,2,32.2852,2,289.8,2,63.6,2,0.813,2,,2
7,2,7.8172,2,32.2851,2,290.1,2,63.7,2,0.8740000000000001,2,,2
8,2,7.8173,2,32.2849,2,290.1,2,63.7,2,0.882,2,,2
9,2,7.8177,2,32.2857,2,289.7,2,63.6,2,0.8759999999999999,2,,2
10,2,7.8178,2,32.2863,2,289.9,2,63.7,2,0.855,2,,2
11,2,7.8176,2,32.2882,2,289.5,2,63.7,2,0.902,2,,2
12,2,7.8176,2,32.289,2,289.8,2,63.7,2,0.937,2,,2
13,2,7.8178,2,32.2886,2,290.1,2,63.8,2,0.882,2,,2
14,2,7.818,2,32.2883,2,290.0,2,63.7,2,0.976,2,,2
15,2,7.8177,2,32.2882,2,290.1,2,63.7,2,0.9490000000000001,2,,2
16,2,7.8175,2,32.2889,2,289.9,2,63.7,2,0.885,2,,2
17,2,7.8177,2,32.2888,2,289.6,2,63.7,2,0.915,2,,2
18,2,7.818,2,32.2888,2,289.8,2,63.7,2,0.855,2,,2
19,2,7.8184,2,32.2885,2,289.6,2,63.7,2,0.8390000000000001,2,,2
20,2,7.8184,2,32.2885,2,290.1,2,63.7,2,0.85,2,,2
21,2,7.8186,2,32.288000000000004,2,290.1,2,63.7,2,0.804,2,,2
22,2,7.8177,2,32.2892,2,289.9,2,63.6,2,0.836,2,,2
23,2,7.818,2,32.2882,2,290.0,2,63.7,2,0.872,2,,2
24,2,7.8184,2,32.2875,2,290.1,2,63.8,2,0.932,2,,2
25,2,7.8181,2,32.2886,2,289.2,2,63.8,2,0.909,2,,2
26,2,7.8181,2,32.2893,2,288.6,2,63.7,2,0.872,2,,2
27,2,7.817,2,32.2955,2,288.4,2,63.7,2,0.943,2,,2
28,2,7.8173,2,32.299,2,288.9,2,63.8,2,0.948,2,,2
29,2,7.8172,2,32.2984,2,288.6,2,63.9,2,0.884,2,,2
30,2,7.8173,2,32.2989,2,288.3,2,63.9,2,0.888,2,,2
31,2,7.8174,2,32.3008,2,287.9,2,63.9,2,0.965,2,,2
32,2,7.8175,2,32.3027,2,287.7,2,64.1,2,0.9079999999999999,2,,2
33,2,7.8174,2,32.3053,2,287.6,2,64.1,2,0.845,2,,2
34,2,7.817,2,32.3067,2,287.1,2,64.1,2,0.81,2,,2
35,2,7.8172,2,32.3073,2,286.4,2,64.1,2,0.897,2,,2
36,2,7.8223,2,32.3167,2,285.8,2,64.2,2,0.89,2,,2
37,2,7.8228,2,32.3178,2,285.3,2,64.4,2,0.782,2,,2
38,2,7.8289,2,32.3226,2,284.8,2,64.5,2,0.76,2,,2
39,2,7.8325,2,32.3271,2,286.1,2,64.6,2,0.7440000000000001,2,,2
40,2,7.8336,2,32.3285,2,286.1,2,64.7,2,0.7190000000000001,2,,2
41,2,7.8473,2,32.3384,2,281.4,2,64.7,2,0.6709999999999999,2,,2
42,2,7.8725,2,32.3574,2,276.1,2,64.8,2,0.618,2,,2
43,2,7.8853,2,32.3649,2,272.6,2,64.9,2,0.581,2,,2
44,2,7.8999,2,32.3706,2,271.8,2,65.2,2,0.59,2,,2
45,2,7.9197,2,32.3794,2,273.0,2,65.3,2,0.617,2,,2
46,2,7.9669,2,32.4048,2,275.5,2,65.4,2,0.622,2,,2
47,2,8.0103,2,32.4352,2,277.1,2,65.4,2,0.585,2,,2
48,2,8.0229,2,32.4467,2,277.6,2,65.5,2,0.5429999999999999,2,,2
49,2,8.0805,2,32.5101,2,240.5,2,65.5,2,0.483,2,,2
50,2,8.1362,2,32.5625,2,228.5,2,65.7,2,0.456,2,,2
51,2,8.1905,2,32.6287,2,216.9,2,66.1,2,0.43799999999999994,2,,2
52,2,8.231,2,32.7143,2,211.4,2,66.3,2,0.408,2,,2
53,2,8.2389,2,32.8682,2,209.7,2,66.4,2,0.397,2,,2
54,2,8.2258,2,32.9207,2,208.5,2,66.7,2,0.36200000000000004,2,,2
55,2,8.201,2,32.957,2,208.6,2,66.9,2,0.321,2,,2
56,2,8.1896,2,32.9771,2,209.0,2,67.0,2,0.299,2,,2
57,2,8.1698,2,32.998000000000005,2,208.0,2,67.0,2,0.27399999999999997,2,,2
58,2,8.1407,2,33.0196,2,207.0,2,66.9,2,0.253,2,,2
59,2,8.138,2,33.0381,2,206.6,2,67.2,2,0.239,2,,2
60,2,8.1402,2,33.0529,2,206.2,2,67.2,2,0.19899999999999998,2,,2
61,2,8.1416,2,33.0577,2,205.9,2,67.2,2,0.188,2,,2
62,2,8.1429,2,33.0616,2,205.5,2,67.2,2,0.19699999999999998,2,,2
63,2,8.1442,2,33.066,2,206.0,2,67.2,2,0.204,2,,2
64,2,8.1462,2,33.0706,2,206.2,2,67.2,2,0.204,2,,2
65,2,8.148,2,33.0731,2,207.1,2,67.2,2,0.209,2,,2
66,2,8.1497,2,33.0792,2,191.9,2,67.2,2,0.191,2,,2
67,2,8.135,2,33.1327,2,186.1,2,67.1,2,0.188,2,,2
68,2,8.1014,2,33.1907,2,182.3,2,66.9,2,0.17600000000000002,2,,2
69,2,8.0989,2,33.2056,2,179.1,2,66.4,2,0.172,2,,2
70,2,8.0963,2,33.2246,2,176.1,2,66.8,2,0.172,2,,2
71,2,8.0826,2,33.2472,2,174.3,2,66.9,2,0.18100000000000002,2,,2
72,2,8.074,2,33.263000000000005,2,173.3,2,66.8,2,0.161,2,,2
73,2,8.0698,2,33.2795,2,175.5,2,66.7,2,0.155,2,,2
74,2,8.0648,2,33.3008,2,180.2,2,66.5,2,0.15,2,,2
75,2,8.062000000000001,2,33.3067,2,181.1,2,66.4,2,0.145,2,,2
76,2,8.0594,2,33.3139,2,161.5,2,66.8,2,0.125,2,,2
77,2,8.0566,2,33.3178,2,157.7,2,66.6,2,0.136,2,,2
