CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.8 ml/l from 0 to 50 dbar,,,,,,,,,,,,,,,,,
#      • ±0.6 ml/l from 50 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 100 to 250 dbar,,,,,,,,,,,,,,,,,
#      • ±0.15 ml/l from 250 to 800 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 800 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2014-18-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20140608
STNBR = P22
CASTNO = 1
DATE = 16/06/2014
TIME =  01:48
LATITUDE = 49.699
LONGITUDE = -140.66733
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2,2,11.3838,2,32.3346,2,286.2,2,58.4,2,0.35,2,,2
3,2,11.3824,2,32.3347,2,286.0,2,58.3,2,0.359,2,,2
4,2,11.319,2,32.3342,2,285.5,2,58.3,2,0.452,2,,2
5,2,11.2829,2,32.3335,2,286.0,2,58.3,2,0.433,2,,2
6,2,11.2386,2,32.3326,2,286.3,2,57.8,2,0.46399999999999997,2,,2
7,2,11.2078,2,32.3316,2,286.3,2,57.1,2,0.47600000000000003,2,,2
8,2,11.1813,2,32.3316,2,286.8,2,56.7,2,0.52,2,,2
9,2,11.1713,2,32.3315,2,287.0,2,56.8,2,0.708,2,,2
10,2,11.1622,2,32.3316,2,287.1,2,56.5,2,0.639,2,,2
11,2,11.1561,2,32.332,2,287.4,2,56.5,2,0.696,2,,2
12,2,11.1501,2,32.3321,2,287.6,2,56.5,2,0.7509999999999999,2,,2
13,2,11.1464,2,32.3321,2,287.5,2,56.7,2,0.721,2,,2
14,2,11.1429,2,32.3323,2,287.9,2,55.9,2,0.738,2,,2
15,2,11.1391,2,32.3325,2,287.5,2,56.5,2,1.5,2,,2
16,2,11.1363,2,32.3328,2,287.2,2,56.7,2,0.98,2,,2
17,2,11.1321,2,32.333,2,287.6,2,56.9,2,0.904,2,,2
18,2,11.1311,2,32.3333,2,287.9,2,57.0,2,1.023,2,,2
19,2,11.1284,2,32.3335,2,287.4,2,56.7,2,1.23,2,,2
20,2,11.127,2,32.3337,2,287.4,2,56.4,2,1.092,2,,2
21,2,11.1258,2,32.3339,2,287.3,2,57.0,2,1.062,2,,2
22,2,11.1244,2,32.334,2,287.5,2,56.9,2,1.2009999999999998,2,,2
23,2,11.1221,2,32.334,2,287.5,2,57.0,2,1.125,2,,2
24,2,11.1199,2,32.3342,2,287.2,2,56.9,2,1.056,2,,2
25,2,11.1191,2,32.3342,2,287.3,2,56.8,2,1.089,2,,2
26,2,11.1183,2,32.3345,2,286.6,2,57.2,2,1.694,2,,2
27,2,11.1148,2,32.3348,2,286.7,2,57.2,2,1.3130000000000002,2,,2
28,2,11.0987,2,32.3354,2,286.4,2,57.1,2,2.501,2,,2
29,2,11.0397,2,32.3374,2,287.9,2,55.8,2,3.7680000000000002,2,,2
30,2,10.9032,2,32.3437,2,288.5,2,56.7,2,2.556,2,,2
31,2,10.7488,2,32.3524,2,288.7,2,56.8,2,3.5389999999999997,2,,2
