CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.8 ml/l from 0 to 50 dbar,,,,,,,,,,,,,,,,,
#      • ±0.6 ml/l from 50 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 100 to 250 dbar,,,,,,,,,,,,,,,,,
#      • ±0.15 ml/l from 250 to 800 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 800 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2014-18-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20140608
STNBR = PA-008
CASTNO = 1
DATE = 18/06/2014
TIME =  21:02
LATITUDE = 50.054159999999996
LONGITUDE = -144.8835
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3,2,10.4538,2,32.3874,2,286.3,2,61.2,2,0.213,2,547.8,2
4,2,10.4529,2,32.3874,2,286.1,2,61.1,2,0.21,2,527.2,2
5,2,10.452,2,32.3872,2,286.0,2,61.0,2,0.213,2,434.5,2
6,2,10.4517,2,32.3861,2,286.4,2,61.2,2,0.209,2,383.2,2
7,2,10.4496,2,32.3842,2,286.7,2,61.2,2,0.20199999999999999,2,334.8,2
8,2,10.4481,2,32.383,2,286.8,2,61.2,2,0.203,2,295.5,2
9,2,10.4479,2,32.3822,2,286.8,2,61.2,2,0.207,2,274.6,2
10,2,10.4423,2,32.3839,2,286.5,2,61.3,2,0.214,2,249.2,2
11,2,10.4372,2,32.384,2,286.6,2,61.3,2,0.23,2,230.1,2
12,2,10.4266,2,32.3848,2,287.1,2,61.2,2,0.24,2,213.2,2
13,2,10.4165,2,32.3845,2,287.1,2,60.8,2,0.265,2,196.5,2
14,2,10.4108,2,32.3843,2,287.2,2,61.0,2,0.28300000000000003,2,179.1,2
15,2,10.4054,2,32.3844,2,287.5,2,61.3,2,0.573,2,163.4,2
16,2,10.4038,2,32.3842,2,287.4,2,61.4,2,0.532,2,151.4,2
17,2,10.3995,2,32.3843,2,287.0,2,61.5,2,0.483,2,140.6,2
18,2,10.3967,2,32.3842,2,286.5,2,61.0,2,0.379,2,133.8,2
19,2,10.3947,2,32.3838,2,286.7,2,61.0,2,0.424,2,125.6,2
20,2,10.3944,2,32.3839,2,287.2,2,61.5,2,0.40299999999999997,2,117.9,2
21,2,10.3931,2,32.3835,2,287.3,2,61.4,2,0.414,2,111.0,2
22,2,10.3919,2,32.3837,2,287.2,2,61.4,2,0.429,2,103.4,2
23,2,10.390999999999998,2,32.3836,2,286.7,2,61.0,2,0.623,2,95.4,2
24,2,10.3892,2,32.3837,2,287.1,2,61.6,2,0.518,2,89.4,2
25,2,10.3876,2,32.3838,2,287.0,2,61.5,2,0.493,2,84.8,2
26,2,10.3879,2,32.3839,2,287.4,2,61.3,2,0.512,2,79.9,2
27,2,10.3883,2,32.3838,2,287.2,2,61.3,2,0.531,2,75.1,2
28,2,10.3855,2,32.3836,2,286.6,2,61.3,2,0.545,2,70.4,2
29,2,10.3833,2,32.3835,2,286.6,2,61.4,2,0.555,2,66.0,2
30,2,10.3819,2,32.3837,2,286.4,2,61.6,2,0.5770000000000001,2,62.8,2
