CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity and some blocks of obviously bad values were removed from some of the deep casts.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The calibration for the Oxygen:Dissolved sensor #0997 shifted during the cruise.,,,,,,,,,,,,,,,,,
#This appears to have been an abrupt change so separate corrections were applied for events (files) 0007 to 0049 and 0052 to 0117. ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 150 dbar,,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 150 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 300 to 1000 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l from 1000 to 2000 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l below 2000 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2014-19-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20140819
STNBR = P24-P25
CASTNO = 1
DATE = 27/08/2014
TIME =  21:33
LATITUDE = 49.902
LONGITUDE = -143.05383
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
4,2,15.4937,2,32.2261,2,273.2,2,47.2,2,1.001,2,176.9,2
5,2,15.4919,2,32.2252,2,273.5,2,46.6,2,1.051,2,155.0,2
6,2,15.5048,2,32.2252,2,273.5,2,46.3,2,1.031,2,136.0,2
7,2,15.5053,2,32.2251,2,273.6,2,46.5,2,0.977,2,118.2,2
8,2,15.4979,2,32.2251,2,273.6,2,46.6,2,1.041,2,105.1,2
9,2,15.4567,2,32.2244,2,273.6,2,46.6,2,1.287,2,100.6,2
10,2,15.422,2,32.2242,2,274.2,2,46.1,2,1.669,2,89.0,2
11,2,15.4187,2,32.2238,2,274.2,2,45.8,2,1.7369999999999999,2,80.8,2
12,2,15.413,2,32.2238,2,273.9,2,45.6,2,1.825,2,75.8,2
14,2,15.3506,2,32.2224,2,273.5,2,47.0,2,1.8,2,63.0,2
15,2,15.2989,2,32.2214,2,273.4,2,47.6,2,1.88,2,59.7,2
16,2,15.2762,2,32.221,2,271.6,2,48.3,2,2.049,2,56.0,2
17,2,15.2172,2,32.2206,2,272.0,2,48.2,2,2.267,2,53.6,2
18,2,14.9846,2,32.2194,2,273.2,2,47.7,2,2.219,2,51.4,2
19,2,14.901,2,32.2207,2,272.4,2,48.8,2,2.085,2,48.4,2
20,2,14.8823,2,32.2207,2,271.0,2,49.8,2,2.003,2,45.2,2
21,2,14.8604,2,32.2209,2,269.9,2,51.1,2,1.974,2,42.7,2
22,2,14.8442,2,32.2214,2,265.5,2,52.8,2,2.0269999999999997,2,40.7,2
23,2,14.8138,2,32.2223,2,262.4,2,52.9,2,2.11,2,38.6,2
24,2,14.3439,2,32.2419,2,266.9,2,52.8,2,2.376,2,36.4,2
25,2,13.5548,2,32.2771,2,268.8,2,52.5,2,2.412,2,34.4,2
26,2,13.2302,2,32.2815,2,274.5,2,51.3,2,2.405,2,32.6,2
27,2,12.3212,2,32.3009,2,281.3,2,52.7,2,2.235,2,30.9,2
28,2,12.0687,2,32.3179,2,282.6,2,53.9,2,2.45,2,29.5,2
29,2,11.9537,2,32.3152,2,283.8,2,54.3,2,2.283,2,28.3,2
30,2,11.5736,2,32.3277,2,287.0,2,54.4,2,2.153,2,26.9,2
31,2,11.4004,2,32.3326,2,288.2,2,55.2,2,2.077,2,25.6,2
32,2,11.3081,2,32.3362,2,288.6,2,55.7,2,2.001,2,24.3,2
33,2,11.2078,2,32.3386,2,289.9,2,56.1,2,2.024,2,22.9,2
34,2,11.0704,2,32.3418,2,288.3,2,56.2,2,2.0380000000000003,2,21.4,2
35,2,10.8937,2,32.3479,2,290.2,2,56.0,2,1.99,2,20.0,2
36,2,10.61,2,32.3639,2,292.3,2,56.2,2,1.931,2,18.8,2
37,2,10.385,2,32.3653,2,291.6,2,56.4,2,1.838,2,17.6,2
38,2,10.2209,2,32.3695,2,289.9,2,56.8,2,1.651,2,16.6,2
39,2,9.9518,2,32.3795,2,291.3,2,57.6,2,1.4340000000000002,2,15.7,2
40,2,9.6761,2,32.3873,2,293.5,2,58.5,2,1.3659999999999999,2,14.8,2
41,2,9.2488,2,32.3997,2,295.3,2,59.0,2,1.264,2,13.9,2
42,2,9.0825,2,32.4019,2,296.7,2,59.8,2,1.1740000000000002,2,12.9,2
43,2,8.9043,2,32.4068,2,297.3,2,60.3,2,1.102,2,12.2,2
44,2,8.7658,2,32.4121,2,294.5,2,60.9,2,1.0270000000000001,2,11.8,2
45,2,8.6798,2,32.4195,2,296.2,2,61.1,2,1.0,2,11.2,2
46,2,8.49,2,32.4282,2,294.2,2,61.2,2,0.934,2,10.6,2
47,2,8.4201,2,32.4304,2,293.5,2,60.9,2,0.932,2,10.0,2
48,2,8.3333,2,32.435,2,293.2,2,61.4,2,0.875,2,9.3,2
49,2,8.2095,2,32.4436,2,294.6,2,62.0,2,0.823,2,8.7,2
50,2,8.1925,2,32.4572,2,295.1,2,62.4,2,0.802,2,8.2,2
51,2,8.1524,2,32.4654,2,295.5,2,62.6,2,0.764,2,7.7,2
52,2,8.0764,2,32.4675,2,296.4,2,62.7,2,0.736,2,7.3,2
53,2,8.0241,2,32.4695,2,296.9,2,62.9,2,0.72,2,6.9,2
54,2,7.9862,2,32.4739,2,296.4,2,63.1,2,0.7,2,6.4,2
55,2,7.9681,2,32.4793,2,294.1,2,63.2,2,0.691,2,6.0,2
56,2,7.9428,2,32.4838,2,295.5,2,63.3,2,0.6779999999999999,2,5.6,2
57,2,7.9205,2,32.4943,2,294.5,2,63.3,2,0.647,2,5.3,2
58,2,7.8815,2,32.4971,2,294.1,2,63.6,2,0.631,2,5.1,2
59,2,7.8295,2,32.4966,2,294.5,2,63.7,2,0.624,2,4.9,2
60,2,7.8019,2,32.5036,2,294.7,2,63.8,2,0.5920000000000001,2,4.6,2
61,2,7.7807,2,32.5066,2,293.1,2,63.9,2,0.5720000000000001,2,4.4,2
62,2,7.7537,2,32.509,2,292.4,2,64.1,2,0.5529999999999999,2,4.2,2
63,2,7.7204,2,32.5128,2,294.5,2,64.1,2,0.524,2,4.0,2
64,2,7.7027,2,32.5176,2,293.6,2,64.1,2,0.504,2,3.8,2
65,2,7.6899,2,32.5238,2,293.6,2,64.3,2,0.48100000000000004,2,3.6,2
66,2,7.6735,2,32.5267,2,293.9,2,64.4,2,0.473,2,3.4,2
67,2,7.66,2,32.5293,2,293.4,2,64.4,2,0.474,2,3.3,2
68,2,7.6507,2,32.5304,2,293.0,2,64.5,2,0.44299999999999995,2,3.1,2
69,2,7.6274,2,32.5375,2,293.2,2,64.5,2,0.428,2,3.0,2
70,2,7.6095,2,32.5396,2,293.2,2,64.6,2,0.425,2,2.8,2
71,2,7.5963,2,32.5392,2,292.9,2,64.7,2,0.41100000000000003,2,2.7,2
72,2,7.5882,2,32.5469,2,292.0,2,64.8,2,0.39299999999999996,2,2.5,2
73,2,7.5791,2,32.5479,2,291.2,2,64.9,2,0.368,2,2.4,2
74,2,7.5545,2,32.5496,2,289.8,2,64.5,2,0.366,2,2.3,2
75,2,7.4834,2,32.5487,2,289.7,2,64.4,2,0.36200000000000004,2,2.1,2
76,2,7.402,2,32.5469,2,290.0,2,65.1,2,0.359,2,2.0,2
77,2,7.3803,2,32.5581,2,289.3,2,65.2,2,0.355,2,1.9,2
78,2,7.3137,2,32.5507,2,289.8,2,65.2,2,0.34600000000000003,2,1.8,2
79,2,7.2652,2,32.5529,2,289.9,2,65.3,2,0.33399999999999996,2,1.7,2
80,2,7.2569,2,32.5707,2,289.5,2,65.4,2,0.315,2,1.6,2
81,2,7.2620000000000005,2,32.5749,2,289.7,2,65.4,2,0.305,2,1.6,2
82,2,7.2568,2,32.5759,2,289.2,2,65.5,2,0.292,2,1.5,2
83,2,7.2338,2,32.5764,2,289.1,2,65.5,2,0.28600000000000003,2,1.4,2
84,2,7.2122,2,32.5797,2,288.2,2,65.5,2,0.28800000000000003,2,1.4,2
85,2,7.1931,2,32.5806,2,287.5,2,65.5,2,0.285,2,1.3,2
86,2,7.109,2,32.5849,2,286.8,2,65.5,2,0.282,2,1.2,2
87,2,7.0759,2,32.5881,2,284.5,2,65.6,2,0.273,2,1.2,2
88,2,7.0006,2,32.5919,2,283.8,2,65.6,2,0.263,2,1.1,2
89,2,6.8026,2,32.6081,2,284.4,2,65.6,2,0.257,2,1.0,2
90,2,6.7159,2,32.6184,2,284.2,2,65.6,2,0.251,2,1.0,2
91,2,6.6808,2,32.6278,2,284.1,2,65.7,2,0.24600000000000002,2,1.0,2
92,2,6.6503,2,32.6336,2,283.4,2,65.7,2,0.228,2,0.9,2
93,2,6.5855,2,32.6427,2,283.0,2,65.7,2,0.22,2,0.9,2
94,2,6.5561,2,32.658,2,280.4,2,65.8,2,0.231,2,0.8,2
95,2,6.3779,2,32.6911,2,278.0,2,65.8,2,0.217,2,0.8,2
96,2,6.2059,2,32.7227,2,276.3,2,65.8,2,0.204,2,0.8,2
97,2,6.1054,2,32.7484,2,275.3,2,65.9,2,0.212,2,0.7,2
98,2,5.9837,2,32.7752,2,274.0,2,65.9,2,0.196,2,0.7,2
99,2,5.8332,2,32.8156,2,274.0,2,65.9,2,0.195,2,0.7,2
100,2,5.7404,2,32.842,2,273.4,2,65.9,2,0.192,2,0.6,2
101,2,5.7013,2,32.8514,2,271.8,2,65.9,2,0.19,2,0.6,2
102,2,5.676,2,32.8542,2,270.7,2,65.9,2,0.192,2,0.6,2
103,2,5.5743,2,32.8845,2,269.8,2,66.0,2,0.175,2,0.6,2
104,2,5.5006,2,32.904,2,268.9,2,65.9,2,0.171,2,0.6,2
105,2,5.476,2,32.9063,2,267.7,2,66.0,2,0.171,2,0.5,2
106,2,5.4053,2,32.9315,2,265.9,2,66.2,2,0.16899999999999998,2,0.5,2
107,2,5.3449,2,32.9512,2,265.4,2,66.2,2,0.17,2,0.5,2
108,2,5.2814,2,32.9765,2,265.3,2,66.0,2,0.158,2,0.5,2
109,2,5.2528,2,32.9856,2,264.5,2,66.1,2,0.156,2,0.4,2
110,2,5.2306,2,32.9936,2,264.4,2,66.3,2,0.147,2,0.4,2
111,2,5.2229,2,32.9964,2,264.1,2,66.3,2,0.159,2,0.4,2
112,2,5.2138,2,33.0007,2,263.4,2,66.3,2,0.153,2,0.4,2
113,2,5.2038,2,33.0046,2,261.7,2,66.4,2,0.14300000000000002,2,0.4,2
114,2,5.1610000000000005,2,33.0182,2,260.3,2,66.4,2,0.142,2,0.3,2
115,2,5.1052,2,33.0475,2,258.6,2,66.4,2,0.129,2,0.3,2
116,2,5.0861,2,33.0678,2,256.4,2,66.5,2,0.122,2,0.3,2
117,2,5.0542,2,33.0951,2,254.2,2,66.5,2,0.11699999999999999,2,0.3,2
118,2,5.0262,2,33.1206,2,251.7,2,66.5,2,0.113,2,0.3,2
119,2,5.0385,2,33.1547,2,247.9,2,66.4,2,0.098,2,0.3,2
120,2,5.0267,2,33.1893,2,244.6,2,66.4,2,0.098,2,0.3,2
