CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity and some blocks of obviously bad values were removed from some of the deep casts.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The calibration for the Oxygen:Dissolved sensor #0997 shifted during the cruise.,,,,,,,,,,,,,,,,,
#This appears to have been an abrupt change so separate corrections were applied for events (files) 0007 to 0049 and 0052 to 0117. ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 150 dbar,,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 150 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 300 to 1000 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l from 1000 to 2000 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l below 2000 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2014-19-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20140819
STNBR = P4
CASTNO = 3
DATE = 21/08/2014
TIME =  20:18
LATITUDE = 48.64917
LONGITUDE = -126.6665
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2,2,14.798,2,32.0497,2,271.6,2,42.2,2,0.6779999999999999,2,1091.0,2
3,2,14.8046,2,32.0501,2,271.9,2,42.2,2,0.662,2,902.4,2
4,2,14.7979,2,32.0501,2,272.8,2,42.4,2,0.705,2,781.9,2
5,2,14.7866,2,32.0498,2,272.6,2,42.1,2,0.8009999999999999,2,626.8,2
6,2,14.7786,2,32.0498,2,272.2,2,42.1,2,0.9540000000000001,2,553.6,2
7,2,14.7242,2,32.0471,2,272.8,2,41.7,2,1.197,2,493.6,2
8,2,14.6335,2,32.0445,2,274.1,2,41.3,2,1.4569999999999999,2,421.8,2
9,2,14.5362,2,32.0447,2,274.8,2,40.6,2,1.704,2,353.7,2
10,2,14.4885,2,32.0453,2,275.2,2,40.2,2,1.9469999999999998,2,299.2,2
11,2,14.4341,2,32.0404,2,275.9,2,39.6,2,2.1959999999999997,2,248.7,2
12,2,14.4064,2,32.0452,2,275.7,2,39.3,2,2.362,2,212.4,2
13,2,14.3829,2,32.0553,2,274.9,2,39.7,2,2.379,2,181.7,2
14,2,14.2497,2,32.0536,2,275.7,2,40.5,2,2.678,2,157.5,2
15,2,14.0785,2,32.0392,2,276.5,2,39.3,2,3.145,2,136.5,2
16,2,14.0333,2,32.0401,2,276.8,2,38.4,2,3.509,2,116.5,2
17,2,13.99,2,32.065,2,277.6,2,38.0,2,3.35,2,97.2,2
18,2,13.9217,2,32.0732,2,277.7,2,38.5,2,3.304,2,80.2,2
19,2,13.9056,2,32.0722,2,278.0,2,39.8,2,3.29,2,65.4,2
20,2,13.8944,2,32.0716,2,277.4,2,40.5,2,3.241,2,53.4,2
21,2,13.8892,2,32.0718,2,275.9,2,40.8,2,3.264,2,43.0,2
22,2,13.8733,2,32.0718,2,272.2,2,40.9,2,3.282,2,34.6,2
23,2,13.7295,2,32.0678,2,266.4,2,41.5,2,3.029,2,27.9,2
24,2,13.5684,2,32.069,2,257.9,2,43.2,2,2.8339999999999996,2,22.4,2
25,2,13.2332,2,32.0671,2,252.5,2,44.7,2,2.416,2,18.1,2
26,2,12.2818,2,32.0969,2,257.9,2,47.8,2,1.8940000000000001,2,14.7,2
27,2,11.6636,2,32.1771,2,261.4,2,54.3,2,1.4769999999999999,2,12.2,2
28,2,11.5885,2,32.1953,2,262.9,2,59.1,2,1.271,2,10.5,2
29,2,11.4042,2,32.2207,2,260.1,2,60.2,2,1.126,2,9.3,2
30,2,11.2252,2,32.2403,2,260.6,2,61.0,2,0.983,2,8.2,2
31,2,10.9473,2,32.2539,2,259.7,2,61.7,2,0.8909999999999999,2,7.3,2
32,2,10.7213,2,32.2601,2,261.8,2,62.5,2,0.813,2,6.5,2
33,2,10.5989,2,32.2773,2,261.3,2,62.9,2,0.772,2,6.0,2
