CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity and some blocks of obviously bad values were removed from some of the deep casts.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The calibration for the Oxygen:Dissolved sensor #0997 shifted during the cruise.,,,,,,,,,,,,,,,,,
#This appears to have been an abrupt change so separate corrections were applied for events (files) 0007 to 0049 and 0052 to 0117. ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 150 dbar,,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 150 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 300 to 1000 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l from 1000 to 2000 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l below 2000 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2014-19-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20140819
STNBR = PA-008
CASTNO = 1
DATE = 30/08/2014
TIME =  03:27
LATITUDE = 50.034
LONGITUDE = -144.86417
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3,2,14.7768,2,32.358000000000004,2,265.4,2,50.6,2,2.351,2,65.1,2
4,2,14.7773,2,32.3581,2,266.1,2,50.9,2,2.342,2,58.1,2
5,2,14.777000000000001,2,32.358000000000004,2,266.6,2,51.0,2,2.425,2,45.4,2
6,2,14.777999999999999,2,32.3582,2,266.8,2,50.9,2,2.401,2,39.7,2
7,2,14.7782,2,32.3582,2,266.5,2,50.2,2,2.318,2,36.3,2
8,2,14.7772,2,32.3581,2,266.8,2,50.5,2,2.37,2,31.2,2
9,2,14.7781,2,32.3583,2,266.9,2,50.9,2,2.417,2,27.5,2
10,2,14.7788,2,32.3584,2,267.0,2,51.1,2,2.396,2,23.9,2
11,2,14.7798,2,32.3586,2,267.0,2,50.5,2,2.403,2,23.0,2
12,2,14.78,2,32.3585,2,267.4,2,50.9,2,2.611,2,21.0,2
13,2,14.7795,2,32.3583,2,267.2,2,51.0,2,2.406,2,18.2,2
14,2,14.7785,2,32.3581,2,266.6,2,50.8,2,2.439,2,16.0,2
15,2,14.7782,2,32.3581,2,266.6,2,50.8,2,2.4819999999999998,2,14.3,2
16,2,14.7782,2,32.3582,2,266.9,2,51.0,2,2.342,2,12.9,2
17,2,14.7783,2,32.3581,2,266.9,2,51.2,2,2.372,2,12.0,2
18,2,14.777999999999999,2,32.3581,2,267.2,2,51.0,2,2.3569999999999998,2,11.1,2
19,2,14.7778,2,32.3579,2,266.7,2,51.1,2,2.354,2,10.3,2
20,2,14.7779,2,32.3579,2,267.4,2,51.1,2,2.447,2,9.5,2
21,2,14.7786,2,32.3581,2,267.1,2,51.1,2,2.795,2,8.7,2
22,2,14.7811,2,32.3589,2,267.2,2,51.0,2,2.489,2,7.8,2
23,2,14.7803,2,32.3587,2,267.5,2,51.0,2,2.435,2,7.0,2
24,2,14.7801,2,32.3586,2,267.3,2,51.1,2,2.4019999999999997,2,6.4,2
25,2,14.782,2,32.3591,2,267.6,2,50.8,2,2.344,2,5.8,2
26,2,14.7818,2,32.3588,2,267.6,2,51.1,2,2.3819999999999997,2,5.2,2
27,2,14.783,2,32.3592,2,267.2,2,51.0,2,2.386,2,4.8,2
28,2,14.7775,2,32.3579,2,266.9,2,51.0,2,2.403,2,4.4,2
29,2,14.7784,2,32.3582,2,266.6,2,51.0,2,2.379,2,4.1,2
30,2,14.7747,2,32.3576,2,266.7,2,51.1,2,2.437,2,3.8,2
31,2,14.7423,2,32.3541,2,266.7,2,51.2,2,2.459,2,3.4,2
32,2,14.7066,2,32.3551,2,264.5,2,51.2,2,2.505,2,3.1,2
33,2,14.6994,2,32.3554,2,263.6,2,51.9,2,2.512,2,2.9,2
34,2,14.6943,2,32.3543,2,261.9,2,51.9,2,2.708,2,2.6,2
