CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 100 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l below 500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2015-01-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint,PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20150210
STNBR = P4
CASTNO = 3
DATE = 12/02/2015
TIME =  09:03
LATITUDE = 48.65033
LONGITUDE = -126.66666000000001
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2,2,10.8276,2,32.1648,2,276.0,2,24.8,2,1.2309999999999999,2,,2
3,2,10.8273,2,32.1649,2,276.0,2,48.1,2,1.228,2,,2
4,2,10.8273,2,32.1648,2,276.7,2,58.6,2,1.219,2,,2
5,2,10.8267,2,32.1648,2,276.7,2,59.3,2,1.216,2,,2
6,2,10.8266,2,32.1648,2,277.0,2,59.3,2,1.228,2,,2
7,2,10.8254,2,32.1653,2,276.2,2,59.3,2,1.234,2,,2
8,2,10.825,2,32.1655,2,276.5,2,59.4,2,1.208,2,,2
9,2,10.8256,2,32.1655,2,276.9,2,59.2,2,1.2,2,,2
10,2,10.8258,2,32.1654,2,276.8,2,59.1,2,1.202,2,,2
11,2,10.825999999999999,2,32.1654,2,276.9,2,59.2,2,1.196,2,,2
12,2,10.8267,2,32.1651,2,276.8,2,59.3,2,1.208,2,,2
13,2,10.827,2,32.1651,2,277.0,2,59.2,2,1.182,2,,2
14,2,10.8271,2,32.165,2,277.3,2,59.2,2,1.192,2,,2
15,2,10.8269,2,32.1652,2,277.0,2,59.3,2,1.196,2,,2
16,2,10.8267,2,32.1653,2,277.1,2,59.3,2,1.196,2,,2
17,2,10.8267,2,32.1655,2,276.9,2,59.4,2,1.192,2,,2
18,2,10.8267,2,32.1655,2,277.2,2,59.3,2,1.1909999999999998,2,,2
19,2,10.827,2,32.1655,2,277.0,2,59.3,2,1.21,2,,2
20,2,10.8268,2,32.1656,2,276.6,2,59.4,2,1.189,2,,2
21,2,10.8274,2,32.1656,2,276.7,2,59.3,2,1.192,2,,2
22,2,10.8275,2,32.1656,2,276.7,2,59.4,2,1.177,2,,2
23,2,10.8275,2,32.1655,2,276.4,2,59.4,2,1.181,2,,2
24,2,10.8256,2,32.1661,2,276.9,2,59.3,2,1.182,2,,2
25,2,10.824000000000002,2,32.1665,2,276.8,2,59.3,2,1.1740000000000002,2,,2
26,2,10.8243,2,32.1665,2,276.7,2,59.3,2,1.187,2,,2
27,2,10.8236,2,32.1668,2,276.9,2,59.3,2,1.212,2,,2
28,2,10.8236,2,32.1669,2,277.3,2,59.2,2,1.207,2,,2
29,2,10.8223,2,32.1673,2,277.1,2,59.2,2,1.196,2,,2
