CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#A graphical editor was used to remove records from obviously bad sections of temperature and salinity data and some salinity data were smoothed to remove small spikes.,,,,,,,,,,,,,,,,,
#Where there was corruption of salinity data that was not seen in temperature data only salinity points were removed.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 150 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 150 to 400 dbar,,,,,,,,,,,,,,,,,
#      • ±0.08 ml/l from 400 to 600 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 600 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2015-09-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20150607
STNBR = P1/B8
CASTNO = 1
DATE = 20150621
TIME =  16:06
LATITUDE = 48.57417
LONGITUDE = -125.50117
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3,2,10.785,2,31.6364,2,244.1,2,36.1,2,1.611,2,862.7,2
4,2,10.6906,2,31.7033,2,243.3,2,36.1,2,1.7380000000000002,2,684.2,2
5,2,10.6123,2,31.7557,2,236.4,2,36.2,2,2.175,2,487.0,2
6,2,10.4249,2,31.866,2,233.7,2,36.7,2,2.7430000000000003,2,386.9,2
7,2,10.2484,2,31.9783,2,232.9,2,37.6,2,3.0210000000000004,2,291.8,2
8,2,10.1992,2,32.0134,2,230.2,2,38.0,2,3.2960000000000003,2,226.0,2
9,2,10.1035,2,32.0751,2,223.3,2,38.8,2,3.5589999999999997,2,182.0,2
10,2,10.0079,2,32.12,2,219.3,2,40.3,2,3.326,2,139.0,2
11,2,9.8394,2,32.2053,2,217.8,2,41.3,2,3.3080000000000003,2,109.1,2
12,2,9.7225,2,32.2701,2,215.7,2,42.4,2,3.0989999999999998,2,81.5,2
13,2,9.5447,2,32.3536,2,213.0,2,42.9,2,3.218,2,63.2,2
14,2,9.4403,2,32.379,2,212.1,2,43.9,2,3.6239999999999997,2,52.8,2
15,2,9.4231,2,32.3809,2,211.8,2,45.2,2,3.359,2,43.4,2
16,2,9.4198,2,32.3775,2,210.1,2,45.5,2,3.214,2,34.8,2
17,2,9.3943,2,32.3831,2,206.0,2,45.6,2,3.363,2,28.3,2
18,2,9.2976,2,32.415,2,202.6,2,45.0,2,3.247,2,22.9,2
19,2,9.2116,2,32.4679,2,201.4,2,45.8,2,2.929,2,18.6,2
20,2,9.1629,2,32.5147,2,197.3,2,46.6,2,3.279,2,15.2,2
21,2,9.0163,2,32.5878,2,193.4,2,46.9,2,3.0860000000000003,2,12.4,2
22,2,8.9187,2,32.6253,2,192.4,2,47.8,2,3.161,2,10.3,2
23,2,8.8352,2,32.7093,2,191.5,2,48.4,2,3.236,2,8.6,2
24,2,8.7851,2,32.7495,2,191.7,2,48.9,2,2.6910000000000003,2,7.1,2
25,2,8.7712,2,32.7759,2,192.0,2,50.6,2,2.79,2,5.9,2
26,2,8.7247,2,32.8233,2,191.9,2,50.9,2,2.801,2,4.9,2
27,2,8.7018,2,32.8387,2,192.8,2,51.3,2,2.504,2,4.1,2
28,2,8.6648,2,32.8934,2,192.7,2,51.9,2,2.464,2,3.4,2
29,2,8.6493,2,32.9212,2,188.6,2,52.3,2,2.419,2,2.9,2
30,2,8.5997,2,32.9582,2,178.2,2,52.0,2,2.503,2,2.6,2
31,2,8.5569,2,32.9968,2,170.0,2,50.5,2,2.69,2,2.2,2
32,2,8.5188,2,33.0129,2,166.3,2,49.4,2,2.8480000000000003,2,1.9,2
33,2,8.4914,2,33.0215,2,161.2,2,49.4,2,2.562,2,1.6,2
34,2,8.4168,2,33.0473,2,156.2,2,47.2,2,3.227,2,1.3,2
35,2,8.3235,2,33.0848,2,153.2,2,47.0,2,3.074,2,1.1,2
36,2,8.3072,2,33.0904,2,151.3,2,47.4,2,3.264,2,0.9,2
37,2,8.1815,2,33.1415,2,149.1,2,47.3,2,3.09,2,0.8,2
38,2,8.0924,2,33.1722,2,146.8,2,48.5,2,3.1489999999999996,2,0.7,2
