CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#A graphical editor was used to remove records from obviously bad sections of temperature and salinity data and some salinity data were smoothed to remove small spikes.,,,,,,,,,,,,,,,,,
#Where there was corruption of salinity data that was not seen in temperature data only salinity points were removed.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 150 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 150 to 400 dbar,,,,,,,,,,,,,,,,,
#      • ±0.08 ml/l from 400 to 600 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 600 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2015-09-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20150607
STNBR = P9
CASTNO = 1
DATE = 20150610
TIME =  08:12
LATITUDE = 48.85617
LONGITUDE = -129.16617
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3,2,12.9564,2,31.9907,2,272.0,2,57.6,2,0.33299999999999996,2,,2
4,2,12.9565,2,31.9908,2,271.7,2,58.4,2,0.33,2,,2
5,2,12.9561,2,31.9908,2,272.0,2,58.9,2,0.327,2,,2
6,2,12.9556,2,31.9906,2,271.4,2,59.1,2,0.33,2,,2
7,2,12.9553,2,31.9907,2,271.3,2,59.7,2,0.327,2,,2
8,2,12.9554,2,31.9907,2,271.2,2,59.9,2,0.33,2,,2
9,2,12.9559,2,31.991,2,271.4,2,60.0,2,0.33,2,,2
10,2,12.9556,2,31.9909,2,271.8,2,60.0,2,0.33,2,,2
11,2,12.9556,2,31.991,2,271.7,2,59.9,2,0.33,2,,2
12,2,12.9559,2,31.991,2,271.4,2,59.9,2,0.32899999999999996,2,,2
13,2,12.9562,2,31.991,2,271.0,2,59.9,2,0.33,2,,2
14,2,12.957,2,31.9912,2,270.8,2,59.9,2,0.33,2,,2
15,2,12.9578,2,31.9911,2,271.3,2,59.9,2,0.33,2,,2
16,2,12.9578,2,31.9911,2,271.4,2,59.9,2,0.33299999999999996,2,,2
17,2,12.9572,2,31.9914,2,270.7,2,59.9,2,0.332,2,,2
18,2,12.9581,2,31.9922,2,270.4,2,59.9,2,0.33,2,,2
19,2,12.9575,2,31.9916,2,271.5,2,59.9,2,0.32799999999999996,2,,2
20,2,12.958,2,31.9916,2,271.3,2,60.1,2,0.327,2,,2
21,2,12.9576,2,31.9913,2,271.0,2,60.0,2,0.32899999999999996,2,,2
22,2,12.9581,2,31.9913,2,271.6,2,59.9,2,0.327,2,,2
23,2,12.9606,2,31.9914,2,272.0,2,59.9,2,0.33,2,,2
24,2,12.9604,2,31.9916,2,271.9,2,59.9,2,0.327,2,,2
25,2,12.9589,2,31.9937,2,271.2,2,59.9,2,0.32299999999999995,2,,2
26,2,12.9541,2,31.9994,2,271.7,2,59.9,2,0.325,2,,2
27,2,12.949000000000002,2,32.0039,2,271.7,2,60.1,2,0.321,2,,2
28,2,12.942,2,32.0092,2,271.1,2,60.1,2,0.326,2,,2
29,2,12.9152,2,32.0248,2,270.2,2,60.1,2,0.318,2,,2
30,2,12.8718,2,32.0484,2,270.4,2,60.1,2,0.324,2,,2
31,2,12.8265,2,32.0731,2,269.0,2,60.2,2,0.317,2,,2
32,2,12.722999999999999,2,32.125,2,271.2,2,60.4,2,0.312,2,,2
33,2,12.4612,2,32.2251,2,274.0,2,60.6,2,0.308,2,,2
34,2,12.2458,2,32.2879,2,276.4,2,60.8,2,0.316,2,,2
35,2,12.2134,2,32.2913,2,277.4,2,61.5,2,0.324,2,,2
38,2,12.1718,2,32.2948,2,275.4,2,61.4,2,0.35100000000000003,2,,2
39,2,12.1634,2,32.2932,2,276.2,2,61.4,2,0.354,2,,2
40,2,12.1559,2,32.2918,2,276.5,2,61.3,2,0.36200000000000004,2,,2
41,2,12.1529,2,32.2916,2,277.0,2,61.2,2,0.366,2,,2
42,2,12.1462,2,32.2924,2,276.9,2,61.3,2,0.376,2,,2
43,2,12.1402,2,32.2957,2,276.4,2,61.2,2,0.385,2,,2
44,2,12.1295,2,32.2951,2,276.4,2,61.2,2,0.405,2,,2
45,2,12.124,2,32.2948,2,276.4,2,61.1,2,0.434,2,,2
46,2,12.1099,2,32.2935,2,276.4,2,61.2,2,0.428,2,,2
47,2,12.1044,2,32.2915,2,276.6,2,61.1,2,0.44799999999999995,2,,2
48,2,12.0909,2,32.2918,2,276.8,2,60.3,2,0.466,2,,2
49,2,12.0749,2,32.2917,2,276.9,2,59.9,2,0.47200000000000003,2,,2
50,2,12.0644,2,32.2914,2,277.0,2,59.5,2,0.474,2,,2
51,2,12.0516,2,32.2896,2,277.2,2,61.1,2,0.494,2,,2
52,2,12.0449,2,32.2896,2,277.3,2,61.0,2,0.504,2,,2
53,2,12.0298,2,32.2928,2,277.4,2,61.0,2,0.51,2,,2
54,2,12.0178,2,32.294000000000004,2,277.1,2,61.0,2,0.52,2,,2
55,2,12.0024,2,32.2946,2,277.4,2,61.0,2,0.539,2,,2
56,2,11.9743,2,32.2996,2,276.2,2,60.8,2,0.557,2,,2
57,2,11.9452,2,32.3063,2,276.4,2,60.7,2,0.59,2,,2
58,2,11.8532,2,32.3143,2,278.5,2,60.7,2,0.606,2,,2
59,2,11.7192,2,32.32,2,280.5,2,60.8,2,0.625,2,,2
60,2,11.6479,2,32.3207,2,281.2,2,60.8,2,0.652,2,,2
61,2,11.5164,2,32.3262,2,282.2,2,60.4,2,0.715,2,,2
62,2,11.4628,2,32.3226,2,282.2,2,60.5,2,0.7709999999999999,2,,2
63,2,11.4047,2,32.3248,2,282.2,2,60.4,2,0.875,2,,2
64,2,11.3291,2,32.3278,2,283.0,2,59.8,2,1.105,2,,2
65,2,11.2814,2,32.3279,2,283.6,2,58.3,2,1.286,2,,2
66,2,11.2351,2,32.3279,2,281.9,2,58.1,2,1.392,2,,2
67,2,11.1606,2,32.3243,2,279.6,2,58.5,2,1.319,2,,2
68,2,10.9819,2,32.3092,2,279.6,2,58.9,2,1.344,2,,2
69,2,10.9528,2,32.3212,2,278.2,2,59.8,2,1.2830000000000001,2,,2
70,2,10.9454,2,32.3239,2,276.6,2,60.5,2,1.271,2,,2
71,2,10.9185,2,32.3377,2,274.9,2,60.7,2,1.249,2,,2
72,2,10.8614,2,32.3528,2,273.4,2,60.8,2,1.19,2,,2
73,2,10.825999999999999,2,32.3629,2,272.8,2,61.1,2,1.136,2,,2
74,2,10.8229,2,32.3793,2,273.0,2,61.4,2,1.114,2,,2
75,2,10.8196,2,32.3883,2,273.3,2,61.5,2,1.094,2,,2
76,2,10.7822,2,32.396,2,265.5,2,61.5,2,1.094,2,,2
77,2,10.7252,2,32.4069,2,264.2,2,61.7,2,1.041,2,,2
78,2,10.6709,2,32.416,2,263.8,2,61.9,2,1.041,2,,2
79,2,10.6065,2,32.4332,2,263.6,2,62.0,2,1.01,2,,2
80,2,10.567,2,32.4407,2,263.0,2,62.1,2,0.945,2,,2
81,2,10.5288,2,32.453,2,263.6,2,62.2,2,0.934,2,,2
82,2,10.4816,2,32.4721,2,258.7,2,62.4,2,0.9,2,,2
83,2,10.4061,2,32.4966,2,256.5,2,62.6,2,0.8240000000000001,2,,2
84,2,10.3606,2,32.5069,2,252.7,2,62.9,2,0.7859999999999999,2,,2
