CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#A graphical editor was used to remove records from obviously bad sections of temperature and salinity data and some salinity data were smoothed to remove small spikes.,,,,,,,,,,,,,,,,,
#Where there was corruption of salinity data that was not seen in temperature data only salinity points were removed.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 150 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 150 to 400 dbar,,,,,,,,,,,,,,,,,
#      • ±0.08 ml/l from 400 to 600 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 600 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2015-09-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20150607
STNBR = PA-008
CASTNO = 1
DATE = 20150616
TIME =  14:58
LATITUDE = 50.03767
LONGITUDE = -144.894
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3,2,10.2501,2,32.5558,2,290.9,2,49.2,2,2.592,2,,2
4,2,10.2498,2,32.5559,2,291.1,2,49.3,2,2.568,2,,2
5,2,10.2497,2,32.5559,2,291.5,2,49.1,2,2.562,2,,2
6,2,10.2498,2,32.5559,2,291.2,2,49.0,2,2.591,2,,2
7,2,10.248,2,32.5557,2,291.0,2,49.4,2,2.588,2,,2
8,2,10.2476,2,32.5558,2,291.2,2,49.3,2,2.5180000000000002,2,,2
9,2,10.2477,2,32.5559,2,291.3,2,49.1,2,2.531,2,,2
10,2,10.2474,2,32.5559,2,290.7,2,49.4,2,2.51,2,,2
11,2,10.2493,2,32.556,2,290.9,2,49.5,2,2.553,2,,2
12,2,10.2491,2,32.5559,2,291.4,2,49.2,2,2.562,2,,2
13,2,10.2492,2,32.5559,2,291.2,2,49.5,2,2.545,2,,2
14,2,10.2504,2,32.5561,2,290.9,2,49.5,2,2.571,2,,2
15,2,10.2505,2,32.5559,2,291.4,2,49.5,2,2.5789999999999997,2,,2
16,2,10.251,2,32.5561,2,291.2,2,49.5,2,2.5980000000000003,2,,2
17,2,10.2498,2,32.556,2,291.3,2,49.5,2,2.639,2,,2
18,2,10.2471,2,32.5559,2,290.9,2,49.5,2,2.637,2,,2
19,2,10.2453,2,32.5559,2,291.1,2,49.5,2,2.667,2,,2
20,2,10.2405,2,32.556,2,291.0,2,49.5,2,2.6889999999999996,2,,2
21,2,10.2008,2,32.5536,2,290.4,2,49.5,2,2.7539999999999996,2,,2
22,2,10.1631,2,32.5527,2,290.1,2,49.5,2,2.844,2,,2
23,2,10.0707,2,32.5491,2,291.8,2,49.4,2,3.136,2,,2
24,2,9.849,2,32.547,2,293.0,2,49.4,2,3.2510000000000003,2,,2
25,2,9.6639,2,32.5462,2,293.0,2,49.3,2,3.613,2,,2
26,2,9.533,2,32.5463,2,294.6,2,49.3,2,3.845,2,,2
27,2,9.3158,2,32.5491,2,297.7,2,50.1,2,3.847,2,,2
28,2,9.048,2,32.55,2,300.4,2,50.9,2,3.8169999999999997,2,,2
29,2,8.8788,2,32.5564,2,301.3,2,51.8,2,3.7880000000000003,2,,2
30,2,8.8358,2,32.5621,2,301.7,2,52.4,2,3.783,2,,2
31,2,8.7747,2,32.5682,2,301.8,2,52.6,2,3.75,2,,2
32,2,8.6662,2,32.5715,2,302.8,2,52.8,2,3.678,2,,2
33,2,8.5759,2,32.5727,2,303.4,2,53.2,2,3.609,2,,2
34,2,8.4953,2,32.5742,2,303.1,2,53.6,2,3.517,2,,2
35,2,8.4356,2,32.5793,2,300.2,2,54.0,2,3.447,2,,2
36,2,8.3164,2,32.5821,2,300.6,2,54.4,2,3.353,2,,2
37,2,7.9711,2,32.5865,2,303.8,2,54.9,2,3.147,2,,2
38,2,7.7232,2,32.5834,2,306.6,2,56.1,2,2.7560000000000002,2,,2
39,2,7.5656,2,32.5725,2,306.9,2,57.7,2,2.451,2,,2
40,2,7.4664,2,32.5756,2,307.1,2,58.8,2,2.167,2,,2
41,2,7.452000000000001,2,32.5816,2,306.6,2,59.6,2,1.955,2,,2
42,2,7.3902,2,32.5865,2,305.4,2,59.9,2,1.8,2,,2
43,2,7.391,2,32.5985,2,304.5,2,60.1,2,1.633,2,,2
44,2,7.3861,2,32.6023,2,304.1,2,60.4,2,1.541,2,,2
45,2,7.3798,2,32.6002,2,304.7,2,60.6,2,1.4809999999999999,2,,2
46,2,7.3657,2,32.5978,2,304.7,2,60.3,2,1.455,2,,2
47,2,7.3448,2,32.597,2,305.1,2,60.4,2,1.456,2,,2
48,2,7.3169,2,32.5979,2,304.6,2,60.7,2,1.405,2,,2
49,2,7.3055,2,32.6001,2,304.9,2,60.8,2,1.345,2,,2
50,2,7.2989999999999995,2,32.6007,2,304.7,2,61.1,2,1.306,2,,2
51,2,7.2992,2,32.6011,2,304.2,2,61.2,2,1.274,2,,2
52,2,7.2957,2,32.6019,2,304.5,2,61.0,2,1.2570000000000001,2,,2
53,2,7.2556,2,32.5986,2,304.9,2,61.0,2,1.216,2,,2
54,2,7.21,2,32.5951,2,305.3,2,61.3,2,1.188,2,,2
55,2,7.1912,2,32.5942,2,305.0,2,61.5,2,1.157,2,,2
56,2,7.1517,2,32.5923,2,304.4,2,61.7,2,1.089,2,,2
57,2,7.1041,2,32.5924,2,303.8,2,62.0,2,1.0290000000000001,2,,2
58,2,7.0931,2,32.5948,2,303.1,2,62.4,2,0.96,2,,2
59,2,7.0696,2,32.5968,2,303.2,2,62.6,2,0.9229999999999999,2,,2
60,2,7.06,2,32.5979,2,302.9,2,62.7,2,0.888,2,,2
61,2,7.0541,2,32.5988,2,302.6,2,62.8,2,0.862,2,,2
62,2,7.0328,2,32.5995,2,302.3,2,62.8,2,0.845,2,,2
63,2,7.0197,2,32.6006,2,302.2,2,62.9,2,0.828,2,,2
64,2,7.004,2,32.6024,2,301.3,2,62.9,2,0.816,2,,2
65,2,6.997000000000001,2,32.6095,2,300.6,2,63.1,2,0.7759999999999999,2,,2
66,2,6.9908,2,32.61,2,300.6,2,63.2,2,0.758,2,,2
67,2,6.9773,2,32.611,2,300.3,2,63.4,2,0.737,2,,2
68,2,6.9641,2,32.6172,2,299.2,2,63.4,2,0.705,2,,2
69,2,6.9518,2,32.6226,2,299.1,2,63.6,2,0.68,2,,2
70,2,6.9229,2,32.6229,2,298.8,2,63.7,2,0.6609999999999999,2,,2
71,2,6.8857,2,32.6215,2,299.1,2,63.7,2,0.645,2,,2
72,2,6.8252,2,32.6204,2,299.1,2,63.6,2,0.612,2,,2
73,2,6.7955,2,32.6229,2,298.7,2,63.9,2,0.61,2,,2
74,2,6.7506,2,32.6215,2,299.2,2,64.0,2,0.583,2,,2
75,2,6.7344,2,32.6231,2,298.4,2,64.1,2,0.5539999999999999,2,,2
76,2,6.7221,2,32.6232,2,298.2,2,64.2,2,0.53,2,,2
77,2,6.7047,2,32.6223,2,298.5,2,64.3,2,0.535,2,,2
78,2,6.6905,2,32.6228,2,298.3,2,64.3,2,0.512,2,,2
79,2,6.6756,2,32.625,2,297.5,2,64.3,2,0.503,2,,2
80,2,6.6593,2,32.6318,2,296.6,2,64.4,2,0.47,2,,2
81,2,6.6354,2,32.638000000000005,2,295.2,2,64.5,2,0.462,2,,2
82,2,6.622999999999999,2,32.6533,2,293.6,2,64.5,2,0.43799999999999994,2,,2
83,2,6.6026,2,32.67,2,291.7,2,64.5,2,0.425,2,,2
84,2,6.5851,2,32.683,2,288.8,2,64.6,2,0.40700000000000003,2,,2
85,2,6.5408,2,32.7161,2,285.8,2,64.6,2,0.40299999999999997,2,,2
86,2,6.5176,2,32.7371,2,282.9,2,64.7,2,0.39899999999999997,2,,2
87,2,6.4922,2,32.7593,2,280.0,2,64.7,2,0.39899999999999997,2,,2
88,2,6.4638,2,32.791,2,275.1,2,64.7,2,0.396,2,,2
89,2,6.3841,2,32.8671,2,269.3,2,64.7,2,0.382,2,,2
90,2,6.3199,2,32.911,2,264.6,2,64.7,2,0.371,2,,2
91,2,6.2651,2,32.938,2,260.1,2,64.8,2,0.353,2,,2
92,2,6.1999,2,32.9749,2,254.5,2,64.9,2,0.342,2,,2
93,2,6.111000000000001,2,33.0409,2,248.9,2,64.8,2,0.34600000000000003,2,,2
94,2,6.0398,2,33.0947,2,243.2,2,64.8,2,0.318,2,,2
95,2,5.9452,2,33.1652,2,237.9,2,64.9,2,0.317,2,,2
96,2,5.8913,2,33.2048,2,233.1,2,64.9,2,0.306,2,,2
97,2,5.8324,2,33.2451,2,227.2,2,65.0,2,0.302,2,,2
98,2,5.7415,2,33.3179,2,221.6,2,65.0,2,0.28300000000000003,2,,2
99,2,5.6859,2,33.3743,2,216.6,2,65.0,2,0.275,2,,2
100,2,5.6465,2,33.4164,2,213.0,2,65.0,2,0.258,2,,2
