CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#A graphical editor was used to remove records from obviously bad sections of temperature and salinity data and some salinity data were smoothed to remove small spikes.,,,,,,,,,,,,,,,,,
#Where there was corruption of salinity data that was not seen in temperature data only salinity points were removed.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Downcast Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 200 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 200 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2015-10-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20150818
STNBR = P7
CASTNO = 1
DATE = 20150822
TIME =  11:15
LATITUDE = 48.77733
LONGITUDE = -128.16499
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2,2,17.6126,2,32.2562,2,243.6,2,60.3,2,0.172,2,,2
3,2,17.6121,2,32.2562,2,242.8,2,60.1,2,0.171,2,,2
4,2,17.6146,2,32.2562,2,243.5,2,62.7,2,0.166,2,,2
5,2,17.6141,2,32.2562,2,244.3,2,62.7,2,0.171,2,,2
6,2,17.6125,2,32.2562,2,244.4,2,62.8,2,0.171,2,,2
7,2,17.6147,2,32.2563,2,244.4,2,62.7,2,0.16399999999999998,2,,2
8,2,17.6205,2,32.2563,2,244.2,2,62.7,2,0.16899999999999998,2,,2
9,2,17.6229,2,32.2562,2,244.0,2,62.6,2,0.171,2,,2
10,2,17.6235,2,32.2562,2,244.4,2,62.6,2,0.163,2,,2
11,2,17.6246,2,32.2561,2,244.5,2,62.6,2,0.171,2,,2
12,2,17.6251,2,32.2563,2,243.5,2,62.6,2,0.171,2,,2
13,2,17.6259,2,32.2562,2,243.8,2,62.7,2,0.16899999999999998,2,,2
14,2,17.6256,2,32.2563,2,243.7,2,62.7,2,0.171,2,,2
15,2,17.625999999999998,2,32.2563,2,244.6,2,62.7,2,0.171,2,,2
16,2,17.6255,2,32.2562,2,244.8,2,62.7,2,0.168,2,,2
17,2,17.6256,2,32.2562,2,244.7,2,62.7,2,0.174,2,,2
18,2,17.6255,2,32.2565,2,244.4,2,62.7,2,0.17600000000000002,2,,2
19,2,17.6247,2,32.2564,2,245.1,2,62.6,2,0.17,2,,2
20,2,17.6251,2,32.2564,2,245.2,2,62.7,2,0.162,2,,2
21,2,17.6273,2,32.2563,2,244.2,2,62.7,2,0.171,2,,2
22,2,17.628,2,32.2564,2,243.4,2,62.7,2,0.16699999999999998,2,,2
23,2,17.6282,2,32.2564,2,244.7,2,62.7,2,0.17,2,,2
24,2,17.625999999999998,2,32.2564,2,245.1,2,62.7,2,0.171,2,,2
25,2,17.6267,2,32.2564,2,244.0,2,62.7,2,0.16699999999999998,2,,2
26,2,17.6266,2,32.2564,2,244.3,2,62.7,2,0.168,2,,2
27,2,17.6259,2,32.2564,2,245.0,2,62.6,2,0.161,2,,2
28,2,17.625999999999998,2,32.2563,2,244.7,2,62.6,2,0.171,2,,2
29,2,17.6257,2,32.2564,2,245.0,2,62.6,2,0.171,2,,2
30,2,17.6244,2,32.2565,2,245.0,2,62.6,2,0.171,2,,2
31,2,17.6246,2,32.2564,2,245.3,2,62.7,2,0.17,2,,2
32,2,17.6253,2,32.2564,2,244.7,2,62.7,2,0.183,2,,2
33,2,17.625,2,32.2563,2,244.8,2,62.6,2,0.16699999999999998,2,,2
34,2,17.6251,2,32.2564,2,244.9,2,62.6,2,0.166,2,,2
35,2,17.6256,2,32.2563,2,242.9,2,62.7,2,0.165,2,,2
36,2,17.6225,2,32.2563,2,242.8,2,62.7,2,0.17300000000000001,2,,2
37,2,17.5001,2,32.2556,2,244.7,2,62.7,2,0.185,2,,2
38,2,17.1174,2,32.2622,2,253.3,2,62.5,2,0.205,2,,2
39,2,16.2593,2,32.2765,2,259.9,2,62.1,2,0.23800000000000002,2,,2
40,2,15.5978,2,32.2989,2,266.5,2,61.5,2,0.26,2,,2
41,2,15.1565,2,32.3077,2,271.3,2,61.4,2,0.27399999999999997,2,,2
42,2,14.7656,2,32.3155,2,273.5,2,61.4,2,0.281,2,,2
43,2,14.5099,2,32.3199,2,275.3,2,61.3,2,0.289,2,,2
44,2,14.3556,2,32.3194,2,278.4,2,61.3,2,0.297,2,,2
45,2,14.17,2,32.3244,2,279.5,2,61.2,2,0.29600000000000004,2,,2
46,2,14.0873,2,32.3265,2,279.9,2,61.3,2,0.29100000000000004,2,,2
47,2,14.0532,2,32.3263,2,279.2,2,61.1,2,0.28800000000000003,2,,2
48,2,14.0106,2,32.3276,2,279.2,2,61.2,2,0.301,2,,2
49,2,13.9083,2,32.3292,2,279.7,2,61.2,2,0.308,2,,2
50,2,13.7333,2,32.3316,2,282.4,2,61.2,2,0.303,2,,2
51,2,13.549000000000001,2,32.3344,2,284.0,2,61.2,2,0.307,2,,2
52,2,13.3303,2,32.3358,2,286.8,2,61.2,2,0.317,2,,2
53,2,13.1498,2,32.3374,2,288.9,2,61.1,2,0.322,2,,2
54,2,12.9381,2,32.3383,2,291.2,2,61.1,2,0.35200000000000004,2,,2
55,2,12.8205,2,32.3402,2,291.8,2,60.8,2,0.371,2,,2
56,2,12.7424,2,32.3404,2,291.6,2,60.7,2,0.379,2,,2
57,2,12.6504,2,32.3384,2,290.7,2,60.7,2,0.39799999999999996,2,,2
58,2,12.3222,2,32.3383,2,294.2,2,60.7,2,0.436,2,,2
59,2,12.1065,2,32.3392,2,295.7,2,60.2,2,0.48200000000000004,2,,2
60,2,12.072000000000001,2,32.3383,2,296.3,2,59.9,2,0.505,2,,2
61,2,11.9905,2,32.3367,2,296.7,2,59.7,2,0.5379999999999999,2,,2
62,2,11.8163,2,32.3361,2,297.4,2,59.5,2,0.6,2,,2
63,2,11.7519,2,32.3367,2,297.2,2,59.1,2,0.674,2,,2
64,2,11.6998,2,32.3379,2,297.3,2,58.7,2,0.769,2,,2
65,2,11.5766,2,32.3432,2,298.6,2,58.4,2,0.8590000000000001,2,,2
66,2,11.5036,2,32.348,2,299.8,2,58.0,2,0.932,2,,2
67,2,11.4277,2,32.3509,2,300.8,2,57.4,2,1.129,2,,2
68,2,11.4115,2,32.3564,2,300.7,2,56.7,2,1.274,2,,2
69,2,11.3968,2,32.3634,2,300.3,2,56.2,2,1.31,2,,2
70,2,11.3748,2,32.368,2,299.1,2,56.2,2,1.386,2,,2
