CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#A graphical editor was used to remove records from obviously bad sections of temperature and salinity data and some salinity data were smoothed to remove small spikes.,,,,,,,,,,,,,,,,,
#Where there was corruption of salinity data that was not seen in temperature data only salinity points were removed.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Downcast Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 200 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 200 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2015-10-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20150818
STNBR = PAR
CASTNO = 1
DATE = 20150824
TIME =  20:58
LATITUDE = 49.22
LONGITUDE = -133.9095
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2,2,17.6888,2,31.9008,2,212.4,2,9.3,2,0.147,2,1730.5,2
3,2,17.6866,2,31.9054,2,210.8,2,7.8,2,0.147,2,916.2,2
5,2,17.6784,2,31.9236,2,233.0,2,60.9,2,0.142,2,373.4,2
6,2,17.6786,2,31.9242,2,239.8,2,60.9,2,0.147,2,351.5,2
7,2,17.6798,2,31.9445,2,243.9,2,61.0,2,0.147,2,315.1,2
8,2,17.6802,2,31.949,2,245.1,2,61.0,2,0.147,2,249.3,2
9,2,17.6643,2,31.9504,2,244.8,2,61.0,2,0.156,2,240.0,2
10,2,17.6586,2,31.9498,2,244.5,2,61.0,2,0.159,2,230.6,2
11,2,17.6521,2,31.95,2,244.9,2,60.9,2,0.171,2,215.2,2
12,2,17.6501,2,31.9504,2,245.1,2,61.0,2,0.175,2,204.0,2
13,2,17.6493,2,31.9503,2,244.9,2,60.9,2,0.182,2,186.2,2
14,2,17.6385,2,31.9519,2,245.2,2,60.9,2,0.191,2,183.0,2
15,2,17.6371,2,31.9538,2,245.6,2,60.9,2,0.195,2,167.9,2
16,2,17.6377,2,31.9546,2,245.3,2,60.9,2,0.195,2,152.2,2
17,2,17.6382,2,31.9544,2,245.0,2,60.9,2,0.19899999999999998,2,136.8,2
18,2,17.6371,2,31.9544,2,244.6,2,60.9,2,0.20800000000000002,2,145.4,2
19,2,17.6377,2,31.9549,2,244.8,2,60.9,2,0.20800000000000002,2,138.1,2
20,2,17.6408,2,31.9569,2,244.9,2,60.9,2,0.21,2,127.9,2
21,2,17.6418,2,31.9579,2,245.0,2,60.7,2,0.22,2,119.4,2
22,2,17.6417,2,31.9579,2,244.9,2,60.7,2,0.22,2,111.2,2
23,2,17.642,2,31.9579,2,245.6,2,60.7,2,0.222,2,105.0,2
24,2,17.6517,2,31.9626,2,246.6,2,60.6,2,0.23199999999999998,2,109.8,2
25,2,17.6847,2,31.9971,2,246.9,2,60.8,2,0.245,2,104.0,2
26,2,17.7622,2,32.1653,2,248.2,2,60.7,2,0.237,2,97.7,2
27,2,17.7832,2,32.2061,2,247.3,2,60.9,2,0.239,2,91.4,2
28,2,17.7247,2,32.3763,2,247.0,2,61.1,2,0.233,2,85.7,2
29,2,17.6111,2,32.4822,2,249.7,2,61.1,2,0.23199999999999998,2,85.1,2
30,2,17.3646,2,32.5712,2,-99.0,2,60.8,2,0.244,2,81.0,2
31,2,17.323,2,32.5888,2,256.6,2,60.7,2,0.249,2,78.2,2
32,2,17.224,2,32.6008,2,255.0,2,60.6,2,0.256,2,73.6,2
33,2,17.0307,2,32.6107,2,256.3,2,60.4,2,0.273,2,70.4,2
34,2,16.8538,2,32.6115,2,260.3,2,60.1,2,0.295,2,67.9,2
35,2,16.567,2,32.5972,2,264.3,2,59.9,2,0.316,2,65.2,2
36,2,16.128,2,32.5788,2,276.6,2,59.6,2,0.344,2,62.6,2
37,2,15.3675,2,32.5475,2,301.1,2,58.9,2,0.396,2,59.3,2
38,2,14.3801,2,32.5149,2,284.9,2,58.5,2,0.441,2,56.0,2
39,2,13.8238,2,32.5164,2,302.2,2,57.4,2,0.508,2,56.3,2
40,2,13.7789,2,32.5137,2,302.9,2,57.1,2,0.528,2,53.8,2
41,2,13.5937,2,32.5115,2,303.8,2,56.8,2,0.565,2,50.3,2
42,2,13.3981,2,32.5083,2,308.7,2,56.5,2,0.605,2,46.0,2
43,2,13.09,2,32.5048,2,315.0,2,56.4,2,0.66,2,43.1,2
45,2,12.2572,2,32.4897,2,318.2,2,55.0,2,0.843,2,34.3,2
46,2,12.0471,2,32.4857,2,317.8,2,54.6,2,0.9309999999999999,2,31.2,2
47,2,11.9173,2,32.4851,2,319.7,2,54.4,2,1.013,2,28.6,2
48,2,11.6024,2,32.4933,2,321.4,2,53.9,2,1.208,2,26.4,2
49,2,11.513,2,32.5016,2,323.4,2,53.2,2,1.3419999999999999,2,24.2,2
50,2,11.4565,2,32.5077,2,325.2,2,53.0,2,1.463,2,22.0,2
51,2,11.4475,2,32.5139,2,319.6,2,52.9,2,1.464,2,20.1,2
52,2,11.4123,2,32.516999999999996,2,321.3,2,52.9,2,1.565,2,18.5,2
53,2,11.2677,2,32.5204,2,323.8,2,52.5,2,1.757,2,16.8,2
54,2,11.2658,2,32.5195,2,323.2,2,52.1,2,1.885,2,15.2,2
55,2,11.2573,2,32.5201,2,322.9,2,51.9,2,1.86,2,13.6,2
56,2,11.3141,2,32.5227,2,318.9,2,52.7,2,1.905,2,11.9,2
57,2,11.2615,2,32.5221,2,318.4,2,52.5,2,1.915,2,10.8,2
58,2,11.1073,2,32.5222,2,318.4,2,51.9,2,2.131,2,9.9,2
59,2,10.9838,2,32.5182,2,320.4,2,51.2,2,2.3280000000000003,2,9.0,2
60,2,10.8364,2,32.5107,2,320.6,2,50.7,2,2.533,2,8.2,2
61,2,10.6972,2,32.5302,2,319.8,2,50.2,2,3.12,2,7.3,2
63,2,10.512,2,32.5858,2,295.8,2,51.1,2,2.742,2,5.7,2
64,2,10.3958,2,32.5911,2,294.6,2,52.8,2,2.309,2,5.2,2
65,2,10.3365,2,32.5903,2,295.1,2,56.2,2,2.009,2,4.7,2
66,2,10.3086,2,32.5924,2,297.1,2,57.5,2,1.824,2,4.3,2
67,2,10.244000000000002,2,32.586,2,299.5,2,57.9,2,1.67,2,4.0,2
68,2,10.1665,2,32.5938,2,285.3,2,55.1,2,1.608,2,3.5,2
69,2,10.1264,2,32.5914,2,285.4,2,56.5,2,1.401,2,3.4,2
70,2,10.0711,2,32.5847,2,285.2,2,59.3,2,1.311,2,3.2,2
71,2,10.04,2,32.5795,2,285.0,2,60.3,2,1.161,2,3.0,2
72,2,10.017000000000001,2,32.5766,2,285.4,2,60.5,2,1.1159999999999999,2,2.8,2
73,2,10.0178,2,32.5797,2,285.2,2,60.7,2,1.047,2,2.6,2
74,2,10.0263,2,32.5844,2,285.4,2,60.5,2,1.035,2,2.5,2
75,2,10.0456,2,32.6016,2,281.6,2,59.2,2,1.071,2,2.6,2
76,2,10.0484,2,32.6115,2,280.1,2,60.0,2,0.9590000000000001,2,2.4,2
77,2,10.0348,2,32.6147,2,280.2,2,60.7,2,0.885,2,2.3,2
78,2,10.0282,2,32.6197,2,280.6,2,61.3,2,0.857,2,2.2,2
79,2,10.0006,2,32.6209,2,281.6,2,61.5,2,0.8170000000000001,2,2.2,2
81,2,9.9097,2,32.6311,2,275.0,2,61.1,2,0.775,2,1.9,2
82,2,9.8837,2,32.633,2,273.7,2,61.8,2,0.6829999999999999,2,1.8,2
83,2,9.8679,2,32.6342,2,274.0,2,61.9,2,0.6679999999999999,2,1.7,2
84,2,9.8428,2,32.6352,2,274.7,2,61.9,2,0.6579999999999999,2,1.7,2
85,2,9.7671,2,32.6379,2,275.0,2,61.9,2,0.603,2,1.6,2
86,2,9.7232,2,32.643,2,275.5,2,62.1,2,0.623,2,1.5,2
87,2,9.5841,2,32.6736,2,266.1,2,62.1,2,0.535,2,1.4,2
88,2,9.5643,2,32.6825,2,265.9,2,62.4,2,0.479,2,1.3,2
89,2,9.5477,2,32.6935,2,267.7,2,62.8,2,0.46,2,1.3,2
90,2,9.462,2,32.711999999999996,2,268.2,2,62.9,2,0.413,2,1.2,2
91,2,9.4331,2,32.7196,2,268.1,2,62.6,2,0.424,2,1.2,2
92,2,9.3049,2,32.7253,2,264.3,2,62.9,2,0.387,2,1.2,2
93,2,9.1768,2,32.7466,2,263.1,2,63.1,2,0.345,2,1.1,2
