CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#NOTE: While the Fluorescence:CTD data are expressed in concentration units they do not always compare well to extracted chlorophyll samples particularly for casts far from shore.,,,,,,,,,,,,,,,,,
#It is recommended that users check extracted chlorophyll values where available.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#NOTE: The transmissivity data were removed for files 2016-01-0002 and 2016-01-0005 because of poor data due to a cable problem.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.6 ml/l from 0 to 125 dbar,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 125 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.06 ml/l from 500 to 1000 dbar,,,,,,,,,,,,,,,,,
#      • ±0.03 ml/l below 1000 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2016-01-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20160208
STNBR = P4
CASTNO = 3
DATE = 20160210
TIME =  06:14
LATITUDE = 48.64933
LONGITUDE = -126.667
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.4,2,9.4472,2,32.413000000000004,2,284.3,2,59.1,2,0.439,2,,2
3.0,2,9.4483,2,32.413000000000004,2,284.5,2,59.3,2,0.46399999999999997,2,,2
3.9,2,9.4509,2,32.413000000000004,2,284.5,2,59.3,2,0.45799999999999996,2,,2
5.0,2,9.4489,2,32.4132,2,284.6,2,59.3,2,0.45399999999999996,2,,2
5.9,2,9.4521,2,32.4131,2,285.0,2,59.3,2,0.47200000000000003,2,,2
7.0,2,9.4443,2,32.4131,2,285.3,2,59.3,2,0.44,2,,2
8.0,2,9.4411,2,32.4132,2,285.2,2,59.3,2,0.45299999999999996,2,,2
9.0,2,9.4411,2,32.4132,2,285.0,2,59.3,2,0.439,2,,2
10.0,2,9.4412,2,32.4132,2,285.3,2,59.1,2,0.466,2,,2
11.1,2,9.4411,2,32.4132,2,285.2,2,59.3,2,0.444,2,,2
12.1,2,9.4413,2,32.4132,2,285.0,2,59.3,2,0.44299999999999995,2,,2
13.0,2,9.4414,2,32.4133,2,284.9,2,59.3,2,0.475,2,,2
14.0,2,9.4414,2,32.4134,2,284.9,2,59.4,2,0.447,2,,2
15.0,2,9.4418,2,32.4136,2,285.1,2,59.3,2,0.429,2,,2
16.0,2,9.442,2,32.4137,2,284.7,2,59.3,2,0.423,2,,2
17.0,2,9.4421,2,32.4137,2,284.2,2,59.3,2,0.419,2,,2
18.0,2,9.4423,2,32.4137,2,284.6,2,59.4,2,0.441,2,,2
19.0,2,9.4424,2,32.4137,2,284.6,2,59.4,2,0.42700000000000005,2,,2
20.1,2,9.4424,2,32.4139,2,285.1,2,59.3,2,0.46299999999999997,2,,2
21.0,2,9.4426,2,32.4137,2,285.1,2,59.4,2,0.46299999999999997,2,,2
21.9,2,9.443,2,32.4138,2,285.1,2,59.4,2,0.43799999999999994,2,,2
23.0,2,9.4435,2,32.414,2,285.2,2,59.3,2,0.447,2,,2
24.0,2,9.443999999999999,2,32.4141,2,284.9,2,59.4,2,0.462,2,,2
25.0,2,9.4436,2,32.4141,2,285.1,2,59.3,2,0.424,2,,2
26.0,2,9.4437,2,32.4141,2,285.1,2,59.3,2,0.455,2,,2
27.0,2,9.4436,2,32.4142,2,285.0,2,59.4,2,0.475,2,,2
28.0,2,9.4434,2,32.414,2,284.7,2,59.4,2,0.46,2,,2
29.0,2,9.4436,2,32.414,2,284.7,2,59.4,2,0.46399999999999997,2,,2
29.9,2,9.4437,2,32.414,2,284.3,2,59.4,2,0.451,2,,2
31.0,2,9.443999999999999,2,32.4141,2,284.4,2,59.4,2,0.45299999999999996,2,,2
32.0,2,9.4441,2,32.414,2,284.9,2,59.3,2,0.45899999999999996,2,,2
33.0,2,9.4444,2,32.4138,2,285.6,2,59.3,2,0.435,2,,2
34.0,2,9.4444,2,32.4139,2,285.8,2,59.3,2,0.434,2,,2
35.0,2,9.4442,2,32.4139,2,285.6,2,59.4,2,0.424,2,,2
36.1,2,9.4442,2,32.414,2,285.5,2,59.3,2,0.43799999999999994,2,,2
37.0,2,9.4446,2,32.4142,2,285.7,2,59.3,2,0.434,2,,2
37.9,2,9.4445,2,32.414,2,285.0,2,59.3,2,0.439,2,,2
38.9,2,9.4447,2,32.4142,2,284.8,2,59.3,2,0.444,2,,2
40.0,2,9.4449,2,32.414,2,284.5,2,59.3,2,0.43200000000000005,2,,2
41.0,2,9.4451,2,32.4139,2,284.1,2,59.2,2,0.431,2,,2
42.0,2,9.4455,2,32.4141,2,284.4,2,59.2,2,0.47700000000000004,2,,2
43.0,2,9.4453,2,32.4139,2,284.8,2,59.2,2,0.551,2,,2
44.0,2,9.4452,2,32.414,2,285.3,2,59.3,2,0.499,2,,2
45.0,2,9.4451,2,32.4139,2,285.4,2,59.3,2,0.46399999999999997,2,,2
46.1,2,9.4449,2,32.4139,2,285.2,2,59.3,2,0.442,2,,2
47.0,2,9.4451,2,32.4139,2,285.2,2,59.0,2,0.445,2,,2
48.0,2,9.4455,2,32.4141,2,284.9,2,59.4,2,0.43200000000000005,2,,2
49.0,2,9.446,2,32.4144,2,284.4,2,59.4,2,0.449,2,,2
50.0,2,9.4465,2,32.4147,2,284.2,2,59.4,2,0.445,2,,2
51.0,2,9.4469,2,32.4147,2,284.3,2,59.4,2,0.45299999999999996,2,,2
52.0,2,9.447000000000001,2,32.4147,2,284.1,2,59.4,2,0.439,2,,2
53.0,2,9.4471,2,32.4147,2,284.3,2,59.4,2,0.42200000000000004,2,,2
54.0,2,9.4472,2,32.4149,2,285.1,2,59.4,2,0.455,2,,2
55.0,2,9.4481,2,32.4153,2,284.6,2,59.4,2,0.43799999999999994,2,,2
56.0,2,9.4481,2,32.4156,2,284.3,2,59.4,2,0.408,2,,2
57.0,2,9.4483,2,32.4158,2,284.1,2,59.3,2,0.42,2,,2
58.0,2,9.4484,2,32.4156,2,283.9,2,59.3,2,0.41,2,,2
59.0,2,9.4486,2,32.4156,2,283.1,2,59.5,2,0.442,2,,2
60.0,2,9.4491,2,32.4159,2,283.5,2,59.5,2,0.442,2,,2
61.0,2,9.4493,2,32.4159,2,284.3,2,59.5,2,0.434,2,,2
62.0,2,9.4493,2,32.4159,2,284.9,2,59.5,2,0.428,2,,2
63.0,2,9.4491,2,32.4161,2,284.1,2,59.4,2,0.419,2,,2
64.0,2,9.4493,2,32.4164,2,283.5,2,59.6,2,0.419,2,,2
65.0,2,9.4497,2,32.4165,2,283.4,2,59.6,2,0.442,2,,2
66.0,2,9.4498,2,32.4169,2,283.1,2,59.6,2,0.41600000000000004,2,,2
67.0,2,9.4496,2,32.4174,2,283.9,2,59.6,2,0.409,2,,2
68.0,2,9.4485,2,32.418,2,283.5,2,59.6,2,0.48200000000000004,2,,2
69.0,2,9.4478,2,32.4184,2,283.0,2,59.6,2,0.426,2,,2
70.0,2,9.4479,2,32.4183,2,283.0,2,59.7,2,0.39399999999999996,2,,2
71.0,2,9.4463,2,32.4187,2,282.4,2,59.4,2,0.39899999999999997,2,,2
72.0,2,9.4419,2,32.4204,2,282.4,2,59.4,2,0.41600000000000004,2,,2
73.0,2,9.4457,2,32.4249,2,282.6,2,59.5,2,0.358,2,,2
74.1,2,9.4461,2,32.4263,2,283.5,2,59.8,2,0.371,2,,2
75.2,2,9.4468,2,32.4261,2,283.2,2,59.8,2,0.402,2,,2
76.0,2,9.4493,2,32.4291,2,281.7,2,59.9,2,0.376,2,,2
77.0,2,9.4509,2,32.4305,2,280.8,2,60.0,2,0.353,2,,2
78.0,2,9.4516,2,32.4339,2,279.3,2,59.9,2,0.354,2,,2
79.0,2,9.4524,2,32.4437,2,278.1,2,59.9,2,0.33399999999999996,2,,2
80.0,2,9.4531,2,32.4463,2,275.1,2,60.1,2,0.344,2,,2
81.0,2,9.4533,2,32.4617,2,271.0,2,60.2,2,0.327,2,,2
82.0,2,9.4501,2,32.5016,2,266.0,2,60.3,2,0.307,2,,2
83.0,2,9.4459,2,32.5546,2,258.1,2,60.3,2,0.27,2,,2
84.0,2,9.4419,2,32.591,2,247.8,2,60.3,2,0.23800000000000002,2,,2
85.0,2,9.4248,2,32.7637,2,242.7,2,60.4,2,0.201,2,,2
85.8,2,9.4053,2,32.8585,2,252.7,2,60.1,2,0.222,2,,2
87.3,2,9.3991,2,32.9075,2,216.0,2,60.5,2,0.21,2,,2
88.0,2,9.3043,2,33.0523,2,204.2,2,60.5,2,0.16699999999999998,2,,2
89.0,2,9.2238,2,33.119,2,195.3,2,60.5,2,0.139,2,,2
90.0,2,9.1887,2,33.1562,2,189.9,2,60.5,2,0.125,2,,2
91.0,2,9.113,2,33.2227,2,185.7,2,60.5,2,0.12300000000000001,2,,2
92.0,2,9.0674,2,33.2724,2,182.7,2,60.5,2,0.11699999999999999,2,,2
93.0,2,9.0549,2,33.2892,2,180.8,2,60.4,2,0.115,2,,2
94.0,2,9.0426,2,33.2969,2,179.6,2,60.3,2,0.106,2,,2
95.0,2,9.0194,2,33.3109,2,179.4,2,60.1,2,0.10400000000000001,2,,2
96.0,2,9.0153,2,33.32,2,182.6,2,60.1,2,0.102,2,,2
96.6,2,9.0107,2,33.3254,2,188.7,2,60.1,2,0.105,2,,2
98.4,2,9.0069,2,33.3419,2,173.1,2,60.3,2,0.1,2,,2
99.0,2,8.9611,2,33.3841,2,170.4,2,60.2,2,0.10300000000000001,2,,2
100.0,2,8.9282,2,33.4036,2,167.5,2,60.1,2,0.09699999999999999,2,,2
101.0,2,8.871,2,33.4188,2,166.4,2,60.0,2,0.098,2,,2
102.0,2,8.8493,2,33.4191,2,167.1,2,60.0,2,0.092,2,,2
103.0,2,8.7937,2,33.4192,2,169.2,2,59.9,2,0.087,2,,2
104.0,2,8.6928,2,33.4139,2,171.7,2,59.9,2,0.087,2,,2
105.0,2,8.6515,2,33.4095,2,172.9,2,59.9,2,0.09300000000000001,2,,2
106.0,2,8.6327,2,33.4069,2,174.3,2,60.1,2,0.084,2,,2
107.0,2,8.6218,2,33.406,2,174.4,2,60.0,2,0.08,2,,2
108.0,2,8.618,2,33.4072,2,174.5,2,60.0,2,0.08,2,,2
