CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#NOTE: While the Fluorescence:CTD data are expressed in concentration units they do not always compare well to extracted chlorophyll samples particularly for casts far from shore.,,,,,,,,,,,,,,,,,
#It is recommended that users check extracted chlorophyll values where available.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD sensor has a fairly long response time so data accuracy is not as high when it is in motion as it is during stops for bottles.,,,,,,,,,,,,,,,,,
#This will be especially true when vertical dissolved oxygen gradients are large. ,,,,,,,,,,,,,,,,,
#To get an estimate of the accuracy of the Oxygen:Dissolved:CTD data during downcasts (after recalibration) a rough comparison was made between downcast Oxygen:Dissolved:CTD data and upcast titrated samples. ,,,,,,,,,,,,,,,,,
#Some of the difference will be due to problems with flushing of Niskin bottles and/or analysis errors so the following statement likely underestimates Oxygen:Dissolved:CTD accuracy.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Downcast (CTD files) Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 100 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 500 to 1000 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l below 1000 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2016-06-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20160605
STNBR = P18
CASTNO = 1
DATE = 20160611
TIME =  02:32
LATITUDE = 49.434670000000004
LONGITUDE = -136.6685
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.2,2,11.2642,2,32.5247,2,289.1,2,48.1,2,1.14,2,320.6,2
3.0,2,11.2634,2,32.5248,2,289.6,2,48.2,2,1.0959999999999999,2,270.7,2
3.9,2,11.2635,2,32.5251,2,290.1,2,48.1,2,1.099,2,238.9,2
5.0,2,11.263,2,32.5251,2,290.2,2,48.1,2,1.149,2,208.8,2
6.0,2,11.2618,2,32.5252,2,290.0,2,48.1,2,1.136,2,185.3,2
7.0,2,11.2613,2,32.5252,2,289.8,2,48.2,2,1.155,2,163.0,2
8.1,2,11.2679,2,32.5251,2,289.8,2,48.1,2,1.159,2,135.9,2
8.6,2,11.267000000000001,2,32.5252,2,289.8,2,48.1,2,1.182,2,129.9,2
10.1,2,11.1974,2,32.5263,2,288.4,2,48.0,2,1.27,2,115.3,2
11.0,2,11.1138,2,32.528,2,289.7,2,46.2,2,1.287,2,104.5,2
12.0,2,11.0324,2,32.5282,2,291.2,2,47.2,2,1.287,2,94.3,2
13.0,2,10.994000000000002,2,32.527,2,292.0,2,47.5,2,1.307,2,86.4,2
14.0,2,10.9694,2,32.5251,2,292.2,2,47.5,2,1.345,2,77.4,2
14.9,2,10.9453,2,32.5242,2,290.9,2,47.5,2,1.385,2,69.7,2
16.0,2,10.8844,2,32.522,2,293.0,2,47.3,2,1.4880000000000002,2,62.9,2
17.0,2,10.8059,2,32.521,2,293.3,2,47.5,2,1.5319999999999998,2,58.1,2
18.0,2,10.7878,2,32.5207,2,293.2,2,47.5,2,1.764,2,53.8,2
19.0,2,10.7671,2,32.5206,2,294.1,2,47.5,2,1.676,2,48.9,2
20.0,2,10.7299,2,32.5204,2,293.0,2,47.4,2,1.6340000000000001,2,44.0,2
21.0,2,10.6532,2,32.52,2,292.3,2,47.4,2,1.672,2,39.7,2
22.0,2,10.5475,2,32.5185,2,296.9,2,47.0,2,1.815,2,36.0,2
23.0,2,10.125,2,32.5218,2,301.1,2,46.7,2,2.04,2,32.6,2
24.0,2,10.0043,2,32.5231,2,300.5,2,47.2,2,2.146,2,29.6,2
25.0,2,9.9603,2,32.5239,2,300.0,2,47.5,2,2.242,2,27.0,2
26.0,2,9.93,2,32.5255,2,299.8,2,47.7,2,2.362,2,24.6,2
27.0,2,9.9167,2,32.525999999999996,2,298.8,2,47.9,2,2.449,2,22.2,2
28.0,2,9.9027,2,32.5264,2,297.6,2,48.3,2,2.487,2,19.9,2
29.0,2,9.8814,2,32.5266,2,296.8,2,48.9,2,2.529,2,17.8,2
30.0,2,9.8337,2,32.5269,2,296.1,2,50.0,2,2.555,2,15.9,2
31.0,2,9.7908,2,32.5281,2,295.1,2,51.0,2,2.491,2,14.3,2
32.0,2,9.774,2,32.5287,2,293.6,2,51.5,2,2.4930000000000003,2,13.1,2
33.0,2,9.7466,2,32.5297,2,292.8,2,52.1,2,2.43,2,12.0,2
34.0,2,9.7269,2,32.5309,2,292.8,2,52.3,2,2.349,2,10.9,2
35.0,2,9.6618,2,32.5333,2,293.4,2,52.9,2,2.254,2,10.0,2
36.0,2,9.6063,2,32.5344,2,293.2,2,53.5,2,2.13,2,9.0,2
37.0,2,9.5561,2,32.5356,2,293.2,2,54.2,2,2.0380000000000003,2,8.2,2
38.0,2,9.5473,2,32.5353,2,293.2,2,54.2,2,2.0069999999999997,2,7.4,2
