CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#NOTE: While the Fluorescence:CTD data are expressed in concentration units they do not always compare well to extracted chlorophyll samples particularly for casts far from shore.,,,,,,,,,,,,,,,,,
#It is recommended that users check extracted chlorophyll values where available.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD sensor has a fairly long response time so data accuracy is not as high when it is in motion as it is during stops for bottles.,,,,,,,,,,,,,,,,,
#This will be especially true when vertical dissolved oxygen gradients are large. ,,,,,,,,,,,,,,,,,
#To get an estimate of the accuracy of the Oxygen:Dissolved:CTD data during downcasts (after recalibration) a rough comparison was made between downcast Oxygen:Dissolved:CTD data and upcast titrated samples. ,,,,,,,,,,,,,,,,,
#Some of the difference will be due to problems with flushing of Niskin bottles and/or analysis errors so the following statement likely underestimates Oxygen:Dissolved:CTD accuracy.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Downcast (CTD files) Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 100 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 500 to 1000 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l below 1000 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2016-06-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20160605
STNBR = PA-010
CASTNO = 1
DATE = 20160616
TIME =  03:01
LATITUDE = 50.02433
LONGITUDE = -144.87917
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.4,2,9.5975,2,32.6749,2,302.3,2,46.9,2,1.9880000000000002,2,213.4,2
4.0,2,9.6005,2,32.6752,2,302.6,2,47.1,2,1.949,2,195.3,2
5.0,2,9.6016,2,32.6753,2,303.1,2,47.2,2,2.068,2,155.3,2
6.0,2,9.5944,2,32.6752,2,303.2,2,47.7,2,2.05,2,144.1,2
7.0,2,9.5988,2,32.6751,2,303.3,2,47.2,2,2.07,2,123.5,2
8.0,2,9.5982,2,32.6753,2,302.7,2,47.3,2,2.168,2,107.5,2
9.0,2,9.5854,2,32.6756,2,302.8,2,46.7,2,2.085,2,97.1,2
10.0,2,9.5261,2,32.6759,2,303.0,2,46.5,2,2.0909999999999997,2,86.9,2
11.0,2,9.4885,2,32.6753,2,302.9,2,46.8,2,3.363,2,76.9,2
12.0,2,9.445,2,32.6751,2,303.9,2,47.0,2,2.502,2,68.4,2
13.0,2,9.3862,2,32.6746,2,305.0,2,46.8,2,2.373,2,62.6,2
14.0,2,9.3729,2,32.6741,2,305.6,2,47.5,2,2.615,2,56.9,2
15.0,2,9.3679,2,32.6737,2,305.9,2,46.3,2,2.425,2,51.2,2
16.0,2,9.3621,2,32.6739,2,306.0,2,46.5,2,2.819,2,46.5,2
17.0,2,9.3562,2,32.6739,2,306.2,2,46.3,2,3.1210000000000004,2,42.7,2
18.0,2,9.3527,2,32.6738,2,306.1,2,45.7,2,2.69,2,38.6,2
19.0,2,9.35,2,32.6738,2,305.5,2,45.7,2,2.681,2,34.1,2
20.0,2,9.3466,2,32.6739,2,305.5,2,44.8,2,3.429,2,30.6,2
21.0,2,9.3434,2,32.674,2,305.3,2,45.4,2,3.6689999999999996,2,27.8,2
22.0,2,9.3386,2,32.6742,2,305.5,2,45.8,2,3.08,2,25.0,2
23.0,2,9.3358,2,32.6743,2,305.5,2,45.3,2,3.117,2,22.6,2
24.0,2,9.3323,2,32.6744,2,305.6,2,45.5,2,2.958,2,20.3,2
25.0,2,9.3287,2,32.6744,2,304.8,2,44.5,2,3.179,2,18.2,2
26.0,2,9.3257,2,32.6744,2,304.4,2,44.7,2,3.8680000000000003,2,16.1,2
27.0,2,9.3235,2,32.6746,2,304.4,2,45.0,2,3.8930000000000002,2,14.3,2
28.0,2,9.3225,2,32.6747,2,304.3,2,44.4,2,4.1339999999999995,2,12.6,2
29.0,2,9.3203,2,32.6748,2,304.0,2,44.1,2,4.234,2,11.2,2
30.0,2,9.3198,2,32.6748,2,303.9,2,44.7,2,4.441,2,10.2,2
31.0,2,9.3151,2,32.675,2,303.3,2,44.1,2,4.538,2,9.3,2
32.0,2,9.3049,2,32.6755,2,302.6,2,43.7,2,4.918,2,8.4,2
33.0,2,9.2815,2,32.6763,2,302.6,2,44.3,2,4.364,2,7.5,2
34.0,2,9.2385,2,32.6772,2,302.4,2,44.1,2,4.05,2,6.7,2
35.0,2,9.1546,2,32.6798,2,301.0,2,43.8,2,4.477,2,6.0,2
36.0,2,9.052999999999999,2,32.681999999999995,2,301.8,2,44.2,2,4.11,2,5.4,2
37.0,2,8.7272,2,32.6947,2,304.5,2,46.6,2,3.714,2,4.8,2
38.0,2,8.4693,2,32.7043,2,307.8,2,48.4,2,3.5060000000000002,2,4.2,2
