CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#NOTE: While the Fluorescence:CTD data are expressed in concentration units they do not always compare well to extracted chlorophyll samples particularly for casts far from shore.,,,,,,,,,,,,,,,,,
#It is recommended that users check extracted chlorophyll values where available.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD sensor has a fairly long response time so data accuracy is not as high when it is in motion as it is during stops for bottles.,,,,,,,,,,,,,,,,,
#This will be especially true when vertical dissolved oxygen gradients are large. ,,,,,,,,,,,,,,,,,
#To get an estimate of the accuracy of the Oxygen:Dissolved:CTD data during downcasts (after recalibration) a rough comparison was made between downcast Oxygen:Dissolved:CTD data and upcast titrated samples. ,,,,,,,,,,,,,,,,,
#Some of the difference will be due to problems with flushing of Niskin bottles and/or analysis errors so the following statement likely underestimates Oxygen:Dissolved:CTD accuracy.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Downcast (CTD files) Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 200 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 200 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.06 ml/l from 500 to 1500 dbar,,,,,,,,,,,,,,,,,
#      • Low by up to 0.04 ml/l below 1500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2016-08-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20160816
STNBR = P20
CASTNO = 3
DATE = 20160824
TIME =  02:59
LATITUDE = 49.567
LONGITUDE = -138.66566
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
5.0,2,16.9085,2,32.5959,2,252.6,2,54.8,2,0.535,2,132.1,2
6.0,2,16.6149,2,32.5993,2,255.8,2,54.7,2,0.55,2,113.7,2
7.0,2,16.5527,2,32.5983,2,255.8,2,54.8,2,0.485,2,102.2,2
8.0,2,16.3801,2,32.5925,2,256.6,2,55.3,2,0.503,2,102.6,2
9.0,2,16.2571,2,32.5909,2,257.0,2,54.8,2,0.6779999999999999,2,106.1,2
10.0,2,16.165,2,32.5914,2,257.3,2,54.6,2,0.57,2,85.1,2
11.0,2,16.0152,2,32.594,2,259.5,2,54.3,2,0.932,2,76.3,2
12.0,2,15.7307,2,32.5956,2,261.9,2,54.3,2,0.7170000000000001,2,71.1,2
13.0,2,15.5045,2,32.5902,2,262.7,2,54.8,2,0.59,2,63.6,2
14.0,2,15.3868,2,32.5901,2,262.7,2,55.0,2,0.562,2,58.4,2
15.0,2,15.2141,2,32.5909,2,264.8,2,54.7,2,0.5870000000000001,2,52.4,2
16.0,2,14.7598,2,32.6008,2,271.4,2,54.5,2,0.644,2,47.8,2
17.0,2,14.1473,2,32.6262,2,277.3,2,53.8,2,0.8059999999999999,2,46.2,2
18.1,2,13.5972,2,32.6387,2,281.0,2,53.6,2,0.797,2,44.0,2
19.0,2,13.2562,2,32.6391,2,285.4,2,53.9,2,0.8340000000000001,2,40.4,2
20.1,2,12.9462,2,32.6483,2,287.9,2,54.2,2,0.9359999999999999,2,36.5,2
21.0,2,12.7629,2,32.6577,2,288.8,2,54.2,2,0.888,2,34.2,2
22.0,2,12.633,2,32.6616,2,289.1,2,54.2,2,0.867,2,31.6,2
23.0,2,12.5374,2,32.663000000000004,2,289.4,2,54.2,2,0.895,2,29.8,2
24.1,2,12.3526,2,32.6618,2,291.2,2,53.9,2,0.961,2,28.4,2
25.1,2,12.1798,2,32.6627,2,290.8,2,53.7,2,1.1909999999999998,2,26.7,2
25.9,2,11.9709,2,32.6579,2,292.9,2,53.1,2,1.181,2,25.5,2
27.0,2,11.6852,2,32.6613,2,295.5,2,52.5,2,1.25,2,23.8,2
28.0,2,11.5998,2,32.6653,2,296.2,2,52.5,2,1.278,2,22.3,2
29.0,2,11.5641,2,32.6659,2,296.6,2,52.6,2,1.306,2,20.7,2
30.0,2,11.5293,2,32.6662,2,297.3,2,52.6,2,1.314,2,19.2,2
31.0,2,11.4279,2,32.6668,2,298.3,2,52.7,2,1.331,2,17.7,2
31.9,2,11.3728,2,32.6692,2,298.2,2,52.8,2,1.376,2,16.5,2
33.1,2,11.331,2,32.6719,2,297.4,2,52.7,2,1.42,2,15.0,2
34.0,2,11.2692,2,32.6739,2,297.1,2,52.7,2,1.454,2,14.0,2
35.0,2,11.2244,2,32.6763,2,295.8,2,52.6,2,1.469,2,13.0,2
36.0,2,11.155999999999999,2,32.6775,2,296.1,2,52.7,2,1.473,2,12.1,2
37.0,2,10.9456,2,32.6819,2,297.2,2,53.0,2,1.494,2,11.3,2
38.0,2,10.8259,2,32.6847,2,297.5,2,53.0,2,1.5319999999999998,2,10.6,2
39.0,2,10.6574,2,32.692,2,298.6,2,53.0,2,1.589,2,9.9,2
40.0,2,10.4989,2,32.7018,2,298.8,2,53.0,2,1.624,2,9.2,2
41.0,2,10.4159,2,32.7071,2,298.2,2,53.0,2,1.636,2,8.4,2
