CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#NOTE: While the Fluorescence:CTD data are expressed in concentration units they do not always compare well to extracted chlorophyll samples particularly for casts far from shore.,,,,,,,,,,,,,,,,,
#It is recommended that users check extracted chlorophyll values where available.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD sensor has a fairly long response time so data accuracy is not as high when it is in motion as it is during stops for bottles.,,,,,,,,,,,,,,,,,
#This will be especially true when vertical dissolved oxygen gradients are large. ,,,,,,,,,,,,,,,,,
#To get an estimate of the accuracy of the Oxygen:Dissolved:CTD data during downcasts (after recalibration) a rough comparison was made between downcast Oxygen:Dissolved:CTD data and upcast titrated samples. ,,,,,,,,,,,,,,,,,
#Some of the difference will be due to problems with flushing of Niskin bottles and/or analysis errors so the following statement likely underestimates Oxygen:Dissolved:CTD accuracy.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Downcast (CTD files) Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.4 ml/l from 0 to 200 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 200 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.06 ml/l from 500 to 1500 dbar,,,,,,,,,,,,,,,,,
#      • Low by up to 0.04 ml/l below 1500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2016-08-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20160816
STNBR = PA-010
CASTNO = 1
DATE = 20160827
TIME =  05:35
LATITUDE = 50.02467
LONGITUDE = -144.87666000000002
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.3,2,16.1088,2,32.5525,2,255.7,2,54.6,2,0.6829999999999999,2,0.0,2
3.0,2,16.1088,2,32.5525,2,256.1,2,55.2,2,0.6779999999999999,2,0.0,2
3.9,2,16.1081,2,32.5525,2,256.3,2,55.7,2,0.6829999999999999,2,0.0,2
5.0,2,16.107,2,32.5526,2,256.3,2,55.6,2,0.6759999999999999,2,0.0,2
6.0,2,16.1067,2,32.5526,2,256.3,2,55.8,2,0.6609999999999999,2,0.0,2
7.9,2,16.1015,2,32.553000000000004,2,256.5,2,55.7,2,0.6859999999999999,2,0.0,2
9.1,2,16.0936,2,32.5527,2,256.3,2,55.8,2,0.648,2,0.0,2
10.0,2,16.0926,2,32.5528,2,256.2,2,55.7,2,0.66,2,0.0,2
11.0,2,16.0902,2,32.5528,2,255.5,2,55.7,2,0.6559999999999999,2,0.0,2
12.0,2,16.0768,2,32.5528,2,254.8,2,55.7,2,0.662,2,0.0,2
13.0,2,15.9759,2,32.5527,2,254.9,2,55.6,2,0.691,2,0.0,2
14.0,2,15.7739,2,32.5529,2,256.4,2,55.4,2,0.731,2,0.0,2
15.0,2,15.6328,2,32.5533,2,258.1,2,55.6,2,0.73,2,0.0,2
16.0,2,15.4433,2,32.559,2,258.0,2,55.7,2,0.763,2,0.0,2
17.0,2,15.337,2,32.5632,2,258.3,2,55.7,2,0.762,2,0.0,2
18.0,2,14.8848,2,32.5835,2,264.8,2,55.4,2,0.8440000000000001,2,0.0,2
19.0,2,14.2922,2,32.5975,2,271.6,2,55.0,2,0.93,2,0.0,2
20.0,2,13.982000000000001,2,32.6023,2,273.1,2,54.8,2,1.008,2,0.0,2
21.0,2,13.5771,2,32.6003,2,277.9,2,54.6,2,1.052,2,0.0,2
22.0,2,12.6416,2,32.6067,2,291.9,2,54.3,2,1.084,2,0.0,2
23.0,2,11.8512,2,32.6139,2,300.2,2,54.2,2,1.087,2,0.0,2
24.0,2,11.675,2,32.615,2,298.4,2,54.5,2,1.077,2,0.0,2
25.0,2,11.3754,2,32.6125,2,301.3,2,54.4,2,1.06,2,0.0,2
26.0,2,10.825999999999999,2,32.6267,2,305.9,2,54.4,2,1.0590000000000002,2,0.0,2
27.0,2,10.4785,2,32.6337,2,307.9,2,54.4,2,1.071,2,0.0,2
28.0,2,10.2128,2,32.644,2,309.4,2,54.3,2,1.0859999999999999,2,0.0,2
29.0,2,10.0158,2,32.6491,2,309.4,2,54.4,2,1.094,2,0.0,2
30.0,2,9.8761,2,32.6521,2,309.2,2,54.4,2,1.133,2,0.0,2
31.0,2,9.6437,2,32.6645,2,308.2,2,54.5,2,1.131,2,0.0,2
32.0,2,9.4669,2,32.6726,2,308.2,2,54.5,2,1.162,2,0.0,2
33.0,2,9.1222,2,32.696,2,311.5,2,54.3,2,1.22,2,0.0,2
34.0,2,8.9156,2,32.7125,2,312.7,2,54.0,2,1.2890000000000001,2,0.0,2
35.0,2,8.8727,2,32.7157,2,311.6,2,53.9,2,1.3119999999999998,2,0.0,2
36.0,2,8.8276,2,32.7189,2,309.2,2,53.9,2,1.3430000000000002,2,0.0,2
37.0,2,8.7613,2,32.7238,2,308.8,2,53.9,2,1.3840000000000001,2,0.0,2
38.0,2,8.5352,2,32.7362,2,309.9,2,53.9,2,1.399,2,0.0,2
39.0,2,8.419,2,32.7415,2,309.6,2,54.0,2,1.3880000000000001,2,0.0,2
