CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#Fluorescence and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity and a large spike in fluorescence was removed from file 0032.,,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#The Transmissivity channel was removed because of frequent shifts in values during casts and large variations between values during repeat casts.,,,,,,,,,,,,,,,,,,
#The data are available by request from the chief scientist.,,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#NOTE: While the Fluorescence:CTD data are expressed in concentration units they do not always compare well to extracted chlorophyll samples particularly for casts far from shore.,,,,,,,,,,,,,,,,,,
#It is recommended that users check extracted chlorophyll values where available.,,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#"The Dissolved Oxygen sensor used in files 0001, 0002 and 0016 malfunctioned so the Oxygen:Dissolved:CTD channels were removed from those files.",,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD sensor has a fairly long response time so data accuracy is not as high when it is in motion as it is during stops for bottles.,,,,,,,,,,,,,,,,,,
#This will be especially true when vertical dissolved oxygen gradients are large. ,,,,,,,,,,,,,,,,,,
#To get an estimate of the accuracy of the Oxygen:Dissolved:CTD data during downcasts (after recalibration) a rough comparison was made between downcast Oxygen:Dissolved:CTD data and upcast titrated samples. ,,,,,,,,,,,,,,,,,,
#Some of the difference will be due to problems with flushing of Niskin bottles and/or analysis errors so the following statement likely underestimates Oxygen:Dissolved:CTD accuracy.,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#Downcast (CTD files) Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,,
#      • ±0.25 ml/l from 0 to 125 dbar,,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 125 to 400 dbar,,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 400 to 600 dbar,,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l from 600 to 1500 dbar,,,,,,,,,,,,,,,,,,
#      • Low by up to 0.08 ml/l below 1500 dbar,,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2017-01-proc.pdf,,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20170205
STNBR = P5
CASTNO = 1
DATE = 20170218
TIME =  11:39
LATITUDE = 48.6915
LONGITUDE = -127.16666000000001
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,MG/M^3,,UE/m^2/sec,
3.5,2,8.7589,2,32.4921,2,278.7,2,,2,0.797,2,,2,0.1,2
4.1,2,8.7583,2,32.4921,2,278.5,2,,2,0.8009999999999999,2,,2,0.2,2
5.0,2,8.7627,2,32.4919,2,278.3,2,,2,0.799,2,,2,0.2,2
6.1,2,8.7639,2,32.4919,2,278.0,2,,2,0.7979999999999999,2,,2,0.1,2
6.8,2,8.7645,2,32.4922,2,277.6,2,,2,0.804,2,,2,0.1,2
8.1,2,8.7681,2,32.4921,2,276.6,2,,2,0.7929999999999999,2,,2,0.1,2
9.0,2,8.7679,2,32.4921,2,276.5,2,,2,0.81,2,,2,0.0,2
10.0,2,8.7686,2,32.492,2,276.9,2,,2,0.7959999999999999,2,,2,0.0,2
11.0,2,8.7699,2,32.4921,2,276.9,2,,2,0.7959999999999999,2,,2,0.0,2
12.0,2,8.7705,2,32.4921,2,276.5,2,,2,0.7859999999999999,2,,2,0.0,2
13.0,2,8.7716,2,32.4922,2,276.3,2,,2,0.7909999999999999,2,,2,0.0,2
14.0,2,8.7712,2,32.4922,2,276.8,2,,2,0.787,2,,2,0.0,2
15.0,2,8.7722,2,32.4924,2,277.1,2,,2,0.804,2,,2,0.0,2
16.0,2,8.7762,2,32.4924,2,277.0,2,,2,0.797,2,,2,0.0,2
17.0,2,8.7763,2,32.4924,2,276.9,2,,2,0.795,2,,2,0.0,2
18.0,2,8.7761,2,32.4925,2,276.8,2,,2,0.775,2,,2,0.0,2
19.0,2,8.7763,2,32.4924,2,277.0,2,,2,0.7879999999999999,2,,2,0.0,2
20.0,2,8.7762,2,32.4924,2,276.9,2,,2,0.778,2,,2,0.0,2
21.0,2,8.7761,2,32.4923,2,276.6,2,,2,0.789,2,,2,0.0,2
22.0,2,8.777999999999999,2,32.4925,2,276.6,2,,2,0.7859999999999999,2,,2,0.0,2
23.0,2,8.7789,2,32.4927,2,276.6,2,,2,0.784,2,,2,0.0,2
24.0,2,8.7784,2,32.4928,2,276.4,2,,2,0.777,2,,2,0.0,2
25.0,2,8.7787,2,32.4926,2,276.5,2,,2,0.779,2,,2,0.0,2
26.0,2,8.7762,2,32.4925,2,277.0,2,,2,0.77,2,,2,0.0,2
27.0,2,8.776,2,32.4924,2,276.9,2,,2,0.78,2,,2,0.0,2
28.0,2,8.7761,2,32.4929,2,276.8,2,,2,0.7859999999999999,2,,2,0.0,2
29.0,2,8.7769,2,32.4931,2,276.8,2,,2,0.782,2,,2,0.0,2
30.0,2,8.7743,2,32.4928,2,276.5,2,,2,0.789,2,,2,0.0,2
31.0,2,8.7734,2,32.493,2,276.3,2,,2,0.797,2,,2,0.0,2
32.0,2,8.7738,2,32.493,2,276.3,2,,2,0.787,2,,2,0.0,2
33.0,2,8.7749,2,32.4936,2,276.2,2,,2,0.792,2,,2,0.0,2
34.0,2,8.7849,2,32.4974,2,275.6,2,,2,0.7829999999999999,2,,2,0.0,2
35.0,2,8.7905,2,32.5011,2,275.4,2,,2,0.779,2,,2,0.0,2
36.0,2,8.7933,2,32.5033,2,275.1,2,,2,0.7659999999999999,2,,2,0.0,2
37.0,2,8.7899,2,32.501,2,275.0,2,,2,0.792,2,,2,0.0,2
38.0,2,8.7937,2,32.5034,2,274.5,2,,2,0.76,2,,2,0.0,2
39.0,2,8.8002,2,32.5077,2,274.0,2,,2,0.774,2,,2,0.0,2
40.0,2,8.8013,2,32.5089,2,273.3,2,,2,0.764,2,,2,0.0,2
41.0,2,8.8043,2,32.5112,2,272.9,2,,2,0.755,2,,2,0.0,2
42.0,2,8.8078,2,32.5146,2,273.0,2,,2,0.738,2,,2,0.0,2
43.0,2,8.8182,2,32.523,2,272.2,2,,2,0.737,2,,2,0.0,2
44.0,2,8.8257,2,32.5286,2,270.8,2,,2,0.7440000000000001,2,,2,0.0,2
