CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Fluorescence and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The Transmissivity data are nominal. ,,,,,,,,,,,,,,,,,
#Values were clearly bad below about 250 dbar so data below that level were replaced with pad values. ,,,,,,,,,,,,,,,,,
#Similar results were found when this sensor was used during other recent cruises.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#NOTE: While the Fluorescence:CTD data are expressed in concentration units they do not always compare well to extracted chlorophyll samples particularly for casts far from shore.,,,,,,,,,,,,,,,,,
#It is recommended that users check extracted chlorophyll values where available.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD sensor has a fairly long response time so data accuracy is not as high when it is in motion as it is during stops for bottles.,,,,,,,,,,,,,,,,,
#This will be especially true when vertical dissolved oxygen gradients are large. ,,,,,,,,,,,,,,,,,
#To get an estimate of the accuracy of the Oxygen:Dissolved:CTD data during downcasts (after recalibration) a rough comparison was made between downcast Oxygen:Dissolved:CTD data and upcast titrated samples. ,,,,,,,,,,,,,,,,,
#Some of the difference will be due to problems with flushing of Niskin bottles and/or analysis errors so the following statement likely underestimates Oxygen:Dissolved:CTD accuracy.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Downcast (CTD files) Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 100 to 250 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 250 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l from 500 to 2500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.02 ml/l below 2500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2017-06-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20170604
STNBR = P9
CASTNO = 1
DATE = 20170607
TIME =  09:08
LATITUDE = 48.85667
LONGITUDE = -129.16499
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
1.2,2,12.0915,2,32.3934,2,276.6,2,58.7,2,0.43,2,0.2,2
2.0,2,12.0913,2,32.3936,2,276.5,2,58.7,2,0.415,2,0.2,2
3.0,2,12.0908,2,32.3937,2,276.7,2,58.8,2,0.42100000000000004,2,0.2,2
4.0,2,12.0908,2,32.3936,2,277.0,2,58.8,2,0.425,2,0.1,2
4.8,2,12.0911,2,32.3936,2,276.8,2,58.8,2,0.424,2,0.0,2
6.0,2,12.0914,2,32.3937,2,276.6,2,58.8,2,0.433,2,0.0,2
7.0,2,12.0923,2,32.3935,2,276.7,2,58.8,2,0.415,2,0.0,2
8.0,2,12.0918,2,32.3934,2,276.9,2,58.7,2,0.415,2,0.0,2
9.0,2,12.0909,2,32.3937,2,277.0,2,58.8,2,0.415,2,0.0,2
10.0,2,12.0923,2,32.3938,2,277.1,2,58.7,2,0.41700000000000004,2,0.0,2
11.0,2,12.092,2,32.3938,2,277.1,2,58.7,2,0.424,2,0.0,2
12.0,2,12.0919,2,32.3938,2,277.2,2,58.8,2,0.414,2,0.0,2
13.0,2,12.0924,2,32.3938,2,276.9,2,58.7,2,0.418,2,0.0,2
14.0,2,12.0926,2,32.3939,2,276.6,2,58.8,2,0.434,2,0.0,2
15.0,2,12.0928,2,32.3937,2,276.1,2,58.8,2,0.41200000000000003,2,0.0,2
16.0,2,12.0835,2,32.3935,2,275.4,2,58.8,2,0.41,2,0.0,2
17.0,2,12.0563,2,32.3938,2,275.6,2,58.8,2,0.413,2,0.0,2
18.0,2,12.0148,2,32.3944,2,276.4,2,59.0,2,0.42100000000000004,2,0.0,2
19.0,2,11.7403,2,32.3924,2,279.2,2,59.4,2,0.433,2,0.0,2
20.0,2,11.5771,2,32.3938,2,281.7,2,60.0,2,0.467,2,0.0,2
21.0,2,11.405,2,32.3972,2,283.8,2,60.4,2,0.516,2,0.0,2
22.0,2,11.3146,2,32.4085,2,284.5,2,60.3,2,0.525,2,0.0,2
23.0,2,11.2376,2,32.4158,2,285.5,2,60.4,2,0.5660000000000001,2,0.0,2
24.0,2,11.0994,2,32.4225,2,286.3,2,60.4,2,0.626,2,0.0,2
25.1,2,11.0907,2,32.4193,2,286.2,2,60.2,2,0.687,2,0.0,2
26.0,2,11.0577,2,32.4233,2,285.7,2,60.0,2,0.718,2,0.0,2
27.0,2,10.9941,2,32.4229,2,284.7,2,59.9,2,0.748,2,0.0,2
28.0,2,10.7972,2,32.425,2,284.9,2,59.8,2,0.873,2,0.0,2
29.0,2,10.3078,2,32.4357,2,288.4,2,59.2,2,1.024,2,0.0,2
30.0,2,9.9448,2,32.4396,2,291.0,2,58.8,2,1.07,2,0.0,2
31.0,2,9.7873,2,32.4554,2,291.4,2,59.2,2,1.022,2,0.0,2
32.0,2,9.6899,2,32.4741,2,291.5,2,59.8,2,0.937,2,0.0,2
33.0,2,9.5785,2,32.4923,2,291.8,2,60.4,2,0.7659999999999999,2,0.0,2
34.0,2,9.5019,2,32.5018,2,292.6,2,62.3,2,0.8390000000000001,2,0.0,2
35.0,2,9.4668,2,32.5034,2,293.1,2,62.5,2,0.7759999999999999,2,0.0,2
35.6,2,9.4248,2,32.5133,2,294.0,2,62.5,2,0.759,2,0.0,2
37.4,2,9.2991,2,32.5251,2,289.5,2,61.8,2,0.745,2,0.0,2
38.0,2,9.2616,2,32.5302,2,289.4,2,55.2,2,0.745,2,0.0,2
39.0,2,9.2275,2,32.5314,2,289.4,2,58.2,2,0.7340000000000001,2,0.0,2
