CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Fluorescence and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The Transmissivity data are nominal. ,,,,,,,,,,,,,,,,,
#Values were clearly bad below about 250 dbar so data below that level were replaced with pad values. ,,,,,,,,,,,,,,,,,
#Similar results were found when this sensor was used during other recent cruises.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#NOTE: While the Fluorescence:CTD data are expressed in concentration units they do not always compare well to extracted chlorophyll samples particularly for casts far from shore.,,,,,,,,,,,,,,,,,
#It is recommended that users check extracted chlorophyll values where available.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD sensor has a fairly long response time so data accuracy is not as high when it is in motion as it is during stops for bottles.,,,,,,,,,,,,,,,,,
#This will be especially true when vertical dissolved oxygen gradients are large. ,,,,,,,,,,,,,,,,,
#To get an estimate of the accuracy of the Oxygen:Dissolved:CTD data during downcasts (after recalibration) a rough comparison was made between downcast Oxygen:Dissolved:CTD data and upcast titrated samples. ,,,,,,,,,,,,,,,,,
#Some of the difference will be due to problems with flushing of Niskin bottles and/or analysis errors so the following statement likely underestimates Oxygen:Dissolved:CTD accuracy.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Downcast (CTD files) Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 100 to 250 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 250 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l from 500 to 2500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.02 ml/l below 2500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2017-06-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20170604
STNBR = PA-011
CASTNO = 2
DATE = 20170615
TIME =  02:03
LATITUDE = 50.135670000000005
LONGITUDE = -144.83333000000002
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
1.2,2,9.4303,2,32.4475,2,291.6,2,57.7,2,0.335,2,946.7,2
1.8,2,9.4258,2,32.4473,2,291.7,2,57.5,2,0.336,2,382.7,2
3.0,2,9.3575,2,32.4473,2,291.9,2,58.1,2,0.32799999999999996,2,292.5,2
3.6,2,9.3461,2,32.4468,2,291.3,2,58.6,2,0.342,2,261.0,2
5.2,2,9.2074,2,32.4452,2,293.3,2,58.6,2,0.355,2,223.1,2
5.8,2,9.107999999999999,2,32.4462,2,293.3,2,58.7,2,0.37,2,210.5,2
9.4,2,9.0679,2,32.4439,2,293.1,2,58.6,2,0.40299999999999997,2,155.8,2
10.0,2,9.0446,2,32.4442,2,293.3,2,58.5,2,0.428,2,138.2,2
10.8,2,9.036,2,32.4433,2,293.2,2,58.4,2,0.44299999999999995,2,132.0,2
12.0,2,9.0236,2,32.4438,2,293.4,2,58.1,2,0.47200000000000003,2,118.0,2
13.0,2,9.0111,2,32.4443,2,293.4,2,58.3,2,0.511,2,108.6,2
14.0,2,9.0037,2,32.4447,2,293.6,2,58.2,2,0.516,2,103.7,2
15.0,2,8.9994,2,32.4448,2,293.6,2,58.2,2,0.5379999999999999,2,97.6,2
16.0,2,8.9957,2,32.4448,2,293.5,2,58.2,2,0.555,2,89.6,2
17.0,2,8.9934,2,32.4445,2,293.6,2,58.2,2,0.569,2,82.8,2
18.0,2,8.9901,2,32.4447,2,293.7,2,58.2,2,0.5920000000000001,2,76.7,2
19.0,2,8.9872,2,32.4449,2,293.6,2,58.2,2,0.602,2,71.7,2
20.0,2,8.9843,2,32.4454,2,293.5,2,58.2,2,0.617,2,67.6,2
21.0,2,8.9828,2,32.4457,2,293.5,2,58.2,2,0.637,2,64.5,2
22.0,2,8.9789,2,32.4456,2,293.4,2,58.2,2,0.645,2,61.0,2
23.0,2,8.9758,2,32.4457,2,293.4,2,58.2,2,0.659,2,56.9,2
24.0,2,8.9737,2,32.4461,2,293.6,2,58.2,2,0.665,2,53.5,2
25.0,2,8.9716,2,32.4465,2,293.4,2,58.0,2,0.685,2,50.5,2
26.0,2,8.9677,2,32.4468,2,293.2,2,58.1,2,0.696,2,47.3,2
27.0,2,8.9604,2,32.4473,2,293.4,2,58.2,2,0.7170000000000001,2,44.3,2
28.0,2,8.9398,2,32.4481,2,293.7,2,58.2,2,0.7509999999999999,2,41.4,2
29.0,2,8.9156,2,32.4488,2,293.6,2,58.1,2,0.787,2,38.9,2
30.0,2,8.8943,2,32.4487,2,292.4,2,55.9,2,0.8220000000000001,2,36.8,2
31.0,2,8.8318,2,32.4487,2,291.8,2,57.2,2,0.866,2,34.6,2
32.0,2,8.5948,2,32.4479,2,294.3,2,57.8,2,0.945,2,32.4,2
33.0,2,8.1751,2,32.4482,2,297.6,2,57.7,2,1.013,2,30.2,2
34.0,2,7.9586,2,32.4501,2,300.3,2,57.5,2,1.0659999999999998,2,28.3,2
35.0,2,7.3998,2,32.4526,2,306.8,2,57.5,2,1.147,2,26.6,2
36.0,2,6.9956,2,32.4706,2,311.1,2,57.3,2,1.196,2,25.1,2
37.0,2,6.8105,2,32.4771,2,312.8,2,57.2,2,1.227,2,23.5,2
38.0,2,6.6549,2,32.4843,2,313.6,2,57.3,2,1.258,2,21.9,2
39.0,2,6.6145,2,32.4863,2,313.5,2,57.3,2,1.2690000000000001,2,20.4,2
40.0,2,6.5363,2,32.4843,2,314.0,2,57.2,2,1.271,2,18.9,2
41.0,2,6.4544,2,32.4834,2,314.2,2,57.4,2,1.268,2,17.6,2
42.0,2,6.4413,2,32.4857,2,313.7,2,57.6,2,1.28,2,16.3,2
42.8,2,6.4028,2,32.494,2,313.2,2,57.6,2,1.26,2,15.3,2
44.1,2,6.2959,2,32.4943,2,312.6,2,58.0,2,1.2690000000000001,2,14.0,2
45.0,2,6.2095,2,32.4918,2,312.4,2,58.2,2,1.2429999999999999,2,13.2,2
46.0,2,6.1458,2,32.4946,2,312.1,2,58.5,2,1.219,2,12.4,2
47.0,2,6.1243,2,32.4959,2,311.9,2,58.8,2,1.218,2,11.5,2
48.0,2,6.0969,2,32.4964,2,311.8,2,58.9,2,1.206,2,10.7,2
49.0,2,6.0684,2,32.4972,2,311.7,2,59.0,2,1.212,2,9.9,2
50.0,2,6.0474,2,32.5002,2,311.6,2,59.1,2,1.2009999999999998,2,9.2,2
51.3,2,6.031000000000001,2,32.5028,2,311.3,2,59.3,2,1.198,2,8.4,2
52.0,2,6.0286,2,32.503,2,311.0,2,59.3,2,1.208,2,8.1,2
53.0,2,6.0282,2,32.504,2,310.6,2,59.3,2,1.208,2,7.6,2
54.0,2,6.0162,2,32.5058,2,310.5,2,59.4,2,1.182,2,7.1,2
55.0,2,5.9919,2,32.5092,2,310.4,2,59.4,2,1.179,2,6.6,2
56.0,2,5.9838,2,32.513000000000005,2,310.1,2,59.6,2,1.178,2,6.1,2
57.0,2,5.9753,2,32.5144,2,309.8,2,59.8,2,1.17,2,5.7,2
58.0,2,5.9204,2,32.5155,2,310.0,2,59.9,2,1.136,2,5.3,2
59.0,2,5.8801,2,32.5178,2,309.7,2,60.2,2,1.122,2,4.9,2
60.0,2,5.8322,2,32.5208,2,309.3,2,60.4,2,1.092,2,4.6,2
61.0,2,5.7706,2,32.5159,2,309.1,2,60.6,2,1.079,2,4.4,2
62.0,2,5.7285,2,32.5151,2,308.9,2,60.7,2,1.068,2,4.1,2
63.0,2,5.6631,2,32.514,2,309.2,2,60.8,2,1.051,2,3.8,2
64.0,2,5.5847,2,32.5174,2,309.4,2,60.9,2,1.042,2,3.6,2
65.0,2,5.5478,2,32.5204,2,309.4,2,61.0,2,1.0390000000000001,2,3.4,2
66.0,2,5.5157,2,32.5208,2,309.4,2,61.2,2,1.051,2,3.1,2
67.0,2,5.4606,2,32.5224,2,309.3,2,61.3,2,1.03,2,2.9,2
68.0,2,5.4396,2,32.525,2,308.9,2,61.4,2,1.03,2,2.7,2
69.0,2,5.3912,2,32.523,2,309.0,2,61.5,2,0.997,2,2.6,2
70.0,2,5.3449,2,32.5228,2,309.0,2,61.7,2,0.985,2,2.4,2
71.0,2,5.3586,2,32.5275,2,308.2,2,61.8,2,0.965,2,2.2,2
72.0,2,5.347,2,32.5265,2,307.9,2,61.9,2,0.925,2,2.1,2
73.0,2,5.2913,2,32.5225,2,308.2,2,62.0,2,0.91,2,2.0,2
74.0,2,5.2772,2,32.5227,2,308.2,2,62.1,2,0.892,2,1.8,2
75.0,2,5.2683,2,32.5233,2,308.1,2,62.3,2,0.883,2,1.7,2
76.0,2,5.2504,2,32.5229,2,308.2,2,62.4,2,0.8420000000000001,2,1.6,2
77.0,2,5.2338,2,32.5241,2,308.2,2,62.5,2,0.8390000000000001,2,1.5,2
78.0,2,5.2123,2,32.5253,2,307.9,2,62.5,2,0.7809999999999999,2,1.4,2
79.0,2,5.196000000000001,2,32.5268,2,307.7,2,62.7,2,0.7390000000000001,2,1.3,2
80.0,2,5.188,2,32.5294,2,307.4,2,62.9,2,0.6970000000000001,2,1.2,2
81.0,2,5.1761,2,32.5303,2,307.3,2,63.0,2,0.667,2,1.2,2
82.0,2,5.1807,2,32.5326,2,307.2,2,63.0,2,0.645,2,1.1,2
83.0,2,5.1886,2,32.54,2,306.9,2,63.1,2,0.623,2,1.0,2
84.0,2,5.1904,2,32.5427,2,306.5,2,63.2,2,0.5920000000000001,2,1.0,2
85.0,2,5.2175,2,32.5548,2,305.8,2,63.3,2,0.5589999999999999,2,0.9,2
85.9,2,5.2475,2,32.5636,2,305.4,2,63.4,2,0.5589999999999999,2,0.9,2
87.2,2,5.2699,2,32.5786,2,304.5,2,63.6,2,0.515,2,0.8,2
88.0,2,5.2817,2,32.5923,2,303.4,2,63.7,2,0.499,2,0.8,2
89.0,2,5.3157,2,32.6109,2,302.2,2,63.8,2,0.46299999999999997,2,0.7,2
90.0,2,5.3634,2,32.6238,2,301.4,2,63.9,2,0.45299999999999996,2,0.7,2
91.0,2,5.3702,2,32.626,2,300.8,2,63.9,2,0.452,2,0.7,2
92.0,2,5.3728,2,32.6311,2,300.2,2,63.9,2,0.433,2,0.6,2
93.0,2,5.3653,2,32.643,2,299.4,2,64.0,2,0.40399999999999997,2,0.6,2
94.0,2,5.3555,2,32.6529,2,298.4,2,64.1,2,0.391,2,0.6,2
95.0,2,5.3624,2,32.6585,2,297.6,2,64.2,2,0.386,2,0.5,2
96.0,2,5.3653,2,32.6638,2,296.9,2,64.3,2,0.371,2,0.5,2
97.0,2,5.3581,2,32.6842,2,295.6,2,64.3,2,0.344,2,0.5,2
98.0,2,5.3724,2,32.7056,2,293.8,2,64.4,2,0.32899999999999996,2,0.5,2
99.0,2,5.4135,2,32.7513,2,289.9,2,64.5,2,0.302,2,0.4,2
100.0,2,5.4596,2,32.8336,2,284.3,2,64.6,2,0.267,2,0.4,2
101.0,2,5.4986,2,32.8958,2,278.0,2,64.8,2,0.243,2,0.4,2
102.0,2,5.5376,2,32.9516,2,273.3,2,64.8,2,0.226,2,0.4,2
103.0,2,5.5626,2,32.9837,2,268.1,2,64.8,2,0.212,2,0.3,2
104.0,2,5.6688,2,33.1185,2,260.3,2,64.9,2,0.198,2,0.3,2
105.0,2,5.8068,2,33.2402,2,252.8,2,64.9,2,0.18899999999999997,2,0.3,2
106.0,2,5.8406,2,33.2695,2,247.4,2,64.9,2,0.171,2,0.3,2
107.0,2,5.8822,2,33.3148,2,243.1,2,64.9,2,0.162,2,0.3,2
108.0,2,5.9018,2,33.341,2,239.4,2,64.8,2,0.163,2,0.3,2
109.0,2,5.9195,2,33.3726,2,236.1,2,64.8,2,0.149,2,0.3,2
110.0,2,5.934,2,33.3937,2,232.7,2,64.8,2,0.147,2,0.2,2
111.0,2,5.9611,2,33.4336,2,228.6,2,64.8,2,0.138,2,0.2,2
112.0,2,5.9974,2,33.4942,2,224.6,2,64.8,2,0.134,2,0.2,2
113.0,2,6.02,2,33.5133,2,221.8,2,64.8,2,0.126,2,0.2,2
114.0,2,6.0744,2,33.5554,2,218.5,2,64.8,2,0.122,2,0.2,2
115.0,2,6.1644,2,33.6126,2,215.0,2,64.8,2,0.121,2,0.2,2
116.0,2,6.2101,2,33.6397,2,212.5,2,64.8,2,0.11,2,0.2,2
117.0,2,6.2532,2,33.6628,2,210.3,2,64.8,2,0.11900000000000001,2,0.2,2
