CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The fluorometer values drifted during the cruise starting with slightly high dark values early in the cruise and rising to about 0.20 mg/m^3 by the end.,,,,,,,,,,,,,,,,,
#A time-dependent correction was applied based on values at 4000 m with an adjustment to ensure no negative values were produced.,,,,,,,,,,,,,,,,,
#This is an estimate and produces dark values at 2000 m ranging from 0.02 mg/m^3 to 0.09 mg/m^3.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#NOTE: While the Fluorescence:CTD data are expressed in concentration units they do not always compare well to extracted chlorophyll samples particularly for casts far from shore.,,,,,,,,,,,,,,,,,
#It is recommended that users check extracted chlorophyll values where available.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD sensor has a fairly long response time so data accuracy is not as high when it is in motion as it is during stops for bottles.,,,,,,,,,,,,,,,,,
#This will be especially true when vertical dissolved oxygen gradients are large. ,,,,,,,,,,,,,,,,,
#To get an estimate of the accuracy of the Oxygen:Dissolved:CTD data during downcasts (after recalibration) a rough comparison was made between downcast Oxygen:Dissolved:CTD data and upcast titrated samples. ,,,,,,,,,,,,,,,,,
#Some of the difference will be due to problems with flushing of Niskin bottles and/or analysis errors so the following statement likely underestimates Oxygen:Dissolved:CTD accuracy.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Downcast (CTD files) Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 200 dbar,,,,,,,,,,,,,,,,,
#      • ±0.15 ml/l from 200 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2017-08-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20170815
STNBR = P10
CASTNO = 2
DATE = 20170819
TIME =  10:10
LATITUDE = 48.89317
LONGITUDE = -129.6675
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
4.1,2,16.8793,2,31.9303,2,246.4,2,59.5,2,0.221,2,0.6,2
5.0,2,16.8795,2,31.9294,2,246.5,2,59.5,2,0.221,2,0.5,2
6.0,2,16.8797,2,31.9289,2,246.6,2,59.5,2,0.221,2,0.5,2
7.0,2,16.8796,2,31.9293,2,246.7,2,59.5,2,0.226,2,0.4,2
8.0,2,16.8803,2,31.9302,2,246.8,2,59.5,2,0.225,2,0.2,2
9.0,2,16.8802,2,31.9308,2,246.6,2,59.5,2,0.221,2,0.2,2
10.0,2,16.8803,2,31.930999999999997,2,246.3,2,59.5,2,0.221,2,0.2,2
11.0,2,16.8686,2,31.9435,2,246.6,2,59.5,2,0.22699999999999998,2,0.1,2
12.0,2,16.8475,2,31.9662,2,247.0,2,59.5,2,0.233,2,0.1,2
12.8,2,16.8294,2,31.9853,2,247.0,2,59.4,2,0.239,2,0.1,2
14.2,2,16.8245,2,31.999000000000002,2,246.5,2,59.1,2,0.24100000000000002,2,0.1,2
15.0,2,16.8235,2,31.999000000000002,2,246.6,2,59.2,2,0.237,2,0.0,2
16.0,2,16.8208,2,32.0226,2,247.0,2,59.2,2,0.24,2,0.0,2
17.0,2,16.7667,2,32.0571,2,247.3,2,59.3,2,0.249,2,0.0,2
18.0,2,16.7388,2,32.0652,2,247.5,2,59.2,2,0.263,2,0.0,2
19.0,2,16.7166,2,32.0718,2,247.9,2,59.2,2,0.27,2,0.0,2
20.0,2,16.6845,2,32.0812,2,248.4,2,59.1,2,0.273,2,0.0,2
21.1,2,16.6567,2,32.0918,2,248.8,2,59.0,2,0.282,2,0.0,2
22.0,2,16.5942,2,32.1168,2,249.3,2,59.0,2,0.289,2,0.0,2
23.0,2,16.5338,2,32.1219,2,249.6,2,59.0,2,0.29600000000000004,2,0.0,2
24.0,2,16.4603,2,32.1318,2,250.5,2,58.9,2,0.312,2,0.0,2
25.0,2,16.3581,2,32.1703,2,251.7,2,58.8,2,0.307,2,0.0,2
26.0,2,16.2886,2,32.203,2,252.4,2,58.8,2,0.299,2,0.0,2
27.0,2,16.3035,2,32.2206,2,252.0,2,58.9,2,0.289,2,0.0,2
28.0,2,16.2667,2,32.2331,2,251.8,2,59.1,2,0.29100000000000004,2,0.0,2
29.0,2,15.9094,2,32.2355,2,256.0,2,59.2,2,0.318,2,0.0,2
30.0,2,15.3656,2,32.2482,2,262.2,2,58.8,2,0.345,2,0.0,2
31.0,2,15.0605,2,32.2548,2,265.4,2,58.5,2,0.375,2,0.0,2
32.0,2,14.8937,2,32.2649,2,265.9,2,58.1,2,0.38,2,0.0,2
33.0,2,14.7616,2,32.2676,2,268.2,2,58.0,2,0.401,2,0.0,2
34.0,2,14.152000000000001,2,32.29,2,274.7,2,58.0,2,0.428,2,0.0,2
35.0,2,13.7308,2,32.3138,2,279.5,2,57.6,2,0.449,2,0.0,2
36.0,2,13.4435,2,32.338,2,282.7,2,57.4,2,0.474,2,0.0,2
37.0,2,13.2923,2,32.3523,2,284.8,2,57.3,2,0.508,2,0.0,2
38.0,2,13.0305,2,32.366,2,288.1,2,57.1,2,0.541,2,0.0,2
39.0,2,12.6581,2,32.3814,2,292.5,2,56.8,2,0.585,2,0.0,2
40.0,2,12.4568,2,32.3949,2,294.4,2,56.6,2,0.598,2,0.0,2
41.0,2,12.3331,2,32.4029,2,295.7,2,56.6,2,0.612,2,0.0,2
42.0,2,12.0994,2,32.4148,2,298.2,2,56.4,2,0.634,2,0.0,2
43.0,2,11.9484,2,32.4272,2,300.0,2,56.2,2,0.6679999999999999,2,0.0,2
44.0,2,11.8638,2,32.4323,2,301.2,2,56.1,2,0.7020000000000001,2,0.0,2
45.0,2,11.7526,2,32.4346,2,302.2,2,55.9,2,0.7490000000000001,2,0.0,2
46.0,2,11.6267,2,32.4448,2,303.5,2,55.6,2,0.8140000000000001,2,0.0,2
47.0,2,11.3807,2,32.4671,2,305.0,2,55.0,2,0.9229999999999999,2,0.0,2
48.0,2,11.132,2,32.4749,2,307.5,2,54.7,2,1.187,2,0.0,2
49.0,2,10.7455,2,32.5039,2,310.4,2,53.8,2,1.808,2,0.0,2
50.0,2,10.6401,2,32.5119,2,310.3,2,50.9,2,2.0,2,0.0,2
51.0,2,10.5768,2,32.512,2,309.3,2,50.6,2,2.077,2,0.0,2
52.0,2,10.3262,2,32.5122,2,309.4,2,51.1,2,2.079,2,0.0,2
53.0,2,10.1503,2,32.5209,2,308.9,2,52.5,2,2.0269999999999997,2,0.0,2
54.0,2,10.1009,2,32.528,2,307.6,2,53.4,2,2.0269999999999997,2,0.0,2
55.0,2,10.0749,2,32.5312,2,305.6,2,53.6,2,2.028,2,0.0,2
55.7,2,9.9265,2,32.5533,2,304.7,2,53.6,2,1.9040000000000001,2,0.0,2
57.1,2,9.6886,2,32.5508,2,300.3,2,55.4,2,1.669,2,0.0,2
58.0,2,9.6389,2,32.5553,2,297.7,2,55.8,2,1.59,2,0.0,2
59.0,2,9.5184,2,32.5646,2,295.7,2,56.1,2,1.5130000000000001,2,0.0,2
60.0,2,9.3269,2,32.582,2,294.0,2,56.4,2,1.39,2,0.0,2
61.0,2,9.2694,2,32.5859,2,291.8,2,57.3,2,1.268,2,0.0,2
62.0,2,9.2452,2,32.5895,2,289.6,2,57.6,2,1.235,2,0.0,2
63.0,2,9.1724,2,32.5962,2,287.1,2,57.7,2,1.138,2,0.0,2
64.0,2,9.0227,2,32.6079,2,284.7,2,58.1,2,1.058,2,0.0,2
65.0,2,8.9822,2,32.6129,2,282.7,2,58.7,2,0.982,2,0.0,2
66.0,2,8.9564,2,32.624,2,280.3,2,58.9,2,0.9329999999999999,2,0.0,2
67.0,2,8.9499,2,32.633,2,278.2,2,59.1,2,0.879,2,0.0,2
68.0,2,8.9167,2,32.6379,2,276.7,2,59.3,2,0.802,2,0.0,2
69.0,2,8.8517,2,32.6441,2,275.7,2,59.5,2,0.765,2,0.0,2
70.0,2,8.7888,2,32.6524,2,274.6,2,59.8,2,0.708,2,0.0,2
71.0,2,8.7459,2,32.658,2,273.7,2,60.1,2,0.639,2,0.0,2
72.0,2,8.7382,2,32.6631,2,272.4,2,60.3,2,0.618,2,0.0,2
73.0,2,8.7251,2,32.6671,2,270.9,2,60.4,2,0.5820000000000001,2,0.0,2
74.0,2,8.6364,2,32.6674,2,270.9,2,60.5,2,0.5429999999999999,2,0.0,2
75.0,2,8.507,2,32.6749,2,270.7,2,60.8,2,0.49,2,0.0,2
76.0,2,8.4971,2,32.6907,2,268.2,2,61.0,2,0.451,2,0.0,2
77.0,2,8.5349,2,32.7158,2,264.3,2,61.2,2,0.425,2,0.0,2
78.0,2,8.4759,2,32.7434,2,260.2,2,61.3,2,0.369,2,0.0,2
79.0,2,8.4804,2,32.7859,2,255.1,2,61.6,2,0.35700000000000004,2,0.0,2
80.0,2,8.466000000000001,2,32.8183,2,250.4,2,61.9,2,0.325,2,0.0,2
81.0,2,8.4406,2,32.8353,2,246.8,2,62.0,2,0.315,2,0.0,2
82.0,2,8.3487,2,32.8493,2,245.8,2,62.2,2,0.315,2,0.0,2
83.0,2,8.0549,2,32.8341,2,248.6,2,62.2,2,0.292,2,0.0,2
84.0,2,7.8129,2,32.815,2,253.0,2,62.4,2,0.267,2,0.0,2
85.0,2,7.6204,2,32.8142,2,256.0,2,62.5,2,0.256,2,0.0,2
86.0,2,7.6388,2,32.832,2,256.0,2,62.6,2,0.254,2,0.0,2
87.0,2,7.6211,2,32.8447,2,255.4,2,62.6,2,0.256,2,0.0,2
88.0,2,7.6457,2,32.8719,2,253.1,2,62.7,2,0.23800000000000002,2,0.0,2
89.0,2,7.7351,2,32.9109,2,249.7,2,62.7,2,0.237,2,0.0,2
90.0,2,7.7558,2,32.9322,2,246.9,2,62.7,2,0.225,2,0.0,2
91.0,2,7.7812,2,32.9442,2,244.3,2,62.7,2,0.22699999999999998,2,0.0,2
92.0,2,7.8836,2,32.9848,2,239.0,2,62.6,2,0.23,2,0.0,2
93.0,2,8.0279,2,33.0534,2,231.2,2,62.6,2,0.23600000000000002,2,0.0,2
94.0,2,8.1274,2,33.098,2,224.7,2,62.7,2,0.233,2,0.0,2
95.0,2,8.1754,2,33.1236,2,219.9,2,62.6,2,0.24,2,0.0,2
96.0,2,8.2138,2,33.145,2,216.5,2,62.6,2,0.239,2,0.0,2
97.0,2,8.2302,2,33.1582,2,214.0,2,62.6,2,0.237,2,0.0,2
98.0,2,8.246,2,33.168,2,212.2,2,62.5,2,0.23800000000000002,2,0.0,2
99.0,2,8.248,2,33.1702,2,209.3,2,62.5,2,0.239,2,0.0,2
100.0,2,8.3762,2,33.2384,2,202.9,2,62.7,2,0.239,2,0.0,2
101.0,2,8.4659,2,33.2899,2,197.3,2,62.7,2,0.23600000000000002,2,0.0,2
102.0,2,8.3982,2,33.2848,2,195.0,2,62.7,2,0.23,2,0.0,2
103.0,2,8.4215,2,33.3058,2,189.9,2,62.7,2,0.21899999999999997,2,0.0,2
104.0,2,8.6864,2,33.4336,2,177.9,2,62.7,2,0.21899999999999997,2,0.0,2
105.0,2,8.8459,2,33.5055,2,168.7,2,62.8,2,0.20600000000000002,2,0.0,2
106.0,2,8.8962,2,33.5254,2,163.1,2,62.8,2,0.205,2,0.0,2
107.0,2,8.9223,2,33.536,2,158.9,2,62.8,2,0.191,2,0.0,2
108.0,2,8.9457,2,33.5507,2,155.6,2,62.9,2,0.19399999999999998,2,0.0,2
109.0,2,8.9441,2,33.5631,2,153.3,2,62.9,2,0.183,2,0.0,2
110.0,2,8.8978,2,33.5794,2,152.2,2,62.9,2,0.172,2,0.0,2
111.0,2,8.8846,2,33.5826,2,151.4,2,63.0,2,0.172,2,0.0,2
112.0,2,8.892999999999999,2,33.5914,2,149.7,2,63.0,2,0.16,2,0.0,2
113.0,2,8.8839,2,33.6075,2,148.0,2,63.0,2,0.15,2,0.0,2
114.0,2,8.8671,2,33.6157,2,146.8,2,62.9,2,0.14800000000000002,2,0.0,2
115.0,2,8.8589,2,33.6212,2,145.8,2,62.9,2,0.14800000000000002,2,0.0,2
116.0,2,8.8483,2,33.6246,2,145.3,2,63.0,2,0.14800000000000002,2,0.0,2
117.0,2,8.8445,2,33.625,2,144.9,2,62.9,2,0.14800000000000002,2,0.0,2
118.0,2,8.8371,2,33.6268,2,144.6,2,62.9,2,0.139,2,0.0,2
119.0,2,8.8243,2,33.6312,2,144.4,2,62.9,2,0.145,2,0.0,2
120.0,2,8.8061,2,33.6344,2,144.4,2,63.0,2,0.138,2,0.0,2
121.0,2,8.7902,2,33.635999999999996,2,144.4,2,62.9,2,0.136,2,0.0,2
