CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The fluorometer values drifted during the cruise starting with slightly high dark values early in the cruise and rising to about 0.20 mg/m^3 by the end.,,,,,,,,,,,,,,,,,
#A time-dependent correction was applied based on values at 4000 m with an adjustment to ensure no negative values were produced.,,,,,,,,,,,,,,,,,
#This is an estimate and produces dark values at 2000 m ranging from 0.02 mg/m^3 to 0.09 mg/m^3.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#NOTE: While the Fluorescence:CTD data are expressed in concentration units they do not always compare well to extracted chlorophyll samples particularly for casts far from shore.,,,,,,,,,,,,,,,,,
#It is recommended that users check extracted chlorophyll values where available.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD sensor has a fairly long response time so data accuracy is not as high when it is in motion as it is during stops for bottles.,,,,,,,,,,,,,,,,,
#This will be especially true when vertical dissolved oxygen gradients are large. ,,,,,,,,,,,,,,,,,
#To get an estimate of the accuracy of the Oxygen:Dissolved:CTD data during downcasts (after recalibration) a rough comparison was made between downcast Oxygen:Dissolved:CTD data and upcast titrated samples. ,,,,,,,,,,,,,,,,,
#Some of the difference will be due to problems with flushing of Niskin bottles and/or analysis errors so the following statement likely underestimates Oxygen:Dissolved:CTD accuracy.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Downcast (CTD files) Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 200 dbar,,,,,,,,,,,,,,,,,
#      • ±0.15 ml/l from 200 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2017-08-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20170815
STNBR = PA-011
CASTNO = 1
DATE = 20170825
TIME =  14:38
LATITUDE = 50.13517
LONGITUDE = -144.83098999999999
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
1.3,2,13.2833,2,32.3543,2,266.0,2,38.0,2,3.0989999999999998,2,4.1,2
2.0,2,13.2833,2,32.3544,2,265.9,2,42.0,2,3.103,2,3.0,2
3.0,2,13.2838,2,32.3542,2,265.8,2,44.8,2,3.197,2,2.5,2
4.0,2,13.285,2,32.3537,2,266.0,2,45.7,2,3.11,2,2.1,2
5.0,2,13.2852,2,32.3537,2,266.0,2,45.8,2,3.055,2,1.7,2
6.0,2,13.2857,2,32.3534,2,265.9,2,45.7,2,3.0989999999999998,2,1.4,2
7.0,2,13.2858,2,32.3537,2,265.9,2,45.9,2,3.096,2,1.2,2
8.0,2,13.2859,2,32.3536,2,266.0,2,45.7,2,3.145,2,1.0,2
9.0,2,13.2858,2,32.3539,2,266.2,2,45.7,2,3.123,2,0.9,2
10.0,2,13.2856,2,32.3539,2,266.2,2,45.7,2,3.108,2,0.7,2
11.0,2,13.2859,2,32.3539,2,266.1,2,45.7,2,3.085,2,0.6,2
12.0,2,13.285,2,32.3544,2,266.0,2,45.7,2,3.055,2,0.5,2
13.0,2,13.2841,2,32.3548,2,266.1,2,45.8,2,3.1180000000000003,2,0.5,2
14.0,2,13.2842,2,32.355,2,266.3,2,45.7,2,3.025,2,0.4,2
15.0,2,13.284,2,32.3548,2,266.2,2,45.8,2,3.076,2,0.3,2
16.0,2,13.2838,2,32.3549,2,266.2,2,45.8,2,3.1069999999999998,2,0.3,2
17.0,2,13.2834,2,32.355,2,266.3,2,45.7,2,3.112,2,0.2,2
18.0,2,13.2838,2,32.3549,2,266.3,2,45.7,2,3.0669999999999997,2,0.2,2
19.0,2,13.2832,2,32.355,2,266.6,2,45.8,2,3.033,2,0.2,2
20.0,2,13.2837,2,32.3549,2,266.6,2,45.8,2,3.0410000000000004,2,0.2,2
21.0,2,13.2844,2,32.3549,2,266.6,2,45.6,2,3.082,2,0.1,2
22.0,2,13.2834,2,32.3551,2,266.6,2,45.6,2,3.137,2,0.1,2
23.0,2,13.2839,2,32.3551,2,266.3,2,45.3,2,3.054,2,0.1,2
24.0,2,13.284,2,32.3551,2,266.3,2,45.6,2,3.062,2,0.1,2
25.0,2,13.284,2,32.355,2,266.0,2,45.6,2,3.048,2,0.0,2
26.0,2,13.284,2,32.3552,2,266.2,2,45.6,2,3.128,2,0.0,2
27.0,2,13.283,2,32.3552,2,266.4,2,45.8,2,3.051,2,0.0,2
28.0,2,13.2829,2,32.3553,2,266.7,2,45.5,2,3.093,2,0.0,2
29.0,2,13.2824,2,32.3552,2,266.9,2,45.8,2,3.037,2,0.0,2
30.0,2,13.2814,2,32.3555,2,266.9,2,45.7,2,2.986,2,0.0,2
31.0,2,13.2804,2,32.3556,2,266.8,2,45.6,2,3.014,2,0.0,2
32.0,2,13.2746,2,32.3562,2,266.6,2,45.6,2,2.965,2,0.0,2
32.9,2,13.2721,2,32.3563,2,265.1,2,45.6,2,3.032,2,0.0,2
34.0,2,13.2634,2,32.3563,2,259.6,2,45.8,2,2.9730000000000003,2,0.0,2
35.0,2,13.1356,2,32.3579,2,256.3,2,45.8,2,2.9560000000000004,2,0.0,2
36.0,2,12.7164,2,32.3693,2,259.9,2,45.8,2,2.832,2,0.0,2
37.0,2,11.6238,2,32.3683,2,272.9,2,47.4,2,2.7560000000000002,2,0.0,2
38.0,2,10.0993,2,32.4082,2,291.4,2,47.7,2,2.5140000000000002,2,0.0,2
38.6,2,9.368,2,32.4666,2,295.4,2,47.8,2,2.4659999999999997,2,0.0,2
40.3,2,8.5522,2,32.4641,2,289.3,2,50.6,2,1.629,2,0.0,2
41.0,2,8.3123,2,32.4655,2,291.6,2,53.1,2,1.48,2,0.0,2
42.0,2,8.0231,2,32.463,2,294.0,2,55.7,2,1.2990000000000002,2,0.0,2
43.0,2,7.8013,2,32.4629,2,295.7,2,55.8,2,1.2,2,0.0,2
44.0,2,7.5864,2,32.4694,2,297.2,2,57.2,2,1.095,2,0.0,2
45.0,2,7.4029,2,32.4714,2,297.8,2,57.8,2,1.015,2,0.0,2
46.0,2,7.2045,2,32.4778,2,298.7,2,58.1,2,0.9540000000000001,2,0.0,2
47.0,2,6.8421,2,32.4825,2,301.2,2,58.4,2,0.8640000000000001,2,0.0,2
48.0,2,6.591,2,32.486999999999995,2,302.8,2,58.9,2,0.789,2,0.0,2
49.0,2,6.3883,2,32.4935,2,303.8,2,59.1,2,0.7490000000000001,2,0.0,2
50.0,2,6.3229,2,32.4939,2,303.7,2,59.5,2,0.735,2,0.0,2
51.0,2,6.1452,2,32.4915,2,305.0,2,60.0,2,0.669,2,0.0,2
51.9,2,5.9816,2,32.4998,2,305.8,2,60.1,2,0.635,2,0.0,2
53.2,2,5.8826,2,32.501999999999995,2,306.1,2,60.6,2,0.606,2,0.0,2
54.0,2,5.8299,2,32.5092,2,306.1,2,60.6,2,0.584,2,0.0,2
55.0,2,5.7768,2,32.5157,2,306.1,2,60.6,2,0.5720000000000001,2,0.0,2
56.0,2,5.7387,2,32.5189,2,306.0,2,60.7,2,0.574,2,0.0,2
57.0,2,5.7106,2,32.5191,2,306.2,2,60.9,2,0.563,2,0.0,2
58.0,2,5.6717,2,32.5254,2,306.1,2,61.0,2,0.5489999999999999,2,0.0,2
59.0,2,5.6547,2,32.5285,2,306.0,2,61.0,2,0.546,2,0.0,2
60.0,2,5.6395,2,32.5271,2,305.9,2,60.8,2,0.7170000000000001,2,0.0,2
61.0,2,5.6066,2,32.5301,2,305.5,2,60.7,2,0.757,2,0.0,2
62.0,2,5.5591,2,32.5343,2,305.4,2,61.0,2,0.585,2,0.0,2
63.0,2,5.4984,2,32.5391,2,305.4,2,61.2,2,0.539,2,0.0,2
64.0,2,5.4844,2,32.5403,2,304.9,2,61.5,2,0.517,2,0.0,2
65.0,2,5.4452,2,32.5423,2,304.7,2,61.5,2,0.498,2,0.0,2
66.0,2,5.4005,2,32.5478,2,304.6,2,61.6,2,0.47700000000000004,2,0.0,2
67.0,2,5.3667,2,32.5538,2,304.7,2,61.7,2,0.461,2,0.0,2
68.0,2,5.3359,2,32.553000000000004,2,304.7,2,61.8,2,0.465,2,0.0,2
69.0,2,5.3078,2,32.5571,2,304.6,2,61.8,2,0.44299999999999995,2,0.0,2
70.0,2,5.2948,2,32.5546,2,304.1,2,61.7,2,0.446,2,0.0,2
71.0,2,5.2424,2,32.5585,2,304.2,2,61.5,2,0.428,2,0.0,2
72.0,2,5.2156,2,32.5609,2,303.9,2,61.8,2,0.419,2,0.0,2
73.0,2,5.1869,2,32.5628,2,303.6,2,61.8,2,0.42,2,0.0,2
74.0,2,5.1596,2,32.5675,2,303.5,2,61.7,2,0.42200000000000004,2,0.0,2
75.0,2,5.1447,2,32.5695,2,303.4,2,61.2,2,0.413,2,0.0,2
76.0,2,5.1301,2,32.5692,2,303.4,2,61.7,2,0.415,2,0.0,2
77.0,2,5.1029,2,32.5729,2,303.1,2,61.9,2,0.39299999999999996,2,0.0,2
78.0,2,5.0788,2,32.5712,2,303.0,2,62.0,2,0.387,2,0.0,2
79.0,2,5.0591,2,32.5729,2,303.1,2,62.1,2,0.384,2,0.0,2
80.0,2,5.0393,2,32.5757,2,303.3,2,62.1,2,0.375,2,0.0,2
81.0,2,5.0333,2,32.5769,2,303.0,2,62.1,2,0.384,2,0.0,2
82.0,2,5.0164,2,32.5795,2,303.0,2,62.1,2,0.376,2,0.0,2
83.0,2,5.0021,2,32.5793,2,302.8,2,62.2,2,0.38,2,0.0,2
84.0,2,4.9821,2,32.5823,2,303.0,2,62.3,2,0.37799999999999995,2,0.0,2
85.0,2,4.9454,2,32.5828,2,303.2,2,62.2,2,0.375,2,0.0,2
86.0,2,4.9134,2,32.5873,2,303.0,2,62.2,2,0.369,2,0.0,2
87.0,2,4.9007,2,32.5891,2,302.6,2,62.2,2,0.365,2,0.0,2
88.0,2,4.8735,2,32.5888,2,302.6,2,62.0,2,0.354,2,0.0,2
89.0,2,4.8265,2,32.5948,2,302.8,2,62.2,2,0.344,2,0.0,2
90.0,2,4.7974,2,32.6025,2,302.7,2,62.2,2,0.34299999999999997,2,0.0,2
90.6,2,4.7855,2,32.6048,2,302.7,2,61.9,2,0.345,2,0.0,2
92.0,2,4.7685,2,32.6032,2,302.6,2,62.2,2,0.33899999999999997,2,0.0,2
93.0,2,4.7477,2,32.6057,2,303.0,2,61.4,2,0.33899999999999997,2,0.0,2
94.0,2,4.7244,2,32.6098,2,303.2,2,61.8,2,0.32899999999999996,2,0.0,2
95.0,2,4.735,2,32.6199,2,302.2,2,62.2,2,0.318,2,0.0,2
96.0,2,4.8157,2,32.6442,2,300.4,2,62.3,2,0.302,2,0.0,2
97.0,2,4.8107,2,32.6501,2,299.1,2,61.6,2,0.293,2,0.0,2
98.0,2,4.7972,2,32.658,2,298.1,2,62.4,2,0.297,2,0.0,2
99.0,2,4.7817,2,32.6729,2,297.2,2,62.2,2,0.293,2,0.0,2
100.0,2,4.7782,2,32.6829,2,296.1,2,62.4,2,0.29100000000000004,2,0.0,2
101.0,2,4.7807,2,32.7039,2,294.0,2,62.5,2,0.275,2,0.0,2
102.0,2,4.8046,2,32.7376,2,290.6,2,62.3,2,0.266,2,0.0,2
103.0,2,4.8216,2,32.7813,2,286.3,2,61.0,2,0.261,2,0.0,2
104.0,2,4.834,2,32.8185,2,282.9,2,62.4,2,0.252,2,0.0,2
105.0,2,4.8478,2,32.8559,2,279.5,2,62.1,2,0.252,2,0.0,2
106.0,2,4.8468,2,32.8957,2,276.0,2,62.6,2,0.252,2,0.0,2
107.0,2,4.8815,2,32.9251,2,272.0,2,62.6,2,0.252,2,0.0,2
108.0,2,4.9295,2,32.9488,2,268.1,2,62.5,2,0.251,2,0.0,2
109.0,2,4.9634,2,33.0009,2,263.4,2,62.6,2,0.243,2,0.0,2
110.0,2,5.0059,2,33.049,2,258.1,2,62.4,2,0.23399999999999999,2,0.0,2
111.0,2,5.0139,2,33.0842,2,253.2,2,62.5,2,0.23800000000000002,2,0.0,2
112.0,2,4.9981,2,33.1205,2,249.3,2,62.7,2,0.228,2,0.0,2
113.0,2,4.9957,2,33.1414,2,246.3,2,62.6,2,0.23199999999999998,2,0.0,2
114.0,2,4.9934,2,33.1648,2,244.0,2,62.3,2,0.228,2,0.0,2
115.0,2,4.9931,2,33.1799,2,241.3,2,62.5,2,0.228,2,0.0,2
116.0,2,4.9979,2,33.2092,2,238.1,2,62.4,2,0.225,2,0.0,2
117.0,2,5.0045,2,33.2491,2,234.9,2,62.5,2,0.222,2,0.0,2
118.0,2,5.0073,2,33.2683,2,231.9,2,62.7,2,0.218,2,0.0,2
119.0,2,5.0065,2,33.301,2,228.5,2,62.6,2,0.221,2,0.0,2
120.0,2,4.9882,2,33.3362,2,224.9,2,62.7,2,0.223,2,0.0,2
121.0,2,4.9934,2,33.3624,2,221.3,2,62.6,2,0.222,2,0.0,2
122.0,2,4.9693,2,33.4059,2,218.0,2,62.4,2,0.21600000000000003,2,0.0,2
123.0,2,4.9021,2,33.4372,2,215.0,2,62.6,2,0.21600000000000003,2,0.0,2
124.0,2,4.8845,2,33.4535,2,212.1,2,62.7,2,0.21600000000000003,2,0.0,2
125.0,2,4.8849,2,33.4646,2,209.5,2,62.7,2,0.213,2,0.0,2
126.0,2,4.8856,2,33.4789,2,207.2,2,62.7,2,0.218,2,0.0,2
127.0,2,4.875,2,33.4893,2,205.2,2,62.7,2,0.20800000000000002,2,0.0,2
128.0,2,4.8719,2,33.4924,2,203.7,2,62.6,2,0.218,2,0.0,2
129.0,2,4.8639,2,33.5002,2,202.5,2,62.7,2,0.21600000000000003,2,0.0,2
130.0,2,4.8589,2,33.5149,2,201.4,2,62.6,2,0.205,2,0.0,2
131.0,2,4.8632,2,33.5285,2,200.2,2,62.4,2,0.203,2,0.0,2
132.0,2,4.8749,2,33.5475,2,198.8,2,62.5,2,0.213,2,0.0,2
133.0,2,4.885,2,33.5639,2,197.2,2,62.6,2,0.203,2,0.0,2
134.0,2,4.8925,2,33.5743,2,195.9,2,62.6,2,0.203,2,0.0,2
135.0,2,4.9059,2,33.5876,2,194.6,2,62.6,2,0.203,2,0.0,2
136.0,2,4.9272,2,33.6033,2,193.3,2,62.6,2,0.207,2,0.0,2
137.0,2,4.9332,2,33.6085,2,192.3,2,62.4,2,0.203,2,0.0,2
138.0,2,4.9405,2,33.6153,2,191.5,2,62.6,2,0.203,2,0.0,2
139.0,2,4.9483,2,33.6196,2,190.9,2,62.6,2,0.203,2,0.0,2
140.0,2,4.9454,2,33.6253,2,190.3,2,62.5,2,0.2,2,0.0,2
141.0,2,4.946000000000001,2,33.632,2,189.5,2,62.5,2,0.19899999999999998,2,0.0,2
142.0,2,4.949,2,33.6384,2,188.5,2,62.6,2,0.196,2,0.0,2
143.0,2,4.9181,2,33.6388,2,187.9,2,62.6,2,0.198,2,0.0,2
144.0,2,4.9054,2,33.6417,2,187.2,2,62.6,2,0.195,2,0.0,2
145.0,2,4.9298,2,33.6554,2,186.1,2,62.7,2,0.191,2,0.0,2
146.0,2,4.9141,2,33.658,2,185.2,2,62.4,2,0.191,2,0.0,2
147.0,2,4.9163,2,33.6614,2,184.7,2,62.7,2,0.193,2,0.0,2
148.0,2,4.9303,2,33.6663,2,184.0,2,62.6,2,0.192,2,0.0,2
