CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#NOTE: While the Fluorescence:CTD data are expressed in concentration units they do not always compare well to extracted chlorophyll samples particularly for casts far from shore.,,,,,,,,,,,,,,,,,
#It is recommended that users check extracted chlorophyll values where available.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD sensor has a fairly long response time so data accuracy is not as high when it is in motion as it is during stops for bottles.,,,,,,,,,,,,,,,,,
#This will be especially true when vertical dissolved oxygen gradients are large. ,,,,,,,,,,,,,,,,,
#To get an estimate of the accuracy of the Oxygen:Dissolved:CTD data during downcasts (after recalibration) a rough comparison was made between downcast Oxygen:Dissolved:CTD data and upcast titrated samples. ,,,,,,,,,,,,,,,,,
#Some of the difference will be due to problems with flushing of Niskin bottles and/or analysis errors so the following statement likely underestimates Oxygen:Dissolved:CTD accuracy.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Downcast (CTD files) Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.30 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.15 ml/l from 100 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.10 ml/l from 300 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2018-026-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20180605
STNBR = P24
CASTNO = 1
DATE = 20180613
TIME =  00:43
LATITUDE = 49.83633
LONGITUDE = -142.66634
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2.0,2,9.383,2,32.4335,2,294.8,2,52.8,2,0.37,2,,2
3.2,2,9.3755,2,32.4333,2,296.5,2,52.9,2,0.395,2,,2
4.0,2,9.3757,2,32.4335,2,296.6,2,52.8,2,0.377,2,,2
4.9,2,9.3755,2,32.4335,2,295.3,2,52.8,2,0.37200000000000005,2,,2
6.0,2,9.3747,2,32.4336,2,295.1,2,52.9,2,0.377,2,,2
7.0,2,9.3754,2,32.4333,2,295.8,2,52.9,2,0.395,2,,2
8.0,2,9.3733,2,32.4334,2,296.2,2,52.8,2,0.419,2,,2
9.0,2,9.3728,2,32.4334,2,295.7,2,52.6,2,0.41200000000000003,2,,2
10.0,2,9.3758,2,32.4334,2,295.9,2,52.8,2,0.475,2,,2
11.0,2,9.3708,2,32.4335,2,295.8,2,52.7,2,0.527,2,,2
12.0,2,9.373,2,32.4334,2,295.9,2,52.8,2,0.498,2,,2
13.0,2,9.343,2,32.4342,2,297.0,2,52.9,2,0.585,2,,2
14.0,2,9.3262,2,32.4338,2,296.7,2,52.7,2,0.586,2,,2
15.0,2,9.3209,2,32.4335,2,295.0,2,52.6,2,0.584,2,,2
16.0,2,9.3099,2,32.4336,2,294.8,2,52.7,2,0.6459999999999999,2,,2
17.0,2,9.2591,2,32.434,2,296.1,2,52.6,2,0.63,2,,2
18.0,2,9.2121,2,32.4343,2,297.9,2,52.4,2,0.6559999999999999,2,,2
19.0,2,9.1838,2,32.4336,2,298.3,2,52.1,2,0.6729999999999999,2,,2
20.0,2,9.1768,2,32.4333,2,297.7,2,52.1,2,0.75,2,,2
21.0,2,9.1695,2,32.4332,2,297.4,2,52.4,2,0.6679999999999999,2,,2
22.0,2,9.154,2,32.4335,2,297.6,2,52.3,2,0.746,2,,2
23.0,2,9.1314,2,32.4338,2,297.4,2,52.4,2,0.713,2,,2
24.0,2,9.1063,2,32.4339,2,297.1,2,52.3,2,0.736,2,,2
25.0,2,9.0174,2,32.4356,2,298.4,2,52.3,2,0.833,2,,2
26.0,2,8.9591,2,32.4353,2,299.9,2,52.8,2,0.8490000000000001,2,,2
27.0,2,8.8611,2,32.4356,2,301.3,2,52.5,2,0.879,2,,2
28.0,2,8.7865,2,32.4351,2,302.9,2,52.4,2,0.885,2,,2
29.0,2,8.7481,2,32.4347,2,303.4,2,52.6,2,0.914,2,,2
30.0,2,8.7399,2,32.4344,2,302.9,2,52.4,2,0.955,2,,2
31.0,2,8.7365,2,32.4346,2,303.0,2,52.2,2,1.0,2,,2
32.0,2,8.729,2,32.4349,2,303.1,2,52.1,2,1.041,2,,2
33.0,2,8.7245,2,32.4347,2,303.2,2,52.0,2,1.159,2,,2
34.0,2,8.7188,2,32.4347,2,303.0,2,51.7,2,1.253,2,,2
35.0,2,8.709,2,32.4352,2,301.7,2,51.6,2,1.2830000000000001,2,,2
36.0,2,8.676,2,32.4363,2,299.1,2,51.4,2,1.338,2,,2
37.0,2,8.5732,2,32.4397,2,300.3,2,51.4,2,1.3780000000000001,2,,2
38.0,2,8.4075,2,32.4438,2,304.3,2,51.4,2,1.508,2,,2
