CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#NOTE: While the Fluorescence:CTD data are expressed in concentration units they do not always compare well to extracted chlorophyll samples particularly for casts far from shore.,,,,,,,,,,,,,,,,,
#It is recommended that users check extracted chlorophyll values where available.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD sensor has a fairly long response time so data accuracy is not as high when it is in motion as it is during stops for bottles.,,,,,,,,,,,,,,,,,
#This will be especially true when vertical dissolved oxygen gradients are large. ,,,,,,,,,,,,,,,,,
#To get an estimate of the accuracy of the Oxygen:Dissolved:CTD data during downcasts (after recalibration) a rough comparison was made between downcast Oxygen:Dissolved:CTD data and upcast titrated samples. ,,,,,,,,,,,,,,,,,
#Some of the difference will be due to problems with flushing of Niskin bottles and/or analysis errors so the following statement likely underestimates Oxygen:Dissolved:CTD accuracy.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Downcast (CTD files) Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.30 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.15 ml/l from 100 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.10 ml/l from 300 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2018-026-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20180605
STNBR = PA-011
CASTNO = 1
DATE = 20180614
TIME =  05:24
LATITUDE = 50.13867
LONGITUDE = -144.8015
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.3,2,9.1658,2,32.4693,2,299.9,2,52.6,2,0.9279999999999999,2,3.5,2
4.0,2,9.1589,2,32.4718,2,300.5,2,52.7,2,0.945,2,3.0,2
5.2,2,9.1346,2,32.474000000000004,2,298.4,2,52.6,2,0.932,2,2.7,2
6.0,2,9.0534,2,32.4745,2,298.2,2,52.6,2,0.968,2,2.5,2
7.0,2,8.99,2,32.474000000000004,2,298.9,2,52.5,2,0.973,2,2.2,2
8.0,2,8.9389,2,32.473,2,299.0,2,52.5,2,0.97,2,2.0,2
9.0,2,8.9126,2,32.4716,2,300.0,2,52.5,2,0.996,2,1.8,2
9.8,2,8.806000000000001,2,32.4725,2,301.2,2,52.4,2,1.026,2,1.7,2
11.4,2,8.7744,2,32.4718,2,300.8,2,52.1,2,1.094,2,1.5,2
12.0,2,8.7599,2,32.4721,2,300.6,2,52.1,2,1.055,2,1.5,2
13.0,2,8.7427,2,32.4724,2,300.8,2,52.1,2,1.069,2,1.4,2
14.0,2,8.7343,2,32.4717,2,301.2,2,52.2,2,1.0590000000000002,2,1.3,2
15.0,2,8.7277,2,32.4717,2,301.4,2,52.2,2,1.048,2,1.2,2
16.0,2,8.7202,2,32.4716,2,301.3,2,52.2,2,1.084,2,1.1,2
17.0,2,8.7066,2,32.4727,2,301.6,2,52.2,2,1.083,2,1.0,2
18.0,2,8.6795,2,32.4733,2,302.2,2,52.2,2,1.083,2,0.9,2
19.0,2,8.6633,2,32.4735,2,302.2,2,52.2,2,1.09,2,0.9,2
20.0,2,8.6375,2,32.4745,2,302.2,2,52.2,2,1.113,2,0.8,2
21.0,2,8.6129,2,32.4743,2,302.1,2,52.4,2,1.12,2,0.8,2
22.0,2,8.5948,2,32.4744,2,302.6,2,52.7,2,1.1520000000000001,2,0.7,2
23.0,2,8.575,2,32.4746,2,303.5,2,52.7,2,1.141,2,0.7,2
24.0,2,8.5567,2,32.474000000000004,2,304.0,2,52.8,2,1.296,2,0.6,2
25.0,2,8.5431,2,32.4737,2,303.8,2,40.7,2,1.173,2,0.6,2
26.0,2,8.5284,2,32.4745,2,303.7,2,26.3,2,1.19,2,0.6,2
27.0,2,8.5142,2,32.475,2,303.2,2,44.7,2,1.193,2,0.5,2
28.0,2,8.485,2,32.4755,2,303.2,2,40.1,2,1.206,2,0.5,2
29.0,2,8.4335,2,32.4762,2,303.8,2,23.5,2,1.224,2,0.5,2
30.0,2,8.3974,2,32.4762,2,303.7,2,25.4,2,1.2409999999999999,2,0.5,2
31.0,2,8.3768,2,32.4765,2,303.2,2,9.8,2,1.23,2,0.4,2
32.0,2,8.3552,2,32.4758,2,303.0,2,23.7,2,1.219,2,0.4,2
33.0,2,8.3355,2,32.4769,2,302.8,2,34.0,2,1.225,2,0.4,2
34.0,2,8.3088,2,32.4771,2,302.4,2,40.7,2,1.215,2,0.3,2
35.0,2,8.2826,2,32.4768,2,302.6,2,30.9,2,1.2109999999999999,2,0.3,2
36.0,2,8.21,2,32.4815,2,302.9,2,50.6,2,1.386,2,0.3,2
