CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#NOTE: While the Fluorescence:CTD data are expressed in concentration units they do not always compare well to extracted chlorophyll samples particularly for casts far from shore.,,,,,,,,,,,,,,,,,
#It is recommended that users check extracted chlorophyll values where available.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf) except that a small offset in the fit was allowed.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD sensor has a fairly long response time so data accuracy is not as high when it is in motion as it is during stops for bottles.,,,,,,,,,,,,,,,,,
#This will be especially true when vertical dissolved oxygen gradients are large. ,,,,,,,,,,,,,,,,,
#To get an estimate of the accuracy of the Oxygen:Dissolved:CTD data during downcasts (after recalibration) a rough comparison was made between downcast Oxygen:Dissolved:CTD data and upcast titrated samples. ,,,,,,,,,,,,,,,,,
#Some of the difference will be due to problems with flushing of Niskin bottles and/or analysis errors so the following statement likely underestimates Oxygen:Dissolved:CTD accuracy.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#Downcast (CTD files) Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.25 ml/l from 0 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 300 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l from 500 to 2000 dbar,,,,,,,,,,,,,,,,,
#      •Low by up to 0.03 ml/l below 2000 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2018-001-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18LU20180218
STNBR = P6
CASTNO = 1
DATE = 20180221
TIME =  14:19
LATITUDE = 48.74434
LONGITUDE = -127.66566
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3.2,2,8.4723,2,32.5194,2,278.4,2,52.3,2,0.35600000000000004,2,,2
4.0,2,8.4715,2,32.5213,2,278.3,2,52.3,2,0.369,2,,2
5.0,2,8.47,2,32.5221,2,277.8,2,52.2,2,0.353,2,,2
6.0,2,8.4695,2,32.5224,2,277.4,2,52.0,2,0.354,2,,2
7.0,2,8.4691,2,32.5221,2,277.3,2,51.9,2,0.354,2,,2
8.0,2,8.4689,2,32.522,2,277.5,2,51.9,2,0.34700000000000003,2,,2
9.0,2,8.4695,2,32.5218,2,277.7,2,51.9,2,0.361,2,,2
10.0,2,8.4676,2,32.523,2,278.1,2,51.8,2,0.35100000000000003,2,,2
11.0,2,8.4656,2,32.5236,2,278.6,2,51.8,2,0.349,2,,2
12.0,2,8.4661,2,32.5253,2,278.5,2,51.8,2,0.35700000000000004,2,,2
13.0,2,8.468,2,32.5269,2,278.2,2,51.7,2,0.355,2,,2
14.0,2,8.4686,2,32.5273,2,277.9,2,51.8,2,0.36700000000000005,2,,2
15.0,2,8.4675,2,32.5287,2,278.2,2,51.7,2,0.364,2,,2
16.0,2,8.4633,2,32.528,2,278.5,2,51.7,2,0.364,2,,2
17.0,2,8.4636,2,32.5279,2,278.5,2,51.6,2,0.37,2,,2
18.0,2,8.4651,2,32.5283,2,278.8,2,51.8,2,0.37,2,,2
19.0,2,8.4672,2,32.5285,2,279.2,2,51.7,2,0.366,2,,2
20.0,2,8.4809,2,32.5324,2,278.8,2,51.5,2,0.35700000000000004,2,,2
21.0,2,8.5133,2,32.5405,2,278.0,2,51.5,2,0.379,2,,2
22.0,2,8.5193,2,32.5431,2,277.4,2,51.2,2,0.40299999999999997,2,,2
23.0,2,8.5189,2,32.5538,2,277.5,2,51.1,2,0.41600000000000004,2,,2
24.0,2,8.4949,2,32.5569,2,278.3,2,50.9,2,0.446,2,,2
25.0,2,8.4836,2,32.5552,2,278.8,2,50.8,2,0.45899999999999996,2,,2
26.0,2,8.478,2,32.5542,2,278.3,2,50.8,2,0.465,2,,2
27.0,2,8.4782,2,32.5542,2,278.5,2,50.5,2,0.473,2,,2
28.0,2,8.4793,2,32.5541,2,279.0,2,50.6,2,0.495,2,,2
29.0,2,8.4787,2,32.5543,2,278.4,2,50.5,2,0.486,2,,2
30.0,2,8.4802,2,32.5558,2,278.2,2,50.4,2,0.504,2,,2
31.0,2,8.4872,2,32.5589,2,278.0,2,50.4,2,0.521,2,,2
32.0,2,8.5011,2,32.5654,2,277.7,2,50.4,2,0.535,2,,2
33.0,2,8.5093,2,32.5694,2,277.2,2,50.4,2,0.522,2,,2
34.0,2,8.5159,2,32.5716,2,276.6,2,50.4,2,0.5329999999999999,2,,2
35.0,2,8.5095,2,32.5725,2,276.4,2,50.3,2,0.528,2,,2
36.0,2,8.5068,2,32.5739,2,276.4,2,50.3,2,0.542,2,,2
37.0,2,8.5061,2,32.574,2,276.0,2,50.3,2,0.528,2,,2
38.0,2,8.5136,2,32.5764,2,275.4,2,50.6,2,0.52,2,,2
39.0,2,8.5266,2,32.5818,2,275.4,2,50.6,2,0.527,2,,2
40.0,2,8.5492,2,32.5893,2,272.7,2,50.6,2,0.48,2,,2
41.0,2,8.6491,2,32.6306,2,267.1,2,50.7,2,0.418,2,,2
42.0,2,8.7241,2,32.6596,2,263.2,2,50.9,2,0.379,2,,2
43.0,2,8.7277,2,32.6606,2,262.0,2,51.1,2,0.36,2,,2
44.0,2,8.776,2,32.6784,2,258.6,2,51.1,2,0.33899999999999997,2,,2
45.0,2,8.8232,2,32.7023,2,255.5,2,51.2,2,0.325,2,,2
46.0,2,8.8464,2,32.7127,2,253.6,2,51.2,2,0.633,2,,2
47.0,2,8.877,2,32.7288,2,251.2,2,51.1,2,0.547,2,,2
48.0,2,8.9085,2,32.7602,2,247.8,2,51.1,2,0.513,2,,2
49.0,2,8.9287,2,32.7908,2,244.0,2,51.1,2,0.37,2,,2
50.0,2,8.9599,2,32.8296,2,241.0,2,50.9,2,0.319,2,,2
51.0,2,8.9763,2,32.8469,2,238.7,2,51.1,2,0.28300000000000003,2,,2
52.0,2,8.9892,2,32.8632,2,236.1,2,51.0,2,0.263,2,,2
53.0,2,8.9964,2,32.8809,2,231.6,2,51.0,2,0.251,2,,2
54.0,2,9.0179,2,32.9634,2,222.2,2,50.9,2,0.237,2,,2
55.0,2,9.0426,2,33.0726,2,213.2,2,50.8,2,0.22,2,,2
56.0,2,9.0585,2,33.1208,2,208.4,2,50.6,2,0.212,2,,2
57.0,2,9.0727,2,33.1547,2,204.2,2,50.7,2,0.214,2,,2
58.0,2,9.0902,2,33.1916,2,200.5,2,51.0,2,0.21899999999999997,2,,2
59.0,2,9.1022,2,33.2229,2,197.1,2,50.9,2,0.212,2,,2
60.0,2,9.1108,2,33.2523,2,193.8,2,50.8,2,0.20800000000000002,2,,2
61.0,2,9.1274,2,33.286,2,188.0,2,50.7,2,0.205,2,,2
62.0,2,9.152999999999999,2,33.3609,2,176.7,2,50.6,2,0.19399999999999998,2,,2
63.0,2,9.1838,2,33.5163,2,165.7,2,49.9,2,0.175,2,,2
64.0,2,9.1823,2,33.555,2,161.3,2,50.2,2,0.155,2,,2
65.0,2,9.1836,2,33.566,2,159.6,2,50.3,2,0.15,2,,2
66.0,2,9.1704,2,33.5764,2,158.5,2,50.2,2,0.146,2,,2
67.0,2,9.152999999999999,2,33.5812,2,157.4,2,50.3,2,0.14400000000000002,2,,2
68.0,2,9.1322,2,33.5918,2,156.0,2,50.3,2,0.203,2,,2
69.0,2,9.1186,2,33.6032,2,154.6,2,50.3,2,0.222,2,,2
70.0,2,9.1024,2,33.6161,2,152.9,2,50.4,2,0.193,2,,2
71.0,2,9.08,2,33.6294,2,150.8,2,50.4,2,0.122,2,,2
72.0,2,9.0522,2,33.6493,2,149.3,2,50.4,2,0.11599999999999999,2,,2
73.0,2,9.0406,2,33.6576,2,148.5,2,50.3,2,0.114,2,,2
74.0,2,9.0324,2,33.6623,2,148.0,2,50.2,2,0.10800000000000001,2,,2
75.0,2,9.0288,2,33.6638,2,147.7,2,50.2,2,0.106,2,,2
76.0,2,9.0185,2,33.666,2,147.4,2,50.1,2,0.10099999999999999,2,,2
77.0,2,8.9866,2,33.6743,2,147.0,2,50.0,2,0.095,2,,2
78.0,2,8.9825,2,33.6745,2,146.2,2,50.0,2,0.09300000000000001,2,,2
79.0,2,8.9722,2,33.6761,2,145.8,2,50.0,2,0.09300000000000001,2,,2
80.0,2,8.9591,2,33.6791,2,145.6,2,50.1,2,0.08800000000000001,2,,2
81.0,2,8.9182,2,33.681,2,145.2,2,50.0,2,0.08800000000000001,2,,2
82.0,2,8.8188,2,33.6877,2,143.4,2,50.1,2,0.08199999999999999,2,,2
83.0,2,8.8479,2,33.7166,2,141.1,2,50.1,2,0.081,2,,2
84.0,2,8.8575,2,33.7244,2,140.0,2,50.0,2,0.081,2,,2
85.0,2,8.8184,2,33.7302,2,139.7,2,50.0,2,0.085,2,,2
86.0,2,8.7943,2,33.7306,2,139.6,2,50.0,2,0.081,2,,2
87.0,2,8.788,2,33.7281,2,139.6,2,50.0,2,0.077,2,,2
88.0,2,8.7664,2,33.7313,2,139.1,2,49.9,2,0.075,2,,2
89.0,2,8.7561,2,33.7373,2,138.7,2,50.0,2,0.07200000000000001,2,,2
90.0,2,8.7365,2,33.7402,2,138.3,2,49.8,2,0.07200000000000001,2,,2
91.0,2,8.726,2,33.7443,2,137.6,2,49.7,2,0.07,2,,2
92.0,2,8.7263,2,33.7494,2,137.4,2,49.7,2,0.07200000000000001,2,,2
93.0,2,8.7199,2,33.7511,2,136.8,2,49.7,2,0.071,2,,2
94.0,2,8.7114,2,33.7578,2,135.5,2,49.6,2,0.07,2,,2
95.0,2,8.677999999999999,2,33.7691,2,134.2,2,49.7,2,0.07,2,,2
96.0,2,8.6503,2,33.7811,2,133.2,2,49.8,2,0.066,2,,2
97.0,2,8.6537,2,33.7851,2,131.8,2,49.8,2,0.066,2,,2
98.0,2,8.6571,2,33.7889,2,130.6,2,49.7,2,0.067,2,,2
99.0,2,8.6543,2,33.796,2,129.8,2,49.5,2,0.066,2,,2
100.0,2,8.6364,2,33.8031,2,128.9,2,49.5,2,0.068,2,,2
101.0,2,8.6151,2,33.8086,2,128.1,2,49.6,2,0.066,2,,2
